"cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
376,0,0,214.6,0,1003.5,762.4,28,31.97
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
266,114,0,228,0,932,670,180,48.7
254,0,0,198,0,968,863,365,29.79
491,26,123,201,3.9,822,699,28,57.92
254,0,0,198,0,968,863,90,26.94
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
157,236,0,192,0,935.4,781.2,3,9.69
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
164,163,128,197,8,961,641,28,27.23
540,0,0,173,0,1125,613,3,41.64
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
480,0,0,192,0,936,721,3,24.39
339,0,0,197,0,968,781,365,38.89
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
156,178,187,221,7,854,614,28,29.41
190,190,0,228,0,932,670,270,50.66
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
153,102,0,192,0,888,943.1,28,17.96
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
190,190,0,228,0,932,670,365,53.69
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
165,0,150,182,12,1023,729,28,18.03
198.6,132.4,0,192,0,978.4,825.5,7,14.64
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
380,95,0,228,0,932,594,180,40.76
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
500,0,0,200,0,1125,613,270,55.16
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
236,0,0,193,0,968,885,180,24.1
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
275,0,0,183,0,1088,808,28,24.5
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
331,0,0,192,0,978,825,180,39
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
136,162,126,172,10,923,764,28,29.07
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
333,0,0,192,0,931.2,842.6,90,41.68
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
355,19,97,145,12.3,967,871,28,55.45
382,0,0,186,0,1047,739,7,24
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
237.5,237.5,0,228,0,932,594,7,26.26
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
250,0,0,182,0,1100,820,7,12.73
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
400,0,0,187,0,1025,745,28,43.7
528,0,0,185,6.9,920,720,28,56.83
254,0,0,198,0,968,863,180,27.63
255,0,0,192,0,889.8,945,28,18.75
139.6,209.4,0,192,0,1047,806.9,180,44.21
350,0,0,203,0,974,775,28,27.34
