คำ,POS,ความหมาย
อก 0,น.,(โบ) คำเรียกบุตรหญิงคนที่ ๖ คู่กับเรียกบุตรชายคนที่ ๖ ว่า ลก
อก 1,น.,เปิดอก อกกว้าง อกใหญ่ งาม ผึ่งผาย
อก 2,น.,"“อกพ่อเอย"" คำอุทานแสดงความรักความสงสาร"
อกไข 0,ว.,"“อกพ่อเอย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าพ่อ 0,ว.,"""อกแม่เอ๋ย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าพ่ออก 0,ว.,"""อกแม่เอ๋ย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าแม่ 0,ว.,ผู้ไม่รู้คุณที่ท่านผู้อื่นทำแก่ตน
อกเจ้าแม่อก 0,ว.,"คำอุทาน อย่างคำ ''พุทโธ่"""
อกตัญญู 0,น.,"คำอุทาน อย่างคำ ''พุทโธ่"""
อกพุทโถ พุทโธ 0,*อ.,ความชั่ว ความไม่ดี
อกพุทโธ 0,*อ.,ความลำเอียง ๔ อย่าง คือ ฉันทาคติ - ลำเอียงเพราะรัก โทสาคติ - ลำเอียงเพราะโกรธ ภยาคติ - ลำเอียงเพราะกลัว โมหาคติ - ลำเอียงเพราะเขลา
อกุสล 0,น.,ไม่ก้อง เรียกพยัญชนะที่มีเสียงไม่ก้องว่าพยัญชนะอโฆสะ คือ ก ข จ ฉ ฏ ฐ ต ถ ป ผ ศ ษ ส และห
อคติ 0,น.,ลักษณะศีรษะที่เถิกแต่ยังไม่ล้าน
อโฆสะ 0,ว.,อุ้ง อย่างอุ้งมือ
อง 0,ว.,อก อย่างอกไก่
อ้ง 0,น.,ลักษณะของที่เป็นอุ้งหรือแอ่ง เว้าเป็นภาชนะได้
อ้ง 1,น.,เบ้าตา
อ้ง 2,น.,ที่ซึ่งยุบลงหรือทำให้เป็นแอ่งมีขนาดใหญ่กว่าที่ควร อย่างที่นอนที่ยุบลงเป็นแอ่ง
องแก่นตา 0,น.,รูปโฉมอันงาม
อ้งขะหล้ง 0,น.,ส่วนของร่างกาย อวัยวะ ตัว รูปโฉม เช่น เสียองคะ - เสียโฉม พิการ
องค์คราน 0,น.,นิ้ว
องคะ 0,น.,รูปร่างงาม
องคุลี 0,น.,อุโมงค์
องฅาน 0,น.,ที่ซึ่งเป็นแอ่งโดยธรรมชาติ
องมง 0,น.,องอาจ กล้าหาญ ผึ่งผาย สง่างาม
อ้งหม้ง 0,น.,สายฟ้าแลบที่พ้นความคิด ไม่ควรคิด (สิ่งที่ไม่ควรคิด มี ๔ อย่าง คือ พุทธวิสัยของพระพุทธเจ้าทั้งหลาย ๑ ญาณวิสัยของผู้ได้ฌาน ๑ วิบากแห่งกรรม ๑ แนวความคิดเรื่องโลก ๑)
องอาจ 0,ว.,ต้นไทรเป็นที่พักอาศัยของคนเลี้ยงแพะ ชื่อต้นไม้ที่พระพุทธเจ้าประทับนั่งเสวย วิมุตติสุขเป็นเวลา ๗ วัน อยู่ทิศตะวันออกของต้นศรีมหาโพธิ
อจินเตยย 0,น.,อดทน อดกลั้น งดเว้น มีความทนทาน
อชปาลนิโครธ 0,น.,เสียงดังอึกทึก เสียงดังสนั่น
อด 0,ก.,หากทนลำบากจะได้รับผลดี
อ้ด ๆ 0,ว.,อดทนยิ่งนัก
อดเผ็ด กินหวาน อดสานได้ซ้า 0,สำนวน.,วอกแวก - อาการที่ส่ายไปส่ายมาไม่แน่นอน
อดมากนัก 0,ว.,อุตสาหะ บากบั่น ตั้งใจ อดทน
อดแว็ด 0,ว.,อุตสาห์ บากบั่น ตั้งใจ อดทน
อดสละ 0,ก.,ทนเอาไว้ มีความอดกลั้น
อดสะอดอดสา 0,ก.,จอแจ สับสนและมีเสียงดัง
อดเอา 0,ก.,อื้ออึง เอิกเกริก ครึกครื้น
อ้ดเอา 0,ว.,มึนตึง -ใช้ประกอบคำ หน้า หรือหน้าเคร่ง เป็นหน้าเคร่งอ้ดฮด
อ้ดเอ้า 0,ว.,อุตสาห์ บากบั่น ตั้งใจ อดทน
อ้ดฮ้ด 0,ว.,อุตสาห์ บากบั่น ตั้งใจ อดทน
อตสาห์ 0,ก.,อดีต - เวลาที่ล่วงไป แล้วผ่านไป
อตสาหะ 0,ก.,เดือนที่เพิ่มขึ้นในปีจันทรคติคือ ในปีนั้นมี ๑๓ เดือน หรือมีเดือน ๘ สองครั้ง
อตีตะ 0,น.,เรื่องราว คดี เหตุ โทษ
อธิกมาส 0,น.,วันที่เพิ่มเข้าในปีจันทรคติ คือในปีนั้น เดือน ๗ มี ๓๐ วัน
อธิกรณ์ 0,น.,อธิษฐาน - ตั้งใจมุ่งผลอย่างใดอย่างหนึ่ง ตั้งจิตปรารถนา ตั้งจิตขอร้องต่อสิ่งที่ตนถือว่าศักดิ์สิทธิ์เพื่อผลอย่างใดอย่างหนึ่ง
อธิกวาร 0,น.,อันตราย - เหตุที่ทำให้ถึงแก่ความแตกดับ
อธิกสุรทินะ 0,ก.,ไม่ใช่อัตตา ไม่ใช่ตัวตน
อนทราย 0,น.,กรรมที่เป็นบาปหนักที่สุดคือ ครุกรรม มี ๕ อย่าง คือ ๑. ฆ่าบิดา ๒. ฆ่ามารดา ๓. ฆ่าพระอรหันต์ ๔. ทำให้พระกายของพระพุทธเจ้าห้อเลือด ๕. ทำให้สงฆ์แตกแยกกัน
อนัตตา 0,ว.,เวลาในภายหน้ายังไม่มาถึง
อนันตริยกัมม์ 0,น.,ผู้ไม่มาสู่กามภพอีก - ชื่อพระอริยบุคคลชั้นที่ ๓
อนาคตะ 0,น.,ผู้ไม่มาสู่กามภพอีก - ชื่อพระอริยบุคคลชั้นที่ ๓
อนาคามิ 0,น.,ความประพฤติชั่ว ลามก
อนาคามี 0,น.,สงสาร สังเวช สลดใจ ไม่มีที่พึ่ง
อนาจาร 0,น.,ไม่ยั่งยืน ไม่เที่ยง
อนาถะ 0,ก.,ยินยอม ยอมให้ตกลง
อนิจจะ 0,ว.,ปกรณ์ที่พระอาจารย์ทั้งหลายแต่งแก้ หรืออธิบายเพิ่มเติม ฎีกา.
อนุญาต 0,ก.,เรียกคำให้พรของพระว่า คำอนุโมทนา ยินดีตาม พลอยยินดี
อนุฏีกา 0,ก.,คล้อยตาม
อนุโมทนา 0,น.,การระลึกถึง อารมณ์ที่ควรระลึกถึงเนือง ๆ มี ๑๐ อย่าง มี พุทธานุสสติคือระลึกถึงคุณของพระพุทธเจ้า เป็นต้น
