คำ,POS,ความหมาย
ค,?,พยัญชนะตัวที่ ๔ เรียกว่า คอ ควาย เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น โรค มรรค มารค เทคนิค.
คคน-,น.,ฟ้า.
คคนะ,น.,ฟ้า.
คคนัมพร,น.,ฟ้า.
คคนางค์,น.,ฟ้า.
คคนานต์,น.,ฟ้า.
คง,ก.,ยังมียังเป็นอยู่อย่างเดิม เช่น คงความเป็นไท
คง,ก.,เป็นคำบอกลักษณะคาดคะเน เช่น คงจะเป็นเช่นนั้น คงมาแล้ว.
คงกระพัน,ก.,ทนทานต่อศัสตราวุธ.
คงกระพันชาตรี,ก.,ทนทานต่อศัสตราวุธ.
คงแก่เรียน,ว.,ที่ได้ศึกษาเล่าเรียนมามาก.
คงขาด,ว.,ยังขาด.
คงคลัง,ว.,เรียกเงินที่มีอยู่ในคลังในเวลาใดเวลาหนึ่ง ว่า เงินคงคลัง.
คงคา ๑,น.,"นํ้า, แม่นํ้า, ใช้เป็นสามัญว่า แม่พระคงคา หมายถึง เจ้าแม่ประจำนํ้า, ชื่อแม่นํ้าสำคัญสายหนึ่งในประเทศอินเดีย. (ป., ส. คงฺคา ว่า ผู้ไปเร็ว, ผู้ไหลเชี่ยว)"
คงคา ๑,น.,เรียกส่วนของท่อเหล้าในโรงต้มกลั่น ว่า ท่อคงคา.
คงคา ๒,น.,ชื่อหวายชนิดหนึ่ง ต้นเหมือนต้นสามสิบ รากเหมือนรากละหุ่ง ใบเหมือนใบละหุ่ง หัวเป็นแง่ง ยางขาวเหมือนนม.
คงคาเดือด,น.,"ชื่อไม้ต้นขนาดกลางชนิด Arfeuillea arborescens Pierre ในวงศ์ Sapindaceae ขึ้นตามป่าเบญจพรรณแล้ง สูง ๘-๑๐ เมตร มีพุ่มใหญ่ ใบเป็นใบประกอบ มีใบย่อย ๓-๔ คู่ ดอกเล็ก สีม่วงดำ หอมมาก ผลมีปีกบาง ๆ ๓ ปีก เปลือกใช้ทำยาได้, ราชบุรีเรียก ตะไล, พายัพเรียก ช้างเผือก."
คงคาลัย,น.,"แม่นํ้า, นํ้า, น่านนํ้า."
คงไคยหัตถี,น.,คังไคยหัตถี.
คงตัว,ว.,ไม่ผันแปร.
คงทน,ว.,"ยั่งยืน, ถาวร, ทนทาน."
คงที่,ว.,ไม่เปลี่ยนแปลง.
คงเส้นคงวา,ว.,เสมอต้นเสมอปลาย.
คงเหลือ,ว.,ยังเหลือ.
คช-,น.,"ช้าง, ช้างพลาย."
คชกรรม,น.,"กิจการในทางปฏิบัติอันเกี่ยวกับช้าง เช่น การขี่ การฟันขอ, ประเภทตำราว่าด้วยทางปฏิบัติอันเกี่ยวกับช้าง."
คชนาม,น.,"นามราหู, อักษรชื่อที่ขึ้นต้นด้วย ย ร ล ว."
คชราช,น.,คุดทะราด.
คชลักษณ์,น.,"รูปพรรณสัณฐานของช้างต่าง ๆ ซึ่งดีและชั่ว, ประเภทตำราแสดงรูปพรรณสัณฐานของช้างต่าง ๆ ซึ่งดีและชั่ว ถ้าได้ไว้จะให้คุณหรือโทษแก่เจ้าของ."
