คำ,POS,ความหมาย
ฉ ๑,?,พยัญชนะตัวที่ ๙ เรียกว่า ฉอ ฉิ่ง เป็นอักษรสูง ใช้เป็นพยัญชนะต้น.
ฉ ๒,ว.,"หก, สำหรับประกอบหน้าศัพท์อื่น."
ฉก ๑,ก.,ฉวยหรือชิงเอาโดยเร็ว
ฉก ๑,ก.,"สับ, โขก, เช่น งูฉก."
ฉก ๒,น.,"ชื่อปาล์มชนิด Arenga westerhoutiiGriff. ในวงศ์ Palmae ขึ้นตามป่าดิบชื้นทางภาคใต้ ใบด้านล่างเป็นคราบสีเทา ไม่ใคร่หักหรือพับ จั่นเป็นพวงห้อย ออกผลเป็นทะลายใหญ่, รังกับ รังไก่ หรือ หลังกับ ก็เรียก."
ฉกจวัก,ก.,ชูหัวขึ้นแผ่พังพานทำท่าจะฉก (ใช้แก่งู).
ฉกฉวย,ก.,ยื้อแย่งเอาไปต่อหน้า.
ฉกชิง,ก.,แย่งชิงเอาไปซึ่งหน้า.
ฉกรรจ์,ว.,"ห้าวหาญ เช่น ใจฉกรรจ์, แข็งแรงสมบูรณ์ เช่น วัยฉกรรจ์ ชายฉกรรจ์, รุนแรงอาจถึงตาย เช่น แผลฉกรรจ์."
ฉกรรจ์ลำเครื่อง,น.,ทหารที่เลือกคัดและแต่งเครื่องรบพร้อมที่จะเข้ารบได้ทันที เช่น พลฉกรรจ์ลำเครื่องแสนหนึ่ง ช้างเครื่องแปดร้อย (พงศ. เลขา).
ฉกษัตริย์,น.,"กษัตริย์ ๖ พระองค์, ชื่อกัณฑ์ที่ ๑๒ ของมหาชาติ."
ฉกาจ,ว.,"เก่งกาจ, ดุร้าย, กล้าแข็ง."
ฉกาจฉกรรจ์,ว.,"เก่งกาจ, ดุร้าย, กล้าแข็ง."
ฉกามาพจร,น.,สวรรค์ ๖ ชั้น ได้แก่ ๑. จาตุมหาราชหรือจาตุมหาราชิกหรือจาตุมหาราชิกา ๒. ดาวดึงส์ ๓. ยามา ๔. ดุสิต ๕. นิมมานรดี ๖. ปรนิมมิตวสวัตดี.
ฉกามาวจร,น.,สวรรค์ ๖ ชั้น ได้แก่ ๑. จาตุมหาราชหรือจาตุมหาราชิกหรือจาตุมหาราชิกา ๒. ดาวดึงส์ ๓. ยามา ๔. ดุสิต ๕. นิมมานรดี ๖. ปรนิมมิตวสวัตดี.
ฉง,ว.,"ชื่อแมลงพวกมวนหลายชนิดในสกุล Leptocorisa วงศ์ Alydidae ลำตัวแคบ สีน้ำตาล ยาวประมาณ ๑.๕ เซนติเมตร ดูดกินน้ำเลี้ยงเมล็ดอ่อนของข้าวทำให้เมล็ดลีบ ที่พบบ่อยได้แก่ ชนิด L. oratorius (Fabricius) และชนิด L. acuta (Thunberg), กระฉง หรือ ฉง ก็เรียก."
ฉงน,ก.,"สงสัย, ไม่แน่ใจ, แคลงใจ."
ฉงาย ๑,ก.,สงสัย.
ฉงาย ๒,ว.,"ไกล, ห่าง."
ฉทวาร,น.,ทวารทั้ง ๖ คือ ตา หู จมูก ลิ้น กาย และใจ.
ฉทานศาลา,น.,"ศาลาเป็นที่ทำทาน ๖ แห่ง, บางทีเขียนว่า ศาลาฉทาน."
ฉทึง,น.,"แม่นํ้า เช่น ฉทึงธารคีรีเหวผา (ดุษฎีสังเวย), ใช้ว่า จทึง ชทึง ชรทึง สทิง สทึง หรือ สรทึง ก็มี."
ฉนวน ๑,น.,ทางเดินซึ่งมีเครื่องกำบัง ๒ ข้าง สำหรับพระมหากษัตริย์หรือเจ้านายฝ่ายในเสด็จขึ้นลงหรือเข้าออก.
ฉนวน ๑,ก.,"กำบัง, คั่น, กั้น."
ฉนวน ๒,น.,"วัตถุที่ไฟฟ้าหรือความร้อนผ่านไม่ได้สะดวก, วัตถุที่ไม่เป็นตัวนำไฟฟ้าหรือความร้อน."
ฉนวน ๓,น.,ดินแดนที่มีทางออกทะเลหรือที่ทำให้ดินแดนถูกแยกออกเป็น ๒ ฟาก.
ฉนวน ๔,น.,"ชื่อไม้ต้นขนาดกลางชนิด Dalbergia nigrescens Kurz ในวงศ์ Leguminosae เนื้อไม้อ่อน ไม่ทนทาน, สนวน หรือ ชนวน ก็เรียก."
