คำ,POS,ความหมาย
ช ๑,?,พยัญชนะตัวที่ ๑๐ เรียกว่า ชอ ช้าง เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ราช คช กริช แซนด์วิช.
ช ๒,*ว.,"ในภาษาบาลีและสันสกฤต ถ้าใช้ประกอบท้ายคำบางคำ แปลว่า เกิด เช่น บงกช ว่า เกิดในเปือกตม หมายถึง บัว, วาริช ว่า เกิดในน้ำ หมายถึง ปลา, ทวิช ว่า เกิด ๒ ครั้ง หมายถึง พราหมณ์, นก."
ชก,ก.,กำหมัดแล้วพุ่งตรงไปยังที่หมาย เช่น ชกหน้า.
ชกมวย ๑,ก.,ใช้หมัดต่อยกันตามกติกา.
ชกมวย ๑,น.,ชื่อกีฬาประเภทหนึ่ง ที่คู่ชกชกกันตามกติกา.
ชกมวย ๒,น.,ชื่อเพลงไทย อัตรา ๒ ชั้น หน้าทับปรบไก่.
ชกลม,ก.,กำหมัดแล้วพุ่งออกไป เป็นการออกกำลังกายอย่างหนึ่ง.
ชกา,น.,นกสาลิกา.
ชค-,น.,แผ่นดิน เช่น ชคสัตว์ ว่า สัตว์ที่อาศัยแผ่นดิน.
ชคดี,น.,แผ่นดิน เช่น แลเนืองนองด้วยมนุษยชาติ เดียรดาษชคดี (ม. คำหลวง วนปเวสน์).
ชคัตตรัย,น.,โลก ๓ เช่น ชคัตตรยาพดง ว่า ผู้เป็นยอดของโลก ๓ (ม. คำหลวง วนปเวสน์).
ชง,ก.,"เทนํ้าร้อนลงบนใบชาหรือสมุนไพรบางชนิดเป็นต้น เพื่อสกัดสาร กลิ่น หรือรสที่ต้องการ เช่น ชงชาจีน ชงชาดอกคำฝอย, ใช้น้ำร้อนทำให้ละลาย เช่น ชงนม, เทน้ำร้อนจากกาลงในภาชนะอื่น ในคำว่า ชงน้ำร้อน เช่น ชงน้ำร้อนใส่กระติก."
ชงคา,น.,"คำสั่ง, คำพูด, เช่น ชุลีกรรับชงคาครรไล (นิ. เกาะแก้วกัลกตา)."
ชงโค,น.,ชื่อไม้ต้นขนาดกลางชนิด Bauhinia purpurea L. ในวงศ์ Leguminosae ดอกสีชมพูอมแดงหรือม่วงแดง.
ชงโคดอกเหลือง,น.,ดู โยทะกา ๒.
ชงฆ์,น.,"แข้ง, ราชาศัพท์ว่า พระชงฆ์."
ชงฆ-,น.,"แข้ง, ราชาศัพท์ว่า พระชงฆ์."
ชงฆา,น.,"แข้ง, ราชาศัพท์ว่า พระชงฆ์."
ชงโลง ๑,น.,ดู โชงโลง.
ชงโลง ๒,น.,"ชื่อปลาน้ำจืดชนิด Hemibagrus nemurus (Valenciennes) ในวงศ์ Bagridae ไม่มีเกล็ด หัวแบน หนวดยาวถึงครีบก้น ข้างลำตัวสีเหลือง ด้านหลังสีน้ำตาลดำ มีชุกชุมทั่วไป แม้ในเขตน้ำกร่อยใกล้ปากแม่น้ำ ขนาดยาวได้ถึง ๖๕ เซนติเมตร, กดขาว หรือ ชงโลง ก็เรียก."
ชฎา,น.,เครื่องสวมศีรษะ รูปคล้ายฝาชี มียอดยาวเรียวแหลม.
ชฎากลีบ,น.,เครื่องราชศิราภรณ์อย่างหนึ่ง มีวงขอบเป็นอย่างมาลัยรักร้อย ตอนบนเป็นจอมรูปกรวย มีมาลัยรักร้อยคั่นอีกชั้นหนึ่ง ยอดสูงเรียว ปลายมีลักษณะเป็นกลีบ ๕ กลีบ เรียกว่า พระชฎากลีบ.
ชฎาเดินหน,น.,เครื่องราชศิราภรณ์อย่างหนึ่ง ลักษณะคล้ายพระชฎากลีบ แต่ปลายไม่มีกลีบและปัดไปทางด้านหลังเล็กน้อย ปักพระยี่ก่าข้างซ้าย เรียกว่า พระชฎาเดินหน.
ชฎาธาร,น.,ผู้ทรงไว้ซึ่งชฎา.
ชฎาพอก,น.,ลอมพอกที่ประดับมาลัยรักร้อย และมีเกี้ยวรัดรอบส่วนที่ต่อขึ้นไปเป็นปลายชฎา.
ชฎามหากฐิน,น.,เครื่องราช-ศิราภรณ์อย่างหนึ่ง ลักษณะเป็นจอมรวบขึ้นไปตั้งแต่มาลัยรักร้อย ปลายยาวเรียวปัดไปทางด้านหลังเล็กน้อย ปักพระยี่ก่าข้างซ้าย เรียกว่า พระชฎามหากฐิน.
ชฎามังษี,น.,"โกฐชฎามังษี. (ดู โกฐชฎามังษี, โกฐชฎามังสี ที่ โกฐ)."
ชฎามังสี,น.,"โกฐชฎามังษี. (ดู โกฐชฎามังษี, โกฐชฎามังสี ที่ โกฐ)."
ชฎาห้ายอด,น.,เครื่องราชศิราภรณ์อย่างหนึ่ง ลักษณะคล้ายพระชฎากลีบ ปลายทำเป็นอย่างกระหนกหางไหล ๕ เส้นสะบัดไปทางด้านหลัง มีพระยี่ก่า ใบสน หรือขนนกการเวก เป็นเครื่องประดับประกอบพระอิสริยยศ เรียกว่า พระชฎาห้ายอด.
ชฎิล,น.,"ผู้มีผมมุ่นเป็นชฎา, นักพรตพวกหนึ่งที่เราเรียกว่า ฤษี."
ชด,ก.,ทำให้ชุ่มชื่น
ชด,ก.,ใช้แทนที่เสียไป.
ชด,ว.,"อ่อน, ช้อย, เช่น ขาอ่อนชด (ปรัดเล), ชดกรกระลึง กุมแสง (ลอ), งอนอย่างงอนรถ เช่น เรือนแปรกแอกงอนอ่อนชด (อุณรุท)."
ชดช้อย,ว.,"อ่อนช้อย เช่น กิริยาชดช้อย, มีลักษณะกิริยาท่าทางงดงาม เช่น คนชดช้อย, ช้อยชด หรือ กระชดกระช้อย ก็ว่า."
ชดเชย,ก.,"ใช้แทนสิ่งที่เสียไป, เพิ่มเติม."
ชดใช้,ก.,"ใช้ค่าใช้จ่ายที่ทดรองจ่ายไปก่อนแล้ว, ให้ทดแทนสิ่งที่ใช้หรือเสียไป."
ชทึง,น.,"แม่นํ้า เช่น ชลชทึงบึงบาง (ประกาศพระราชพิธี), ใช้ว่า จทึง ฉทึง ชรทึง สทิง สทึง หรือ สรทึง ก็มี."
ชน-,น.,คน (มักใช้ในภาษาหนังสือ).
ชน ๑,ก.,ชิดจนติด เช่น ตั้งตู้ชนฝา
ชน ๑,ก.,บรรจบ เช่น ชนขวบ
ชน ๑,ก.,"กระทบ, กระแทก, ปะทะ, เช่น รถยนต์ชนต้นไม้"
ชน ๑,ก.,ให้ต่อสู้กัน เช่น ชนโค ชนไก่.
ชน ๑,น.,เรียกไก่อูชนิดหนึ่งที่เลี้ยงไว้ชนกัน ว่า ไก่ชน.
ชน ๒,น.,คน (มักใช้ในภาษาหนังสือ).
ชนก,น.,"ชายผู้ให้กำเนิด, พ่อ, คู่กับ ชนนี."
ชนก-,น.,"ชายผู้ให้กำเนิด, พ่อ, คู่กับ ชนนี."
ชนกกรรม,น.,กรรมอันนำให้เกิดหรือกรรมอันเป็นต้นเค้าทั้งข้างดีหรือข้างชั่ว เช่น กรรมอันทำให้เกิดเป็นคนชั้นสูง เป็นชนกกรรมฝ่ายกุศล (อรรถศาสน์).
ชนกลุ่มน้อย,น.,ชนต่างเผ่าหรือต่างเชื้อชาติที่อยู่อาศัยรวมกันกับชนเผ่าอื่นหรือเชื้อชาติอื่นที่มีจำนวนมากกว่า.
ชนช้าง,ก.,ไสช้างเข้าปะทะกัน.
ชนนี,น.,"หญิงผู้ให้กำเนิด, แม่, คู่กับ ชนก."
ชนบท,น.,"บ้านนอก, เขตแดนที่พ้นจากเมืองหลวงออกไป."
ชนม์,น.,การเกิด.
ชนม-,น.,การเกิด.
ชนม์ชีพ,น.,"ชีวิต, ใช้ว่า พระชนม์ชีพ."
ชนมพรรษา,น.,"อายุที่นับเต็มปี, ใช้ว่า พระชนมพรรษา."
ชนมาพิธี,น.,"อายุ, กำหนดอายุ, เช่น ครั้นว่าจะสิ้นชนมาพิธีแล้วก็เสด็จเข้าสู่นฤพานแล (ไตรภูมิ), ก็อยู่จนสิ้นชนมายุพิธี ในธรณีดลน้นน (ม. คำหลวง ทศพร)."
ชนมายุพิธี,น.,"อายุ, กำหนดอายุ, เช่น ครั้นว่าจะสิ้นชนมาพิธีแล้วก็เสด็จเข้าสู่นฤพานแล (ไตรภูมิ), ก็อยู่จนสิ้นชนมายุพิธี ในธรณีดลน้นน (ม. คำหลวง ทศพร)."
ชนวน ๑,น.,ชื่อหินชนิดหนึ่งเป็นแผ่นบาง ๆ ซ้อนติดกัน เนื้อแน่นและละเอียด มีสีต่าง ๆ กัน ตั้งแต่สีเทาไปจนถึงสีเทาแก่ สีดำ สีน้ำเงิน ที่มีสีแดง สีเขียว สีม่วง ก็มี
ชนวน ๑,น.,เรียกแผ่นหินชนวนหน้าเรียบรูปสี่เหลี่ยมผืนผ้า เข้ากรอบไม้ ใช้เขียนด้วยดินสอหินซึ่งทำด้วยหินชนวนตัดและฝนเป็นแท่ง สำหรับฝึกเขียนหนังสือในสมัยก่อน ว่า กระดานชนวน.
ชนวน ๒,น.,"ดินหูที่ใช้จุดให้ไฟลุกแล่นเข้าไปติดดินดำ, ถ้ามีกระดาษห่อดินปืนม้วนเป็นเส้น เรียกว่า สายชนวน"
ชนวน ๒,น.,เรียกเทียนที่จุดไว้เพื่อใช้จุดต่อ ว่า เทียนชนวน
ชนวน ๒,น.,โดยปริยายหมายความว่า ต้นเหตุให้เกิดเรื่องอื่นขึ้นต่อไป เช่น ชนวนสงคราม.
ชนวน ๓,น.,"ชื่อไม้ต้นขนาดกลางชนิด Dalbergia nigrescens Kurz ในวงศ์ Leguminosae เนื้อไม้อ่อน ไม่ทนทาน, สนวน หรือ ชนวน ก็เรียก."
ชนหมู่น้อย,น.,ชนต่างเผ่าหรือต่างเชื้อชาติที่อยู่อาศัยรวมกันกับชนเผ่าอื่นหรือเชื้อชาติอื่นที่มีจำนวนมากกว่า.
ชนหิน,น.,ชื่อนกเงือกขนาดใหญ่ชนิด Rhinoplax vigil (Forster) ในวงศ์ Bucerotidae ปากใหญ่สีเหลือง บนส่วนท้ายของขากรรไกรบนมีโหนกแข็งสีแดง ส่วนด้านหน้าตัน คอสีน้ำตาลแดง ลำตัวและปีกสีดำ ขอบปีกสีขาว หางสีขาวมีคาดสีดำ ขนหางตอนกลางยื่นยาวเป็นคู่ออกไปมีสีขาวตอนปลายคาดดำ พบทางภาคใต้.
ชนะ ๑,ก.,ทำให้อีกฝ่ายหนึ่งพ่ายแพ้.
ชนะ ๒,น.,ชื่อกลองสองหน้า ลักษณะคล้ายกลองแขกหรือกลองมลายู ตีด้วยไม้ปลายงอ เป็นเครื่องประโคมของหลวง มีกลองชนะทอง เงิน เขียว หรือแดง ใช้ตีตามลำดับอิสริยยศและบรรดาศักดิ์.
ชนัก,น.,"เครื่องแทงสัตว์ชนิดหนึ่ง ทำด้วยเหล็กปลายเป็นเงี่ยงข้างเดียว มีด้ามยาว มีเชือกพันด้ามไว้ใช้ชักกลับ ใช้แทงจระเข้เป็นต้น, ราชาศัพท์ว่า พระแสงชนัก หรือ ชนักต้น"
ชนัก,น.,เครื่องผูกคอช้างทำด้วยเชือกเป็นปมหรือห่วงห้อยพาดลงมา เพื่อให้คนที่ขี่คอใช้หัวแม่เท้าคีบกันตก.
ชนักต้น,น.,ดู ชนัก.
ชนักติดหลัง,น.,ความชั่วหรือความผิดที่ยังติดตัวอยู่.
ชนา,น.,ชน เช่น เอาลวดถักคั่นกันชนา (นิ. เกาะแก้วกัลกตา).
ชนาง,น.,เครื่องมือใช้ช้อนจับปลาในที่น้ำตื้น สานด้วยไม้ไผ่เป็นตาโปร่ง ๆ ปากผายกว้าง ก้นสอบแหลม.
ชนิด,น.,อย่าง เช่น มี ๒ ชนิด คนชนิดนี้.
ชนินทร์,น.,ผู้เป็นใหญ่ในหมู่ชน.
ชเนตตี,น.,แม่ เช่น ชเนตตีสมะนามกร (ฉันท์วรรณพฤติ).
ชบา,น.,ชื่อไม้พุ่มชนิด Hibiscus rosasinensisL. ในวงศ์ Malvaceae ดอกมีสีต่าง ๆ พันธุ์ที่สีแดงดอกและยอดใช้ทำยาได้.
ชบาแคระ,น.,"ชื่อไม้พุ่ม ๒ ชนิด ในสกุล Malvaviscus วงศ์ Malvaceae ลักษณะคล้ายดอกชบาแต่ดอกเล็กกว่าและไม่บาน ชนิด M. arboreus Cav. ดอกตั้ง, ชบาแคระ ก็เรียก, ชนิด M. penduliflorusDC . ดอกห้อยลง, ชบาร่ม ก็เรียก."
ชบาร่ม,น.,"ชื่อไม้พุ่ม ๒ ชนิด ในสกุล Malvaviscus วงศ์ Malvaceae ลักษณะคล้ายดอกชบาแต่ดอกเล็กกว่าและไม่บาน ชนิด M. arboreus Cav. ดอกตั้ง, ชบาแคระ ก็เรียก, ชนิด M. penduliflorusDC . ดอกห้อยลง, ชบาร่ม ก็เรียก."
ชบาหนู,น.,"ชื่อไม้พุ่ม ๒ ชนิด ในสกุล Malvaviscus วงศ์ Malvaceae ลักษณะคล้ายดอกชบาแต่ดอกเล็กกว่าและไม่บาน ชนิด M. arboreus Cav. ดอกตั้ง, ชบาแคระ ก็เรียก, ชนิด M. penduliflorusDC . ดอกห้อยลง, ชบาร่ม ก็เรียก."
ชปโยค,น.,มนตร์กระซิบ เช่น สมมุขบ่ายบูชา ชปโยค (เฉลิมพระเกียรติพระนารายณ์).
ชม,ก.,"สรรเสริญ, ยกย่อง"
ชม,ก.,"ดู เช่น เชิญชมของในร้าน, ดูเพื่อให้เกิดความเพลิดเพลินใจหรือชื่นใจ เช่น ชมสวน ชมดอกไม้."
ชมชัว,ก.,"ชื่นชม, รื่นรมย์, เช่น สองฟากนํ้าพลชมชัว (สมุทรโฆษ), ชัวชม ก็ว่า."
ชมชาญ,ก.,"เหิม, รื่นเริง, เช่น เสียงโห่เอาชัยชมชาญ (สมุทรโฆษ)."
ชมเชย,ก.,"ยกย่อง, สรรเสริญ"
ชมเชย,ก.,แสดงกิริยาเสน่หา เช่น จักปราไสสอง ทรามรัก เล็งพระภักตร์แล้วชมเชย (ม. คำหลวง หิมพานต์).
ชมไช,ก.,"ชื่นชมยินดี, รื่นเริง, เช่น พนคณนกหคชมไช (ม. คำหลวง มหาพน)."
ชมดชม้อย,ก.,ช้อนตาชำเลืองด้วยทีท่าชดช้อย.
