คำ,POS,ความหมาย
ซ,?,พยัญชนะตัวที่ ๑๑ เรียกว่า ซอ โซ่ เป็นอักษรต่ำ ใช้เป็นพยัญชนะต้นและเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ก๊าซ.
ซ่ก,ก.,เปียกชุ่มจนถึงหยด เช่น เหงื่อซ่ก บิดผ้าน้ำยังซ่กอยู่เลย เอามาถูพื้นได้อย่างไร.
ซ่ก,ว.,มาก เช่น หิวซ่ก.
ซ่ง,น.,"โซ่ง, ซงดำ หรือ ไทดำ ก็เรียก. (ดู โซ่ง)."
ซงดำ,น.,"โซ่ง, ซ่ง หรือ ไทดำ ก็เรียก. (ดู โซ่ง)."
ซ่งฮื้อ,น.,ชื่อปลานํ้าจืดชนิด Hypophthalmichthys nobilis (Richardson) ในวงศ์ Cyprinidae ปากเล็กอยู่ปลายสุดของหัว ไม่มีหนวด หัวโต เกล็ดเล็ก ลำตัวสีเงิน ยาวป้อม แบนข้างเล็กน้อย ท้องกลม หากินอยู่ตามพื้นท้องน้ำ มีถิ่นเดิมอยู่ในประเทศจีน นำเข้ามาเลี้ยงเป็นอาหาร ขนาดยาวได้ถึง ๒๐ เซนติเมตร.
ซง้า,น.,ปีมะเมีย.
ซด,ก.,อาการที่กินนํ้าร้อน นํ้าชา หรือนํ้าแกงเป็นต้น อาจมีเสียงดัง.
ซ่น,น.,"ส้น, ส่วนท้ายของเท้า, ส่วนท้ายของบางสิ่งบางอย่าง เช่น ซ่นปืน."
ซ้น,ก.,อาการที่กระดูกข้อมือข้อเท้าเป็นต้นถูกกระแทกโดยแรงทำให้เคลื่อนเลยที่เดิมเข้าไป.
ซน ๑,ก.,อาการที่อยู่ไม่สุขจับโน่นฉวยนี่หรือเล่นไม่เป็นเรื่องเป็นราวทำให้เดือดร้อนเสียหาย.
ซน ๒,ก.,รุนฟืนที่ไหม้ไฟบ้างแล้วซุกเข้าไปในกองไฟเรียกว่า ซนฟืน หรือ ซนไฟ.
ซบ,ก.,ก้มหน้าหรือหัวแนบลงไป เช่น ซบหน้าลงกับหมอน นอนซบหัวที่ตักแม่.
ซบเซา,ว.,"หงอยก๋อย, เงียบเหงา, ไม่เบิกบาน"
ซบเซา,ว.,ไม่คึกคักเช่นเดิม เช่น ตลาดการค้าเดี๋ยวนี้ซบเซาไป.
ซม,ว.,อาการอย่างเป็นไข้ในระยะรุนแรงถึงกับนอนจนไม่อยากลืมตา เรียกว่า นอนซม.
ซมซาน,ก.,"ไปหาที่พึ่งหรือที่พักพิง เพราะความบอบช้ำ หมดแรงหรือหมดหนทาง เช่น ในที่สุดเขาก็ซมซานกลับบ้านเกิด, ซาน หรือ ซานซม ก็ว่า."
ซมซาน,ว.,"งมงาย, ไม่รู้อะไร, เช่น โง่ซมซาน, ซานซม ก็ว่า."
ซรอกซรัง,ก.,"ซอกซอน, บางทีเขียนเป็น ซรอกซรงง ก็มี เช่น อย่าทนนเห็นแม่ออก ชีสู่ซรอกซรงงไป ดีกว่าแล (ม. คำหลวง กุมาร), ซอกซัง ก็ว่า."
ซระ,ก.,"ชะ, ล้าง, เช่น ไชยสินธุสมุทรแขวงขอบ เรียบรัตนเรียงรอบ คือฝั่งสมุทรเซราะซระ (อนิรุทธ์)."
ซวด,ก.,"เกินขนาด, นูนขึ้นสูงขึ้น, เช่น อันว่าสวภาพท้องบมิซวดเสมออก (ม. คำหลวง ทศพร)."
ซวดเซ,ก.,"เอนไป, เอียงไป, จวนล้ม, เสียหลัก, (มักใช้แก่ฐานะความเป็นอยู่) เช่น ฐานะซวดเซ."
ซวดทรง,น.,"ทรวดทรง, รูปร่าง, สัณฐาน."
ซวน,ก.,"เอียงไปข้างใดข้างหนึ่ง เช่น เดินซวน, เอนไปข้างใดข้างหนึ่ง เช่น เสาซวน."
ซวนเซ,ก.,เสียหลักเซไปข้างใดข้างหนึ่ง.
ซวย,ว.,"เคราะห์ร้าย, อับโชค."
ซอ ๑,น.,ลำไม้ไผ่ช่วงโคนที่เหลืออยู่ที่กอ.
ซอ ๒,น.,"ชื่อเครื่องดนตรีประเภทเครื่องสี ใช้คันชักสีกับสายซอที่ขึงตึงเพื่อให้เกิดเสียง มีหลายชนิด เช่น ซอสามสาย ซออู้ ซอด้วง, ลักษณนามว่า คัน."
ซอ ๓,ก.,"ร้องเพลง, ขับร้อง, เช่น ขับซอยอราชเที้ยร ทุกเมือง (ลอ)."
ซอก,น.,"ช่องทางหรือช่องแคบ ๆ ระหว่าง ๒ ข้าง เช่น ซอกเขา ซอกประตู ซอกฟัน ซอกคอ, ช่องแคบ ๆ ที่ทางด้านหนึ่งตัน เช่น ซอกตู้ ซอกลิ้นชัก."
ซอก,ก.,"ซุก, ซุกแทรกเข้าไป, เช่น ซอกตัวเข้าไปในฝูงชน, ซ่อน."
ซ่อก ๆ,ก.,เที่ยวไปที่โน่นที่นี่ตลอดเวลาไม่อยู่นิ่ง.
ซอกซอน,ก.,"ไปหลายแห่งหลายที่ เช่น ซอกซอนไปตามหาญาติที่ต่างจังหวัด, ชอนไชไป, เช่น รากไม้ซอกซอนไป."
ซอกซัง,ก.,"ซอกซอน, ซรอกซรัง ก็ว่า."
ซอกแซก,ก.,"ไปทั่วทุกแห่งทุกที่ที่ต้องการจะไปหรือที่คนอื่นไม่คิดจะไปด้วยความอยากรู้อยากเห็น ในความว่า ซอกแซกไป, เสาะค้นขึ้นมาถามในเรื่องที่ต้องการจะรู้หรือเรื่องที่คนอื่นไม่คิดจะถามด้วยความอยากรู้อยากเห็น ในความว่า ซอกแซกถาม."
ซอกแซก,ว.,ทั่วทุกแห่งทุกที่ เช่น ถามซอกแซก กินซอกแซก
ซอกแซก,ว.,เป็นซอกเป็นตรอกมาก เช่น ทางซอกแซก.
ซอง,น.,ซอกหรือช่องแคบ เช่น จอดรถเข้าซอง
ซอง,น.,ซอกหรือช่องแคบที่ทำขึ้นสำหรับเอาช้างม้าวัวควายเข้าไปไว้ในที่บังคับ เช่น เอาม้าแข่งเข้าประจำซอง
ซอง,น.,"เครื่องใช้ที่มีลักษณะแคบสำหรับสอดใส่สิ่งของ เช่น ซองธูป ซองพลู ซองจดหมาย ซองบุหรี่ ซองปืน, ลักษณนามเรียกว่า ซอง เช่น ธูปซองหนึ่ง บุหรี่ ๒ ซอง"
ซอง,น.,หน่วยของปริมาณของแท่งน้ำแข็งก้อนใหญ่ แบ่งออกได้เป็น ๔ กั๊ก
ซอง,น.,เครื่องจับปลาชนิดหนึ่ง รูปร่างคล้ายกระบอกแต่มีปากบานกว้าง มีงาแซงใส่ ก้นมีฝาทำด้วยไม้ไผ่เจาะรูปิด
ซอง,น.,เรียกไหชนิดหนึ่ง รูปร่างสูง ๆ ปากเล็กแคบ สำหรับใส่หัวผักกาดเค็มเป็นต้น.
ซ้อง,ก.,"ร้องพร้อม ๆ กัน, ร้องสรรเสริญ, เช่น ซ้องสาธุการ"
ซ้อง,ก.,"ระดมกัน, ทำพร้อม ๆ กัน."
ซ่อง ๑,น.,ที่มั่วสุมชุมนุมกันลับ ๆ (มักใช้ในทางไม่ดี) เช่น ซ่องการพนัน ซ่องโจร ซ่องโสเภณี.
ซ่อง ๑,ก.,ประชุม.
ซ่อง ๒,ว.,"เงื่อง, เซื่อง, เช่น นกยางเดินซ่อง ๆ."
ซ่อง ๓,ก.,"ร้องพร้อม ๆ กัน, ร้องสรรเสริญ."
ซ่อง ๆ,ว.,"เงื่อง, เซื่อง, เช่น นกยางเดินซ่อง ๆ."
ซองขาว,น.,จดหมายแจ้งให้ออกจากงาน.
ซ่องโจร,น.,เป็นฐานความผิดอาญา ที่ผู้กระทำ สมคบกันตั้งแต่ ๕ คนขึ้นไป เพื่อกระทำความผิดอย่างใดอย่างหนึ่ง ตามที่ประมวลกฎหมายอาญาบัญญัติไว้ เช่น ความผิดเกี่ยวกับการปกครอง ความผิดเกี่ยวกับชีวิตและร่างกาย และความผิดนั้นมีกำหนดโทษจำคุกอย่างสูงตั้งแต่ ๑ ปีขึ้นไป.
ซ่องแซ่ง,ว.,"กระย่องกระแย่ง เช่น เขาไม่มีแรง เดินซ่องแซ่ง, กระซ่องกระแซ่ง ก็ว่า."
ซองพลู,ก.,ดู จอบ ๓.
ซองมือ,น.,มือที่รวมนิ้วมือให้ห่อเข้า.
ซองแมว,ก.,"ชื่อไม้พุ่มเตี้ยชนิด Gmelina philippensisCham. ในวงศ์ Labiatae ดอกสีเหลืองออกเป็นช่อห้อย มีใบประดับสีขาวอมเขียวตลอดช่อ ราก ใบ และผลใช้ทำยา ผลเชื่อมกินได้, ช้องแมว ซองแมว หรือ ข้าวจี่ ก็เรียก."
ซ้องแมว,น.,"ชื่อไม้พุ่มเตี้ยชนิด Gmelina philippensisCham. ในวงศ์ Labiatae ดอกสีเหลืองออกเป็นช่อห้อย มีใบประดับสีขาวอมเขียวตลอดช่อ ราก ใบ และผลใช้ทำยา ผลเชื่อมกินได้, ช้องแมว ซองแมว หรือ ข้าวจี่ ก็เรียก."
ซ่องสุม,ก.,รวบรวมผู้คนอย่างลับ ๆ เพื่อกระทำการใหญ่อย่างใดอย่างหนึ่ง.
ซ่องเสพ,ก.,คบหากัน เช่น อย่าซ่องเสพคนพาล
ซ่องเสพ,ก.,ร่วมประเวณี.
ซ้องหัตถ์,ก.,ประนมมือ.
ซองหาง,น.,"ซอกโคนหาง, เครื่องคล้องโคนหางช้างม้า."
ซอแซ,ว.,"เสียงจอแจ, ซ้อแซ้."
ซ้อแซ้,ว.,"ซอแซ, เสียงจอแจ, เช่น ผินหน้าปรับทุกข์กันซ้อแซ้ (สังข์ทอง)."
ซอด้วง,น.,ชื่อซอชนิดหนึ่ง กระบอกมักทำด้วยไม้เนื้อแข็ง ลักษณะคล้ายด้วงดักสัตว์ ขึงหนังด้านหนึ่งด้วยหนังสัตว์ มีหย่องและสาย ๒ สายพาดข้าม ปลายบนผูกติดกับลูกบิด คันชักส่วนที่เป็นหางม้าอยู่ระหว่างสายทั้ง ๒ สาย ขนาดค่อนข้างเล็กเพื่อให้มีเสียงสูงเวลาสี บรรเลงนำในวงเครื่องสาย วงมโหรี หรือใช้เดี่ยวเพลงก็ได้.
ซอน,ก.,สอดมือเข้าไปใต้สิ่งใดสิ่งหนึ่งเพื่อควานหาของ เช่น เอามือซอนหาไฟฉายใต้ผ้าห่ม ซอนหาเศษสตางค์ในกระเป๋ากางเกง.
ซ่อน,ก.,"ปิดมิดไม่ให้เห็น, หลบไว้ในที่ลับตา."
ซ้อน,ก.,"ทับกันขึ้นไป เช่น เอาจานซ้อนกัน เอาหนังสือซ้อนสมุด, เรียงเหลื่อมกัน เช่น ฟันซ้อน มะลิซ้อน, อาการที่นั่งพาหนะเรียงไปข้างหน้าหรือต่อท้าย เช่น นั่งซ้อนหลังวัวหรือควาย นั่งซ้อนหน้าจักรยาน นั่งซ้อนท้ายมอเตอร์ไซค์"
ซ้อน,ก.,ซํ้า ๆ กัน เช่น ถูกชก ๒ ทีซ้อน เสียงปืนดัง ๓ นัดซ้อน
ซ้อน,ก.,ว่ากันคนละทีในเชิงแข่งขัน เช่น เทศน์ซ้อน.
ซ้อน,ว.,มีหรือทำอย่างเดียวกันกับที่มีหรือทำอยู่แล้ว เช่น เขามีประชุมซ้อน
ซ้อน,ว.,ลักษณะที่จอดรถหรือเรือเรียงขนานกับอีกคันหนึ่งหรือลำหนึ่งที่จอดอยู่แล้ว เรียกว่า จอดรถหรือเรือซ้อนกัน.
ซ้อนกล,ก.,ใช้เล่ห์เหลี่ยมหรือกลอุบายที่เหนือกว่าแก้ลำฝ่ายตรงกันข้าม.
ซ่อนกลิ่น,น.,"ชื่อไม้ล้มลุกชนิด Polianthes tuberosaL. ในวงศ์ Agavaceae ต้นเป็นกอ ดอกสีขาวเป็นช่อตั้งขึ้น กลิ่นหอม, (โบ) ซ่อนชู้."
ซ่อนคม,ก.,"ซ่อนความฉลาดไว้, ไม่อวดตัว."
ซ้อนคัน,ก.,จอดรถยนต์ขนาบข้างรถยนต์คันอื่น เป็นการกีดขวางทางจราจร เช่น ห้ามจอดรถซ้อนคัน.
ซ่อนเงื่อน,ก.,"ปิดบังเงื่อนไว้ไม่ให้เห็น, ปิดบังข้อสำคัญไว้, ปิดบังอย่างมีเงื่อนงำ, เช่น นวนิยายฆาตกรรมเรื่องนี้ ผู้เขียนซ่อนเงื่อนไว้ตอนต้นเรื่อง."
ซ่อนชู้,น.,ดู ซ่อนกลิ่น.
ซ้อนซับ,ก.,ทับกันหลายชั้น เช่น ของกองซ้อนซับสูงขนาดนี้ รื้อไม่ไหวหรอก.
ซ่อนทราย,น.,"ชื่อปลาน้ำจืดทุกชนิดในสกุล Acantopsisวงศ์ cobitidae หัวยาวปลายแหลม ลำตัวยาวเรียว ลำตัวสีน้ำตาลอ่อนหรือเทา ข้างตัวมักมีจุดสีดำเรียงในแนวยาวหรือประอยู่ด้านหลัง บ้างมีแถบสีดำคล้ำตามแนวยาว พบอาศัยอยู่เป็นฝูงตามลำน้ำใหญ่ที่มีน้ำไหลหรือพื้นท้องน้ำเป็นกรวดทรายซึ่งปลามุดซ่อนตัว, ซ่อนทราย กล้วย ทราย หรือ หมู ก็เรียก."
ซ่อนทราย,น.,"ชื่อปลาทะเลในสกุล Sillagoวงศ์ Sillaginidae หัวหลิมแหลม ลำตัวยาว แบนข้างเล็กน้อย ครีบหลังมี ๒ ตอน ครีบหางเป็นแฉกตื้นหรือเว้าเพียงเล็กน้อยแล้วแต่ชนิด ลำตัวสีนํ้าตาลอ่อน หลังมีสีเข้มกว่าหรือสีเทา บางชนิดมีแต้มสีน้ำตาลเข้มกว่าเรียงเป็นแถวอยู่ข้างลำตัวหรือพาดอยู่บนสันหลัง บ้างมีจุดบนครีบหลัง อยู่เป็นฝูง ไซ้ทรายหากุ้ง ปู หอย หรือหนอนขนาดเล็กอยู่ตามเขตน้ำตื้นบริเวณชายฝั่ง ขนาดยาวได้ถึง ๓๕ เซนติเมตร, เห็ดโคน หรือ บุรุด ก็เรียก."
ซ่อนรูป,ว.,"มีลักษณะให้เห็นขนาดเล็กกว่าตัวจริง, ใหญ่ดูเป็นเล็ก, กินรูป ก็ว่า."
ซ่อนเร้น,ก.,แอบหรือซ่อนอยู่ในที่ลับตา.
ซ่อนหา,น.,การเล่นอย่างหนึ่งของเด็ก คนหนึ่งหา คนอื่นไปซ่อน คนที่ถูกพบคนแรกจะต้องเปลี่ยนมาเป็นฝ่ายหาต่อไป.
ซ่อนแอบ,น.,การเล่นอย่างหนึ่งของเด็ก คนหนึ่งหา คนอื่นไปซ่อน คนที่ถูกพบคนแรกจะต้องเปลี่ยนมาเป็นฝ่ายหาต่อไป.
ซอม,น.,เรียง เช่น พลูเก้าซอม (สุบิน).
ซ่อม ๑,ก.,ทำสิ่งที่ชำรุดให้คืนดี
ซ่อม ๑,ก.,สอบเพื่อให้ผ่านวิชาที่เคยสอบตก เรียกว่า สอบซ่อม
ซ่อม ๑,ก.,แทง.
ซ้อม ๑,ก.,ทำข้าวกล้องให้เป็นข้าวสาร โดยวิธีใส่ครกตำ เรียกว่า ซ้อมข้าว
ซ้อม ๑,ก.,ทำร้ายร่างกาย เช่น เขาถูกอันธพาลซ้อมจนบาดเจ็บ.
ซ่อม ๒,น.,เรียกช้างสำหรับใช้ฆ่าคน ว่า ช้างซ่อม เช่น ช้างพลายซ่อมตัวหนึ่งเป็นช้างเพชฌฆาต (พงศ. เลขา).
ซ้อม ๒,ก.,ทำทดลองเพื่อให้ชำนาญหรือให้แน่นอน เช่น ซ้อมรบ ซ้อมความเข้าใจ ซ้อมละคร.
ซ้อมค้าง,ก.,พูดทึกทักเอาราวกับเป็นจริง เพื่อให้อีกฝ่ายหนึ่งยอมรับ.
ซอมซ่อ,ว.,"ไม่โอ่อ่า, ส่อความขัดสน, เช่น บ้านซอมซ่อ แต่งตัวซอมซ่อ."
ซ้อมซัก,ก.,ซักซ้อม
ซ้อมซัก,ก.,ทำร้าย เช่น ยามเมื่อเพลี่ยงพล้ำเขาก็จะช่วยกันกระหน่ำซ้ำซ้อมซัก (ม. ร่ายยาว ทานกัณฑ์).
ซ่อมแซม,ก.,แก้ไขปรับปรุงเพิ่มเติมของที่ชำรุดให้กลับคืนสู่สภาพเดิม.
ซ่อมแปลง,ก.,แก้ไขดัดแปลงของที่ชำรุดให้คืนดี.
ซ้อมพยาน,ก.,ซักซ้อมพยานว่าจะให้การต่อศาลอย่างใดจึงจะสอดคล้องต้องกันดี.
ซ้อมพวน,ก.,หีบอ้อยครั้งที่ ๒.
ซ้อมใหญ่,ก.,ซ้อมอย่างเหมือนที่จะแสดงหรือปฏิบัติจริง.
ซอย ๑,ก.,"ทำถี่ ๆ เช่น ซอยเท้า, หั่นถี่ ๆ อย่างละเอียด เช่น ซอยหอม ซอยใบมะกรูด"
ซอย ๑,ก.,ผ่าหรือตัดให้เป็นส่วนเล็ก ๆ เช่น ซอยไม้ให้เป็นไม้ระแนง.
ซอย ๒,น.,ถนนหรือทางย่อยที่แยกจากทางใหญ่ เช่น ซอยลาดพร้าว ๑
ซอย ๒,น.,ลักษณนามเรียกถนนหรือทางที่แยกจากถนนใหญ่ เช่น ถนนสายนี้มีหลายซอย.
ซอย ๒,ว.,เรียกทางย่อยหรือทางแยกจากทางใหญ่ เช่น ถนนซอย คลองซอย.
ซอยเท้า,ก.,ย่ำถี่ ๆ เช่น ทหารซอยเท้าอยู่กับที่ เด็กซอยเท้าแสดงความไม่พอใจเมื่อไม่ได้ของเล่น
ซอยเท้า,ก.,กิริยาที่ผู้รำละครใช้ส่วนหน้าของฝ่าเท้าย่ำซ้ำ ๆ โดยส้นเท้าไม่แตะพื้น ขณะอยู่ในท่าย่อเข่า.
ซอยผม,ก.,ตัดแต่งผมให้มีรูปทรงต่าง ๆ.
ซอยไพ่,ก.,นำไพ่ทั้งสำรับมาสลับถี่ ๆ เพื่อให้ไพ่สับที่กัน.
ซอส,น.,เครื่องปรุงรส มีลักษณะเหลวหรือค่อนข้างข้น ใช้จิ้มหรือปรุงอาหารเพื่อให้มีรสชาติดีขึ้น.
ซอสามสาย,น.,ชื่อซอชนิดหนึ่ง มีสาย ๓ สาย กะโหลกซอทำด้วยกะลามะพร้าว มีลักษณะเป็น ๓ พู มีเสียงไพเราะนุ่มนวล ใช้บรรเลงคลอเสียงผู้ขับร้อง บรรเลงร่วมในวงมโหรี หรือบรรเลงเดี่ยว.
ซออู้,น.,ชื่อซอชนิดหนึ่ง มีสาย ๒ สาย กะโหลกซอตัดจากกะโหลกมะพร้าว มีเสียงทุ้มกังวาน ใช้บรรเลงรวมอยู่ในวงเครื่องสาย วงมโหรี วงปี่พาทย์ไม้นวม และวงปี่พาทย์ดึกดำบรรพ์.
ซอโอก,น.,ชื่อซอชนิดหนึ่ง มี ๒ สาย ลักษณะคล้ายซอด้วงแต่ใหญ่กว่ามาก เวลาสีตั้งซอขึ้นจากพื้น.
ซะซร้าว,ว.,เสียงร้องเซ็งแซ่.
