คำ,POS,ความหมาย
ฎ,?,พยัญชนะตัวที่ ๑๔ เรียกว่า ฎอ ชฎา เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น กฎ มงกุฎ.
ฎีกา,น.,คำอธิบายขยายความ เช่น ฎีกาพาหุง
ฎีกา,น.,ชื่อคัมภีร์หนังสือที่แก้หรืออธิบายคัมภีร์อรรถกถา
ฎีกา,น.,หนังสือที่เขียนนิมนต์พระสงฆ์
ฎีกา,น.,ใบแจ้งการขอเบิกเงินจากคลัง
ฎีกา,น.,ใบบอกบุญเรี่ยไร
ฎีกา,น.,คำร้องทุกข์ที่ราษฎรทูลเกล้าฯ ถวายต่อพระมหากษัตริย์
ฎีกา,น.,ชื่อศาลยุติธรรมสูงสุดของประเทศไทย ซึ่งเรียกว่า ศาลฎีกา
ฎีกา,น.,การคัดค้านคำพิพากษาหรือคำสั่งศาลชั้นต้นหรือศาลอุทธรณ์ เพื่อเสนอให้ศาลฎีกาพิจารณาพิพากษาหรือวินิจฉัยชี้ขาด
ฎีกา,น.,ใบเรียกเก็บเงิน.
ฎีกา,ก.,ยื่นคำร้องขอหรือคำคัดค้านต่อศาลฎีกา เช่น คดีนี้จะฎีกาหรือไม่.
