คำ,POS,ความหมาย
ต,?,พยัญชนะตัวที่ ๒๑ เรียกว่า ตอ เต่า เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น จิต เมตตา ฟุต.
ตก ๑,ก.,"พลัดลง, หล่นลง, เช่น ตกบันได ตกต้นไม้"
ตก ๑,ก.,"ไหลลง, หยดลงมา, เช่น ฝนตก"
ตก ๑,ก.,ลดลง เช่น ฝีมือตก แรงตก พระอาทิตย์ตก
ตก ๑,ก.,ล่วงเข้าเวลา เช่น ตกเย็น ตกดึก
ตก ๑,ก.,เรียกสีที่ละลายออกหรือจางไปในเวลาซักหรือถูกแดดเป็นต้น ว่า สีตก
ตก ๑,ก.,อยู่ในภาวะที่ไม่น่าพอใจ เช่น ตกทุกข์ ตกระกำลำบาก ตกยาก
ตก ๑,ก.,มาถึง เช่น ของที่สั่งตกมาแล้ว
ตก ๑,ก.,ออก เช่น คำสั่งตกแล้ว ตกลูก
ตก ๑,ก.,ขาดหายไป เช่น เขียนหนังสือตก
ตก ๑,ก.,ไม่ได้ขึ้นยานพาหนะเพราะไปไม่ทันหรือไม่มีค่าโดยสาร เช่น ตกรถ ตกเรือ
ตก ๑,ก.,ลดลงตํ่า เป็นอาการแสดงว่ากลัว ยอมแพ้ หรือหมดกำลัง เป็นต้น เช่น คอตก หัวตก หางตก.
ตก ๑,ว.,สำเร็จ เช่น แก้ตก ปลงตก คิดตก.
ตก ๒,ก.,เอาเบ็ดเกี่ยวเหยื่อหย่อนลงไปให้ปลาหรือกุ้งกินแล้ววัดหรือสาวขึ้นมา เช่น ตกปลา ตกกุ้ง
ตก ๒,ก.,เอาเงินหรือสิ่งของให้ไปก่อน แล้วคิดเอาเป็นพืชผลภายหลังตามแต่จะตกลงกัน.
ตกกระ,ว.,มีลักษณะเป็นจุดดำ ๆ เล็กบ้างโตบ้างที่ผิวกายคน สัตว์ หรือสิ่งอื่น ๆ.
ตกกระไดพลอยโจน,ว.,เมื่อพลาดไปแล้วก็ยอมเลยตามเลยเพื่อไม่ให้เสียเชิง.
ตกกล้า,ก.,เพาะข้าวปลูกลงในแปลงเพาะกล้าสำหรับนาดำ.
ตกขอบ,ว.,"ที่สุดข้างใดข้างหนึ่ง เช่น ขวาตกขอบ, เต็มที่ เช่น ฮาตกขอบ."
ตกขาว,น.,"โรคระดูขาว, มุตกิด ก็เรียก."
ตกข่าว,ก.,ไม่รู้ข่าวที่คนอื่น ๆ รู้.
ตกข้าว,น.,วิธีการที่นายทุนรับซื้อข้าวตามจำนวนที่กำหนดกับชาวนาตอนที่ข้าวลัดใบแล้ว โดยตกลงกันว่านายทุนจะให้เงินแก่ชาวนาก่อน แล้วชาวนาจะให้ข้าวเปลือกแก่นายทุนหลังจากนวดข้าวเสร็จแล้ว.
ตกขุย,ก.,ออกผลเป็นเมล็ดเล็ก ๆ (ใช้แก่ไม้ไผ่).
ตกเขียว,น.,"วิธีการที่นายทุนทำสัญญาซื้อขายข้าวหรือผลไม้ตามที่ตกลงกันกับชาวนา ชาวสวน หรือชาวไร่เมื่อข้าวลัดใบหรือผลไม้ยังอ่อนอยู่ โดยตกลงกันว่านายทุนจะได้ข้าวเปลือกหรือผลไม้นั้นไปหลังจากนวดข้าวแล้วหรือเมื่อผลไม้นั้นแก่เต็มที่แล้ว เช่น ตกเขียวลำไย, โดยปริยายหมายถึงการที่พ่อแม่รับเงินจากนายทุนซึ่งจ่ายให้เป็นค่าตัวเด็กผู้หญิงไว้ล่วงหน้า แล้วนายทุนจะมารับตัวเด็กไปเพื่อค้าประเวณีเป็นการใช้หนี้คืนให้แก่นายทุน."
ตกคลัก,ก.,"อาการที่ปลาเป็นต้นมารวมกันอยู่ในบ่อหรือหนองที่นํ้างวด, ตกปลัก ก็ว่า"
ตกคลัก,ก.,ในการเล่นดวดหมายถึงลักษณะที่หมาก ๓ ตัวเดินไปถึงที่สุด มารวมกันอยู่ในตาสุดท้ายที่จะสุกออกพ้นกระดาน แต่ทอดแต้มออกไม่ได้
ตกคลัก,ก.,โดยปริยายหมายถึงอาการที่คนมารวมกันมาก ๆ ไปไหนไม่ได้.
ตกคลั่ก,ก.,"อาการที่ปลาเป็นต้นมารวมกันอยู่ในบ่อหรือหนองที่นํ้างวด, ตกปลัก ก็ว่า"
ตกคลั่ก,ก.,ในการเล่นดวดหมายถึงลักษณะที่หมาก ๓ ตัวเดินไปถึงที่สุด มารวมกันอยู่ในตาสุดท้ายที่จะสุกออกพ้นกระดาน แต่ทอดแต้มออกไม่ได้
