คำ,POS,ความหมาย
ท ๑,?,พยัญชนะตัวที่ ๒๓ เรียกว่า ทอ ทหาร เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ประมาท บท.
ท ๒,?,"ใช้ประสมกับตัว ร อ่านเป็นเสียง ซอ ในคำบางคำ เช่น ทราบ แทรก ทรง และในคำบางคำที่มาจากภาษาบาลีและสันสกฤต เช่น ทรัพย์ อินทรีย์ มัทรี, ที่อ่านเป็นเสียง ทร (ไม่ใช่ ซ) ก็มี เช่น ภัทรบิฐ อินทรา นิทรา อิเล็กทรอนิกส์."
ท ๓,*ว.,"ใช้เป็นคำนำหน้านาม แปลว่า คน, ผู้, เช่น ทมูลทนาย ทแกล้วทหาญ, ท่าน เช่น ทชี."
ทก ๑,ว.,ทุก เช่น ทกพวก ทกพาย.
ทก ๒,น.,นํ้า.
ทกล้า,น.,ผู้กล้า.
ทแกล้ว,น.,ผู้กล้า.
ท่ง,น.,ทุ่ง.
ทงัน,ว.,"ตระหง่าน, กว้างใหญ่, สูงใหญ่."
ทชี,น.,นักบวช เช่น พระบาททงงสองฉลองขึ้นเหนือเกล้า ทชีเถ้ากาฬเทพิลน้นน (ม. คำหลวง ทศพร).
ทด,ก.,"กันไว้, กั้นไว้, ทำให้นํ้าท่วมท้นขึ้นมาด้วยทำนบเป็นต้น เช่น ทดนํ้า"
ทด,ก.,เพิ่ม
ทด,ก.,แทน เช่น ทดข้าวทดปลา.
ทดแทน,ก.,"ตอบแทน เช่น เราต้องทดแทนคุณแผ่นดิน, ชดใช้หรือชดเชยสิ่งที่เสียไป เช่น ทำของเขาเสียหายไป ก็ต้องหาของใหม่มาทดแทน."
ทดโทร่ห์,ก.,"การคิดประทุษร้าย, ใช้เข้าคู่กับคำ กบฏ เป็น กบฏทดโทร่ห์, ทดโท่ ก็ว่า."
ทดรอง,ก.,ออกเงินรองจ่ายไปก่อน.
ทดลอง,ก.,"ลองทำ, ลองให้ทำ, ทดสอบข้อสมมุติฐานเป็นต้น."
ทดเลข,ก.,ยกจำนวนเลขครบสิบไปบวกกับผลของหลักหน้า.
ทดสอบ,ก.,ตรวจสอบเพื่อความถูกต้องแน่นอน เช่น ทดสอบเครื่องยนต์
ทดสอบ,ก.,สอบเพื่อวัดความรู้ความสามารถเป็นต้น เช่น ทดสอบความรู้ของนักเรียนด้วยการให้ลองปฏิบัติ.
ทท,น.,"การให้, ผู้ให้, มักใช้ประกอบท้ายศัพท์ เช่น กามทท = การให้สิ่งที่น่าปรารถนา, ผู้ให้สิ่งที่น่าปรารถนา."
ทธิ,น.,นมส้ม คือนมที่แปรสภาพเป็นนมเปรี้ยว อยู่ในจำพวกเบญจโครส.
ทน,ก.,"อดกลั้นได้, ทานอยู่ได้, เช่น ทนด่า ทนทุกข์ ทนหนาว, ไม่แตกหักหรือบุบสลายง่าย เช่น ของดีใช้ทน ไม้สักทนกว่าไม้ยาง."
ทน,ว.,"แข็งแรง, มั่นคง, เช่น ฟันทน, อึด เช่น วิ่งทน ดำนํ้าทน."
ท้น,ก.,"เอ่อสูงขึ้นจนเปี่ยมพร้อมจะไหลล้นหรือไหลทวนกลับขึ้นไป เช่น นํ้าท้นฝั่ง, อาการที่เนื้อล้นออกมาจนเห็นเป็นรอยนอกเสื้อ เช่น สวมเสื้อคับจนเนื้อท้น."
ทนดี ๑,ก.,ดู ตองแตก.
