คำ,POS,ความหมาย
ธ ๑,?,พยัญชนะตัวที่ ๒๔ เรียกว่า ธอ ธง เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น สุเมธ มคธ.
ธ ๒,ส.,"ท่าน, เธอ, เช่น ธ ประสงค์ใด จงสฤษดิ์ดัง หวังวรหฤทัย, เป็นสรรพนามบุรุษที่ ๓."
ธง,น.,"ผืนผ้ารูปสี่เหลี่ยมหรือสามเหลี่ยม โดยมากเป็นสีและบางอย่างมีลวดลายเป็นรูปต่าง ๆ ที่ทำด้วยกระดาษและสิ่งอื่น ๆ ก็มี สำหรับ (๑) ใช้เป็นเครื่องหมายบอกชาติ ตำแหน่งในราชการ โดยมีกำหนดกฎเกณฑ์เป็นต้น เช่น ธงชาติ ธงแม่ทัพนายกอง. (๒) ใช้เป็นเครื่องหมายตามแบบสากลนิยม เช่น ธงกาชาด บอกที่ตั้งกองบรรเทาทุกข์, ธงขาว บอกความจำนนขอหย่าศึกหรือยอมแพ้, ธงเหลือง บอกเป็นเรือพยาบาลคนป่วยหรือเรือที่มีโรคติดต่ออันตราย, ธงแดง บอกเหตุการณ์อันเป็นภัย. (๓) ใช้เป็นเครื่องหมายเรือเดินทะเล คณะ สมาคม อาคารการค้า และอื่น ๆ. (๔) ใช้เป็นอาณัติสัญญาณ. (๕) ใช้เป็นเครื่องตกแต่งสถานที่ในงานรื่นเริง. (๖) ใช้ถือเข้ากระบวนแห่"
ธง,น.,ชื่อดาวหมู่หนึ่ง เช่น โน่นดาวธงตรงหน้าอาชาไนย (อภัย)
ธง,น.,"ข้อความที่อธิบายนำไว้เป็นตัวอย่าง, ประเด็นหลัก."
ธงกระบี่ธุช,น.,ชื่อธงมีลักษณะเป็นธงสามชาย ๓ ผืน ผืนธงทำด้วยผ้าปักไหมทองเป็นลวดลายเครือกระหนก สอดร่วมอยู่ในคันธงเดียวกันซึ่งเป็นเหล็กและทำเป็นกิ่งแยกจากคันกลางทางด้านซ้ายและด้านขวา ปลายคันธงเป็นรูปใบหอก ที่โคนคันธงตรงส่วนสวมต่อกับคันธงท่อนล่างติดรูปหนุมานในท่ายืนยกขาหน้าและขาหลังข้างขวาเตรียมเหาะ เรียกเต็มว่า ธงชัยราชกระบี่ธุช หรือ ธงชัยราชกระบี่ธุชใหญ่ ใช้เชิญนำหน้าพระราชยานในกระบวนพยุหยาตรา และเชิญประดิษฐานในพิธีมณฑลในการพระราชพิธีต่าง ๆ เข้าคู่กับธงพระครุฑพ่าห์ โดยธงกระบี่ธุชอยู่ทางด้านซ้าย และธงพระครุฑพ่าห์อยู่ทางด้านขวา.
ธงครุฑพ่าห์,น.,ชื่อธงมีลักษณะเป็นธงสามชาย ๓ ผืน ผืนธงทำด้วยผ้าปักไหมทองเป็นลวดลายเครือกระหนก สอดร่วมอยู่ในคันธงเดียวกันซึ่งเป็นเหล็กและทำเป็นกิ่งแยกจากคันกลางทางด้านซ้ายและด้านขวา ปลายคันธงเป็นรูปใบหอก ที่โคนคันธงตรงส่วนสวมต่อกับคันธงท่อนล่างติดรูปพระนารายณ์ทรงครุฑ เรียกเต็มว่า ธงพระครุฑพ่าห์ หรือ ธงชัยพระครุฑพ่าห์ หรือ ธงชัยพระครุฑพ่าห์ใหญ่ เข้าคู่กับธงกระบี่ธุช โดยธงครุฑพ่าห์อยู่ทางด้านขวา และธงกระบี่ธุชอยู่ทางด้านซ้าย.
ธงจระเข้,น.,"ธงผืนผ้ามีรูปจระเข้ตรงกลาง มักปักไว้ที่ท่านํ้าหน้าวัด แสดงว่ารับกฐินแล้ว, คู่กับ ธงนางเงือก."
ธงฉาน,น.,ธงที่มีลักษณะอย่างเดียวกับธงชาติ แต่ตรงกลางของผืนธงมีรูปจักร ๘ แฉก แฉกของจักรเวียนไปทางซ้ายและมีสมอสอดวงจักรภายใต้พระมหามงกุฎ รูปเหล่านี้เป็นสีเหลือง เป็นธงที่ใช้ในเรือพระที่นั่งและเรือหลวง หรือเป็นธงสำหรับหน่วยทหารเรือที่ยกพลขึ้นบก ซึ่งหน่วยทหารนั้นไม่ได้รับพระราชทานธงชัยเฉลิมพล
ธงฉาน,น.,ธงนำกระบวนกองชนะ มีลักษณะเป็นรูปสามเหลี่ยม.
