คำ,POS,ความหมาย
บ่,ว.,"ไม่, มักใช้ในหนังสือเก่าหรือกวีนิพนธ์ หรือบางท้องถิ่น, ในที่ใช้ บ เมื่อใช้ว่า บ่ ก็มีความเช่นเดียวกัน."
บ ๑,?,พยัญชนะตัวที่ ๒๖ เรียกว่า บอ ใบไม้ เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น ดิบ.
บ ๒,ว.,"ไม่, มักใช้ในหนังสือเก่าหรือกวีนิพนธ์ หรือบางท้องถิ่น, ในที่ใช้ บ เมื่อใช้ว่า บ่ ก็มีความเช่นเดียวกัน."
บก,น.,"ส่วนของผิวพื้นโลกที่ไม่ใช่ทะเลหรือแม่นํ้าลำคลองเป็นต้น, ภาคพื้นดิน เช่น ทหารบก ทางบก, ที่ที่แห้ง, ที่ที่พ้นจากนํ้า, เช่น ขึ้นบก บนบก."
บก,ว.,"แห้ง, พร่อง, ลดลง, เช่น แลมันทำชู้แล้วมันทอดหญิงนั้นเสีย ท่านว่ามันทำให้ลูกหลานท่านนมบกอกพร่อง (สามดวง)"
บก,ว.,ย่อยยับหมดกำลัง เช่น โจมปรปักษบกบาง (ตะเลงพ่าย).
บกพร่อง,ก.,ไม่ครบบริบูรณ์เท่าที่ควรมีควรเป็น เช่น ข้อความบกพร่อง ทำงานบกพร่อง.
บง ๑,น.,ชื่อไผ่ชนิด Bambusa nutans Wall. ex Munro. ในวงศ์ Gramineae ไม่มีหนาม ปล้องสั้น เนื้อลำหนา ใช้จักตอก.
บ่ง ๑,ก.,"ชี้, ระบุ, อ้างหรือแสดงให้รู้โดยเจาะจง, เช่น การกระทำของเขาบ่งชัดอยู่แล้วว่าเขาเป็นผู้กระทำผิด."
บง ๒,ก.,"มองดู, แลดู, เช่น พลางพระบงจัตุบาท (ตะเลงพ่าย)."
บ่ง ๒,ก.,ใช้ของแหลม ๆ แทงที่เนื้อเพื่อสะกิดหนองหรือหนามเป็นต้นที่ฝังอยู่ในเนื้อออก เช่น บ่งหนอง บ่งหนาม.
บง ๓,ก.,"คล้อง, ห่ม, เช่น บงบ่าเฉวียง (ม. คำหลวง จุลพน)."
