คำ,POS,ความหมาย
ป,?,พยัญชนะตัวที่ ๒๗ เรียกว่า ปอ ปลา เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น บาป เนปจูน สัปดาห์.
ปก ๑,ก.,แผ่ออกคลุมเบื้องบน เช่น ตะไคร้ใบปกดิน.
ปก ๑,น.,"กระดาษหรือผ้าหรือหนังเป็นต้นที่หุ้มอยู่ภายนอกสมุดหรือหนังสือเป็นต้น, ใบปก ก็เรียก"
ปก ๑,น.,"แผ่นผ้าที่ติดปากกระเป๋าเสื้อ, แผ่นผ้าที่ติดกับคอเสื้อพับตลบลงมาหรือแบะออกทั้ง ๒ ข้าง เช่น ปกเชิ้ต ปกเสื้อนอก."
ปก ๒,น.,แว่นแคว้น เช่น ได้ขึ้นเสวยราชย์เป็นพระยาผ่านในปกเมืองเนืองทั้งปกเขม ครั้นเต็มสมบูรณ์สามสิบแปดข้าว เข้าศักราชเจ็ดร้อยห้าสิบแปด กลายท่านได้ปราบต์ทั้งปกกาวชาวด้านหนตีนเถิงฝั่งของ (จารึกวัดบูรพาราม).
ปก ๓,น.,ปลาแก้มชํ้า. (ดู แก้มชํ้า).
ปกกระพอง,น.,แผ่นผ้าที่ปิดตรงกระหม่อมของช้างหลวง.
ปกเกศ,ก.,"ปกเกล้า, คุ้มครอง."
ปกครอง,ก.,"ดูแล, คุ้มครอง, ระวังรักษา"
ปกครอง,ก.,บริหาร.
ปกคลุม,ก.,แผ่คลุมอยู่เบื้องบน.
ปกติ,ว.,"ธรรมดา เช่น ตามปกติ, เป็นไปตามเคย เช่น เหตุการณ์ปกติ, ไม่แปลกไปจากธรรมดา เช่น อาการปกติ, ปรกติ ก็ว่า."
ปกป้อง,ก.,คุ้มครองป้องกัน.
ปกปักรักษา,ก.,ดูแลรักษา.
ปกปิด,ก.,"ปิดไม่ให้รู้หรือไม่ให้เห็น, ปิดไว้เป็นความลับ."
ปกรณ์,น.,"คัมภีร์, ตำรา, หนังสือ."
ปกรณัม,น.,"ปกรณ์, เรื่อง, เช่น ปักษีปกรณัม."
ปการ,น.,"อย่าง, ชนิด."
ปกิณก-,ว.,"เรี่ยราย, เบ็ดเตล็ด, กระจาย, ระคนกัน, คละกัน, (มักใช้ประกอบหน้าศัพท์) เช่น ปกิณกคดี."
ปกิณกะ,ว.,"เรี่ยราย, เบ็ดเตล็ด, กระจาย, ระคนกัน, คละกัน, (มักใช้ประกอบหน้าศัพท์) เช่น ปกิณกคดี."
ปกีรณัม,ก.,"จำแนกหรือกระจายออกไป, เขียนเป็น ปกีรณำ ก็มี เช่น ปกีรณำพจนาดถ์."
ปโกฏิ,น.,"ชื่อมาตรานับ = ๑๐๐,๐๐๐,๐๐๐,๐๐๐,๐๐๐ (เท่ากับสิบล้านโกฏิ). (ป.). (ดู โกฏิ)."
ปง,ว.,"เสียงดังเช่นนั้น, ปงปัง ก็ว่า."
ป่ง,น.,"พื้นดินที่มีเกลือสินเธาว์ผุดเกรอะกรังอยู่, ป่าหรือดินที่มีป่ง เรียกว่า ป่าป่ง ดินป่ง, เรียกผีที่เชื่อว่ามีอยู่ในที่เช่นนั้น ว่า ผีป่ง, เรียกลักษณะที่นั่งบนห้างที่ใช้ไม้ขัดและผูกเป็นแคร่บนต้นไม้หรือบนกอไผ่เพื่อคอยเฝ้าดูหรือยิงสัตว์ที่มากินดินป่ง ว่า นั่งป่ง, โป่ง ก็ว่า."
