คำ,POS,ความหมาย
ผ,?,พยัญชนะตัวที่ ๒๘ เรียกว่า ผอ ผึ้ง เป็นอักษรสูง ใช้เป็นพยัญชนะต้น.
ผก,ก.,"หกกลับ, ปก"
ผก,ก.,"แอบ, ซ่อน, ดัก."
ผกผงก,ก.,ผงกหัวขึ้นเหลียวดู.
ผกผัน,ก.,"หกหัน, ผันกลับ."
ผกเรือก,น.,ต้นไทร.
ผกา,น.,ดอกไม้.
ผกากรอง,น.,"ชื่อไม้พุ่มหลายชนิดในสกุล Lantana วงศ์ Verbenaceae เช่น ชนิด L. camara L. ลำต้นตรง กิ่งสี่เหลี่ยมมีหนามเล็กห่าง ๆ ช่อดอกเป็นกระจุกสีชมพู หรือ แดงอมเหลือง ปลูกเป็นไม้ประดับ และแพร่พันธุ์จนเป็นวัชพืชในบางท้องที่, ก้ามกุ้ง ก็เรียก, ชนิด L. sellowiana Link et Otto ลำต้นเลื้อย กิ่งไม่มีหนาม ดอกสีม่วง, ผกากรองเลื้อย ก็เรียก, ทั้ง ๒ ชนิดนี้เป็นไม้ต่างประเทศ, ชนิด L. trifolia L. ขึ้นในป่าโปร่งระดับสูงทางภาคเหนือ ลำต้นกลม ดอกสีม่วง."
ผกาย,น.,ดาว
ผกาย,น.,"แสงกระจาย, โดยมากใช้ว่า ประกาย."
ผการาย,น.,เรียกต้นหมากที่เพิ่งออกดอกประปราย.
ผคม,ก.,"ไหว้, แผลงเป็น บังคม ก็ได้."
ผง,น.,สิ่งละเอียด เช่น ตำแป้งจนเป็นผง
ผง,น.,"เศษสิ่งของเล็ก ๆ หรือละเอียดที่เหลือหรือร่วงจากวัสดุต่าง ๆ, มักเรียกว่า ขี้ผง หรือ เศษผง."
ผง,ว.,ที่ละเอียด เช่น นมผง แป้งผง.
ผงก,ก.,"ยกหัวขึ้นน้อย ๆ, ก้มหัวลงแล้วเงยขึ้นโดยเร็วแสดงอาการยอมรับหรือเห็นด้วย."
ผงขาว,น.,ยาเสพติดร้ายแรงชนิดหนึ่ง มีองค์ประกอบส่วนใหญ่เป็นสารประเภทแอลคาลอยด์ คือ มอร์ฟีน เฮโรอีน และแอลคาลอยด์อื่น ๆ ที่ได้จากฝิ่น ลักษณะเป็นของแข็ง เมื่อทำให้ร้อนจะแปรสภาพเป็นไอ.
ผงเข้าตาตัวเอง,น.,เมื่อปัญหาหรือความเดือดร้อนเกิดแก่ผู้อื่น ช่วยแก้ไขให้เขาได้ แต่เมื่อเกิดแก่ตน กลับแก้ไขไม่ได้.
ผงคลี,น.,"ฝุ่นละเอียด, ละออง."
ผงชูรส,น.,เกลือกรดชนิดหนึ่งชื่อโซเดียมไฮโดรเจนกลูทาเมต หรือโมโนโซเดียมกลูทาเมต มีสูตร HOOC·(CH_2)_2·CH(NH_2)·COONa ลักษณะเป็นผลึกสีขาว ใช้ในการปรุงแต่งรสอาหาร.
ผงซักฟอก,น.,สารอินทรีย์ชนิดหนึ่ง ลักษณะเป็นผง มีหลายชนิด มีองค์ประกอบที่สำคัญแตกต่างกัน เช่น ประกอบด้วยโซเดียมลอริลซัลเฟต (sodium lauryl sulphate) หรือโซเดียมอัลคิลอะริลซัลโฟเนต (sodium alkyl aryl sulphonate) เป็นต้น ใช้ประโยชน์ในการซักฟอกได้ดีกว่าสบู่ ทั้งใช้ซักฟอกในนํ้าอ่อน นํ้ากระด้าง หรือนํ้าเค็มได้ดี.
ผงฟู,น.,สารผสมชนิดหนึ่ง ซึ่งเมื่อเปียกนํ้าหรือทำให้ร้อนจะให้แก๊สคาร์บอนไดออกไซด์ออกมา มีองค์ประกอบที่สำคัญ คือ โซเดียมไฮโดรเจนคาร์บอเนต มีสูตร NaHCO_3 ปนแป้ง ผสมคลุกเคล้ากับสารอื่นซึ่งมักเป็นกรดทาร์ทาริก มีสูตร HOOC·CHOH·CHOH· COOH หรือโพแทสเซียมไฮโดรเจนทาร์เทรต มีสูตร KHC_4H_4O_6 หรือแคลเซียมไดไฮโดรเจนฟอสเฟต มีสูตร Ca(H_2PO_4)_2 หรือสารส้ม ใช้ประโยชน์ทำให้ขนมปังและขนมบางประเภทมีเนื้อฟูพรุน.
ผงม,ก.,ประคบประหงม.
ผงร,ก.,"หงาย, ชูขึ้น, ทรงไว้, เช่น ข้าแต่พระผู้ผงรแผ่นแผ้ว (ม. คำหลวง จุลพน)"
ผงร,ก.,ชะเง้อขึ้น เช่น เสือผกผงร (เสือโค).
ผงอน,น.,"แผ่นดิน, (โบ) เขียนว่า ผงร ก็มี."
ผงอน,ก.,"เอี้ยว, เลี้ยว."
ผงอบ,ว.,"อ่อนเพลียมาก, จวนจะสิ้นใจ."
ผงะ,ก.,แสดงอาการชะงักงันและถอยไปข้างหลังเล็กน้อยเมื่อประสบเหตุการณ์ประจันหน้าที่เป็นอันตราย น่าขยะแขยง หรือน่ากลัวเป็นต้น โดยกะทันหันไม่ทันรู้ตัวหรือคาดหมายมาก่อน.
ผงาด,ว.,"สง่า, เด่น, ผาดโผน."
ผง่าน,ว.,ผงาด เช่น ทั้งอกไหล่ก็ผายผึ่งผง่านโง (ม. คำหลวง ชูชก).
ผจง,น.,ความตั้งใจ.
ผจง,ก.,"ตั้งใจทำให้ดี, บรรจง, เช่น ผจงแต่ง ผจงจัด."
ผจญ,ก.,"พยายามต่อสู้, พยายามเอาชนะ, เช่น มารผจญ, ต่อสู้ดิ้นรนเพื่อเอาชนะ เช่น ผจญความทุกข์ยาก ผจญอุปสรรค, ประจญ หรือ ประจัญ ก็ว่า."
ผจญภัย,ก.,ออกไปเสี่ยงสู้ภัยอันตราย.
ผจัญ,ก.,"พยายามต่อสู้, พยายามเอาชนะ, เช่น มารผจญ, ต่อสู้ดิ้นรนเพื่อเอาชนะ เช่น ผจญความทุกข์ยาก ผจญอุปสรรค, ประจญ หรือ ประจัญ ก็ว่า."
ผจาน,ก.,"เปิดเผยความชั่ว, ประจาน."
ผชุม,ก.,ประชุม.
ผณิ,น.,งู.
ผณิน,น.,งู.
ผณินทร,น.,พญางู คือ นาคราช.
ผณินทรสมพัตสร,น.,"ปีงูใหญ่, ปีมะโรง."
ผณิศวร,น.,พญางู คือ นาคราช.
ผด,น.,ชื่อโรคผิวหนังชนิดหนึ่ง ขึ้นเป็นผื่นเม็ดเล็ก ๆ ตามผิวหนัง มักเกิดในเวลาที่มีอากาศร้อนอบอ้าว มีอาการคัน.
ผดุง,ก.,"ประดุง, คํ้า, คํ้าจุน, ระวัง, อุดหนุน."
ผดุงครรภ์,น.,ผู้ทำการคลอดบุตรแผนปัจจุบัน.
ผเดิน,ก.,"เดิน, ใช้ บันเดิน ก็มี."
ผทม,ก.,"นอน (ใช้แก่เจ้านาย), ประทม หรือ บรรทม ก็ใช้."
ผทมเพลิง,ก.,อยู่ไฟ.
ผนบบ้านหล่อ,น.,จำหล่อ.
ผนวก,ก.,"เพิ่มเข้า, บวกเข้า, เช่น ผนวกดินแดน."
ผนวช,ก.,"บวช, นิยมใช้ว่า ทรงพระผนวช ทรงผนวช."
ผนัง,น.,"ฝาที่ก่ออิฐถือปูน, ฝาทึบที่โบกปูน, โดยปริยายหมายถึง สิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น ผนังถ้ำ."
