คำ,POS,ความหมาย
ฝ,?,พยัญชนะตัวที่ ๒๙ เรียกว่า ฝอ ฝา เป็นอักษรสูง ใช้เป็นพยัญชนะต้น.
ฝน ๑,น.,นํ้าที่ตกลงมาจากเมฆเป็นเม็ด ๆ
ฝน ๑,น.,"ลักษณนามใช้นับอายุ หมายความว่า รอบปี, ขวบปี, เช่น ควาย ๓ ฝน คือ ควายที่มีอายุ ๓ ปี เขาผ่านร้อนผ่านหนาวมา ๑๘ ฝน."
ฝน ๒,ก.,ถู เช่น ฝนยา
ฝน ๒,ก.,ลับ เช่น ฝนมีด.
ฝนชะช่อมะม่วง,น.,"ฝนที่ตกเล็กน้อยประปรายในเดือนมกราคมถึงเดือนมีนาคม ซึ่งเป็นระยะที่มะม่วงออกช่อพอดี, ฝนชะลาน ก็เรียก."
ฝนชะลาน,น.,ฝนชะช่อมะม่วง ชาวนาเรียกว่า ฝนชะลาน เพราะมักตกในระยะเวลาที่ยังนวดข้าวไม่เสร็จ.
ฝนซู่,น.,"ฝนเม็ดใหญ่ที่ตกลงมาซู่ใหญ่เพียงครู่เดียวแล้วหยุด, ฝนไล่ช้าง ก็เรียก."
ฝนตกก็แช่ง ฝนแล้งก็ด่า,*น.,การทำอะไร ๆ จะให้ถูกใจคนทั้งหมดนั้นเป็นไปไม่ได้.
ฝนตกก็แช่ง ฝนแล้งก็ด่า,ว.,ทำอย่างไร ๆ ก็ไม่ถูกใจสักอย่าง.
ฝนตกขี้หมูไหล,ก.,"พลอยเหลวไหลไปด้วยกัน, มักใช้เข้าคู่กับ คนจัญไรมาพบกัน ว่า ฝนตกขี้หมูไหล คนจัญไรมาพบกัน."
ฝนตกไม่ทั่วฟ้า,ก.,ให้หรือแจกจ่ายอะไรไม่ทั่วถึงกัน.
ฝนตกไม่มีเค้า,น.,เรื่องที่เกิดขึ้นโดยไม่มีวี่แววหรือไม่ได้คาดคิดไว้ก่อน.
ฝนตกอย่าเชื่อดาว,ก.,"อย่าไว้วางใจใครหรืออะไรจนเกินไป, มักใช้เข้าคู่กับ มีเมียสาวอย่าเชื่อแม่ยาย ว่า ฝนตกอย่าเชื่อดาว มีเมียสาวอย่าเชื่อแม่ยาย."
ฝนทอง,น.,เครื่องหมายรูปสระ เป็นรูปรอยขีดเดียวดังนี้  สำหรับเขียนบนสระ อิ เป็นสระ อี
ฝนทอง,น.,ชื่อขนมชนิดหนึ่ง.
ฝนทั่งให้เป็นเข็ม,ก.,เพียรพยายามสุดความสามารถจนกว่าจะสำเร็จผล.
ฝนเทียม,น.,ฝนที่เกิดจากกรรมวิธีทางวิทยาศาสตร์ เช่นโดยการโปรยนํ้าแข็งแห้งในอากาศ.
ฝนไล่ช้าง,น.,"ฝนเม็ดใหญ่ที่ตกลงมาซู่ใหญ่เพียงครู่เดียวแล้วหยุด, ฝนซู่ ก็เรียก."
ฝนสั่งฟ้า,น.,ฝนที่ตกหนักตอนปลายฤดูฝน.
ฝนสั่งฟ้า ปลาสั่งหนอง,*ก.,"สั่งเสียเป็นครั้งสุดท้าย, ทำการอันใดที่เป็นสิ่งสำคัญเพื่อไว้อาลัยก่อนจากไป, นํ้าสั่งฟ้า ปลาสั่งฝน ก็ว่า."
ฝนแสนห่า ๑,น.,วิธีเขียนหนังสืออย่างหนึ่งใช้ตัวเลขแทนตัวหนังสือ
ฝนแสนห่า ๑,น.,ชื่อดอกไม้ไฟชนิดหนึ่งมีประกายไฟพุ่งออกมาคล้ายไฟพะเนียง แต่หมุนรอบตัว.
ฝนแสนห่า ๒,น.,ชื่อไม้เถาชนิด Argyreia capitiformis (Poir.) Ooststr. ในวงศ์ Convolvulaceae เถามียางขาว ใบออกสลับกัน โคนใบเว้าเป็นรูปหัวใจ ดอกใหญ่ สีม่วงแดงหรือสีชมพูลักษณะคล้ายดอกผักบุ้ง.
ฝนแสนห่า ๒,น.,ชื่อไม้เถาชนิด Myxopyrum smilacifolium Blume subsp. smilacifoliumในวงศ์ Oleaceae เถาไม่มียาง ใบออกตรงข้ามกัน ดอกเล็กมาก สีเหลืองอ่อน เนื้อไม้ใช้ทำยาได้.
ฝนแสนห่า ๒,น.,"ชื่อไม้ต้นหลายชนิดในสกุล Cinnamomum วงศ์ Lauraceae ใช้ทำยาและปรุงนํ้าหอม เช่น อบเชยญวนหรือฝนแสนห่า [ C. bejolghota (Buch.-Ham.) Sweet], อบเชยจีน ( C. aromaticum Nees), อบเชยเทศ ( C. verum J. Presl)."
ฝนหลวง,น.,ฝนที่พระบาทสมเด็จพระเจ้าอยู่หัวทรงพระกรุณาโปรดเกล้าโปรดกระหม่อมให้ทำขึ้นเพื่อบรรเทาความแห้งแล้ง.
ฝนห่าแก้ว,น.,ฝนลูกเห็บขนาดเล็ก เช่น ฝนห่าแก้วตกแล้วพ้นไป ฝนห่าใหญ่เทลงเทลง.
ฝรั่ง ๑,น.,ชนชาติผิวขาว
ฝรั่ง ๑,น.,คำประกอบชื่อสิ่งของบางอย่างที่มาจากต่างประเทศ ซึ่งมีลักษณะคล้ายของไทย เช่น ขนมฝรั่ง ละมุดฝรั่ง มันฝรั่ง ตะขบฝรั่ง ผักบุ้งฝรั่ง แตรฝรั่ง.
