คำ,POS,ความหมาย
พ,?,พยัญชนะตัวที่ ๓๐ เรียกว่า พอ พาน เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น ภพ ภาพ สรรพ ผลลัพธ์.
พก ๑,น.,ริมผ้านุ่งที่ดึงรวบขึ้นมาไขว้ไว้ที่บริเวณสะดือ มีลักษณะคล้ายถุงเล็ก ๆ เรียกว่า ชายพก ใส่เงินหรือหมากเป็นต้น
พก ๑,น.,แผ่นดิน.
พก ๑,ก.,"เอาเก็บหรือซ่อนไว้ในพกหรือในสิ่งอื่นที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น พกมีด พกปืน พกนาฬิกา, เรียกสิ่งที่นำติดตัวไปในลักษณะเช่นนั้น เช่น มีดพก ปืนพก นาฬิกาพก"
พก ๑,ก.,"พัง, ทำลาย, เช่น ดุจพสุธาพังดังพสุธาพก (ม. ร่ายยาว มหาราช)"
พก ๑,ก.,"ผก, หก, ตก"
พก ๑,ก.,วก เช่น ภายหลังมาจึงพราหมณ์ชูชก พกมาทวงทอง (ม. คำหลวง ชูชก).
พก- ๒,น.,นกยาง.
พกจร,น.,ประพฤติอย่างนกยาง คือ คนหน้าซื่อใจคดหรือหน้าเนื้อใจเสือ.
พกนุ่น,ว.,"ใจเบา, ใช้เข้าคู่กับคำ พกหิน ในสำนวนว่า พกหินดีกว่าพกนุ่น."
พกพ่าย,ว.,"แตก, ทำลาย."
พกลม,ว.,"มีแต่ลม คือ เหลวไหล, พูดจาไม่จริง, ใช้เข้าคู่กับคำ โกหก เป็น โกหกพกลม."
พกหิน,ว.,"ใจหนักแน่น, ใช้เข้าคู่กับคำ พกนุ่น ในสำนวนว่า พกหินดีกว่าพกนุ่น."
พกา,น.,นกยาง.
พกุระ,น.,เขาสัตว์สำหรับเป่า.
พกุล,น.,ต้นพิกุล.
พง ๑,น.,ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ หรือที่รก ๆ เช่น ป่าดงพงพี รกเป็นพง.
พง ๒,น.,ดู แขม ๑ และ เลา ๑.
พงพี,น.,ป่าดง.
