คำ,POS,ความหมาย
ฟ,?,พยัญชนะตัวที่ ๓๑ เรียกว่า ฟอ ฟัน เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น เสิร์ฟ ไมโครเวฟ.
ฟก,ว.,"บวมชํ้า, บอบช้ำ."
ฟกช้ำ,ว.,"บวมชํ้า, บอบช้ำ."
ฟกช้ำดำเขียว,ว.,บวมชํ้าตามร่างกายเพราะถูกกระทบกระแทกอย่างแรง.
ฟ้ง,ก.,ฟุ้ง.
ฟรักโทส,น.,"นํ้าตาลชนิดหนึ่ง ประเภทโมโนแซ็กคาไรด์ ชนิดคีโทเฮ็กโซส ลักษณะเป็นของแข็ง สีขาว หลอมละลายที่ ๑๐๒ °ซ. มีปรากฏในผลไม้สุกที่มีรสหวาน นํ้าผึ้ง นํ้าต้อยของดอกไม้ มีรสหวานมากกว่านํ้าตาลทราย, เลวูโลส ก็เรียก."
ฟรี,ว.,ไม่เสียมูลค่าหรือไม่ได้ค่าตอบแทนใด ๆ เช่น เรียนฟรี ทำงานฟรี
ฟรี,ว.,ว่างจากงาน เช่น วันนี้ฟรี
ฟรี,ว.,อิสระ เช่น ล้อฟรี.
ฟรีบาร์,ว.,เปิดบาร์ให้กินฟรีโดยไม่จำกัด ในคำว่า เปิดฟรีบาร์ (มักใช้แก่การเลี้ยงสุราเมรัย).
ฟลูออรีน,น.,ธาตุลำดับที่ ๙ สัญลักษณ์ F เป็นอโลหะ ลักษณะเป็นแก๊สสีเขียวแกมเหลือง มีสมบัติคล้ายคลอรีนแต่ให้ปฏิกิริยาเคมีไวกว่า.
ฟ่อ,ว.,เสียงดังเช่นนั้นอย่างงูเห่าขู่.
ฟ้อ ๑,ว.,เสียงดังเช่นนั้นอย่างงูเห่าขู่.
ฟ้อ ๒,ว.,"เพริศพริ้ง, กระชุ่มกระชวย, สดชื่น, เช่น หนุ่มฟ้อ ยังฟ้ออยู่."
ฟอก,ก.,ทำให้สะอาดหมดจด เช่น ฟอกผ้า ฟอกจิตใจ.
ฟอกเงิน,ก.,การโอน รับโอน หรือเปลี่ยนสภาพทรัพย์สินที่เกี่ยวกับการกระทำความผิดบางประการ เพื่อซุกซ่อนหรือปกปิดแหล่งที่มาของทรัพย์สินนั้น หรือเพื่อช่วยเหลือผู้อื่นมิให้ต้องรับโทษหรือรับโทษน้อยลง หรือการปกปิดอำพรางการได้มา ฯลฯ ซึ่งทรัพย์สินที่เกี่ยวกับการกระทำความผิด.
ฟอกน้ำตาล,ก.,เอาเปลือกไข่ใส่ลงไปในขณะเชื่อมน้ำตาล เพื่อให้น้ำเชื่อมใสสะอาด.
ฟอกผ้า,ก.,เอาสบู่เป็นต้นถูผ้าเพื่อให้สะอาด.
ฟอกพยาน,ก.,ไต่ถามไล่เลียงพยาน.
ฟอกโลหิต,ก.,อาการที่แก๊สออกซิเจนซึ่งหายใจเข้าไปแล้วเปลี่ยนเลือดดำเป็นเลือดแดง.
ฟอกหนัง,ก.,เอาหนังดิบมาแช่นํ้าแล้วหมักไว้เพื่อทำเป็นหนังฟอก.
ฟ่อง,ว.,"อาการที่ลอยสูง เด่น หรืออยู่ตามลำพัง, มักใช้เข้าคู่กับคำ ลอย เป็น ลอยฟ่อง, เช่น หมาตายลอยฟ่อง ลูกโป่งลอยฟ่องอยู่บนท้องฟ้า."
ฟ้อง,ก.,"กล่าวหาหรือกล่าวโทษต่อผู้ใหญ่หรือต่อศาล เช่น ฟ้องครู ฟ้องศาล, แสดงให้รู้ เช่น มีหลักฐานฟ้องอยู่ในตัว"
ฟ้อง,ก.,"โดยปริยายหมายความว่า ขัดกัน, ไม่ตรงกัน, เช่น ข้อความข้างต้นกับข้างปลายฟ้องกันเอง."
ฟ้อง,น.,คำฟ้อง.
ฟอง ๑,น.,ต่อมนํ้าที่ผุดหรือปุดขึ้นเป็นรูปโป่ง ๆ อาจเป็นต่อมเดียว หรือรวมกันเป็นแพก็ได้.
ฟอง ๒,น.,ไข่ เช่น ไก่ตกฟอง
ฟอง ๒,น.,ลักษณนามใช้เรียกไข่เป็ดหรือไข่ไก่เป็นต้น เช่น ไข่ฟองหนึ่ง ไข่ ๒ ฟอง.
ฟอง ๓,ก.,"คะนอง, กำเริบ."
ฟอง ๔,น.,คลื่น เช่น ฟองฟัดซัดดลกรรทบนาวี (สรรพสิทธิ์).
ฟ้องกลับ,ก.,ฟ้องให้โจทก์กลับตกเป็นจำเลยในคดีอาญาด้วยเรื่องที่โจทก์ฟ้องมาก่อน เช่น ฟ้องกลับว่าฟ้องเท็จหรือเบิกความเท็จ.
ฟองกาม,ก.,กำเริบกาม.
ฟ้องตัวเอง,ก.,"แสดงความผิดของตนออกมาให้ผู้อื่นรู้โดยไม่ได้ตั้งใจ, แสดงความเท็จออกมาให้ปรากฏ."
ฟองเต้าหู้ ๑,น.,"ชื่อหนึ่งของหินยิปซัม เรียกว่า หินฟองเต้าหู้, เกลือจืด ก็ว่า."
ฟองเต้าหู้ ๒,น.,ฝ้าหรือเยื่อที่ลอยอยู่บนน้ำเต้าหู้แล้วนำมาตากแห้ง ใช้เป็นอาหาร.
ฟองทะเล,น.,หินที่ปรุเป็นรู ๆ อยู่ในทะเล.
ฟองน้ำ ๑,น.,ต่อมนํ้าที่ผุดหรือปุดขึ้นเป็นรูปโป่ง ๆ อาจเป็นต่อมเดียว หรือรวมกันเป็นแพก็ได้.
ฟองน้ำ ๑,ก.,ดู ฟอง ๑.
ฟองน้ำ ๒,น.,"ชื่อสัตว์นํ้าไม่มีกระดูกสันหลังไฟลัม Porifera มีเนื้อเยื่อ ๒ ชั้นลักษณะเป็นรูพรุน มีทั้งโครงสร้างแข็งและอ่อนนุ่ม ส่วนใหญ่พบในทะเล ที่พบในนํ้าจืดเรียก ฟองนํ้านํ้าจืด จำพวกที่มีโครงสร้างอ่อนนุ่มซึ่งพบในทะเลนำมาใช้ถูตัวได้, โดยปริยายใช้เรียกสิ่งที่มีลักษณะเป็นรูพรุนอ่อนนุ่ม และซับนํ้าได้ดี."
ฟองฟอด,ว.,ลักษณะที่มีฟองมาก เช่น แกงบูดเป็นฟองฟอด ย่ำน้ำโคลนเป็นฟองฟอด.
ฟ่องฟู,ก.,ฟูฟ่อง.
ฟองมัน,น.,"ชื่อเครื่องหมายชนิดหนึ่ง มีรูปอย่างนี้ ๏ ในหนังสือเก่า สำหรับเขียนขึ้นต้นวรรคหรือต้นบรรทัด, ตาไก่ ก็เรียก."
ฟ้องแย้ง,ก.,การที่จำเลยฟ้องโจทก์มาในคำให้การในเรื่องที่เกี่ยวกับคำฟ้องเดิมของโจทก์.
ฟ้องแย้ง,น.,คำฟ้องแย้ง.
ฟ้องร้อง,ก.,"กล่าวโทษ, กล่าวหา."
ฟอด,ก.,น่วมฟ่ามอยู่ข้างใน.
ฟอด,ว.,เสียงดังเช่นนั้น.
ฟอด,น.,"เรียกดินเลนที่ฟูดโป่งขึ้นมา เช่น ฟอดปลาไหล คือ ดินที่โป่งขึ้นมา ซึ่งเป็นที่มีปลาไหล, พรอด ก็ว่า."
ฟอดแฟด,ก.,น่วมฟ่ามอยู่ข้างใน.
ฟอดแฟด,ว.,เสียงดังเช่นนั้น เช่น เสียงย่ำโคลนดังฟอดแฟด
ฟอดแฟด,ว.,อาการที่โกรธกระฟัดกระเฟียด.
ฟอน,ก.,"บ่อน, กินพรุนข้างใน, พลอนทั่ว, เช่น หนอนฟอนชมพู่"
ฟอน,ก.,ค้นหา เช่น ฟอนจนทั่ว ฟอนหาของสกปรกกิน.
ฟอน,ว.,"ย่อยยับ, แหลก, เช่น ฟันฟอน คือ ฟันให้ยับย่อย ฟันให้แหลก"
ฟอน,ว.,"ที่ไหม้เป็นจุรณ, ที่ไหม้เป็นขี้เถ้า, เช่น กองฟอน."
