คำ,POS,ความหมาย
ภ,?,พยัญชนะตัวที่ ๓๒ เรียกว่า ภอ สำเภา เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากบหรือแม่กบ เช่น ปรารภ ลาภ.
ภควดี,น.,ใช้เป็นคำเรียกสตรีที่เคารพ เช่น พระมหิษี พระอุมา พระลักษมี.
ภควัต,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภควันต์,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภควัม,น.,"พระเครื่องรางชนิดหนึ่ง มีพระพักตร์ควํ่าและปิดทวารทั้ง ๙ คือ ตา ๒ หู ๒ จมูก ๒ ปาก ๑ ทวารหนัก ๑ ทวารเบา ๑, โดยปริยายใช้เรียกคนที่ทำหน้าควํ่าหน้างอไม่รับแขก ว่า ทำหน้าเป็นภควัม หรือ หน้าควํ่าเป็นภควัม"
ภควัม,น.,หินชนิดหนึ่งซึ่งมีรูปร่างอย่างนั้น.
ภควา,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภควาน,น.,"นามพระเป็นเจ้า, นามพระพุทธเจ้า, พระผู้เป็นเจ้า, พระผู้มีพระภาค."
ภคะ,น.,"โชคดี, ความเจริญ, เกียรติ."
ภคันทลา,น.,โรคริดสีดวงทวารหนัก.
ภคินี,น.,"พี่หญิง, น้องหญิง."
ภณะ,ก.,"กล่าว, พูด, บอก."
ภณิดา,น.,"ผู้พูด, ผู้บอก."
ภบท. ๕,น.,แบบพิมพ์ใบเสร็จรับเงินที่ทางราชการออกให้แก่ผู้เสียภาษีบำรุงท้องที่.
ภพ,น.,"โลก, แผ่นดิน"
ภพ,น.,วัฏสงสาร.
ภมการ,น.,ช่างกลึง.
ภมร,น.,"แมลงผึ้ง, แมลงภู่, ใช้ว่า ภุมระ ก็มี"
ภมร,น.,เครื่องกลึง.
ภมร,ก.,หมุน.
ภมรเคล้า,น.,ชื่อท่ารำแบบหนึ่ง โดยมือข้างหนึ่งตั้งวงสูง ระดับแง่ศีรษะ มืออีกข้างหนึ่งจีบหงายใกล้มือสูง เอียงศีรษะข้างเดียวกับมือสูง.
ภมริน,น.,"ผึ้งทั่วไป, ใช้ว่า ภุมริน ก็ได้."
ภมรี,น.,"ผึ้ง, ผึ้งตัวเมีย, ผึ้งทั่วไป, ใช้ว่า ภุมรี ก็ได้."
ภมุ,น.,คิ้ว.
ภมุกะ,น.,คิ้ว.
ภมุกา,น.,คิ้ว.
ภย-,น.,"ความกลัว, ของที่น่ากลัว."
ภยันตราย,น.,ภัยและอันตราย.
ภยาคติ,น.,ความลำเอียงเพราะความกลัว เป็นอคติ ๑ ในอคติ ๔ ได้แก่ ฉันทาคติ โทสาคติ ภยาคติ และโมหาคติ.
ภรณี,น.,"ดาวฤกษ์ที่ ๒ มี ๓ ดวง เห็นเป็นรูปแม่ไก่, ดาวก้อนเส้า ก็เรียก."
ภรณีภู,น.,ผู้เกิดจากดาวภรณี คือ พระราหู.
ภรต,น.,"ผู้เต้นรำ, ผู้แสดงละคร."
ภรต-,น.,"ผู้เต้นรำ, ผู้แสดงละคร."
ภรตวรรษ,น.,แผ่นดินแห่งท้าวภรต คือ อินเดีย.
ภรตศาสตร์,น.,วิชาฟ้อนรำทำเพลง.
ภรรดร,น.,"ผัว เช่น ปัญหามีแต่จักหา ภรรดาสมศักดิ์สมศรี หาได้ใช่ง่ายชายดี สมกับเทวีลูกเรา (กนกนคร), ใช้ว่า ภัสดา ก็ได้, โบราณใช้ว่า ภรัสดาษ ก็มี."
