คำ,POS,ความหมาย
ม,?,พยัญชนะตัวที่ ๓๓ เรียกว่า มอ ม้า เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้นและเป็นตัวสะกดในมาตรากมหรือแม่กม เช่น ลม ยาม.
มก,น.,ปลากระบอก. (ดู กระบอก ๒).
มกร,น.,"มังกร, ชื่อดาวราศีที่ ๑๐."
มกร-,น.,"มังกร, ชื่อดาวราศีที่ ๑๐."
มกรกุณฑล,น.,เครื่องประดับหูมีรูปคล้ายมังกร.
มกราคม,น.,"ชื่อเดือนที่ ๑ ตามสุริยคติ มี ๓๑ วัน, (เลิก) ชื่อเดือนที่ ๑๐ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนเมษายน."
มกสะ,น.,ยุง.
มกุฎ,น.,มงกุฎ.
มกุฎ,ว.,"สูงสุด, ขั้นสูง, เช่น อันกอปรด้วยลักณณษการอดุลย์ สุนทรเทพมกุฎ (ม. คำหลวง ทศพร), เจ้าก็เกิดในมกุฎเกศกรุงสีวีราษฎร์ (ม. ร่ายยาว กุมาร) (ป., ส. มกุฏ)."
มกุฎราชกุมาร,น.,ตำแหน่งรัชทายาทที่จะสืบราชสันตติวงศ์ซึ่งพระมหากษัตริย์ทรงสถาปนา.
มกุละ,น.,"กลุ่ม, พวง."
มกุละ,ว.,ตูม.
มคธ,น.,ชื่อแคว้นใหญ่ในอินเดียครั้งพุทธกาล ปัจจุบันคือรัฐพิหาร.
มฆวัน,น.,พระอินทร์.
มฆะ,น.,"ดาวฤกษ์ที่ ๑๐ มี ๕ ดวง เห็นเป็นรูปโคมูตร วานร หรือ งอนไถ, ดาวโคมูตร ดาววานร ดาวงอนไถ หรือ ดาวงูผู้ ก็เรียก."
มฆะ,น.,"ดาวฤกษ์ที่ ๑๐ มี ๕ ดวง เห็นเป็นรูปโคมูตร วานร หรืองอนไถ, ดาวโคมูตร ดาววานร ดาวงอนไถ หรือ ดาวงูผู้ ก็เรียก."
มฆา,น.,"ดาวฤกษ์ที่ ๑๐ มี ๕ ดวง เห็นเป็นรูปโคมูตร วานร หรือ งอนไถ, ดาวโคมูตร ดาววานร ดาวงอนไถ หรือ ดาวงูผู้ ก็เรียก."
มฆา,น.,"ดาวฤกษ์ที่ ๑๐ มี ๕ ดวง เห็นเป็นรูปโคมูตร วานร หรืองอนไถ, ดาวโคมูตร ดาววานร ดาวงอนไถ หรือ ดาวงูผู้ ก็เรียก."
