คำ,POS,ความหมาย
ร,?,"พยัญชนะตัวที่ ๓๕ เรียกว่า รอ เรือ เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น การ วาร, เมื่อสะกดพยัญชนะที่ไม่มีสระอื่นเกาะต้องอ่านเหมือนมีสระ ออ อยู่ด้วย เช่น กร (กอน) กุญชร (กุนชอน), ถ้าตามพยัญชนะอื่น แต่มิได้ทำหน้าที่เป็นตัวสะกดและมีพยางค์อื่นตาม พยัญชนะที่อยู่หน้าตัว ร มักออกเสียงประสมสระ ออ และตัว ร ออกเสียง ระ เช่น จรลี (จอ-ระ-ลี) หรดี (หอ-ระ-ดี)."
รก ๑,ว.,"ที่กระจัดกระจายอยู่เกลื่อนกลาดไม่เป็นระเบียบเรียบร้อย เช่น ทิ้งกระดาษไว้รกบ้าน, ที่งอกหรือขึ้นรวมกันอยู่อย่างยุ่งเหยิงไม่เป็นระเบียบเรียบร้อย เช่น หญ้ารก ป่ารก, น่ารำคาญเพราะไม่เป็นระเบียบ เช่น รกตา รกหู รกสมอง."
รก ๒,น.,เครื่องสำหรับหล่อเลี้ยงเด็กในครรภ์แนบอยู่กับมดลูก มีสายล่ามมาที่สะดือเด็ก
รก ๒,น.,"สิ่งที่เป็นเส้นคล้ายรากไม้ที่ห้อยอยู่ตามกิ่งไม้บางอย่างเช่นมะดัน เรียกว่า รกมะดัน, บางทีเป็นแผ่นห่อกาบไม้เช่นต้นมะพร้าว เรียกว่า รกมะพร้าว."
รกชัฏ,ว.,"รกยุ่ง, รกอย่างป่าทึบ."
รกช้าง,น.,หญ้ารกช้าง. [ดู กะทกรก (๒)].
รกบิน,น.,รกที่ไม่ออกมาตามปรกติภายหลังคลอด แต่กลับตีขึ้นข้างบน.
รกฟ้า,น.,"ชื่อไม้ต้นขนาดใหญ่ชนิด Terminalia alata Heyne ex Roth ในวงศ์ Combretaceae ขึ้นตามป่าเต็งรัง เปลือกให้นํ้าฝาดสีแดงใช้ย้อมสี ใช้ทำยาได้, กอง ก็เรียก."
รกราก,น.,"ภูมิลำเนาเดิม, บ้านเกิด, หลักแหล่ง, เช่น คุณมีรกรากอยู่ที่ไหน"
รกราก,น.,เชื้อสาย.
รกร้าง,ว.,รกเพราะปล่อยทิ้งไว้ เช่น ที่รกร้าง ที่ดินรกร้างว่างเปล่า.
รกเรี้ยว,ว.,รกมาก เช่น ป่ารกเรี้ยว.
รกเรื้อ,ว.,รกมาก เช่น สวนรกเรื้อไม่ได้ดูแลเสียนาน.
รง ๑,น.,ชื่อไม้ต้นชนิด Garcinia hanburyi Hook.f. ในวงศ์ Guttiferae ใบเดี่ยว เรียงตรงข้าม ทุกส่วนมียางสีเหลือง.
รง ๒,น.,ชื่อยางไม้ที่ได้จากไม้ต้น ๒ ชนิดในสกุล Garcinia วงศ์ Guttiferae คือ มะพูด [G. dulcis (Roxb.) Kurz] และรง (G. hanburyi Hook.f.) ชนิดแรกให้ยางสีเขียว ๆ อมเหลืองเรียก รงกา ชนิดหลังให้ยางสีเหลืองเรียก รง ใช้ทำยาและเขียนหนังสือหรือระบายสี รงนั้นถ้าใช้ทองคำเปลวผสมเขียนตัวหนังสือหรือลวดลายต่าง ๆ เรียกว่า รงทอง.
รงกุ์,น.,ชื่อสัตว์ในพวกเนื้อชนิดหนึ่ง.
รงค์,น.,"สี, นํ้าย้อม"
รงค์,น.,"ความกำหนัด, ตัณหา, ความรัก"
รงค์,น.,"ที่ฟ้อนรำ, โรงละคร"
รงค์,น.,"สนามรบ, ลาน."
รงค-,น.,"สี, นํ้าย้อม"
รงค-,น.,"ความกำหนัด, ตัณหา, ความรัก"
รงค-,น.,"ที่ฟ้อนรำ, โรงละคร"
รงค-,น.,"สนามรบ, ลาน."
รงควัตถุ,น.,สีต่าง ๆ.
รงรอง,ว.,"สดใส, งดงาม, รุ่งเรือง, รังรอง ก็ว่า."
รจนา,ก.,"ตกแต่ง, ประพันธ์. (ป., ส.)."
รจนา,ว.,งาม.
รจเรข,น.,การขีดเขียน.
รจเรข,ว.,งาม.
รจเรข,ก.,แต่ง.
รจเลข,น.,การขีดเขียน.
รจเลข,ว.,งาม.
รจเลข,ก.,แต่ง.
รจิต,ก.,"ตกแต่ง, ประดับ, เรียบเรียง."
รจิต,ว.,งดงาม.
รชกะ,น.,"คนย้อมผ้า, คนซักผ้า."
รชตะ,น.,เงิน.
รชนิ,น.,"เวลาคํ่า, กลางคืน."
รชนี,น.,"เวลาคํ่า, กลางคืน."
รชนีกร,น.,พระจันทร์.
รชนีจร,น.,ผู้เที่ยวไปกลางคืน
รชนีจร,น.,รากษส.
รชะ,น.,"ธุลี, ละออง"
รชะ,น.,ความกำหนัด.
รณ,น.,"เสียง, เสียงดัง"
รณ,น.,สงคราม.
รณ,ก.,"รบ, รบศึก."
รณ-,น.,"เสียง, เสียงดัง"
รณ-,น.,สงคราม.
รณ-,ก.,"รบ, รบศึก."
รณเกษตร,น.,สนามรบ.(ส.).
รณภู,น.,สนามรบ.(ส.).
รณภูมิ,น.,สนามรบ.(ส.).
รณรงค์,น.,การรบ
รณรงค์,น.,สนามรบ.
รณรงค์,ก.,"ต่อสู้, โฆษณาชักชวนอย่างต่อเนื่องโดยมีเจตนาที่จะต่อสู้เพื่อให้บรรลุเป้าหมายตามที่ต้องการ เช่น รณรงค์หาเสียงในการเลือกตั้ง รณรงค์ให้คนไทยใช้ของไทย."
รณสถาน,น.,สนามรบ.(ส.).
รด,ก.,เท ราด สาด ฉีด หรือโปรยน้ำหรือของเหลวไปยังสิ่งใดสิ่งหนึ่งเพื่อให้เปียกหรือให้เปียกชุ่ม เช่น รดน้ำต้นไม้ เอาน้ำรดตัว
รด,ก.,โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น เช่น เยี่ยวรดที่นอน นกขี้รดหลังคา.
รดน้ำ,น.,"วิธีการเขียนจิตรกรรมเป็นลวดลายสีทองบนพื้นลงรักหรือทาชาด เรียกว่า ลายปิดทองรดนํ้า, ต่อมาเรียกสั้นลงเป็น ลายรดนํ้า."
รดน้ำ,ก.,หลั่งนํ้าในพิธีต่าง ๆ เช่น รดน้ำบ่าวสาวในพิธีแต่งงาน รดน้ำขอพรผู้ใหญ่ในวันสงกรานต์.
รดี,น.,รติ.
รตนะ,น.,รัตน์.
รตะ,น.,"ความสุข, ความสนุก."
รตะ,ก.,"ยินดี, ชอบใจ, สนุก."
รติ,น.,"ความยินดี, ความชอบใจ"
รติ,น.,"ความรัก, ความกำหนัด, แผลงใช้ว่า ฤดี หรือ รดี ก็ได้."
รถ,น.,ยานที่มีล้อสำหรับเคลื่อนไป เช่น รถม้า รถยนต์ รถไฟ.
รถ-,น.,ยานที่มีล้อสำหรับเคลื่อนไป เช่น รถม้า รถยนต์ รถไฟ.
รถกระบะ,น.,รถชนิดหนึ่งใช้บรรทุกสิ่งของ ทำตัวถังเป็นรูปอย่างกระบะ.
รถกุดัง,น.,รถบรรทุกชนิดหนึ่ง เดิมใช้บรรทุกสินค้าจากกุดังเก็บสินค้าที่ท่าเรือ ปัจจุบันใช้บรรทุกสินค้าเป็นต้น.
รถเก๋ง,น.,รถยนต์ที่มีหลังคาเครื่องบังแดดบังฝน มีทั้งชนิดติดตายตัวและเปิดปิดได้ ปรกตินั่งได้ไม่เกิน ๗ คน.
รถเข็น,น.,รถที่ไม่มีเครื่อง ต้องใช้คนเข็นหรือดันไป เช่น รถเข็นคนไข้.
รถแข่ง,น.,รถยนต์มีที่นั่งตอนเดียว ติดตั้งเครื่องยนต์กำลังแรงม้าสูง ใช้แข่งประลองความเร็ว.
รถคฤห,น.,รถที่มีหลังคาทรงจั่วซ้อนกัน ๒ ชั้น บางทีก็เป็นจตุรมุข สำหรับชักศพเจ้านายตั้งแต่ชั้นพระองค์เจ้าลงมา มีม้าลาก.
รถเครื่อง,น.,"จักรยานยนต์, รถที่มีล้อ ๒ ล้อเหมือนกับรถจักรยาน ขับเคลื่อนด้วยกำลังเครื่องยนต์, มอเตอร์ไซค์ ก็ว่า."
รถจักร,น.,"รถหัวขบวนรถไฟ มีเครื่องยนต์ใช้ลากจูงรถไฟทั้งขบวน, หัวรถจักร ก็เรียก."
รถจักรยาน,น.,รถถีบ
รถจักรยาน,น.,รถที่ขับเคลื่อนด้วยกำลังของผู้ขับขี่ที่มิใช่เป็นการลากเข็น.
รถจักรยานยนต์,น.,รถจักรยานที่มีเครื่องยนต์
รถจักรยานยนต์,น.,รถที่ขับเคลื่อนด้วยกำลังเครื่องยนต์ กำลังไฟฟ้า หรือพลังงานอื่น และมีล้อไม่เกิน ๒ ล้อ ถ้ามีพ่วงข้างมีล้อเพิ่มอีกไม่เกิน ๑ ล้อ.
รถจี๊ป,น.,รถยนต์แบบหนึ่ง ใช้ในวัตถุประสงค์ต่าง ๆ ได้แทบทุกภูมิประเทศ มีความคล่องตัวสูง.
รถเจ๊ก,น.,รถลากสำหรับให้ผู้โดยสารนั่ง มีล้อขนาดใหญ่ ๒ ล้อ มีคนจีนเป็นผู้ลาก.
รถฉุกเฉิน,น.,รถดับเพลิงและรถพยาบาลของทางราชการ หรือรถอื่นที่ได้รับอนุญาตให้ใช้ไฟสัญญาณแสงวับวาบหรือให้ใช้เสียงสัญญาณไซเรนหรือเสียงสัญญาณอย่างอื่น.
รถดับเพลิง,น.,รถใช้ในการดับไฟที่ไหม้อาคารบ้านเรือนต่าง ๆ เป็นต้น มีอุปกรณ์ในการดับไฟ เช่น ถังน้ำสำรอง สายสูบน้ำ หัวสูบ ระหว่างวิ่งไปเพื่อดับไฟจะเปิดไซเรนขอทางให้ยวดยานอื่นหลีกทางให้.
รถโดยสารประจำทาง,น.,รถบรรทุกคนโดยสารที่เดินตามทางที่กำหนดไว้ และเรียกเก็บค่าโดยสารเป็นรายคนตามอัตราที่วางไว้เป็นระยะทางหรือตลอดทาง.
รถตีนตะขาบ,น.,รถชนิดหนึ่งซึ่งมีสายพานหุ้มล้อ สามารถขับเคลื่อนไปในภูมิประเทศที่เป็นทุ่งนาป่าเขาได้ดีกว่ารถที่ใช้ล้อธรรมดา.
รถตุ๊ก ๆ,น.,รถสามล้อเครื่องรับจ้างบรรทุกผู้โดยสาร.
รถตู้,น.,ตู้รถไฟที่ใช้บรรทุกสินค้าเป็นต้นภายในโล่ง มักปิดทึบทั้ง ๔ ด้าน
รถตู้,น.,รถยนต์ขนาดกลาง รูปร่างคล้ายกล่อง มักมีประตูเปิดปิดด้านเดียว บรรทุกผู้โดยสารได้ประมาณ ๑๒-๑๕ คน.
รถไต่ถัง,น.,"การแสดงผาดโผนชนิดหนึ่งโดยขับขี่รถจักรยานยนต์วนไปรอบ ๆ ภายในถังไม้รูปทรงกระบอกขนาดใหญ่, ที่ใช้จักรยานสองล้อ หรือ รถยนต์ ก็มี."
