คำ,POS,ความหมาย
ฤ ๑,?,เป็นรูปสระในภาษาสันสกฤต เมื่อไทยนำมาใช้ออกเสียงเป็น ริ รึ หรือ เรอ เช่น ฤทธิ์ [ริด] ฤดู [รึดู] ฤกษ์ [เริก].
ฤ ๒,ว.,"หรือ, ไม่, เช่น จะมีฤ ว่า จะมีหรือ, ฤบังควร ว่า ไม่บังควร."
ฤกษ์ ๑,น.,"คราวหรือเวลาที่กำหนดหรือคาดว่าจะให้ผล เช่น ฤกษ์ดี ฤกษ์ร้าย, มักนิยมใช้ในทางดี เช่น หาฤกษ์แต่งงาน หาฤกษ์ยกเสาเอก."
ฤกษ์ ๒,น.,หมี
ฤกษ์ ๒,น.,"ดาวจระเข้, ดาวนพเคราะห์."
ฤกษ์ ๓,น.,เรียกดาวที่มีลักษณะเป็นกลุ่มแก๊สทรงกลมที่สามารถแผ่รังสีออกได้รอบตัว ว่า ดาวฤกษ์.
ฤกษณะ,น.,"การดู, การเห็น."
ฤกษ์บน,น.,ฤกษ์ที่ดาวนพเคราะห์เสวยประจำวัน มี ๒๗ ฤกษ์.
ฤกษ์พานาที,น.,ระยะเวลาที่เป็นฤกษ์.
ฤกษ์ล่าง,น.,ฤกษ์ที่ประกอบฤกษ์บน มี ๙ ฤกษ์.
ฤคเวท,น.,"ชื่อคัมภีร์ที่ ๑ ของพระเวท ใช้ภาษาสันสกฤตรุ่นเก่าที่สุด ประพันธ์เป็นฉันท์ มีอายุประมาณ ๕๐๐ ถึง ๑,๐๐๐ ปีก่อนพุทธกาล, อิรุพเพท ก็ว่า. (ส.; ป. อิรุพฺเพท). (ดู เวท, เวท- ประกอบ)."
ฤชา,น.,ค่าธรรมเนียม.
ฤชากร,น.,เงินที่ได้จากค่าธรรมเนียม.
ฤชุ,ว.,"ตรง, ซื่อ."
ฤณ,น.,"หนี้, หนี้สิน"
ฤณ,น.,ภาระ.
ฤดี,น.,"รติ, ความยินดี, ใจ."
ฤดียา,ก.,"เกลียด, รังเกียจ, ดูถูก."
ฤดู,น.,"ส่วนของปีซึ่งแบ่งโดยถือเอาภูมิอากาศเป็นหลัก มักแบ่งออกเป็น ๓ ช่วง คือ ฤดูฝน ฤดูหนาว และฤดูร้อน หรือเป็น ๔ ช่วง คือ ฤดูใบไม้ผลิ ฤดูร้อน ฤดูใบไม้ร่วง และฤดูหนาว ที่แบ่งเป็น ๒ ช่วง คือ ฤดูแล้งกับฤดูฝน ก็มี, เวลาที่กำหนดสำหรับงานต่าง ๆ เช่น ฤดูเก็บเกี่ยว ฤดูทอดกฐิน ฤดูถือบวช, เวลาที่เหมาะ เช่น ฤดูสัตว์ผสมพันธุ์"
ฤดู,น.,"คราว, สมัย, เช่น ฤดูนํ้าหลาก."
ฤดูกาล,น.,"เวลา, คราว, เช่น ฝนไม่ตกตามฤดูกาล."
ฤต,น.,"กฎ, วินัย, (เช่นในพระศาสนา)"
ฤต,น.,"ธรรมเนียม, ความจริง, ความชอบธรรม."
ฤติยา,ก.,"เกลียด, รังเกียจ, ดูถูก."
ฤตุ,น.,ฤดู.
ฤตุสนาน,น.,การอาบนํ้าของหญิงอินเดียในวันที่ ๔ หลังจากมีระดู.
ฤทธา,น.,อำนาจศักดิ์สิทธิ์ เช่น รุ่งเรืองฤทธาศักดาเดช (อิเหนา).
ฤทธิ์,น.,"อำนาจศักดิ์สิทธิ์, แรงอำนาจ, เช่น เทวดามีฤทธิ์."
ฤทัย,น.,"ใจ, ความรู้สึก. (กร่อนมาจาก หฤทัย)."
ฤษภ,น.,วัวตัวผู้.
ฤษยา,น.,ริษยา.
ฤษี,น.,"ฤๅษี, นักบวชพวกหนึ่ง มีมาก่อนพุทธกาล สละบ้านเรือนออกไปบำเพ็ญพรตแสวงหาความสงบ."
ฤๅ ๑,น.,เป็นรูปสระในภาษาสันสกฤต ซึ่งเป็นเสียงยาวของ ฤ เมื่อไทยนำมาใช้ออกเสียงเป็น รือ รี เช่น ฤๅษี [รือสี] ตฤๅ [ตฺรี].
ฤๅ ๒,ว.,"หรือ, อะไร, ไม่ใช่"
ฤๅ ๒,ว.,โดยมากใช้ในบทร้อยกรอง เช่น กวีฤๅแล้งแหล่งสยาม.
ฤๅชุ,ว.,"ตรง, ซื่อ."
ฤๅชุตา,น.,"ความตรง, ความซื่อสัตย์."
ฤๅดี,น.,"ฤดี, ความยินดี, ใจ."
ฤๅทัย,น.,"ฤทัย, ใจ, ความรู้สึก."
ฤๅเยา,ว.,"มิใช่เยา, มิใช่น้อย, ไม่เยา."
ฤๅษี,น.,"ฤษี, นักบวชพวกหนึ่ง มีมาก่อนพุทธกาล สละบ้านเรือนออกไปบำเพ็ญพรตแสวงหาความสงบ."
ฤๅษีแปลงสาร,น.,"ชื่อวิธีเขียนหนังสือลับแห่งไทยโบราณกลับตัวอักษรข้างหลังมาไว้ข้างหน้า, โดยปริยายหมายความว่า เปลี่ยนข้อความเดิมให้มีความหมายตรงกันข้าม."
ฤๅษีผสม,น.,"ชื่อไม้ล้มลุกชนิด Plectranthus scutellarioides (L.) R. Br. ในวงศ์ Labiatae ใบมีสีต่าง ๆ ขอบใบจักเป็นรูปฟันปลา, ฤๅษีผสมแล้ว หรือ ฤๅษีผสมเสร็จ ก็เรียก."
ฤๅษีเลี้ยงลิง,น.,ผู้เลี้ยงเด็กซุกซนหรือปกครองคนหมู่มากที่ไม่อยู่ในระเบียบวินัยย่อมเดือดร้อนรำคาญ.
ฤๅสาย,น.,คำเรียกผู้เป็นใหญ่เช่นกษัตริย์.
