คำ,POS,ความหมาย
ล,?,พยัญชนะตัวที่ ๓๖ เรียกว่า ลอ ลิง เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากนหรือแม่กน เช่น กาล พาล ฟุตบอล.
ลก,ว.,หก
ลก,ว.,"เรียกลูกชายคนที่ ๖ ว่า ลก, คู่กับ ลูกหญิงคนที่ ๖ ว่า อก."
ล่ก ๆ,ว.,อาการที่ทำอย่างรีบร้อนหรืออย่างลวก ๆ เช่น ทำงานล่ก ๆ เพื่อให้ทันเวลา ทำงานล่ก ๆ เอาดีไม่ได้.
ลการ,น.,ใบเรือ.
ลกุจ,น.,มะหาด.
ลคุฑ,น.,ไม้ตะบอง.
ลคุฬ,น.,ไม้ตะบอง.
ลฆุ,ว.,"เบา, เร็ว."
ลฆุจิต,ว.,มีใจเบา.
ลฆุภาพ,น.,"ความเบา, ความสะดวก, ความง่ายดาย."
ลฆุโภชน์,น.,"เครื่องว่าง, อาหารว่าง."
ลง,ก.,"ไปสู่เบื้องตํ่าหรือไปสู่เบื้องที่ถือว่าตรงข้ามกับขึ้น เช่น นํ้าลง เครื่องบินลง, ไปสู่พื้นดินและพื้นอื่น ๆ เช่น ลงดิน ลงบันได ลงเรือ"
ลง,ก.,เอาเครื่องมือจับสัตว์นํ้าวางขึง หรือปัก เพื่อจับสัตว์นํ้า เช่น ลงข่าย ลงลอบ ลงอวน ลงเบ็ด
ลง,ก.,จด เช่น ลงบัญชี
ลง,ก.,ทำพิธีจารึกมนตร์หรือสิ่งศักดิ์สิทธิ์ เช่น ลงเลขลงยันต์ ลงนะหน้าทอง ลงกระหม่อม
ลง,ก.,ยอม เช่น ผู้น้อยต้องลงผู้ใหญ่
ลง,ก.,ตีพิมพ์ออกเผยแพร่ เช่น เอาข่าวไปให้หนังสือพิมพ์ลง ลงแจ้งความ
ลง,ก.,ตกลงปลงใจแล้วก็ปักใจถือเอาเป็นแน่ เช่น ลงได้ทำเป็นไม่ทิ้ง ลงสู้แล้วไม่ถอย
ลง,ก.,ปลูก เช่น ลงมะพร้าว ลงลิ้นจี่
ลง,ก.,ลด เช่น ราคาทองลง ค่าเงินดอลลาร์ลง
ลง,ก.,ตก เช่น นํ้าค้างลง ฝนลง หมอกลง
ลง,ก.,เฆี่ยน เช่น ลงไม้ เอาหวายลงหลัง
ลง,ก.,ท้องเดิน เช่น ทั้งลงทั้งราก.
ลง,ว.,อาการที่ไปสู่เบื้องตํ่า เช่น ไหลลง เลื่อนลง ถอยลง
ลง,ว.,มากกว่าเดิม เช่น เลวลง ผอมลง ถูกลง สั้นลง.
ล่ง,ว.,"โล่ง, ว่าง, เปล่า, ไม่มีเครื่องกำบัง."
ลงกระหม่อม,ก.,ลงยันต์บนกระหม่อม แล้วเสกเป่าให้อยู่ยงคงกระพันเป็นต้น.
ลงกลอน,ก.,"ใส่กลอน, เดิมหมายถึงใส่กลอนล่าง."
ลงกา,น.,ชื่อเมืองของทศกัณฐ์ในเรื่องรามเกียรติ์.
ลงโกศ,ก.,"บรรจุศพลงในโกศ, เข้าโกศ ก็ว่า."
ลงขัน,ก.,"เอาเงินใส่ลงในขันเป็นต้นเพื่อช่วยในงานต่าง ๆ เช่น งานตัดจุก, ช่วยกันออกเงินเพื่อการใดการหนึ่ง เช่น ลงขันซื้อตู้เย็นไว้ใช้เป็นส่วนกลาง ลงขันเพื่อรวมเงินเป็นค่าอาหารในเวลาเดินทาง."
ลงข่าว,ก.,ตีพิมพ์ข่าวออกเผยแพร่.
ลงเข็ม,ก.,"ตอกเสาเข็มเพื่อฝังเป็นรากสิ่งก่อสร้างกันทรุด, ตอกเข็ม ก็ว่า."
ลงแขก,ก.,ร่วมแรงเพื่อนบ้านมาช่วยกันทำงานเช่นดำนา เกี่ยวข้าว ให้ลุล่วงเร็วขึ้นโดยไม่รับค่าจ้าง และผลัดเปลี่ยนช่วยกันไปตามความจำเป็นของแต่ละบ้าน
ลงแขก,ก.,รุมกันข่มขืนกระทำชำเราหญิง.
ลงคราม,ก.,เอาผ้าขาวที่ซักแล้วชุบลงในน้ำผสมครามอ่อน ๆ ก่อนนำขึ้นตาก เพื่อให้ผ้าขาวนวลเมื่อแห้งแล้ว.
ลงความเห็น,ก.,มีความเห็นร่วมกัน.
ลงคอ,ว.,อาการที่ทำสิ่งที่ขัดต่อคุณธรรมหรือศีลธรรมเป็นต้นโดยไม่ตะขิดตะขวง เช่น แม่หาเงินมาด้วยความยากลำบากลูกยังขโมยได้ลงคอ เด็กตัวเท่านี้แม่ยังตีได้ลงคอ.
ลงคะแนน,ก.,แสดงความเห็นโดยลงเป็นคะแนน.
ลงเงิน,ก.,เอาเงินมารวมกันเพื่อทำกิจการต่าง ๆ เช่น ลงเงินกันจัดรถไปทัศนาจร.
ลงจอบ,ก.,ใช้จอบขุดดิน.
ลงจอบลงเสียม,ก.,ใช้จอบขุดดิน.
ลงชื่อ,ก.,"เขียนชื่อ, ลงลายมือชื่อ, ลงนาม ก็ว่า."
ลงดาบ,ก.,ประหารชีวิตด้วยการใช้ดาบฟันคอให้ขาด เช่น เพชฌฆาตลงดาบนักโทษ.
ลงแดง,ก.,ท้องเดินและถ่ายเป็นเลือดออกมามาก (มักใช้แก่คนอดฝิ่น).
ลงตัว,ว.,ไม่มีเศษ ในคำว่า หารลงตัว.
ลงตัว,ก.,พอดี เช่น เรื่องนี้ลงตัวแล้ว.
ลงถม,ก.,"ใช้น้ำยาเคมีใส่ลงในพื้นที่เป็นร่องระหว่างลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้น้ำยาติดและให้พื้นเป็นสีดำ, ถม ถมดำ หรือ ถมยา ก็เรียก."
ลงถมยาสี,ก.,"ใช้น้ำยาเคมีใส่ลงในพื้นที่เป็นร่องระหว่างลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้น้ำยาติดและให้พื้นเป็นสีต่าง ๆ, เรียกสั้น ๆ ว่า ลงยา."
ลงทอง,ก.,ปิดทองตามลวดลาย เช่น ลวดลายแกะไม้ลงทอง.
ลงท้อง,ก.,ท้องเดิน.
ลงทะเบียน,ก.,"จดเป็นหลักฐาน เช่น จดหมายลงทะเบียน, ลงชื่อรายงานตัวเป็นหลักฐาน เช่น ลงทะเบียนเข้าร่วมสัมมนา, ลงชื่อแสดงความจำนงเข้าเรียน เช่น ลงทะเบียนเรียนภาคที่ ๑."
ลงทัณฑ์,ก.,ลงโทษผู้กระทำผิดต่อวินัยทหารหรือตำรวจ.
ลงท่า,น.,พระราชพิธีลงสรงในแม่น้ำของเจ้าฟ้า ทางราชการเรียกว่า พระราชพิธีสระสนาน
ลงท่า,น.,พิธีนำช้างลงสรงสนานที่ท่า.
ลงท้าย,ก.,จบ เช่น ลงท้ายจดหมายว่า ขอแสดงความนับถือ.
ลงท้าย,ว.,"ในที่สุด เช่น พูดว่าจะให้เงิน ลงท้ายก็เหลว คนเราลงท้ายก็ต้องตายกันทุกคน, เรียกข้อความที่ลงท้ายจดหมาย เช่น ควรมิควรแล้วแต่จะโปรด ขอแสดงความนับถืออย่างยิ่ง ว่า คำลงท้าย."
ลงทุน,ก.,"นำเงินหรือทรัพย์สินเป็นทุนเพื่อประกอบธุรกิจ, โดยปริยายหมายความว่า ยอมทำสิ่งที่ยากและไม่น่าจะทำได้ เช่น เขาลงทุนโกนหัวแสดงละคร."
ลงโทษ,ก.,ทำโทษเช่นเฆี่ยน จำขัง ปรับเอาเงิน เป็นต้น.
ลงนะหน้าทอง,ก.,ลงอักขระ นะ เป็นอักษรขอมที่หน้าผากและปิดทอง แล้วเอานิ้วหัวแม่มือคลึงให้ทองหายไปในเนื้อ เพื่อให้เกิดเสน่ห์เมตตามหานิยม.
ลงนา,ก.,"เริ่มทำนา, ยกออกจากบ้านไปอยู่นาเพื่อทำนา."
ลงนาม,ก.,ลงชื่อ.
ลงเนื้อเห็นด้วย,ก.,เห็นพ้องด้วย.
ลงโบสถ์,ก.,ลงอุโบสถ
ลงโบสถ์,ก.,โดยปริยายหมายความว่า เข้ากันได้ (มักใช้ในประโยคปฏิเสธ) เช่น นาย ก กับ นาย ข ไม่ลงโบสถ์กัน.
ลงปฏัก,ก.,"แทงด้วยประตัก (ใช้แก่วัวควาย), โดยปริยายหมายความว่า ทำโทษหรือดุด่าว่ากล่าวเป็นต้นเพื่อให้หลาบจำ."
ลงประตัก,ก.,"แทงด้วยประตัก (ใช้แก่วัวควาย), โดยปริยายหมายความว่า ทำโทษหรือดุด่าว่ากล่าวเป็นต้นเพื่อให้หลาบจำ."
ลงแป้ง,ก.,เอาผ้าชุบลงในนํ้าผสมแป้งมันที่กวนสุกแล้ว เพื่อให้ผ้าแข็งอยู่ตัว.
ลงผี,ก.,"ทำพิธีให้ผีเข้าสิงในตัว, เข้าผี ก็ว่า."
ลงฝัก,น.,โรคเกิดเพราะเส้นเลื่อนลงสู่ถุงอัณฑะทำให้ถุงอัณฑะโต เรียกว่า กระษัยลงฝัก.
ลงพระบังคน,ก.,"ถ่ายอุจจาระหรือปัสสาวะ, ถ้าถ่ายปัสสาวะ เรียกว่า ลงพระบังคนเบา, ถ้าถ่ายอุจจาระ เรียกว่า ลงพระบังคนหนัก."
ลงพื้น,ก.,เอาวัตถุเช่นดินสอพองหรือรักสมุกทาลงบนพื้นเพื่อให้ผิวเรียบก่อนที่จะทาน้ำมัน ทาสี หรือ เขียนลวดลาย.
ลงพุง,ว.,มีพุงพลุ้ยหรือยื่นออกมา.
ลงมติ,ก.,ลงความเห็นร่วมกันอย่างใดอย่างหนึ่ง.
ลงมีด,ก.,จดมีด คือ เริ่มฟัน.
ลงมีดลงไม้,ก.,ตีรันฟันแทง.
ลงมือ,ก.,"เริ่มทำ, ตั้งต้นทำ, เช่น ลงมือกินได้, ทำ เช่น กับข้าววันนี้ฉันลงมือเอง งานนี้เธอลงมือเองเชียวหรือ."
ลงไม้,ก.,เฆี่ยนด้วยไม้
ลงไม้,ก.,เอาไปใส่คาหรือใส่ขื่อไว้.
ลงยา,ก.,"ใช้น้ำยาเคมีใส่ลงในพื้นที่เป็นร่องระหว่างลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้นํ้ายาติดและให้พื้นเป็นสีต่าง ๆ, เรียกเต็มว่า ลงถมยาสี."
ลงรอย,ก.,เข้ากันได้.
ลงรอยกัน,ก.,เข้ากันได้.
ลงรัก,ก.,เอารักทาลงบนผิวสิ่งใดสิ่งหนึ่งเพื่อทำให้ผิวเรียบ เกลี้ยง ดำ เป็นมัน.
ลงราก,ก.,ท้องเดินและอาเจียน
ลงราก,ก.,วางฐานรากอันเป็นโครงสร้างส่วนที่รองรับอาคารหรือสิ่งปลูกสร้างตอนล่างสุดไม่ให้ทรุด เช่น ลงรากตึก ลงรากอาคาร
ลงราก,ก.,มีรากงอกลงไปยึดดิน เช่น ต้นไม้ลงราก.
ลงเรือลำเดียวกัน,ก.,"ทำงานร่วมกัน, ร่วมรับผลการกระทำด้วยกัน."
ลงแรง,ก.,ออกแรงทำงาน.
ลงโรง,ก.,เริ่มการแสดงมหรสพเช่นโขน ละคร ลิเก
ลงโรง,ก.,เข้าสู่โรงพิธีซัดนํ้า.
ลงเลขลงยันต์,ก.,เขียน สัก หรือแกะสลักตารางหรือลายเส้นเป็นตัวเลข อักขระ หรือรูปภาพลงบนแผ่นผ้า ผิวหนัง ไม้ โลหะ เป็นต้น พร้อมกับร่ายเวทมนตร์คาถากำกับ ถือว่าเป็นของขลัง.
ล้งเล้ง,ก.,ต่อว่าหรือดุว่าด้วยเสียงเอ็ดอึง เช่น ฉันทำแก้วแตกเขามาล้งเล้งเอากับฉันใหญ่.
ล้งเล้ง,ว.,อาการที่ส่งเสียงเอ็ดอึงราวกับทะเลาะวิวาทกัน เช่น พูดกันล้งเล้ง.
ลงเวลา,ก.,บันทึกเวลาที่มาทำงานและกลับบ้าน.
ลงศอก,ก.,เอาศอกกระทุ้งลง เช่น นักมวยลงศอกคู่ต่อสู้
ลงศอก,ก.,ใช้ศอกยันลงกับพื้นเพื่อพยุงตัวขณะหมอบ.
ลงส้น,ก.,อาการที่เดินกระแทกส้นเท้าแสดงความไม่พอใจเป็นต้น.
