คำ,POS,ความหมาย
ว,?,"พยัญชนะตัวที่ ๓๗ เรียกว่า วอ แหวน เป็นอักษรตํ่า ใช้เป็นพยัญชนะต้นและใช้เป็นตัวสะกดในมาตราเกอวหรือแม่เกอว เช่น กล่าว นิ้ว, ใช้ประสมกับรูปไม้หันอากาศเป็นสระอัวในคำที่ไม่มีตัวสะกด เช่น ตัว มัว, ใช้เป็นสระอัวในคำที่มีตัวสะกด เช่น สวย รวม."
วก,ก.,"หักเลี้ยวกลับ เช่น รถเลยที่หมายแล้ววกกลับ, ในบทกลอนใช้แผลงเป็น พก ก็มี."
วกวน,ก.,"ลดเลี้ยวไปมา, คดไปคดมา, เช่น ทางเข้าออกวกวน, อ้อมไปอ้อมมา, ย้อนไปย้อนมา, เช่น ให้การวกวน เขียนหนังสือวกวนอ่านไม่เข้าใจ."
วกะ,น.,หมาป่า.
วกุละ,น.,ต้นพิกุล.
วง,น.,"รูปที่มีเส้นที่โค้งเข้ามาบรรจบกัน ล้อมรอบเป็นขอบเขตสิ่งใดสิ่งหนึ่ง เช่น วงกลม วงรี, โดยปริยายหมายถึงลักษณะที่รวมกันเป็นหมู่เป็นกลุ่ม เช่น วงราชการ วงดนตรี"
วง,น.,"ส่วนสัดของมือที่ใช้ในการรำ, คู่กับ เหลี่ยม คือ ส่วนสัดของขาที่ใช้ในการรำ"
วง,น.,ลักษณนามใช้เรียกของที่เป็นวง เช่น แหวนวงหนึ่ง หรืออาการที่คนหลาย ๆ คนนั่งหรือยืนล้อมกันเป็นวง เช่น ไพ่วงหนึ่ง ระบำชาวไร่ ๒ วง นั่งล้อมวงกินข้าว ๓ วง หรือการเล่นที่มีคนหลาย ๆ คนร่วมกันเป็นชุดเป็นคณะ เช่น เครื่องสายวงหนึ่ง แตรวงวงหนึ่ง ดนตรี ๒ วงประชันกัน.
วง,ก.,"ล้อมรอบ, ทำเครื่องหมายเป็นรูปวงอย่างเอาดินสอเขียนเป็นรูปวงหมายไว้ หรือใช้ด้ายหรือเชือกอ้อมมาบรรจบกัน เช่น วงสายสิญจน์."
วงก์,น.,เบ็ด.
วงก์,ว.,"คด, โค้ง, ลดเลี้ยว"
วงก์,ว.,"คดโกง, ไม่ซื่อตรง."
วงกต,น.,"ชื่อภูเขาลูกหนึ่งในเรื่องมหาเวสสันดรชาดก ซึ่งมีทางเข้าออกวกวนอาจทำให้หลงทางได้, เรียกสั้น ๆ ว่า เขาวงก์ ก็มี, เรียกสิ่งที่ทำคล้ายคลึงเช่นนั้นในงานเทศน์มหาชาติหรืองานรื่นเริงอื่น ๆ เพื่อความสนุก ว่า เขาวงกต, โดยปริยายหมายถึงวกวนหาทางออกไม่ได้."
วงกบ,น.,กรอบประตูหรือหน้าต่าง.
วงกลม,น.,รูปวงที่กลมรอบมีรัศมีจากจุดศูนย์กลางไปถึงขอบมีขนาดเท่ากันหมด
วงกลม,น.,รูปที่เกิดจากเซตของจุดบนระนาบเซตหนึ่งที่อยู่ห่างจากจุดศูนย์กลางเป็นระยะเท่ากัน.
วงการ,น.,กลุ่มบุคคลที่มีอาชีพหรือความสนใจอย่างเดียวหรือในแนวเดียวกัน เช่น วงการธุรกิจ วงการบันเทิง วงการครู.
วงแขน,น.,อ้อมแขน เช่น โอบไว้ในวงแขน ได้ถ้วยรางวัลมา กอดไว้ในวงแขนไม่ยอมวาง.
วงเครื่องสาย,น.,ชื่อวงดนตรีไทยประเภทหนึ่ง ประกอบด้วยเครื่องดนตรีที่ใช้สายเป็นต้นกำเนิดของเสียง เช่น ซอ จะเข้ คุมจังหวะด้วยโทน ฉิ่ง และรำมะนา.
วงเครื่องสายผสม,น.,ชื่อวงดนตรีประเภทหนึ่ง ใช้เครื่องสายยืนพื้น แต่นำเอาเครื่องดนตรีชนิดอื่นมาผสมด้วย เช่น นำออร์แกนมาผสมเรียกว่า เครื่องสายผสมออร์แกน นำเปียโนมาผสม เรียกว่า เครื่องสายผสมเปียโน.
วงเงิน,น.,"จำนวนเงินที่กำหนดไว้เพื่อทำสิ่งใดสิ่งหนึ่ง เช่น ค้ำประกันในวงเงิน ๒๐,๐๐๐ บาท ซื้อของได้ในวงเงิน ๑,๐๐๐ บาทเท่านั้น."
วงจร,น.,"เส้นทางที่กระแสไฟฟ้าเคลื่อนที่ผ่านไปครบรอบ, โดยปริยายหมายถึงสิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น วงจรชีวิต."
วงจรชีวิต,น.,"การเวียนว่ายตายเกิด, ลักษณาการของชีวิตที่มีพัฒนาการเป็นขั้น ๆ ไปตามลำดับและในที่สุดก็จะเวียนมาบรรจบ ณ จุดเริ่มต้นใหม่ แล้วเวียนซ้ำต่อไปอีก เช่น ผีเสื้อออกไข่ แล้วไข่กลายเป็นตัวหนอน หนอนกลายเป็นดักแด้ ดักแด้กลายเป็นผีเสื้อ แล้วผีเสื้อก็ออกไข่ ฯลฯ."
วงจรปิด,น.,วงจรไฟฟ้าที่มีกระแสไฟฟ้ากำลังเคลื่อนที่อยู่ครบวงจร.
วงจรเปิด,น.,วงจรไฟฟ้าที่กระแสไฟฟ้าเคลื่อนที่ไม่ครบวงจร.
วงเดือน,น.,ชื่อเลื่อยชนิดหนึ่ง ลักษณะเป็นแผ่นกลม มีฟันอยู่โดยรอบ.
วงนอก,น.,"บุคคลหรือกลุ่มบุคคลที่ไม่มีส่วนเกี่ยวข้องกับกิจการหรือเรื่องใดเรื่องหนึ่งโดยตรง เช่น ผู้ที่ไม่ใช่สมาชิกถือเป็นคนวงนอก, ตรงข้ามกับ วงใน."
วงใน,น.,"บุคคลหรือกลุ่มคนที่เกี่ยวข้องกับกิจการหรือเรื่องใดเรื่องหนึ่งโดยตรง เช่น ข่าวนี้รู้มาจากวงในของราชการ เรื่องนี้พูดกันแต่วงในของคณะรัฐมนตรี, ตรงข้ามกับ วงนอก."
วงปี่พาทย์ดึกดำบรรพ์,น.,ชื่อวงปี่พาทย์ประสมชนิดหนึ่งที่นำเครื่องดนตรีที่มีเสียงแหลมออกไปทำให้เกิดเสียงทุ้มนุ่มนวล เกิดขึ้นในสมัยรัชกาลที่ ๕.
วงพาด,น.,รั้วสี่เหลี่ยมภายในเพนียด ใช้ล้อมช้าง ทำด้วยซุงเป็นต้น ๆ ปักเรียงรายเว้นระยะพอให้คนลอดเข้าออกได้ มีไม้ตีพาดเสาเหล่านั้นให้ยึดติดกันโดยรอบ.
