คำ,POS,ความหมาย
ศ,?,พยัญชนะตัวที่ ๓๘ เรียกว่า ศอ ศาลา เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น ปราศจาก อัศวิน อากาศ.
ศก ๑,น.,ผม เช่น พระศกพระพุทธรูป.
ศก ๒,น.,"ระบบการคำนวณนับเวลาเรียงลำดับกันเป็นปี ๆ โดยถือเอาเหตุการณ์ใดเหตุการณ์หนึ่งเป็นจุดเริ่มต้น ดังในคำว่า รัตนโกสินทรศก ซึ่งถือเอาปีเริ่มสร้างกรุงรัตนโกสินทร์เป็นจุดเริ่มต้น, บางทีก็ใช้เป็นคำย่อของศักราช เช่น พุทธศก คริสต์ศก"
ศก ๒,น.,คำเรียกปีหนึ่ง ๆ ของจุลศักราช เพื่อให้ทราบว่าเป็นปีที่ลงท้ายด้วย ๑ ๒ ... หรือ ๐ เช่น ถ้าลงท้ายด้วย ๑ เรียกว่า เอกศก ลงท้ายด้วย ๒ เรียกว่า โทศก ... ลงท้ายด้วย ๐ เรียกว่า สัมฤทธิศก
ศก ๒,น.,ปี เช่น ศกนี้ ศกหน้า วันเถลิงศก.
ศกฏะ,น.,เกวียน.
ศกละ,น.,"ส่วน, ซีก."
ศกุน,น.,นก.
ศกุนต์,น.,นก.
ศกุนิ,น.,นก.
ศกุนี,น.,นกตัวเมีย.
ศงกา,น.,ความสงสัย.
ศจี,น.,ชายาพระอินทร์.
ศฐะ,น.,"คนโกง, คนล่อลวง"
ศฐะ,น.,คนโอ้อวด.
ศดก,น.,หมวด ๑๐๐.
ศต-,น.,ร้อย (๑๐๐).
ศตกะ,น.,"หมวด ๑๐๐, มีจำนวน ๑๐๐, ใช้ ศดก ก็มี."
ศตบาท,น.,"ตะขาบ, ตะเข็บ, กิ้งกือ."
ศตปที,น.,"ตะขาบ, ตะเข็บ, กิ้งกือ."
ศตพรรษ,น.,รอบ ๑๐๐ ปี.
ศตภิษัช,น.,"ดาวฤกษ์ที่ ๒๔ มี ๔ ดวง เห็นเป็นรูปทิมทองหรือมังกร, ดาวพิมพ์ทอง หรือ ดาวยักษ์ ก็เรียก."
ศตวรรษ,น.,รอบ ๑๐๐ ปี.
ศตสังวัตสร์,น.,เวลานานชั่ว ๑๐๐ ปี.
ศตะ,น.,ร้อย (๑๐๐).
ศตัฆนี,น.,อาวุธอย่างร้ายแรงฆ่าคนได้ทีละ ๑๐๐ คน.
ศนิ,น.,ดาวพระเสาร์.
ศนิวาร,น.,"วันเสาร์, โสรวาร ก็ว่า."
ศพ,น.,"ซากผี, ร่างคนที่ตายแล้ว."
ศพละ,ว.,"หลายสี, ด่าง, ลาย, พร้อย, กระ"
ศพละ,ว.,"วุ่น, รำคาญ."
ศมนะ,น.,การทำให้สงบ.
ศมะ,น.,"ความสงบ, ความนิ่ง."
ศยนะ,น.,"การนอน, การหลับ"
ศยนะ,น.,"ที่นอน, ฟูก, เบาะ."
ศยะ,ก.,นอน
ศยะ,ก.,หลับ
ศยะ,ก.,"อยู่, พักผ่อน, มักใช้เป็นส่วนท้ายสมาส."
ศยาม,ว.,"ดำ, คลํ้า."
ศยามล,น.,สีดำ.
ศยามล,ว.,"ผิวคลํ้า, ดำ."
ศร,น.,"อาวุธชนิดหนึ่ง ประกอบด้วยคันสำหรับยิง เรียกว่า คันศร กับลูกที่มีปลายแหลม เรียกว่า ลูกศร, เรียกสายคันศร ว่า สายศร, เรียกอาการที่ยิงลูกศรออกไป ว่า แผลงศร หรือ ยิงศร"
ศร,น.,ปืน.
ศรนารายณ์,น.,"ชื่อไม้ล้มลุกชนิด Agave sisalana Perrine ในวงศ์ Agavaceae ใบใหญ่หนาและแข็ง ปลายเป็นหนามแหลม ใบให้ใยใช้ทำสิ่งทอได้, สับปะรดเทศ ก็เรียก."
ศรภะ,น.,สัตว์ในนิยาย ว่ากันว่ามี ๘ เท้า มีแรงมากกว่าช้างและสิงโต.
ศรมณะ,น.,"ผู้ปฏิบัติบำเพ็ญพรต, พระสงฆ์."
ศรรกรา,น.,ก้อนกรวด
ศรรกรา,น.,นํ้าตาลกรวด.
ศรวณะ,น.,"ดาวฤกษ์ที่ ๒๒ มี ๓ ดวง เห็นเป็นรูปหามผีหรือโลง, ดาวหลักชัย หรือ ดาวพระฤๅษี ก็เรียก."
ศรวณีย์,ว.,"พึงได้ยิน, ควรได้ยิน"
ศรวณีย์,ว.,"น่าฟัง, น่าชม."
ศรวิษฐา,น.,"ชื่อหนึ่งของดาวฤกษ์ธนิษฐา มี ๔ ดวง, ดาวกา ดาวไซ ดาวเศรษฐี หรือ ดาวธนิษฐะ ก็เรียก."
ศรศิลป์ไม่กินกัน,ก.,ทำอันตรายกันไม่ได้ เช่น ถ้อยทีศรศิลป์ไม่กินกัน (รามเกียรติ์ ร. ๖)
ศรศิลป์ไม่กินกัน,ก.,"ไม่ถูกกัน, ไม่ลงรอยกัน, ไม่ชอบหน้ากัน, เช่น พี่น้องคู่นี้ศรศิลป์ไม่กินกัน เจอหน้ากันเมื่อใดต้องทะเลาะกันเมื่อนั้น."
ศระวณะ,น.,"ดาวฤกษ์ที่ ๒๒ มี ๓ ดวง เห็นเป็นรูปหามผีหรือโลง, ดาวหลักชัย หรือ ดาวพระฤๅษี ก็เรียก."
ศรัณย์,ว.,ซึ่งเป็นที่พึ่ง.
ศรัณยู,น.,ผู้เป็นที่พึ่ง.
ศรัถนะ,น.,"การปล่อย, การหย่อน."
ศรัท,น.,ฤดูสารท.
ศรัทธา,น.,"ความเชื่อ, ความเลื่อมใส, เช่น สิ้นศรัทธา ฉันมีศรัทธาในความดีของเขา บางทีก็ใช้เข้าคู่กับคำ ประสาทะ เป็น ศรัทธาประสาทะ."
ศรัทธา,ก.,"เชื่อ, เลื่อมใส, เช่น เขาศรัทธาในการรักษาแบบแพทย์แผนโบราณ."
ศรัย,น.,"ที่พักพิง, ที่พึ่ง, ที่อาศัย, ที่ร่มเย็น."
ศราทธ์,น.,การทำบุญให้แก่ญาติผู้ล่วงลับไปแล้ว.
ศราทธ-,น.,การทำบุญให้แก่ญาติผู้ล่วงลับไปแล้ว.
ศราทธพรต,น.,พิธีทำบุญให้แก่ญาติผู้ล่วงลับไปแล้ว.
ศราพ,น.,"การได้ยิน, การฟัง."
ศราพก,น.,"สาวก, ศิษย์."
ศรายุธ,น.,อาวุธคือศร.
ศราวก,น.,"สาวก, ศิษย์."
ศราวณะ,น.,ชื่อเดือนที่ ๙ แห่งจันทรคติ.
ศราวณะ,ว.,เกี่ยวกับดาวศรวณะ.
ศราวรณ์,น.,เครื่องกำบังลูกศร คือ โล่.
ศราสน์,น.,คันศร.
ศรี ๑,น.,"มิ่ง, สิริมงคล, ความรุ่งเรือง, ความสว่างสุกใส, ความงาม, ความเจริญ, เช่น ศรีบ้าน ศรีเรือน ศรีเมือง, ใช้นำหน้าคำบางคำเป็นการยกย่อง เช่น พระศรีรัตนตรัย วัดพระศรีรัตนศาสดาราม."
ศรี ๒,น.,พลู. (ม.)
ศรี ๒,น.,หมากพลู เรียกว่า พระศรี.
ศรี ๓,น.,ผู้หญิง.
ศรี ๔,น.,ลักษณนามใช้แก่คน เช่น พระปิตุราชมาตุรงค์ทรงพระสรวล เห็นสมควรคู่ครองกันสองศรี (อภัย).
ศรีตรัง,น.,ชื่อไม้ต้น ๒ ชนิดในสกุล Jacaranda วงศ์ Bignoniaceae ต้นอาจสูงได้ถึง ๑๐ เมตร ใบเป็นฝอยเล็ก คือ ชนิด J. filicifolia (G. Anderson) D. Don ดอกสีม่วงปนน้ำเงิน และชนิด J. mimosifolia D. Don ดอกสีม่วง.
ศรียะลา,น.,"ชื่อไม้ต้นหลายชนิดในสกุล Saraca วงศ์ Leguminosae เช่น อโศกนํ้า ( S. indica L.) ดอกสีส้มหรือแสด, โสก ก็เรียก, อโศกเหลือง ( S. thaipingensis Cantley ex Prain) ดอกสีเหลือง, โศก หรือ ศรียะลา ก็เรียก."
ศรีสังคีต,น.,ชื่อเพลงไทยประเภทเพลงโหมโรง.
ศรุตะ,ก.,"ได้ยิน, ได้ฟัง"
ศรุตะ,ก.,"มีชื่อเสียง, มีผู้รู้จัก."
ศรุติ,น.,"สิ่งที่ได้ยิน, กิตติศัพท์"
ศรุติ,น.,พระเวท.
ศฤคาล,น.,หมาจิ้งจอก.
ศฤงค์,น.,เขาสัตว์
ศฤงค์,น.,ยอดของสถานที่ต่าง ๆ.
ศฤงคาร,น.,"สิ่งให้เกิดความรัก, บริวารหญิงผู้บำเรอความรัก เช่น สาวศฤงคารคนใช้ (ม. คำหลวง ทานกัณฑ์)."
ศฤงคารรส,น.,รส ๑ ใน ๙ รสของวรรณคดี มีเนื้อเรื่องเกี่ยวกับความรัก เช่น เรื่องลิลิตพระลอมีเนื้อเรื่องเป็นศฤงคารรส.
ศฤงคาริน,ว.,ผู้มีศฤงคาร.
ศฤงคารี,ว.,ผู้มีศฤงคาร.
ศลภะ,น.,แมลงมีปีก.
ศลัถ,น.,"ลุ่ย, หลุด"
ศลัถ,น.,"หลวม, ไม่แน่น."
ศลิษฏ์,ว.,"ติด, แนบ, เกี่ยวข้อง."
ศลิษา,น.,การกอดรัด.
ศวศุระ,น.,"พ่อตา, พ่อผัว."
ศวะ,น.,ศพ.
ศวัส,น.,วันพรุ่งนี้.
ศวัสนะ,น.,การหายใจ.
ศวา,น.,หมา.
ศวาน,น.,หมา.
ศวาสะ,น.,"การหายใจ, ลมหายใจ."
ศศ-,น.,"กระต่าย, รอยดำที่ปรากฏในดวงจันทร์ ซึ่งถือกันว่าคล้ายกระต่าย."
ศศธร,น.,ทรงไว้ซึ่งรูปกระต่าย คือ ดวงจันทร์.
ศศพินทุ์,น.,ดวงจันทร์.
ศศลักษณ์,น.,ดวงจันทร์.
ศศะ,น.,"กระต่าย, รอยดำที่ปรากฏในดวงจันทร์ ซึ่งถือกันว่าคล้ายกระต่าย."
ศศิ ๑,น.,“ซึ่งมีกระต่าย” คือ ดวงจันทร์.
ศศิ ๒,น.,ชื่อยาม ๑ ใน ๘ ยามในเวลากลางคืน.(ดู ยาม).
ศศิกษัย,น.,พระจันทร์แรม.
ศศิขัณฑ์,น.,เสี้ยวพระจันทร์.
ศศิเคราะห์,น.,จันทรคราส.
ศศิธร,น.,ดวงจันทร์.
ศศิน,น.,“ซึ่งมีกระต่าย” คือ ดวงจันทร์.
ศศิมณฑล,น.,ดวงพระจันทร์.
ศศิวิมล,ว.,บริสุทธิ์เพียงจันทร์.
ศศี,น.,“ซึ่งมีกระต่าย” คือ ดวงจันทร์.
ศสา,น.,แตงกวา.
ศอ,น.,"คอ, ราชาศัพท์ ว่า พระศอ."
ศอก,น.,"ส่วนของแขน ตรงข้ามกับข้อพับ, ข้อศอก ก็ว่า"
ศอก,น.,ช่วงของแขนตั้งแต่ปลายสุดของข้อพับไปถึงปลายนิ้วกลาง
ศอก,น.,มาตราวัดตามวิธีประเพณี ๑ ศอก เท่ากับ ๒ คืบ.
ศอกกลับ,ก.,หมุนตัวตีศอกทางด้านหลัง เป็นท่ามวยไทยท่าหนึ่ง
ศอกกลับ,ก.,"โดยปริยายหมายความว่า ย้อนว่าสวนคำ, พูดตอบสวนควัน, เช่น พอเขาว่ามาก็ศอกกลับไป."
ศอกกำ,น.,ระยะตั้งแต่ข้อศอกจนสุดกำมือ โบราณใช้เป็นหน่วยวัดระยะ เช่น ๔ ศอกกับศอกกำมาหนึ่ง.
ศอกกำมา,น.,ระยะตั้งแต่ข้อศอกจนสุดกำมือ โบราณใช้เป็นหน่วยวัดระยะ เช่น ๔ ศอกกับศอกกำมาหนึ่ง.
ศอกคู้,น.,"ชื่อหนึ่งของดาวฤกษ์หัสตะ มี ๕ ดวง, ดาวศีรษะช้าง ดาวหัสต หรือ ดาวหัฏฐะ ก็เรียก."
ศอกตูม,น.,ระยะตั้งแต่ข้อศอกจนสุดกำมือ โบราณใช้เป็นหน่วยวัดระยะ เช่น ๔ ศอกกับศอกกำมาหนึ่ง.
ศักดา,น.,อำนาจ เช่น อวดศักดา แผลงศักดา.
ศักดิ์,น.,"อำนาจ, ความสามารถ, เช่น มีศักดิ์สูง ถือศักดิ์"
ศักดิ์,น.,กำลัง
ศักดิ์,น.,ฐานะ เช่น มีศักดิ์และสิทธิแห่งปริญญานี้ทุกประการ
ศักดิ์,น.,"หอก, หลาว."
ศักดิ-,น.,"อำนาจ, ความสามารถ, เช่น มีศักดิ์สูง ถือศักดิ์"
ศักดิ-,น.,กำลัง
ศักดิ-,น.,ฐานะ เช่น มีศักดิ์และสิทธิแห่งปริญญานี้ทุกประการ
ศักดิ-,น.,"หอก, หลาว."
