คำ,POS,ความหมาย
ส ๑,?,พยัญชนะตัวที่ ๔๐ เรียกว่า สอ เสือ เป็นอักษรสูง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากดหรือแม่กด เช่น รส สัมผัส สวิส.
ส ๒,?,"คำประกอบหน้าคำอื่นที่มาจากภาษาบาลีและสันสกฤต บ่งความว่า กอบด้วย, พร้อมด้วย, เช่น สเทวก ว่า พร้อมด้วยเทวดา."
สก- ๑,ว.,ของตน.
สก ๒,น.,ผม.
สก ๓,ก.,สะเด็ดนํ้า เช่น เอาข้าวที่ซาวนํ้าแล้วใส่ในตะแกรงเพื่อให้นํ้าแห้ง เรียกว่า สก.
สกฏ-,น.,เกวียน.
สกฏภาระ,น.,ของบรรทุกเกวียน.
สกฏะ,น.,เกวียน.
สกทาคามิผล,น.,"ธรรมที่พระสกทาคามีได้บรรลุ. (ป. สกทาคามิผล, สกิทาคามิผล; ส. สกฤทาคามินฺ + ผล). (ดู ผล)."
สกทาคามิมรรค,น.,"ทางปฏิบัติที่ให้สำเร็จเป็นพระสกทาคามี. (ส. สกฤทาคามินฺ + มารฺค; ป. สกทาคามิมคฺค, สกิทาคามิมคฺค). (ดู มรรค)."
สกทาคามี,น.,"“ผู้มาสู่กามภพอีกครั้งหนึ่ง” เป็นชื่อพระอริยบุคคลชั้นที่ ๒ ใน ๔ ชั้น คือ พระโสดาบัน พระสกทาคามี พระอนาคามี และพระอรหันต์, บางทีก็เรียกสั้น ๆ ว่า พระสกทาคา หรือ พระสกิทาคา."
สกนธ์,น.,"ขันธ์, กอง, ส่วนร่างกาย, ร่างกาย."
สกปรก,ว.,"เปรอะหรือเปื้อนด้วยสิ่งที่ถือว่าน่าเกลียดหรือที่ไม่พึงประสงค์ เช่น เสื้อผ้าสกปรก เนื้อตัวสกปรกด้วยฝุ่นละออง, ขุ่นมัว, ไม่สะอาดหมดจด, เช่น น้ำสกปรก จิตใจสกปรก, ลักษณะกิริยาวาจาที่แสดงออกอย่างหยาบคาย เช่น พูดจาสกปรก, โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น เช่น เขาเป็นคนสกปรก เล่นสกปรก."
สกรณีย์,น.,ผู้ยังมีหน้าที่จะต้องทำ.
สกรรจ์,ว.,"ร้าย, ดุร้าย"
สกรรจ์,ว.,"เก่งกาจ, แข็งแรง, โดยมากใช้ ฉกรรจ์."
สกรรถ,น.,เรียกคำที่เพิ่มเข้าข้างหลังคำเดิม เมื่อเพิ่มแล้ว มีความหมายคงเดิม หรือหมายถึงพวกหรือหมู่ ว่า คำสกรรถ เช่น อากร (ในคำเช่น นรากร ประชากร) อาการ (ในคำเช่น คมนาการ ทัศนาการ) ชาติ (ในคำเช่น มนุษยชาติ ติณชาติ) ประเทศ (ในคำเช่น อุรประเทศ หทัยประเทศ).
สกรรมกริยา,น.,กริยาที่มีกรรมหรือผู้ถูกกระทำมารับ เช่น ดื่มน้ำ เตะฟุตบอล.
สกล,ว.,สากล.
สกล-,ว.,สากล.
สกลมหาสังฆปริณายก,น.,ตำแหน่งของสมเด็จพระสังฆราชในฐานะที่ทรงเป็นประมุขแห่งคณะสงฆ์ทั้งปวง.
สกลโลก,น.,"ทั้งโลก, โลกทั้งสิ้น, ทั่วโลก."
สกวาที,น.,"ผู้กล่าวถ้อยคำฝ่ายตน คือ ฝ่ายเสนอหรือฝ่ายถาม, คู่กับ ปรวาที."
สกัด,ก.,"กั้น, ขวาง, เช่น สกัดหน้า"
สกัด,ก.,"ตัดหรือกะเทาะของแข็งเช่นเหล็ก หิน ให้เป็นร่อง รอย ทะลุ หรือให้ขาดจากกัน, เรียกเหล็กที่ใช้ตัดหรือกะเทาะของแข็งเช่นนั้น ว่า เหล็กสกัด"
สกัด,ก.,เค้นหรือแยกเอาออกมา เช่น สกัดนํ้ามัน สกัดน้ำหอมจากดอกกุหลาบ.
สกัดแคร่,น.,โคลงทวารประดับ.
สกา,น.,เครื่องเล่นการพนันอย่างหนึ่งใช้ลูกบาศก์ทอดแล้วเดินตัวสกาตามแต้มลูกบาศก์.
สกาว,ว.,"ขาว, สะอาด, หมดจด."
สกิทาคามิผล,น.,"ธรรมที่พระสกทาคามีได้บรรลุ. (ป. สกทาคามิผล, สกิทาคามิผล; ส. สกฤทาคามินฺ + ผล). (ดู ผล)."
สกิทาคามิมรรค,น.,"ทางปฏิบัติที่ให้สำเร็จเป็นพระสกทาคามี. (ส. สกฤทาคามินฺ + มารฺค; ป. สกทาคามิมคฺค, สกิทาคามิมคฺค). (ดู มรรค)."
สกิทาคามี,น.,"“ผู้มาสู่กามภพอีกครั้งหนึ่ง” เป็นชื่อพระอริยบุคคลชั้นที่ ๒ ใน ๔ ชั้น คือ พระโสดาบัน พระสกทาคามี พระอนาคามี และพระอรหันต์, บางทีก็เรียกสั้น ๆ ว่า พระสกทาคา หรือ พระสกิทาคา."
สกิทาคามี,น.,สกทาคามี.
สกี,น.,แผ่นไม้แคบ ๆ ๒ แผ่น ปรกติยาวแผ่นละ ๑.๕-๒.๔ เมตร มีที่สำหรับสวมเท้าผู้เล่น ใช้ในการเล่นสกี
