คำ,POS,ความหมาย
ห,?,พยัญชนะตัวที่ ๔๑ เรียกว่า หอ หีบ เป็นอักษรสูง ใช้เป็นพยัญชนะต้น ใช้นำอักษรตํ่าเดี่ยวให้ผันอย่างอักษรสูงและตัว ห ไม่ออกเสียง เช่น หงอย หนา.
หก ๑,ก.,"อาการที่ส่วนเบื้องสูงของร่างกาย ของภาชนะ หรือของสิ่งใดสิ่งหนึ่งเอียงลง เทลง ในทันใดจากที่เดิม เช่น หกต่ำหกสูง น้ำหก ข้าวหก, โดยปริยายเรียกอาการเช่นนั้น เช่น กระดานหก."
หก ๒,น.,ชื่อนกปากขอขนาดเล็ก ในวงศ์ Psittacidae ปากหนา หัวโต ตัวสีเขียว หางสั้น อยู่รวมกันเป็นฝูง ทำรังตามโพรงไม้ มักเกาะห้อยหัวลง กินผลไม้และเมล็ดพืช ในประเทศไทยมี ๓ ชนิด คือ หกใหญ่ [Psittinus cyanurus (Forster)] หกเล็กปากแดง [Loriculus vernalis (Sparrman)] และหกเล็กปากดำ [L. galgulus (Linn.)].
หก ๓,น.,จำนวนห้าบวกหนึ่ง
หก ๓,น.,ชื่อเดือนจันทรคติ เรียกว่า เดือน ๖ ตกในราวเดือนพฤษภาคม.
หกคว่ำ,ก.,อาการที่ภาชนะเอียงคว่ำลง
หกคว่ำ,ก.,"ล้มคว่ำ, บางทีก็ใช้เข้าคู่กับคำ คะมำหงาย เป็น หกคว่ำคะมำหงาย ซึ่งมีความหมายคล้ายกับ ล้มคว่ำคะมำหงาย."
หกคะเมน,ก.,"ล้มหัวทิ่ม เช่น หกคะเมนลงไปข้างท้องร่อง, เอาหัวหรือมือทั้ง ๒ ข้างปักลงที่พื้น ยกเท้าชี้ขึ้นข้างบน แล้วม้วนตัวไปข้างหลัง, บางทีใช้เข้าคู่กับคำ ตีลังกา เป็น หกคะเมนตีลังกา."
หกบท,น.,ชื่อเพลงไทย อัตรา ๒ ชั้น หน้าทับปรบไก่
หกบท,น.,ชื่อเพลงไทยประเภทเพลงเถา.
หกล้ม,ก.,"ล้มลง, ทรุดตัวลงเพราะเสียการทรงตัว."
หกโล่,ก.,หกกลิ้ง.
หกหัน,ก.,"หันกลับ, หมุนกลับ."
หกเหียน,น.,เรียกไม้ดัดแบบหนึ่งที่มีหุ่นหักลงดิน แล้ววกกลับขึ้นมา ว่า ไม้หกเหียน.
หง,ว.,มีสีแดงเจือสีขาวทำให้สีแดงนั้นอ่อนลง เช่น หงเสน คือ สีแดงเสนผสมสีขาว หงชาด คือ สีแดงชาดผสมสีขาว หงดิน คือ สีแดงเลือดหมูผสมสีขาว.
หงก ๆ,ว.,"อาการที่หัวหงุบลงแล้วเผยอขึ้นเร็ว ๆ, อาการที่เดินโดยทำหัวเช่นนั้น เรียกว่า เดินหงก ๆ."
หงส-,น.,นกในนิยายถือว่าเป็นนกในตระกูลสูง มีเสียงไพเราะ เป็นพาหนะของพระพรหม
หงส-,น.,ในวรรณคดีหมายถึงบุคคลที่มีชาติตระกูลสูงและเปรียบการเดินที่งดงามอ่อนช้อยและเป็นสง่าเทียบด้วยการเดินของหงส์.
หงส์ ๑,น.,นกในนิยายถือว่าเป็นนกในตระกูลสูง มีเสียงไพเราะ เป็นพาหนะของพระพรหม
หงส์ ๑,น.,ในวรรณคดีหมายถึงบุคคลที่มีชาติตระกูลสูงและเปรียบการเดินที่งดงามอ่อนช้อยและเป็นสง่าเทียบด้วยการเดินของหงส์.
หงส์ ๒,น.,ชื่อนกจำพวกเป็ดขนาดใหญ่หลายชนิด วงศ์ย่อย Cygninae ในวงศ์ Anatidae คอยาว เป็นนกที่นำเข้ามาในประเทศไทย มีถิ่นกำเนิดในทวีปยุโรป อเมริกา และตอนเหนือของทวีปเอเชีย เช่น หงส์ขาว [Cygnus olor (Gmelin)] หงส์ดำ [C. atratus (Latham)] หงส์คอดำ [C. melanocorypha (Molina)].
หงสคติ,น.,ท่าเดินอย่างหงส์ คือ มีลักษณะงดงามอ่อนช้อยและเป็นสง่า.
หงส์ทอง,น.,ชื่อเพลงไทย อัตราชั้นเดียว และอัตรา ๓ ชั้น ถ้าเป็นอัตรา ๒ ชั้น เรียกว่า เพลงเวสสุกรรม
หงส์ทอง,น.,ชื่อเพลงไทยประเภทเพลงเถา หน้าทับปรบไก่.
หงสบาท,ว.,"มีสีคล้ายเท้าหงส์ คือ สีแดงปนเหลือง, สีแดงเรื่อ หรือ สีแสด ก็ว่า."
หงสโปดก,น.,"ลูกหงส์, เขียนเป็น หงษโปฎก ก็มี เช่น ดุจหงษโปฎก กระเหว่าเหล่านก พลัดแม่สูญหาย (ม. คำหลวง มัทรี)."
หงสรถ,น.,พระผู้มีหงส์เป็นพาหนะ คือ พระพรหม.
หงส์ร่อนมังกรรำ,น.,ชื่อพิธีกรรมทางไสยศาสตร์อย่างหนึ่งที่หญิงทำเพื่อให้ผัวหลงรักตัวคนเดียว.
หงสราช,น.,พญาหงส์.
หงสลีลา,น.,ท่าเดินอย่างหงส์.
หงส์ลีลา ๑,น.,ท่าเดินอย่างหงส์.
หงส์ลีลา ๒,น.,ชื่อท่ารำท่าหนึ่งอยู่ในลำดับว่า นาคาม้วนหาง กวางเดินดง หงส์ลีลา.
หงส์แล่น,น.,เครื่องประดับสันหลังคาหรือส่วนฐานของอาคาร ทำด้วยปูน ไม้ หรือหิน เป็นรูปหงส์เรียงกันเป็นแถว.
หงส์หยก,น.,ชื่อนกปากขอขนาดเล็กชนิด Melopsittacus undulatus (Shaw) ในวงศ์ Psittacidae ตัวมีหลายสี เช่น เขียว เหลือง ฟ้า ขาว กินเมล็ดพืช เป็นนกที่นำเข้ามาในประเทศไทย มีถิ่นกำเนิดในประเทศออสเตรเลีย.
หงอ,ว.,"อาการที่กลัวจนตัวงอ, อาการที่กลัวลานหรือครั่นคร้ามไม่กล้าสู้, ในคำว่า กลัวหงอ, ใช้ว่า หงอก๋อ ก็มี."
หงอก,ว.,ขาว (ใช้แก่ผมหรือหนวดเคราเป็นต้นที่เปลี่ยนจากสีเดิมเป็นสีขาว).
หง่อง ๆ,ว.,"อาการที่เดินขย่มตัวหัวสั่นหัวคลอนไปตามลำพัง, โดยปริยายหมายถึงเดินอยู่ตามลำพัง"
หง่อง ๆ,ว.,เสียงดังเช่นเสียงฆ้องกระแต.
หงองแหงง,ก.,"ระหองระแหง, ไม่ลงรอยกัน."
หงอด,ว.,"เงื่อง, ช้า"
หงอด,ว.,ไม่ใคร่จะหาย (ใช้แก่การเจ็บไข้ได้ป่วย)
หงอด,ว.,อาการบ่นด้วยความไม่พอใจ.
หงอด ๆ,ว.,"เงื่อง, ช้า"
หงอด ๆ,ว.,ไม่ใคร่จะหาย (ใช้แก่การเจ็บไข้ได้ป่วย)
หงอด ๆ,ว.,อาการบ่นด้วยความไม่พอใจ.
หงอน,น.,"ขนหรือเนื้อที่งอกขึ้นบนหัวไก่และนกบางชนิด, โดยปริยายใช้เรียกของที่มีลักษณะเช่นนั้น เช่น ค้อนหงอน ขวานหงอน."
หงอนไก่,น.,"ชื่อไม้ล้มลุกชนิด Celosia argentea L. ในวงศ์ Amaranthaceae ช่อดอกสีแดงลักษณะคล้ายหงอนของไก่, หงอนไก่ไทย ก็เรียก."
หงอนไก่,น.,"ชื่อไม้ต้นหลายชนิดในสกุล Heritieraวงศ์ Sterculiaceae เช่น ชนิด H. littoralis Dryand. ผลเป็นสัน, หงอนไก่ทะเล ก็เรียก."
หงอนไก่,น.,ชื่อไม้พุ่มรอเลื้อยชนิด Cnestis palala (Lour.) Merr. ในวงศ์ Connaraceae ช่อดอกสีแดง ลักษณะคล้ายหงอนของไก่.
หงอนไก่ทะเล,น.,ดู หงอนไก่ (๒).
หงอนไก่ไทย,น.,ดู หงอนไก่ (๑).
หงอนชบา,?,ดู กะรางหัวขวาน.
หง่อม,ว.,แก่มาก ในคำว่า แก่หง่อม.
หงอย,ว.,"ซึมเซา, ไม่ชุ่มชื่น, ไม่กระปรี้กระเปร่า, ไม่ร่าเริง."
หง่อย,ว.,"เชื่องช้า, ไม่ฉับไว, เงื่อง."
หงอยก๋อย,ว.,"ซบเซา, จับเจ่า, เซื่องซึม, ง่วงเหงา."
หงอยเหงา,ว.,"เปลี่ยวใจไม่กระปรี้กระเปร่า, เหงาหงอย ก็ว่า."
หงัก,ว.,"มาก เช่น แก่หงัก, งั่ก ก็ว่า."
หงัก ๆ,ว.,"อาการที่สั่นสะท้าน, อาการที่เดินสั่น ๆ มา, งัก ๆ หรือ งั่ก ๆ ก็ว่า."
หงับ ๆ,ว.,"อาการที่ปากอ้าและหุบลงโดยไม่มีเสียง เช่น ทำปากหงับ ๆ, อาการที่เคี้ยวของ เช่น เคี้ยวขนมหงับ ๆ."
หง่าง,ว.,"เสียงอย่างเสียงระฆังดัง, มักใช้ว่า หง่างเหง่ง หรือ เหง่งหง่าง."
หงาย,ก.,"พลิกเอาด้านหน้าขึ้น เช่น หงายหน้า หงายมือ หงายไพ่, ตรงข้ามกับ ควํ่า."
หงาย,ว.,อาการที่พลิกเอาด้านหน้าขึ้น เช่น หน้าหงาย
หงาย,ว.,เรียกคืนที่มีดวงจันทร์ส่องแสงสว่าง ว่า คืนเดือนหงาย.
หงายท้อง,ก.,ผิดไปจากที่คาดหวังไว้อย่างมาก เช่น มั่นใจว่าจะต้องสอบได้แน่ แต่พอไปดูประกาศผลการสอบ ไม่พบชื่อตัวเอง ก็หงายท้องกลับมา.
หงายบาตร,น.,สังฆกรรมที่คณะสงฆ์ประกาศยกโทษให้แก่คฤหัสถ์ที่เคยถูกประกาศคว่ำบาตรมาแล้ว ด้วยการยอมรับบิณฑบาตเหมือนเดิม.
หงายหลัง,ก.,ผิดไปจากที่คาดหวังไว้อย่างมาก เช่น มั่นใจว่าจะต้องสอบได้แน่ แต่พอไปดูประกาศผลการสอบ ไม่พบชื่อตัวเอง ก็หงายท้องกลับมา.
หง่าว,ว.,"เสียงอย่างเสียงแมวตัวผู้ร้องหาแมวตัวเมีย, โดยปริยายหมายความว่า โดดเดี่ยว, เหงาอยู่ตามลำพัง, เช่น ปล่อยให้นั่งหง่าวอยู่คนเดียว."
หง่าว,น.,เรียกว่าวชนิดหนึ่งที่มีเสียงดังเช่นนั้น ว่า ว่าวหง่าว.
หงำ,ว.,มากจนเลอะเทอะ เช่น เมาหงำ แก่หงำ.
หงำเหงอะ,ว.,หลงจนจำอะไรไม่ได้ (ใช้แก่คนที่แก่มาก).
หงำเหงือก,ว.,หลงจนจำอะไรไม่ได้ (ใช้แก่คนที่แก่มาก).
หงิก,ว.,"งอที่ปลาย เช่น มือหงิก คือ มือเหยียดนิ้วไม่ออก, ใบไม้หงิก คือ ใบไม้ปลายงอ"
หงิก,ว.,"โดยปริยายหมายความว่า อาการที่เหนื่อยหน่ายเนื่องจากถูกดุ ถูกใช้ หรือทำงานหนักมากเป็นต้น เช่น ถูกแม่ดุเสียหงิกไปเลย, อาการที่ถูกว่าย้อนกลับมาจนเสียหน้า."
หงิก ๆ งอ ๆ,ว.,คดงอไปมา เช่น ใบพริกถูกมดคันไฟขึ้นเลยหงิกงอ ใบโกรต๋นบางชนิดหงิก ๆ งอ ๆ ตามธรรมชาติ.
หงิกงอ,ว.,คดงอไปมา เช่น ใบพริกถูกมดคันไฟขึ้นเลยหงิกงอ ใบโกรต๋นบางชนิดหงิก ๆ งอ ๆ ตามธรรมชาติ.
หงิง ๆ,ว.,อาการที่เปล่งเสียงคราง ร้อง ร้องไห้ หรือร้องเพลงเบา ๆ เช่น คนไข้ครางหงิง ๆ เธอร้องไห้หงิง ๆ เขาครวญเพลงหงิง ๆ.
หงิม,ว.,อาการที่แสดงท่าทางเฉย ๆ ไม่ค่อยพูด.
หงิม ๆ,ว.,อาการที่แสดงท่าทางเฉย ๆ ไม่ค่อยพูด.
หงิม ๆ หยิบชิ้นปลามัน,น.,ลักษณะของบุคคลที่มีท่าทางหงิม ๆ แต่ความจริงเป็นคนฉลาด มีวิธีเลือกเอาดี ๆ ไปได้.
หงึก ๆ,ว.,"อาการที่พยักหน้าเป็นการรับรู้, งึก ๆ ก็ว่า."
หงึกหงัก,ว.,ติด ๆ ขัด ๆ เช่น วันนี้สมองตื้อ จะเขียนอะไรก็ติดหงึกหงักไปหมด.
หงุง ๆ หงิง ๆ,ว.,มีเสียงพูดกันเบา ๆ เช่น เด็ก ๆ คุยกันหงุงหงิง หนุ่มสาวคุยกันหงุง ๆ หงิง ๆ.
หงุงหงิง,ว.,มีเสียงพูดกันเบา ๆ เช่น เด็ก ๆ คุยกันหงุงหงิง หนุ่มสาวคุยกันหงุง ๆ หงิง ๆ.
หงุดหงิด,ว.,"มีอารมณ์เสียอยู่เสมอ ๆ เช่น เขาเป็นคนหงุดหงิดง่าย, มีอารมณ์เสียเพราะไม่ได้ดังใจหรือไม่เป็นไปตามกำหนดเป็นต้น."
หงุบ,ว.,อาการที่ฟุบหัวลงเมื่อเวลาง่วงนอน เช่น เขานั่งโงกหงุบ.
หงุบ ๆ,ว.,อาการที่ฟุบหัวลงเมื่อเวลาง่วงนอน เช่น เขานั่งโงกหงุบ.
หงุบหงับ,ว.,"สัปหงก, อาการที่นั่งโงกหัวหงุบลงแล้วเงยขึ้น"
หงุบหงับ,ว.,อาการที่เคี้ยวอาหารด้วยฟันปลอมที่สบกันไม่สนิท มักมีเสียงดังเช่นนั้น.
หงุ่ย,ว.,"อาการที่ทำสิ่งใดก็ทำเรื่อยไปแต่สิ่งนั้น, เพลินในการทำการงาน, ขลุกขลุ่ย."
หญ้า ๑,น.,ชื่อเรียกไม้ล้มลุกหลายชนิดหลายสกุลในวงศ์ Gramineae เช่น หญ้าคา [Imperata cylindrical (L.) P.Beauv.] หญ้าตีนกา [Eleusine indica (L.) Gaertn.] หญ้าแพรก [Cynodon dactylon (L.) Pers.]
หญ้า ๑,น.,ใช้อนุโลมเรียกพรรณไม้ขนาดเล็กบางชนิดที่มิได้อยู่ในวงศ์ Gramineae เช่น หญ้าเกล็ดหอย หญ้างวงช้าง.
หญ้า ๒,น.,ปลาขี้ยอก. (ดู ขี้ยอก).
หญ้ากระจาม,น.,"ชื่อไม้ล้มลุกชนิด Centipeda minima (L.) A. Braun et Asch. ในวงศ์ Compositae ขึ้นตามพื้นที่ลุ่มตํ่า แฉะ ต้นเตี้ยติดดินคล้ายต้นผักเบี้ย ใบเล็กเว้าข้างทั้ง ๒ ด้าน ปลายใบแหลมคล้ายสามง่าม ใบมีกลิ่นเหม็น ใช้ทำยาได้ แต่เป็นพิษต่อปศุสัตว์, กระต่ายจันทร์ สาบแร้ง หญ้ากระจาม หญ้าจาม หรือ เหมือดโลด ก็เรียก."
หญ้าเกล็ดหอย,น.,ชื่อไม้ล้มลุกชนิด Hydrocotyle sibthorpioidesLam. ในวงศ์ Umbelliferae ใบกลม ๆ คล้ายเกล็ดหอย.
หญ้าขัด,น.,"ชื่อไม้พุ่มหลายชนิดในสกุล Sida วงศ์ Malvaceae ดอกสีเหลือง เช่น ชนิด S. rhombifolia L. ใช้ทำยาได้, ขัดมอน คัดมอน หรือ ยุงปัดแม่ม่าย ก็เรียก."
หญ้าขัดใบยาว,น.,"ชื่อไม้พุ่มชนิด Sida acuta Burm.f. ในวงศ์ Malvaceae, ยุงกวาด หรือ ยุงปัด ก็เรียก."
หญ้าขัดหลวง,น.,"ชื่อไม้พุ่มชนิด Sida subcordataSpan. ในวงศ์ Malvaceae, ขัดมอนหลวง หรือ ขัดมอนตัวผู้ ก็เรียก."
หญ้างวงช้าง,น.,"ชื่อไม้ล้มลุกชนิด Heliotropium indicumL. ในวงศ์ Boraginaceae ดอกสีม่วงอ่อนออกเป็นช่อลักษณะคล้ายงวงช้าง, แพว ก็เรียก."
หญ้างวงช้างหลวง,น.,ดู ตานขโมย ๒.
หญ้าจาม,น.,"ชื่อไม้ล้มลุกชนิด Centipeda minima (L.) A. Braun et Asch. ในวงศ์ Compositae ขึ้นตามพื้นที่ลุ่มตํ่า แฉะ ต้นเตี้ยติดดินคล้ายต้นผักเบี้ย ใบเล็กเว้าข้างทั้ง ๒ ด้าน ปลายใบแหลมคล้ายสามง่าม ใบมีกลิ่นเหม็น ใช้ทำยาได้ แต่เป็นพิษต่อปศุสัตว์, กระต่ายจันทร์ สาบแร้ง หญ้ากระจาม หญ้าจาม หรือ เหมือดโลด ก็เรียก."
