คำ,POS,ความหมาย
อ ๑,?,"พยัญชนะตัวที่ ๔๓ เรียกว่า ออ อ่าง เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น, ใช้นำตัว ย ให้ผันอย่างอักษรกลาง มี ๔ คำ คือ อย่า อยู่ อย่าง อยาก, ใช้เป็นรูปสระ ออ เช่น รอ ปอ และประสมเป็นสระ อือ เอือ เออ เช่น มือ เถือ เธอ."
อ ๒,?,เป็นอักษรใช้นำหน้าคำที่มาจากภาษาบาลีและสันสกฤต บอกความปฏิเสธหรือตรงกันข้าม แปลว่า ไม่ หรือ ไม่ใช่ เช่น อศุภ (ไม่งาม) อธรรม (ไม่ใช่ธรรม)
อ ๒,?,ใช้เป็น อน เมื่ออยู่หน้าคำที่ขึ้นต้นด้วยสระ เช่น อเนก (อน + เอก) อนาจาร (อน + อาจาร).
อก ๑,น.,ส่วนของร่างกายด้านหน้าอยู่ระหว่างคอกับท้อง
อก ๑,น.,ใจ เช่น อกกรม อกเขาอกเรา
อก ๑,น.,เรียกไม้ที่เป็นแกนกลางของตัวว่าว ว่า อกว่าว
อก ๑,น.,"เรียกเลื่อยที่มีไม้ยันกลาง ว่า เลื่อยอก, เรียกไม้อันกลางที่ยันเลื่อยให้ตึง ว่า อกเลื่อย."
อก ๒,น.,"พวก, หมู่."
อก ๓,ว.,"หก, (โบ) เรียกลูกหญิงคนที่ ๖ ว่า ลูกอก, คู่กับ ลูกชายคนที่ ๖ ว่า ลูกลก."
อกกรม,ว.,"มีความระทมใจ มักใช้เข้าคู่กับคำ หน้าชื่น เป็น หน้าชื่นอกกรม, หน้าชื่นอกตรม ก็ว่า."
อกไก่ ๑,น.,เรียกอกคนที่มีลักษณะนูนยื่นออกมาอย่างอกของไก่
อกไก่ ๑,น.,ชื่อลวดบัวแบบหนึ่ง มีลักษณะนูนเป็นสันขึ้นอย่างอกของไก่ เรียกว่า บัวอกไก่.
อกไก่ ๑,น.,ดูใน อก ๑.
อกไก่ ๒,น.,ไม้เครื่องบนที่พาดเบื้องบนเป็นสันหลังคาเหนือใบดั้ง.
อกคราก,ว.,"คำที่กล่าวเปล่งออกมาหมายความว่า หนักเหลือเกิน, เดือดร้อนเหลือเกิน."
อกจะแตก,อ.,"คำพูดที่เปล่งออกมาเมื่อตกใจเป็นต้น (ใช้แก่ผู้หญิง) เช่น อุ๊ย ! อกจะแตก, อกแตก ก็ว่า."
