คำ,POS,ความหมาย
ก็,สัน.,สำหรับต่อและแต่งความ
ก๊ก (จีน),น.,"พวก, หมู่, เหล่า"
กก ๑,น.,"ต้น, ลำต้น, เช่น กกไม้ = ต้นไม้ , กกเสา = ต้นเสา, โคน เช่น กกขา = โคนขา"
กก ๒,น.,"ชื่อนก เช่น นกกา นกเงือก, บางถิ่นเรียก นกคอก้าก หรือนกกกวาก"
กก ๓,น.,ต้นปรือ. (นม)
กก ๔,ก.,"แนบไว้กับอก, กอด"
กก ๕,ว.,"ก่อน, แรก, ครั้งแรก เช่น ลูกกก = ลูกคนแรก, ไก่ขันกก ไก่ขันครั้งแรกหลังเที่ยงคืน"
ก๊ก ๆ,ว.,มีเสียงดังอย่างนั้น
ก๊ก ๆ เก๊ก ๆ,ว.,มีเสียงดังอย่างนั้น
กกแข้ว,น.,โคนฟันที่ต่อจากรากขึ้นมาตรงเหงือกหุ้ม เช่น กกแข้วใค่ = เหงือกบวม
กกแนน,น.,บุพเพสันนิวาส
กกเปื่อย,น.,ไม้ตะแบก
กกมิ่ง,น.,มิ่งขวัญที่เคยสร้างสมอบรมมา มักใช้คู่กันกับคำว่า กกแนน
กกหูก,น.,ชิ้นผ้าพร้อมด้ายทางยืนที่เหลือติดฟืมเพื่อต่อกับเส้นด้ายที่จะทอครั้งใหม่
กกเหลือก,น.,"ลิ้นไก่ บางถิ่น, หมายถึง โคนลิ้นไก่"
กง ๑,น.,สิ่งที่เป็นวงกลม หรือขอบ เช่น กงเกียน = กงเกวียน
ก่ง ๑,ก.,"ทำให้โค้ง, โน้ม, ก่อง"
ก้ง ๑,น.,ชื่อผักชนิดหนึ่ง เรียก ผักก้งหรือผักตาก้ง
กง ๒,น.,"เขต, แดน, บริเวณ"
ก่ง ๒,ว.,"โค้ง, ปกครอง, เช่น ผู้ก่งพื้น = ผู้ปกครองแผ่นดิน"
ก้ง ๒,ว.,"กลม, มน, เช่น มืนตาม้งก้ง, ใหญ่ เช่น ผักตาก้ง"
กง ๓,ว.,"ตรง เช่น คนกง = คนซื่อตรง, บางถิ่น หมายถึง ดื้อ, พยศ, ไม่ทำตาม คำนี้อาจเพี้ยนมาจาก โกง"
กง ๔,น.,เครื่องมือดีดปุยฝ้ายก่อนนำไปปั่นเป็นเส้น เรียกว่า กงดีดฝ้าย
กงกวัก,น.,"เครื่องมือสำหรับกรอด้าย, กรอไหม"
ก่งเกื้อ,ว.,"เอื้อเฟื้อ, สนับสนุน"
กงแก้ว,น.,ดวงชะตา
ก่งโก้ย,ว.,อาการเดินหลังโกง เคลื่อนไปช้า ๆ
ก่งโก๊ะ,ว.,"อาการยืน หรือเดินไม่น่าดู เช่น เดินขากางสำหรับคนร่างใหญ่, สำหรับคนร่างเล็กว่า ก่องเก๊าะ"
กงไกว,น.,สว่าน
ก่งจ่ง,ว.,อาการที่โค้งงอของไม้ หรือหลังคน เช่น นั่งก่งจ่ง
กงชาตา,น.,ดวงชะตา
ก่งด่ง,ว.,อาการชี้ขึ้นแต่ปลายโค้งลง เช่น หางวัว
ก้งตาเว็น,น.,พระอาทิตย์ทรงกลด
กงราฐ,น.,"เขตเมือง, บริเวณเมือง"
กงโลก,น.,จักรวาล
กฎ,น.,"ข้อกำหนด, คำบังคับ, ข้อบัญญัติ"
กฎี,น.,ที่อยู่ของพระภิกษุสามเณร
กฎุมพีศ,น.,กฎุมพี (ป.กฎมพิก)
กฏก,ว.,"เผ็ด, ร้อน"
กฐิน,น.,ผ้าที่นำไปทอดถวายพระสงฆ์ที่จำพรรษาครบไตรมาสแล้ว
กฐินแล่น,น.,จุลกฐิน ได้แก่ กฐินที่ทอดวันสุดท้ายเขตกฐิน คือ วันเพ็ญเดือนสิบสอง เป็นกฐินที่เร่งรีบต้องทำให้เสร็จภายในวันนั้น
กฐินฮังโฮม,น.,กฐินสามัคคี
กฐินแฮ,น.,จุลกฐิน ได้แก่ กฐินที่ทอดวันสุดท้ายเขตกฐิน คือ วันเพ็ญเดือนสิบสอง เป็นกฐินที่เร่งรีบต้องทำให้เสร็จภายในวันนั้น
กณิการ์,น.,พรรณดอกไม้ชนิดหนึ่ง ดอกสีขาว ก้านดอกสีเหลือง ใช้ย้อมผ้าได้ (ป.กณิการ)
กด ๑,น.,"ชื่อนก = นกกด มี ๒ ชนิด คือ นกกดปูด หรือนกกดปืด = นกกะปูด, นกกดฮ่อย = นกกดไฟ"
กด ๒,น.,ชื่อปลา = ปลากด
กด ๓,น.,ตรงกับโทศก ตามจุลศักราช
กด ๔,ก.,"กำหนด, บังคับลง, ข่มลง"
กดขี่,ก.,ข่มให้อยู่ในอำนาจ
กดซง,ว.,"ว่างท่า, ไว้ท่า"
กดเพศ,ก.,"ไว้ตัว, สงวนท่าที"
กดว่า,ก.,"รู้สึกว่า, ดูเหมือนว่า"
กดวาด,ก.,"วางตัว, วางท่าทาง, สงวนท่าทาง"
กตเวที,ว.,ผู้ตอบแทนคุณท่าน
กตัญญ,ว.,ผู้รู้คุณท่าน เป็นคำคู่กับ กตเวที (ป.)
กติกา,น.,"ข้อตกลง, ข้อบังคับ, เงื่อนไขที่กำหนดไว้"
กถา,น.,"คำ, ถ้อยคำ, เรื่อง"
กถาพัน,น.,"คาถาจำนวน ๑,๐๐๐ คาถา"
กถาพัน,น.,คาถาจำนวนพันคาถา
กถามุข,น.,"คำนำ, ข้อความเบื้องต้นของเรื่อง, คำที่เป็นแนวทาง (ป.)"
