คำ,POS,ความหมาย
ขง ๑,น.,"เขต, แดน, ถิ่น, อาณาเขต"
ขง ๒,ว.,โคง งอ
ขงโลก,น.,จักรวาล
ขจร,น.,ไม้เถาชนิดหนึ่ง
ขจวน,ว.,ละเอียด เช่น มุ่นกะจวน = แตกละเอียด
ขด ๑,น.,ขนด
ขด ๒,ก.,"ทำให้โค้งอ เช่น ขดเบ็ด, ม้วนตัวเข้าเป็นวง เช่น งูขด"
ขด ๓,ว.,งอ เช่น หลังขดหลังงอ
ขดคีคู้,ก.,นอนคุดคู้
ขดง,น.,รากไม้ชนิดหนึ่งใช้เป็นยา
ขดตะหมาด,ก.,นั่งขัดสมาธิ
ขดสมาธิ (-สะหมาด),ก.,นั่งขัดสมาธิ
ขดาน,น.,"สิ่งที่ทำเป็นแผ่นใช้เขียนมีหลายชนิด เช่น กระดานที่ทำด้วยไม้ ทานํ้ามันยางผสมเขม่า เรียกว่า กะดานดำ, กระดานชนวนทำด้วยไม้ ทาด้วยรัก ผสมกับเศษกระเบื้องที่บดละเอียดและสมุก สำหรับเขียนด้วยดินสอพอง เรียกว่า กะดานไม้, กระดานชนวนที่ทำด้วย หินเนื้ออ่อน เรียกว่า กะดานหิน"
ขตอย,น.,พริกป่า
ขน ๑,น.,สิ่งที่เป็นเส้นขึ้นตามผิวหนิงคนและสัตว์และใช้ตลอดไปจนถึงที่ขึ้นบนผิวต้นไม้ ผลไม้ ใบไม้และอื่นๆ; หญ้าชนิดหนึ่ง; ตัวบุ้งชนิดหนึ่ง เรียก แมงบ้งขน
ขน ๒,ก.,นำเอาสิ่งของไปหรือมา
ขนคีงลุก,น.,ขนพองเกิดจากความตกใจกลัวหรือดีใจพิเศษ.
ขนง ๑,น.,"เขต เช่น ขนงเมือง = เขตเมือง, คันคู เช่น ขึ้นขนงทอง = ขนบนคันคู"
ขนง ๒,น.,คิ้ว (ข.)
ขนจิว,น.,ขนที่ขึ้นพิเศษมีลักษณะยาว = ขนเพชร
ขนนกโดดโต้ง,น.,"ขนอุย, ขนละเอียด, ขนฮุย"
ขนปั่ว,น.,"ขนอุย, ขนละเอียด, ขนฮุย"
ขนหนาว,น.,ขนลุก
ขนหัวพอง,ก.,"สยองเกล้า, ผมตั้งชันชึ้น"
ขนัง,ก.,"ขังไว้, ผูกไว้, เช่นขนังขวน = ขังไว้ในจวน"
ขนัน ๑,น.,ไม้เถาชนิดหนึ่งผลคล้ายขนุน
ขนัน ๒,ก.,"กั้น, ขวางเช่น ขนันตันหนทาง; บัง, ล้อม, ขัน, ทำไห้ตึง, ทำให้แน่น"
ขนับ,น.,เครื่องดักนกและคางคาวสานด้วยด้าย=ตาข่าย
ขนาง,น.,คานที่ยกขึ้นเป็นคู่ สำหรับวางของใหญ่ เช่น ท่อนชุง เป็นต้น เพึ่อเลื่อยเป็นกระดาน.
ขนางเฮือ,น.,คานเรือ.
ขนาด ๑,น.,"สัดส่วนของคน, สัตว์และสิ่งของ"
ขนาด ๒,ว.,"วิเศษ, เลิศ เก่งกล้า เช่น ดีเถิงขนาด"
ขนาน,ก.,"ตั้ง, เรียก, เช่น ขนานนาม = ตั้งชี่อ"
ขนาน,ก.,"เคียงคู่กันไป, ทยอยกันไป เช่น น้ำขนานฟอง, เฮือขนาน = เรือพ่วงที่ผูกคู่กัน"
ขนาบ,ก.,"ประกบเข้าให้แน่น เช่นเอาไม้ขนาบทั้งข้างล่าง ข้างบน หรือขนาบข้าง เป็นต้น; ประชิดเข้าไปทั้ง ๒ ข้าง เช่น กองทัพตีขนาบ, ติดชิดกันอยู่ทั้ง ๒ ข้าง เช่น ที่ดินขนาบ; ดุดันเอา เช่น ถูกขนาบ"
ขนาย,น.,งาช้างพังหรือช้างสีดอมีขนาดสั้นและเล็กกว่างาทั่วไป.
ขนิษฐา,น.,น้อง คู่กับเชษฐา
ขนิษฐา,น.,น้องสาว (ป.)
ขนุน,น.,ขนุนป่า
ขบ ๑,น.,ปลาชนิดหนึ่ง = ปลาคางเบือน หรือปลาเบี้ยว.
ขบ ๒,ก.,กัด เช่น เสือขบ = เสือกัด
ขบแข้ว,ก.,ขบเขี้ยวเคี้ยวฟัน
ขบแข้วยุ้มก้น,สำ.,ตั้งใจทำด้วยความานะพยายามอย่างเอาจริงเอาจัง
ขบถ,น.,"การประทุษร้ายต่อทางอาณาจักร, การไม่ซื่อต่อราชการ, ผู้ทรยศ"
ขบเผาะ,น.,เรียก ผลมะม่วงอ่อน ๆ ขนาดหัวแม่มือว่ามะม่วงขบเผาะ หมายเอาเสียงเวลาเอาฟันขบดังเผาะ; โดยปริยายหมายถึง เด็กหญิงที่เพิ่งเริ่มแตกเนื้อสาว
ขบวน,น.,"หมู่, รูปร่าง, แนว"
ข่ม,*ก.,"กดลง, บังคับไวั, รังแก"
ขม ๑,น.,บวบชนิดหนึ่งมีรสขม
ขม ๒,ก.,แค้น หรือเจ็บใจ เช่น เห็นเขาว่าอย่าเคียดอย่าขม
ขม ๓,ว.,รสอย่างหนึ่ง เช่น รสสะเดา หรือบอระเพ็ด
ขม ๓,*ก.,"ขมขื่น แค้นใจ, เจ็บใจ, ขุ่นเคือง, โกรธสุมอยู่ข้างใน"
ขมขื่น,สำ.,ขุ่นข้องหมองใจ
ข่มแพ้,ก.,ข่มเอาชนะ
ขมล่ำล่ำ,ว.,รสขมพอดี
ขมวน,ว.,"ผุ, ยุ่ย, เช่น ปลาเป็นขมวน = ปลาแห่งที่ผุยุ่ย เพราะตัวขมวนบ่อน"
ขมวย,น.,ขุย
ขมวย,น.,ดินที่มดหรือสัตว์ด่าง ๆ ขุดคุ้ยขึ้นมาทิ้งกองไว้ข้างบน = ขุย
ข่มหลบ,น.,ไม้สองตัวสำหรับทับตับหญ้าที่มุงหลังคา = กบทู.
ข่มเหง ๑,น.,ไมัสองท่อนสำหรับพาดทับโลงศพบนเชิงตะกอน เพื่อกันไม่ให้ศพตกจากเชิงตะกอน
ข่มเหง ๒,*ก.,ใช้กำลังรังแก
ข่มเหงเต็กเต็ก,ก.,ข่มเหงคะเนงร้าย
ขมอง,น.,"มันสมอง, จิตใจ."
ขมองกระดูก,น.,เยื่อในกระดูก
ขมองกระดูก,น.,เหยื่อในกระดูก
ขมองคร่อ,น.,โรคหลอดลมโป่งพอง มีเสมหะคั่งอยู่มากกว่าปกติ ในส่วนที่พองท่าให้มีอาการไอเรื้อรัง จะไอหนักในเวลาเช้ามืด ห้ามผู้ที่เป็นโรคนี้บวชเป็นภิกษุ = โรคมองคร่อ
