คำ,POS,ความหมาย
คคนะ,น.,"ฟ้า (ป., ส.)"
คง ๑,น.,แม่น้ำสายหนึ่งในภาคพายัพของประเทศไทย
คง ๒,ก.,"ยังมียังเป็นอยู่อย่างเดิม, ยั่งยืน"
คง ๓,ว.,"ทนทานต่อศัตราวุธ, คงกระพัน"
คง ๔,ว.,"เป็นคำบอกลักษณะคาดคะเน เช่น คงซิมา = คงจะมา, คงซิได้ = คงจะได้"
คงขาด,ว.,ยังขาด
คงคลัง,ว.,ยังอยู่ในคลัง
คงคา,น.,"ชื่อแม่น้ำสายหนึ่งในอินเดีย, แม่น้ำ, ทะเล (ป., ส.)"
คงตัว,ว.,ไม่ผันแปร
คงตัวอยู่,ว.,ยังมีอยู่
คงทน,ว.,"ยั่งยืน, ถาวร, ทนทาน"
คงที่,ว.,ไม่เปลี่ยนแปลง
ค้งน้ง,ว.,"คำบอกลักษณะโค้ง หรือโก่งมาก ใช้สำหรับขนาดใหญ่ (เอก.) ค้งน้งเค้งเน้ง, โค้งโน้งเค้งเน้ง (พหู.) , สำหรับขนาดเล็ก ค้องน้อง (เอก.), ค้องนอ้งแค้งแน้ง (พหู.)"
คงไว้,ว.,"รักษาไว้, สงวนไว้, ให้มีอยู่ต่อไป"
คงเส้นคงวา,ว.,เสมอต้นเสมอปลาย
คงเหลือ,ว.,ยังเหลือ
ค้งอฺย้ง,ว.,"คำบอกลักษณะสูงมากใช้สำหรับขนาดใหญ่ (เอก.) ค้งอฺย้งเค้งเอฺย้ง, โค้งโอฺย้งเค้งเอย้ง (พหู.) สำหรับขนาดใหญ่ ค้องอฺย้อง (เอก.) ค้องอฺย้องแค้งแอฺย้ง (พหู.)"
คช,น.,"ช้าง (ป., ส.)"
คชสาร,น.,"ช้างใหญ่, ช้างสำคัญ"
คชสิงห์,น.,สัตว์ในนิยาย มีรูปเหมือนราชสีห์ แต่มีงวงเหมือนช้าง
คชสีห์,น.,สัตว์ในนิยาย มีรูปเหมือนราชสีห์ แต่มีงวงเหมือนช้าง
คณนา,ก.,"นับ (ป., ส.)"
คณะ,น.,"พวก, หมู่"
คณา,น.,"พวก, หมู่"
คณาจารย์,น.,"อาจารย์ของหมู่, คณะอาจารย์ (ป., ส.)"
