คำ,POS,ความหมาย
งก ๑,น.,ไม่รูปคล้ายตะลุมพุกสำหรับควาญท้ายตีช้างเมื่อต้องการให้ช้างไปเร็ว หรือในเวลาคล้องช้าง เรียกว่า ไม้งก
งก ๒,ก.,แสดงอาการอยากได้ หรือไม่อยากเสียจนเกินควร
งก ๓,ว.,"ปิด, ไม่ตรง"
งก ๆ,ว.,อาการผงกหัวขึ้นลง เช่น กะปอมสั่นหัวมก ๆ
งก ๆ,ว.,"มีอาการสั่นอย่างคนแก่ หรืออย่างกลัวหรืออย่างหนาวมากกว่า สั่นงก ๆ ใช้สำหรับสิ่งใหญ่, ถ้าสิ่งเล็กว่า ง็อก ๆ"
งก ๆ งัก ๆ,ว.,อาการสั่นที่เกิดจากความหนาว เป็นต้น ใช้สำหรับคนหรือสัตว์ขนาดใหญ่ ถ้าขนาดเล็กว่า วัก ๆ
งง ๑,ก.,"คิดไม่ออก, ฉงน"
งง ๒,ว.,"กง, งอน, แอ่น, ส่วนมากว่า โงง"
งงงวย,ก.,"เคลิบเคลิ้ม, หลงไหล"
งด,ก.,"หยุดหรือเว้น, ส่วนมากว่า โจะ"
งด ๆ,ว.,"หนาวจนสั่น, อาการที่สะท้าน, เช่น สั่นหงด ๆ"
งบ ๑,น.,"จำนวนที่รวมแล้ว, กำหนดหรือประมาณการที่ตั้งเป็นรายรับ หรือรายจ่าย อย่างงบเงินรายรับ งบเงินรายจ่าย เป็นต้น"
งบ ๒,ก.,"ปิด, รวม"
งม,ก.,ควานหาของในน้ำหรือในที่มืด
งมงมซาวซาว,สำ.,"ลองผิดลองถูก, ทำโดยไม่สันทัด, ไม่ชำนาญ, ทำสุ่มไป, ทำอย่างงก ๆ เงิ่น ๆ"
งมงมทาวทาว,สำ.,"ลองผิดลองถูก, ทำโดยไม่สันทัด, ไม่ชำนาญ, ทำสุ่มไป, ทำอย่างงก ๆ เงิ่น ๆ"
งมงำ,สำ.,เอาใจใส่
งวก,ก.,"ผิน, หันขวับ, เช่น งวกซ้ายแลขวา"
งวก,ก.,"หัน, ผินอย่างเร็ว"
งวง ๑,น.,ส่วนที่ยื่นโค้งเป็นวงสำหรับหิ้ว หรือถือสิ่งของอย่างตะกร้า เป็นต้น เช่น งวงคุ
ง้วง ๑,น.,แมลงชนิดหนึ่งในจำพวกจักจั่นแต่ตัวใหญ่กว่า ปีกยาว โปร่งแสง ตัวสีน้ำตาล หัวเขียว ๆ ตาแดง
งวง ๒,น.,"จมูกของช้างที่ยื่นยาวออกไป ตรงปลายมีจะงอยสำหรับจับของอย่างมือ, เรียกสิ่งที่ห้อยเป็นงวงออกมาจากคอตาลมะพร้าว เป็นต้นว่า งวง เช่น งวงตาล, งวงมะพร้าว, เรียกสิ่งที่่มีลักษณะคล้ายคลึงเช่นนั้น เช่น งวงครุ, งวงผีเสื้อ"
ง้วง ๒,ก.,อาการที่ร่างกายอ่อนเพลีย อยากนอนหลับ = ง่วง
ง้วงกลางดง,น.,งูชนิดหนึ่งคล้ายงูเขียว แต่ตัวเล็กและยาวกว่าเลื้อยตามพุ่มไม้อย่างเชื่องช้ากว่างูชนิดหนึ่งอื่น
ง้วงเงี้ยง ๆ,ว.,"อาการเลื้อยคดไปมาช้า ๆ อย่างงูถูกตีสันหลังเดาะ, สำหรับขนาดเล็กว่าง้องแง้ง ๆ"
งวงช้าง,น.,พืชล้มลุกชนิดหนึ่ง มีดอกสีขาว ช่อของดอกมีสัณฐานคล้ายงวงช้าง
ง่วงเหงา,ว.,"อาการเศร้าซึม, เหงาหงอย, โศกเศร้า"
งวด ๑,น.,คราวที่กำหนด
งวด ๒,น.,"ลดลงไป, พร่องลงไป, แห้งลงไป"
งวด ๓,ว.,จวนแจ้ง
ง้วน ๑,น.,เศษละอองดอกไม้ที่สัตว์จำพวกผึ้ง หรือชันโรงนำมาสะสมและกลั่นเป็นน้ำหวานแล้ว
ง้วน ๒,น.,ต้นไม้ชนิดหนึ่ง ยางมีพิษ ใบเหมือนใบเงิน ดอกสีแดง ต้นคล้ายต้นสลอด
ง้วน ๓,น.,ยาพิษ เช่น เอาง้วนใส่ปลา เอายาใส่เข้า (ให้กิน)
ง้วนดิน,น.,ดินที่มีกลิ่นหอม รสมัน กินได้
ง้วนหมู,น.,ไม้เถาชนิดหนึ่ง มียางขาวเป็นพิษ ใบมนหรือรูปไข่ปลายแหลม ฐานใบเว้าหรือป้านออกเป็นคู่ตรงข้ามกันตามลำต้นดอกสีเขียวอ่อนเป็นพวงกลม ใช้ทำยา
งวม,ก.,"คว่ำ, ครอบ, ปิด, ส่วนมากว่า งุม"
ง่วม,ว.,งองุ้มลง เช่น ควายเขาง่วม ควายเขางุ้ม
งวาก,ก.,"ผิน, หันขวับ, เช่น งวกซ้ายแลขวา"
งวาก,ก.,"หัน, ผินอย่างเร็ว"
งว้าง,?,ดู ง้วง
งว้างกลางดง,น.,งูชนิดหนึ่งคล้ายงูเขียว แต่ตัวเล็กและยาวกว่าเลื้อยตามพุ่มไม้อย่างเชื่องช้ากว่างูชนิดหนึ่งอื่น
งวำ,ก.,"กลับ, คว่ำ, ครอบ (ดูงำ)"
งวำ,ก.,"ปกปิด, ไม่แพร่งพราย, มักใช้คู่เป็น ปิดงำ, ครอบงำ, เงื่อนงำ"
ง้อ,ก.,"ขอคืนดีด้วย, ขอพึ่งพาอาศัย, สนใจ, เอาใจใส่"
