คำ,POS,ความหมาย
จ๊ก,ก.,"อาการกระทำของสัตว์บางชนิด เช่น ม้า ใช้เท้าหน้าโขก, สับ"
จก ๑,น.,"เครื่องมือขุดดินชนิดหนึ่ง, ส่วนมากทำด้วยเหล็ก."
จก ๒,น.,ชื่อชนชาติลาวพวกหนึ่ง ซึ่งตามพงศาวดาร โยนก เรียก ลาวจก (ลาวจักราช) ต้นตระกูลขุนเจือง ลำดับถึงพญาเม็งราย ผู้สร้างนครเชียงใหม่
จก ๓,ก.,"ล้วง, ควัก, ทิ่ม"
จ๊ก ๆ,ว.,มีเสียงดังอย่างนั้น เช่น เสียงขุดดินแข็ง เป็นต้น
จกโจโคเล,ก.,"ล้วง, รื้อ หรือควานหาเอาสิ่งของที่ปะปนกันอยู่"
จกโจโคเล,สำ.,สับสน
จง,ก.,"หมาย, หวัง, ตั้งใจ, เป็นคำช่วยกริยา บอกความ บังคับ หรือความหวัง"
จง,ว.,"คค, ใช้สำหรับแขนและขา"
จ่ง,*ก.,"เป็นคำช่วยกริยา บอกความบังคับ หรือความหวัง = จง, จุ่ง"
จ้ง,ว.,"คค, ใช้สำหรับแขนและขา"
จ่ง ๑,ก.,"เหลือไว้, แบ่งไว้, ยั้งไว้"
จ่ง ๒,*ก.,"เป็นคำช่วยกริยา บอกความบังคับ หรือความหวัง = จง, จุ่ง"
จงก่ง,ว.,อาการที่โค้งงอของไม้ หรือหลังคน เช่น นั่งก่งจ่ง
จ่งก่ง,ว.,อาการที่โค้งงอของไม้ หรือหลังคน เช่น นั่งก่งจ่ง
จงกล,น.,บัวชนิดหนึ่ง = บัวสาย
จงกลนี,น.,บัวชนิดหนึ่ง ดอกคล้ายดอกบวบขม แต่มี เกสรหลายชั้น = บัวแดง
จงกลม,ก.,"เดินกลับไปกลับมา เพื่อเปลี่ยนอริยาบถ และทำจิตให้เป็นสมาธิ, โบราณว่า จมกม. (ส. ป.)"
จ่งโจ๊ะ,ว.,ลักษณะการยืนหลังค่อมก้มหน้าขาถ่างสำหรับคนร่างใหญ่
จงลวา,น.,พวกทหารม้า
จงอาง,น.,งูพิษที่มีขนาดใหญ่ที่สุดในโลก โตเต็มวัยยาวประมาณ ๔.๕ เมตร ตัวสีเขียวอมเทา หรือสีคล้ำ ชูคอนแผ่แม่เบี้ยได้ พบทั้งในป่าโปร่งและปาทึบ
จ๊ด,ว.,ลักษณะสิ่งของที่ถูกตัดขาดทันที
จด ๑,ก.,"บันทึก, เขียน, หมายไว้"
จด ๒,ก.,"จดให้ถึงกัน, ถึง"
จด ๓,ก.,"เร่ง, รวดเร็ว"
จ๊ด ๆ,ว.,อาการกระโดดจังหวะถี่ต่อเนื่องกัน
จ๊ดทด,ว.,ลักษณะของตอไม้ ต้นไม้ที่เรียงกันอยู่เป็นแถวเป็นแนว
จ๊ดป๊ด ๑,ว.,"ลักษณะของสิ่งที่ขาดสั้น, ห้วน หรือพูดห้วน, ไม่มีหางเสียง เช่น เว้าจ๊ดป๊ด"
จ๊ดป๊ด ๒,ว.,ลักษณะสีหน้าซีดเซียวเพราะประหม่าหรือตกใจ
