คำ,POS,ความหมาย
ฉ,*ว.,"หก, สำหรับประกอบหน้าศัพท์อื่น เช่น ฉกามาพจร, ฉกามาวจร, สวรรค์หกชั้น คือ ๑. จาตุมหาราชิกา ๒. ดาวดึงสา ๓. ยามา ๔. ดุสิตา ๕. นิมมานรดี ๖. ปรมินมิตวสวดี (ป.)"
ฉก,ก.,"ฉกฉวย, แย่งเอา, วิ่งราว"
ฉกรรจ์,ว.,"ร้าย, ดุร้าย, เก่งกาจ, แข็งแรง, เช่น ฉกรรจ์ผี = ผีดุ"
ฉกษัตริย์,น.,"กษัตริย์ ๖ พระองค์ คือ ๑. พระเจ้ากรุงสญชัย ๒. พระนางผุสดี ๓. พระเวสสันดร ๔. นางมัทรี ๕. ชาลี ๖. กัณหา, ชื่อกัณฑ์ที่ ๑๒ แห่งมหาชาติ ๑๓ กัณฑ์ (ป.ส.)"
ฉกาจ,ว.,"เก่งกาจ, ดุร้าย, กล้าแข็ง"
ฉขัตติย์,น.,"กษัตริย์ ๖ พระองค์ คือ ๑. พระเจ้ากรุงสญชัย ๒. พระนางผุสดี ๓. พระเวสสันดร ๔. นางมัทรี ๕. ชาลี ๖. กัณหา, ชื่อกัณฑ์ที่ ๑๒ แห่งมหาชาติ ๑๓ กัณฑ์ (ป.ส.)"
ฉงน,ก.,"สงสัย, ไม่แน่ใจ, เคลือบแคลง, ส่วนมากว่า สนเทห์, สังกา, สงกา"
ฉงาย,ว.,"ไกล, ห่าง (ข.)"
ฉทวาร,น.,"ประตูทั้ง ๖ คือ ตา, หู, จมูก, ลิ้น, กาย และใจ"
ฉทานศาลา,น.,ศาลาเป็นที่ทำงาน ๖ แห่ง
ฉนวน,น.,ต้นไม้ในจำพวกไม้ชิงชัน
ฉนัง,น.,หม้อ (ข.)
ฉนาก,น.,ชื่อปลาน้ำเค็มชนิดหนึ่ง ปากส่วนบนยื่นออกไปข้างหน้าเหมือนฟันเลื่อย
ฉนำ,น.,ปี
ฉบับ,น.,"ตำรับ, แบบ, วิธี, เช่น ""ช่างบั้งไฟเฮ้ดฉบับใด"""
ฉม,ว.,"กลิ่นหอม, เครื่องหอม"
ฉมวก,น.,เครื่องมือสำหรับแทงปลา มีสามแฉกปลายมีเงี่ยงด้ามยาว
ฉลาด,น.,ชื่อปลาน้ำจืดชนิดหนึ่ง ตัวแบน ๆ คล้ายปลากราย
ฉศก,น.,เลขหกที่เป็นตัวท้ายแห่งจุลศักราช โบราณว่า กัด
ฉอ,ก.,"โกง, ฉ้อโกง"
ฉะกุล,น.,"วงศ์, เชื้อสาย, เผ่าพันธุ์"
ฉัททันต์,น.,ช้างเผือกตระกูลหนึ่ง
ฉันทาคติ,น.,ความลำเอียงเพราะรักใคร่ชอบใจ (ป.)
ฉันทานุมัติ,น.,การรับมอบหมาย
ฉัพพรรณรังสี,น.,รัศมี ๖ ประการ คือ ๑. นิล เขียวเหมือนดอกอัญชัญ ๒. ปีด เหลืองเหมือนหรดาลทอง ๓. โลหิต แดงเหมือนตะวันอ่อน ๔. โอทาต ขาวเหมือนแผ่นเงิน ๕. มัญเชฐ สีหงสบาทเหมือนดอกเซ่ง หรือหงอนไก่ ๖. ปภัสร เลื่อมพรายเหมือนแก้วผลึก (ป.)
