คำ,POS,ความหมาย
ซก ๆ,ว.,อาการเดินเซ่อ หรือซุ่มซ่าม เช่น ย่างซก ๆ
ซกงก,ว.,"ลักษณะสิ่งของขนาดใหญ่ที่ยื่นงอออกมา เช่น งูยอคอซกงก = งูชูคอขึ้นสูง, ถ้าขนาดเล็ก เรียก ซ็อกง็อก"
ซกเซ็ก ๆ,ว.,อาการเดินไม่เป็นปกติของคนอ่อนเพลียเหมือนจะสิ้นเรี่ยวแรง
ซกมก,ว.,อาการนั่ง หรือยืนคอตกซึมเศร้า ใช้สำหรับสิ่งใหญ่ถ้าสิ่งเล็กว่า ซ็อกม็อก
ซกลก,ว.,"ไม่เรียบร้อย, ซุ่มซ่าม, เช่น ""ซกลก บ่ถืกโฉลกโซกโลกบ่ลืกตา"" ใช้ควบกับคำว่า โซกโลก เป็น ซกลกโซกโลก ก็ได้"
ซง ๑,น.,"รูปร่าง, ทรวดทรง"
ซ้ง ๑,น.,"พื้นที่ที่ยื่นล้ำไป, แหลม"
ซง ๒,ว.,"เงียบเหงา, ไม่สดชื่น, ซึม"
ซ้ง ๒,?,ดู จัง
ซง ๓,ว.,"คาดว่า, น่าจะ, คล้ายจะ เช่น ซงซิเป็นไข้ = คล้ายจะเป็นไข้, ลูกไก่ตัวนี้ซงซิตาย = ลูกไก่ตัวนี้คาดว่าต้องตาย"
ซงมง,ว.,ซึมเศร้า
ซด,น.,ส่วนของเรือที่ติดอยู่ข้าง ๆ ภายนอกฝา
ซด,น.,เฉลียงเรือน
ซด ๑,น.,"เฉลียง, ระเบียง"
ซด ๒,ก.,สูดน้ำเข้าไปในปาก เช่น ซดน้ำแกง
ซด ๆ,ว.,ลักษณะของเหลวที่ไหล หรือหยดออกมาอย่างต่อเนื่อง เช่น เหงื่อไหลซด ๆ หรือเลือดย้อยซด ๆ
