คำ,POS,ความหมาย
ฐปนะ,น.,"การก่อสร้าง, การแต่งตั้ง, การแซ่มแซม (ป., ส.)"
ฐาน,น.,"ที่, ที่ตั้ง, ตำแหน่ง, หลักแหล่ง"
ฐานันดร,น.,ลำดับตำแหน่งยศพระสงฆ์ ที่พระราชามีอำนาจตั้งบรรดาศักดิ์ให้ตามธรรเนียม
ฐานีย,น.,"เมือง, ควรแก่เหตุ, ควรแก่ตำแหน่ง (ป., ส)"
ฐาปนะ,น.,"การก่อสร้าง, การแต่งตั้ง, การแซ่มแซม (ป., ส.)"
ฐาปนา,น.,"การก่อสร้าง, การแต่งตั้ง, การแซ่มแซม (ป., ส.)"
ฐายี,ก.,"ตั้งอยู่, ดำรงอยู่"
ฐิต,ก.,"ยืนอยู่แล้ว, ตั้งอยู่แล้ว"
ฐิตก,ก.,"ยืนอยู่แล้ว, ตั้งอยู่แล้ว"
ฐิติ,น.,"การตั้งอยู่, การยืนอยู่, การดำรงอยู่"
