คำ,POS,ความหมาย
ดก,ว.,"มาก, หลาย"
ดง,น.,"ป่า, ป่าสูง, ป่าทึบ"
ด่ง,ก.,"กระโดดสูงขึ้น, กระดอนสูงขึ้น, กระเด็นสูงขึ้น, เช่น กระโดดด่ง หรือกระโดดโด่ง และฟ้งโด่ง"
ด้ง,น.,ภาชนะสานรูปแบน มีขอบ
ด้ง,?,ดู กระด้ง
ด่ง ๆ,ว.,"ลักษณะกระโดด หรือกระเด็น กระดอนสูงขึ้นอย่างต่อเนื่องรวดเร็ว ใช้สำหรับขนาดใหญ่, เช่น วัว ควายวิ่งกระโดด, สำหรับขนาดเล็ก เช่น กบ เขียด ว่า ด่อง ๆ"
ดงดอน,น.,"เนินสูง, ป่าละเมาะ, เกาะกลางน้ำ, ป่าที่มีลักษณะเตียนราบโล่งอยู่โดยรอบ"
ด๊ด ๆ,ว.,อาการสั่นระริก เช่น มือสั่น หรือตัวสั่นระริก
ดน,ว.,"นาน, ช้า บางทีออกเสียงยาวเป็นโดน ก็มี"
ด้น ๑,น.,"ท่อน, อัน, ดุ้น, เช่น ด้นฟืน = ดุ้นฟืน"
ด้น ๒,ก.,"ดั้น, บุกฝ่าไป, เช่น ย่างด้นป่าดง = เดินบุกป่าดง"
ด้น ๒,ก.,พูดเดา ; ว่ากลอนออกมาโดยไม่ได้เตรียมแต่งหรือจดจำมาก่อน
ด้น ๒,ก.,ใช้เข็มเย็บผ้าแทงขึ้นแทงลงเรื่อยไป
ดนตรี,น.,"ลำดับเสียงอันไพเราะ เช่น ""ฟังยิน ดนตรีประดับกล่อมซอ ซุงไค้"" (ศิลป์.)"
ดนัย,น.,"ลูกชายลูกหญิง (ป., ส.)"
ดนุ,ส.,"บุรุษที่หนึ่ง, ฉัน, ข้าพเจ้า (ป., ส.)"
ดนู,ส.,"บุรุษที่หนึ่ง, ฉัน, ข้าพเจ้า (ป., ส.)"
ดม,ว.,สูดเอากลิ่น
ดรุณ,ว.,"หนุ่ม, อ่อน, รุ่น (ป.)"
ดรุณี ๑,น.,เด็กหญิงรุ่น
ดรุณี ๒,ว.,"สาว, อ่อน, รุ่น (ป.)"
ดล ๑,น.,"พื้น, ชั้น, เช่น พสุธาดล (ป., ส.)"
ดล ๒,ก.,"ถึง เช่น ""แองคอน ดล ฮอดยามยังเช้า"" (ฮุ่ง)"
ดล ๓,ก.,"ให้เป็นไป, เผอิญให้เป็นไป, บันดาลให้เป็นไป, เช่น ""ควรที่ฟังคำหยุดอย่า ดล ดู ฮ้าย"" (ศิลป์.)"
ดวง ๑,น.,"ลักษณะนาม สำหรับเรยก มีด, จอบ, เสียม, ใบไถ, เช่น มีด ๒ ดวง, จอบ ๓ ดวง"
ด้วง ๑,น.,เงินตราโบราณชนิดหนึ่ง
ดวง ๒,ว.,"ยอด, จอม, เช่น ""แต่นั้น ดวง กษัตริย์ไท้ทรงเมืองท้าวฮุ่ง"" (ฮุ่ง.)"
ด้วง ๒,น.,แมลงปีกแข็งชนิดหนึ่ง ชอบกินใบไม้อ่อน เช่นใบมะพร้าวเป็นอาหาร
ด้วง ๓,น.,"ตัวอ่อนของแมลง เช่น ด้วงกุดจี่, ด้วงโสน"
ด้วง ๔,น.,เครื่องมือดักหนูชนิดหนึ่ง ทำด้วยกระบอกไม้มีคันยาวมีสายห่วงรัดตัวหนู ลักษณะคล้ายซอด้วง
ด้วง ๕,น.,ซอชนิดหนึ่ง ลักษณะคล้ายซอด้วง
ด้วง ๖,ว.,มีสีขาว เช่น สีด้วง หรือสีทองด้วง = ทองคำขาว
ดวงเนตร,น.,ดวงตา
ด้วงปลี,น.,"ยอดเจดีย์ หรือยอดพระธาตุ มีสัณฐาน คล้ายปลี, เช่น ""เจดีย์ดั้ว ดวงปลี พ้นพุ่ง"" (ศิลป์.)"
ดวงพร,น.,"พระราชบัญชา, พรที่พระราชทาน, เช่น ""เขือจ่งนำดวงพรพาดผมสองใช้"" (ศิลป์.)"
ด้วงหล้วง,*ว.,ลักษณะน้ำที่ค่อนข้างใส เช่น น้ำใสจ่วงล่วง
ดวด ๑,น.,ส่วนของเสาระหว่างขื่อถึงหลังคา
ดวด ๒,ว.,"สูง เช่น เสาดวด = เสาสูง, หินดวด = หินเป็นแท่งสูง"
ดวด ๓,น.,ชื่อบั้งไฟเล็ก ชนิดหนึ่ง มีหาง
ด่วน,ว.,"รีบ, เร็ว, เร่ง"
ด้วน,ว.,"กุด, ขาด, สั้น, เช่น หมาหางด้วน, คนขาด้วน, ผีหัวด้วน"
ดวน ๑,น.,ต้นไม้ชนิดหนึ่ง ดอกเป็นกลีบหนาและสั้น มีกลิ่นหอม
ดวน ๒,ว.,"อาการเซซวน หรือคะมำไปข้างหน้า, เช่น หัวดวน = หัวคะมำ"
ด้วม ๆ,ว.,อาการคลานอย่างต้วมเตี้ยมหรือไต่ไปอย่างอ้อยอิ่ง
ด้วย,ก.,"กระเด้า, เสพ, สัตว์ปีกผสมพันธุ์กันเรียก ด้วยกัน (ข.ควย, กันดวย)"
ดอ,ว.,"มาก่อนเวลาที่ควร เช่น เข้าดอ = ข้าวพันธุ์ที่ให้ผลเร็ว, ถั่วคอ = ถั่วพันธุ์ที่ออกผลเร็ว, บ่าวดอ = เด็กชายที่ยังไม่แตกเนื้อหนุ่ม แต่ประพฤติอย่างคนหนุ่ม เช่น แต่งตัววางตัวเหมือนคนหนุ่ม และสนใจเพื่อนหญิงมากเกินวัย"
ด่อ,ว.,"ลักษณะของบางสิ่งที่ยื่นออกมา ใช้สำหรับขนาดเล็กและสั้น, สำหรับขนาดใหญ่และยาวใช้ โก่โด่"
ดอก ๑,น.,"ส่วนหนึ่งของผลไม้ที่ผลิออกจากก้านหรือกิ่ง, ส่วนมากเรียก ดอกไม้"
ดอก ๒,น.,เงินค่าป่วยการจากเงินต้นทุน ซึ่งผู้กู้ไป หรือเอาของไปจำนำจะต้องจ่ายให้ = ดอกเบี้ย
ดอก ๓,น.,"การ, ความ, อัน, สิ่ง, เช่น ""ดอกหนึ่งฮว่านฮว่าน ฟ้าดับหนักดอก หนึ่งชูซมฮักบานค่ำ"" (ฮุ่ง.)"
ดอก ๔,ว.,"เป็นคำประกอบคำพูดให้ได้ความชัดว่าไม่ใช่อื่น ๆ ไม่เป็นไร เช่น เฮ็ดบ่ได้ดอก, บ่เอาดอก"
ดอกกากะทิง,น.,พันธุ์ไม้ดอก ลำต้นใหญ่ดอกหอม
ดอกเขือบ้า,น.,ลำโพงขยายเสียง
ดอกจอก,น.,เครื่องในชนิดใช้ย่อยอาหารของลัตว์จำพวกบดเอื้องคู่กับคันนา มักเรียกคู่กันว่า คันนาตาเชิง
ดอกสว่าน,น.,"เครื่องมือที่ใช้เจาะรูด้วยการหมุน, เรียกเหล็กแหลมที่ทำเป็นเกลียวถอดเข้าออกได้ว่า"
ดอกใหม่,น.,พรรณไม้ดอกประเภทหนึ่ง มีสองชนิด คือชนิดดอกสีแดง และชนิดดอกสีขาว
ดอง,น.,"อวัยวะส่วนแข็งที่หุ้มตัวสัตว์ เช่น เต่า, ปู"
ด่อง,ก.,ฟอกไหมด้วยน้ำด่าง เช่น ด่องไหม = ฟอกไหมด้วยน้ำด่าง
ดอง ๑,น.,"ส่วนที่แข็งหุ้มตัวสัตว์ เช่น ปู, เต่า, เรียกว่า ดองปู, ดองเต่า"
ดอง ๒,ว.,ฐานะความเกี่ยวพันระหว่างบิดามารดา ของคู่สมรสทั้งสองฝ่าย เรียกว่า เป็นดองกัน เช่น กินดอง = แต่งงาน
ดอง ๓,ก.,"แช่, หมัก, เช่น ดอกผักหรือดองผลไม้"
ด่อง ๆ,ว.,"ลักษณะกระโดด หรือกระเด็น กระดอนสูงขึ้นอย่างต่อเนื่องรวดเร็ว ใช้สำหรับขนาดใหญ่, เช่น วัว ควายวิ่งกระโดด, สำหรับขนาดเล็ก เช่น กบ เขียด ว่า ด่อง ๆ"
ดองดึง,น.,ไม้เถาชนิดหนึ่ง หัวใช้ทำยาได้
ด้องแด้ง,ว.,"ลักษณะสิ่งของที่เล็กคดไปคดมา, คนเอวบางร่างเล็เด็นเอวคดไปคดมา, ท่าทางกร้องแกร้ง"
ดอด,ก.,"แอบเข้าไป, สอดเข้าไป"
ด่อน,ว.,"ขาว, เผือก, เช่น ควายด่อน = ควายเผือก"
ดอน ๑,น.,"เนินสูง, ป่าละเมาะ, เกาะกลางน้ำ, ป่าที่มีลักษณะเตียนราบโล่งอยู่โดยรอบ"
ดอน ๒,ก.,กระดอน
ด่อม,ก.,"อ่อนน้อม, สยบ, โน้ม, เช่น หมาด่อมหาง"
ด้อม,ว.,"แอบเข้าไป, ด้อม ๆ มอง ๆ"
ดอม ๑,บุ.,"ด้วย, โดย, กับ, เช่น อยู่ดอม = อยู่ด้วยกัน , กินดอม =กินด้วยกัน, ดอมมุ่งเมียขวัญ = อยู่ร่วมกับเมียรัก, และว่า ""ไผอย่าขันอาสาเลี้ยงงูสาไว้ ดอมไก่ย้าย แต่ทุกข์บ่มั้วเข็ญ ฮ้ายเข้าฮ่วมเฮือน"" (อิน.)"
ดอม ๒,ก.,"เอื้อเฟื้อ, อาทร"
ด้อม ด้อม,ว.,"อ้อยอิ่ง, ท่อม ๆ , เช่น ย่างด้อม ด้อม ไต่ด้อม ด้อม"
ดอย ๑,น.,"ภูเขาสูง, ยอดภูเขา, เช่น จอมดอย = ยอดภูเขา"
ด้อย ๑,น.,"โณคลำไส้ชนิดหนึ่งทำให้ถ่ายบ่อย ๆ , เป็นบิด, โรคบิด"
ดอย ๒,ก.,"หันศีรษะศพไปทางทิศตะวันตก หรือหันศพให้นอนยาวไปตามความยาวของเรือน เรียกว่า ดอยศพ, การนอนเหยียดยาวไปตามความยาวของเรือน เรียกว่า นอนดอย"
ด้อย ๒,ก.,เอาอย่าง
ด้อย ๓,ว.,"เคยชินในทางไม่ดี, ชอบทำในสิ่งที่ไม่เหมาะสมบ่อย ๆ เช่น ด้อยอาเพศ = บ้าแต่งตัว"
ดะ,ก.,"ปะทะ, กระทบ, เช่น ""ไม้ล้มพาดง่า ดะ พ้นเดื่องมา"""
ดัก ๑,ก.,"วาบงเครื่องมือไว้ให้คนหรือสัตว์เข้ามาติด, ส่วนมากว่า ห้าง"
ดัก ๒,ว.,ตรงดิ่งลงไป เช่น ฮูดัก = รูที่อาศัยของสัตว์ที่ชันตรงดิ่งลึกลงไป
ดัก ๓,ว.,"ลับ, ซ่อนเร้นความรู้สึก, เช่น ดักใน = มีลับลมคมใน"
ดั๊ก ๆ,ว.,อาการสั่นระริก เช่น มือสั่น หรือตัวสั่นระริก
ดั๊กดั๊ก,ว.,"กระดุกกระดิก เช่น ตีงคีงดึ๊กดั๊ก, ดิ้นดึ๊กดั๊ก"
ดักแด้ ๑,น.,"ตัวหนอนขณะอยู่ในรังก่อนมีปีก, ตัวไหม ขณะอยู่ในฝักหลอก"
ดักแด้ ๒,น.,ว่านชนิดหนึ่งจำพวกขมิ้น หัวเล็ก ๆ คล้ายตัวดักแด้ เรียกว่านดักแด้
ดัง ๑,น.,"จมูก เช่น ดังแหมบ = จมูกบี้, ดังบึ่ง = จมูกบาน มีรูจมูกกว้าง, ดังโม = จมูกโด่ง, ดักวาก, ดังวึก, ดังวีก = จมูกแหว่งมาก, แหว่งขนาดกลาง, แหว่งขนาดเล็ก, ดังเหิน = จมูกเชิด"
ดั่ง ๑,ว.,"เช่น, เช่นนั้น, อย่าง,ราวกับ, คล้าย, เหมือน, เช่น ""สงสารนี้เวียนตายเวียนเกิด คือ ดั่ง มดแดง ไต่ขอบด้งเวียนแล้วคอบเลิง"""
ดั้ง ๑,น.,เสาไม้เครื่องเรือนทั้งตั้งบนกลางขื่อรับอกไก่ = ดั้งแขวน
ดัง ๒,ก.,"เกิดเสียงขึ้น, ตรงข้ามกับเงียบ"
ดั่ง ๒,น.,ขี้เถ้าแช่น้ำให้ละลายเกรอะเอาแต่น้ำใสสะอาดสำหรับใช้ฟอกเส้นไหมให้นิ่มมันเป็นเงางาม
ดั้ง ๒,น.,ชื่อดาวกลุ่มหนึ่งมี ๓ ดวง
ดัง ๓,ก.,"จุดไฟ, ก่อไฟ, เช่น ดังไฟ = ก่อไฟ"
ดั้ง ๓,น.,เครื่องมือป้องกันอาวุธชนิดหนึ่ง ใช้สอดเข้ากับท่อนแขนเวลาประจัญบานกับคู่ต่อสู้
ดั้ง ๔,ก.,"ดั้ง, ยืนอยู่, คงไว้, เป็นหลัก, เช่น ""ฤาจักลอนเนาดั้งใจไปเป็นท่าน หั้นเด"" (ฮุ่ง.)"
ดั้งเดิม,ว.,"แรก, แต่แรก, แต่ก่อน, เก่าแก่"
ดัด,ก.,"ทำให้น้อมไปตามต้องการ, ส่วนมากว่า เบ็ด"
ดั๊ด,?,ดู ด๊ด
ดั้น,น.,"ท่อน, อัน, ดุ้น, เช่น ด้นฟืน = ดุ้นฟืน"
ดั้น,?,ดู ด้น
ดั้นเหนียง,ก.,"บีบ, ขยำให้เข้ากัน"
ดับ,ก.,"ตาย, มอด, สูญหาย, ระงับ, สิ้นไป, หมดไป, ทำให้หมดไป"
ดั้ว,ว.,"สูง, อวบ, งาม, สง่า, เช่น ""เห็นว่าฝักหมเหี้ยมฮิมทางอย่าฟ้าวเหยียบย่ำเนอ บาดได้ถอดยาวขาวทาวยอดดั้วยังซิได้ก่ายเกิน บ่ฮู้"""
ดั้วเดี้ย,ว.,ลักษณะสิ่งของยาวอ่อนนุ่มแกว่งไกว หรือเคลื่อนไหวไปมาช้า ๆ เช่น อาการโยกไกวช้า ๆ ของยอดไม้ หรือการเลื้อยไปอย่างช้า ๆ ของงู
ด่า,ก.,"ปะทะ, กระทบ, เช่น ""ไม้ล้มพาดง่า ดะ พ้นเดื่องมา"""
ด่า,ก.,ใช้วาจาหยาบต่อผู้อื่น
ดา ๑,น.,แมลงชนิดหนึ่งเรียก แมงดา
ดา ๒,ก.,"ทำ, แต่ง, เตรียม, เช่น ""ดาความให้ถามผีด้ำใหญ่"" (ฮุ่ง.) ใช้ควบท้ายคำอื่นก็มี เช่น เดาดา หรือเดาดาตกแต่ง"
