คำ,POS,ความหมาย
ตก ๑,ก.,"พลัดตก, หล่นลง, ลดลง, เช่นฝีมือตก"
ตก ๑,ก.,"ย่างเข้า, เช่น ตกฤดูหนาว"
ตก ๑,ก.,"จางไป, ซีดไป, เช่น สีตก"
ตก ๑,ก.,"ได้ถึง, เช่น ตกทุกข์"
ตก ๑,ก.,"ขาดไป, เช่น เขียนหนังสือตก"
ตก ๑,ก.,"เขียนคำที่ขาดเติมลง, เช่น ตกหนังสือ"
ตก ๒,ว.,"ตลอด, บรรจุ, สำเร็จ, ได้, เช่น แก้ตก, ปลงตก"
ตกกระเทิน,ว.,"เลยตามเลย, ไหน ๆ ก็, ลงได้, เช่น ""ตกกะเทิน ว่าแต่ลงลายม้วน บ่เป็นบุงให้เป็นด่า"""
ตกกล้า,ก.,หว่านเมล็ดข้าวลงไปในแปลงเพาะกล้าในนาเพื่อให้เป็นต้นกล้า
ตกกะทะ,ก.,"สะทกสะท้าน, ตกตะลึง, ประหม่า"
ตกคะมะ,ก.,"สะทกสะท้าน, ตกตะลึง, ประหม่า"
ตกใจ,ก.,สะดุ้งขึ้นโดยไม่รู้ตัว เมื่อได้ยินเสียงดัง ๆ หรือมีใครมาถูกต้องตัว เป็นต้น
ตกตา,ว.,ถึงวาระที่จะทำอย่างใดอย่างหนึ่ง เช่น เล่นโยนหลุม หรือหยอดหลุม นายดำโยนก่อน แล้วตกตานายมีเป็นคนหยอดต่อไป
ตกต่ำ,ก.,ถอยจากฐานะสูง
ตกแต่ง,ก.,"ประดับ, ปรุงจัดให้ดี, ทำให้งาม"
ตกทุกข์,ก.,"ได้รับความทุกข์, ถึงความทุกข์"
ตกปีก,ก.,"ตีปีกไม้ซุง คือ เลื่อยเปลือกและกะพี้ออกทั้ง ๔ ด้าน, งอข้อศอกสีข้างเหมือนไก่ปรบปีกเพื่อแสดงความดีใจ"
ตกผ้า,ก.,ซักผ้า
ตกลง,ก.,ยินยอมพร้อมใจกัน
ตกว่า,ว.,"คือว่า, ลงความเห็นว่า, ถือเอาว่า"
ตกอับ,ก.,"ถึงความยาก, ถึงความลำบาก, ไม่รุ่งเรือง, ไม่มีชื่อเสียง"
ตง ๑,น.,ไม้เครื่องเรือนที่วางทับบนไม้รอด = ขางสำหรับรองพื้นกระดานหรือฟาก
ต่ง ๑,ก.,รอง เช่น รองน้ำฝน ว่า ต่งน้ำฝน
ตง ๒,ก.,ชักเอาเงินจากรายได้ในการพนัน = ต๋ง (จ. ต๋ง)
ต่ง ๒,ว.,"ใต้, ตรง, เช่น นอนต่งขื่อ = นอนใต้หรือตรงขื่อ"
