คำ,POS,ความหมาย
ถก,ก.,"ยกมือเท้าออกด้วยอาการรวดเร็ว = กระตุกขึ้น, ถอนหญ้า"
ถง,น.,"ผ้าพลาสติก กระดาษนำมาตัดเย็บเป็นรูปสี่เหลี่ยมหรือกลมขนาดเล็กใหญ่ตามต้องการ เพื่อใช้สำหรับใส่ของ = ถุง เช่น ถุงเงิน, ถุงปุ๋ย, ถุงขยะ เป็นต้น"
ถงกระเทียว,น.,ถุงตะเคียว
ถงบาตร,น.,ถุงบาตรมีสายโยง
ถงเป้ง,น.,ย่ามใหญ่
ถงพุงหมู่,น.,ย่ามเล็ก รูปคล้ายกระเพาะหมู
ถงย่าม,น.,ถุงย่าม
ถงส้ง,น.,กระเป๋ากางเกง
ถงเสื้อ,น.,กระเป๋าเสื้อ
ถนน,น.,"หนทางที่พูนดินขึ้น, ส่วนมากเรียกว่าทางหลวง"
ถนอม,ก.,"คอยระวัง, คอยดูแลรักษา"
ถนัด,ว.,"สันทัด, คล่องตัว, มั่นเหมาะ"
ถนำ,น.,ชื่อดินชนิดหนึ่งสีเหลืองอ่อนใช้ทำยา = ดินถนำ (ข.)
ถนิม,น.,เครื่องประดับ เช่น ถนิมพิมพาภรณ์ เป็นต้น
ถนิมสร้อย,ว.,"อ่อนแอ, บอบบาง"
ถนิมสร้อย,น.,เครื่องประดับ
ถบ ๆ,ว.,เสียงที่ฟังแล้วได้ยิน ถบ ๆ
ถ่ม,ก.,บ้วนน้ำลายออกจากปากโดยแรง = ถุย
ถม ๑,น.,วิธีทำภาชนะให้เป็นลวดลายโดยการลงยาทับ หรือถมลายต่าง ๆ ซึ่งเรียกว่า เครื่องถม
ถม ๒,ก.,"กลบ, ทำให้เต็ม, เช่น ดินถ่มบ่อ เป็นต้น"
ถล,น.,"ที่บก, ที่ดอน (ป.)"
ถลกบาตร,น.,ถุงบาตรมีสายโยง
ถลา,ว.,"แฉลบ, เฉียด, เฉี่ยว, เช่น เครื่องบินถลาลงสนาม"
ถลำ,ก.,"ล้ำล่วง เช่น ถลำเข้าไป, พลั้งพลาดตกลงไป เช่น ถลำลงคู"
ถ่วง,น.,"เชือก, บ่วง"
ถ่วง ๑,น.,เชือกถ่วง หรือสายถ่วงที่หน่วงไว้ดึงไว้
