คำ,POS,ความหมาย
ธนาคาร,น.,ธนาคาร
ธนานัติ,น.,ธนานัติ
ธนู,น.,เครื่องทำเสียงชนิดหนึ่ง สำหรับติดหัวว่าวตุ๋ยตุ่ย เพื่อให้เกิดเสียงดังเวลาถูกลมพัด
ธนู ๑,น.,ธนู (ป.)
ธนู ๒,น.,เครื่องเล่นชนิดหนึ่งมีคันคล้ายธนู สายทำด้วยไหมสองท่อน ผูก ๒ ข้าง มีหวายบาง ๆ หรือใบลาน ใบตาลไว้ตรงกลางใช้ติดหัวว่าวขนาดกลางถึงขนาดใหญ่เมื่อต้องลมจะเกิดเสียงดัง เรียกว่า ว่าวธนู = ว่าวตุ่ยตุ่ย
ธนู ๓,น.,อาวุธลับชนิดหนึ่งทางไสยศาสตร์ ทำด้วยขี้ผึ้งหรืออย่างอื่นปั้นเป็นวัวตัวเล็ก ๆ เรียก วัวธนู เสกด้วยอาคมแล้วปล่อยให้ไปทำร้ายผู้อื่น
ธนู ๔,น.,ชื่อราศีที่ ๙ ตามทักษาในทางโหราศาสตร์
ธม,ว.,"ใหญ่, ดัง, เช่น ฮ้องธม ๆ , กรน ธม ๆ"
ธรง,ก.,"ธำรง, ปกครอง"
ธรณี ๑,น.,"โลก, แผ่นดิน"
ธรณี ๒,น.,ไม้รองรับกรอบล่างของประตู (ข. ธรณีทวาร)
ธรรม,น.,ธรรม
ธรรมชาติ,น.,สิ่งที่เกิดขึ้นตามธรรมดา
ธรรมดา,น.,"ธรรมดา (ป., ส.)"
ธรรมเนียม,น.,ธรรมเนียม (ข.)
ธรรมเนียม,น.,ประเพณีที่นับถือถ่ายทอดต่อ ๆ กันมา
ธรัง ๑,น.,"แผ่นดิน, พื้นดิน"
ธรัง ๒,น.,"สายน้ำ, กระแสน้ำ"
ธรา (ทะลา),น.,"สายน้ำ, กระแสน้ำ"
ธัญญาหาร,น.,ธัญญาหาร (ป.)
ธันวาคม,น.,เดือนธันวาคม
ธัมมะ,น.,ธรรม
ธาตุ,น.,เจดีย์ที่บรรจุกระดูกคนที่เผาแล้ว
ธำมะรงค์,น.,แหวนธำมรงค์ (ข.)
ธีตา,น.,ลูกหญิง
ธุระ,น.,"ธุระ (ป., ส.)"
ธุลี,น.,"ธุลี (ป., ส.)"
ธูป,น.,ธูป (ป.)
โธ,อุ.,เสียงเปล่งออกมาด้วยความประหลาดใจ
