คำ,POS,ความหมาย
นก,น.,คอกสำหรับให้เป็ด ไก่ อยู่อาศัย = เล้า
นก,น.,สัตว์สองเท้ามีปีก ออกลูกเป็นไข่ก่อนแล้วจึงฟักเป็นตัว
นกกก,น.,"นกเงือก, บางถิ่นเรียก นกคอก้าก หรือนกกวาด"
นกกด,น.,นกกะปูด
นกก้นโดก,น.,นกโพระดก
นกกระซุม,น.,นกตะกรุม
นกกระแซง,น.,นกแซงแซว
นกกะโดก,น.,นกโพระดก
นกกะบัว,น.,นกชนิดหนึ่งสีขาว
นกกะบัว,น.,นกกาบบัว
นกกะบา,น.,นกตีทอง
นกก่าง,น.,นกแก้วขนเขียวจงอยปากแตง
นกกี้,น.,นกแก้วขนเขียวจงอยปากดำ มีลักษณะเหมือนนกก่าง แต่ตัวเล็กกว่า = นกโนรี
นกกู่ฮูก,น.,ชื่อนกชนิดหนึ่ง
นกแกนแก,น.,นกพิราบ บางถิ่นว่านกแจนแจ
นกขอด,น.,นกปรอด
นกขาบ,น.,นกชนิดหนึ่ง = นกตีทอง
นกขาบ,น.,นกตะขาบ
นกขี้ไก่,น.,นกขี้ไก่เดียน
นกขี้ไก่เดือน,น.,นกขี้ไก่เดียน
นกขี้ถี่,น.,นกทึดทือ
นกขุ้ม,น.,"นกชนิดหนึ่ง = นกคุ่ม มีหลายชนิด คือ ๑. ขุมม้าตัวเล็กขนสีเหลือง ลายที่คางสีมอ, ๒. ขุ้มงัว ขนเหลืองลาย, ๓. ขุ้มควาย หรือขุ้มอืด ตัวใหญ่ขนสีเทา ร้องเสียงอืด ๆ, ๔. ขุ้มไฟ ขนสีน้ำตาลแก่, ๕. ขุ้มหลี้ พันธุ์เล็กที่สุด บินเหินสูงอยู่ตามทุ่ง"
นกเขา,น.,"มีหลายชนิด ได้แก่เขาเขียว, เขาตู้, เขาชะวา, เขาทอง (บางถิ่นเรียกเขาไฟ), เขาแขก"
นกแขก,น.,นกแขกเต้า
นกแขกกะลึง,น.,นกจำพวกนกแก้ว ขนเขียวจะงอยปากดำ หางยาวกว่านกแก้ว แต่ตัวเล็กกว่า นกแขกกะลึง ก็เรียก
นกคอก้าก,น.,นกกระสา
นกจอก ๑,น.,นกกระจอก
นกจอก ๒,น.,ปลานกกระจอกเป็นปลาน้ำเค็มปีกบินขึ้นเหนือน้ำได้
นกจาบ,น.,นกกระจาบ
นกจิบ,น.,นกกระจิบ
นกจิว,น.,นกชนิดหนึ่งตัวเล็กสีเขียว
นกจี่จู้,น.,นกคีรีบูน
นกจู่ลู่,น.,"นกชนิดหนึ่ง = นกคุ่ม มีหลายชนิด คือ ๑. ขุมม้าตัวเล็กขนสีเหลือง ลายที่คางสีมอ, ๒. ขุ้มงัว ขนเหลืองลาย, ๓. ขุ้มควาย หรือขุ้มอืด ตัวใหญ่ขนสีเทา ร้องเสียงอืด ๆ, ๔. ขุ้มไฟ ขนสีน้ำตาลแก่, ๕. ขุ้มหลี้ พันธุ์เล็กที่สุด บินเหินสูงอยู่ตามทุ่ง"
นกเจ่า,น.,นกกระยาง
นกเจ่าโทน,น.,ชื่อนกยางชนิดหนึ่งชอบออกหากินตัวเดียวโดด ๆ เรียก นกยางโทน หรือ
นกแจนแวน,น.,นกกระแวน
นกแซว,น.,นกแซงแซว
นกต่อ ๑,น.,หญิงหากินที่ทำหน้าที่ไปล่อชายให้ติดตามมา
นกต่อ ๒,น.,"นกบางชนิด เช่น นกเขา, นกกระทา ใช้เป็นนกต่อ เรียก นกป่าให้มาเข้ากรง"
นกตะขาบ,น.,นกชนิดหนึ่ง = นกตีทอง
นกเต็น,น.,นกกระเต็น
นกแต้ดแต้,น.,นกต้อยตีวิด
นกทดถี่,น.,นกชนิดหนึ่ง = นกทึดทือ
นกปืน,น.,เหล็กรูปงอ ปลายแหลม มีหน้าที่สับแก๊ปให้ปืนลั่น
นกเป้า,น.,นกเปล้า
นกยูง,น.,นกชนิดหนึ่ง ขนและแพนหางเป็นสีสวยมากปกติอาศัยอยู่ในป่าสูง
นกยูง,น.,ต้นไม้ชนิดหนึ่ง เรียกว่า ต้นนกยูง ดอกสีเหลืองแดง
นกริวกิว,น.,"นกชนิดหนึ่งขนาดนกกระจาบชอบขุดรูอยู่อาศัย เช่น ""จิววิวฮ้องคือซิไกลสุดยิ่ง"""
นกสองหัว ๑,น.,คนที่มีความเอนเอียงเข้าข้างศัตรูหรือฝ่ายอื่น
นกสับ,น.,เหล็กรูปงอ ปลายแหลม มีหน้าที่สับแก๊ปให้ปืนลั่น
นกสีซอพระอินทร์,น.,"นกชนิดหนึ่ง = นกคุ่ม มีหลายชนิด คือ ๑. ขุมม้าตัวเล็กขนสีเหลือง ลายที่คางสีมอ, ๒. ขุ้มงัว ขนเหลืองลาย, ๓. ขุ้มควาย หรือขุ้มอืด ตัวใหญ่ขนสีเทา ร้องเสียงอืด ๆ, ๔. ขุ้มไฟ ขนสีน้ำตาลแก่, ๕. ขุ้มหลี้ พันธุ์เล็กที่สุด บินเหินสูงอยู่ตามทุ่ง"
นกสีดา,น.,นกนางนวล
นกใส่,น.,นกกระไน
นกหอ,น.,นกกินปลาชนิดหนึ่ง ประเภทนกอินทรี
นกเหาะ,น.,นกกินปลาชนิดหนึ่ง ประเภทนกอินทรี
นกแหลว,น.,นกเหยี่ยว
นกอีแอ่น,น.,นกนางแอ่น
นกอีแฮ่ง,น.,นกแร้ง
นกแอ่นแส้ว,น.,นกแอ่นลม
นกุล,น.,พังพอน (ป.)
นขลิขิต,น.,เครื่องหมายวงเล็บ (ป.)
นขะ,น.,"เล็บ, เล็บมือ, เล็บเท้า (ป.)"
นคร,น.,"เมืองใหญ่ เช่น นครหลวงพระบาง, นครจำปาศักดิ์"
นครบาล,น.,"เจ้าหน้าที่ฝ่ายปกครอง, ตำรวจ"
นครเรศ,น.,"เมืองใหญ่ เช่น นครหลวงพระบาง, นครจำปาศักดิ์"
นครโสเภณี,น.,"หญิงคนชั่ว, หญ้าค้าประเวณี - แม่จ้าง"
นคเรศ,น.,"เมืองใหญ่ เช่น นครหลวงพระบาง, นครจำปาศักดิ์"
นง,น.,"นาง, สาว, สาวงาม"
นงคราญ,น.,"ผู้หญิง, นางงาม"
นงถ่าว,น.,สาววัยรุ่น
