คำ,POS,ความหมาย
บ่,ว.,"คำปฏิเสธ = ไม่ เช่น บ่ไป = ไม่ไป, บ่กิน = ไม่กิน, บ่นอน = ไม่นอน"
บก ๑,น.,"พันธุ์ไม้ยืนต้น, ชื่อต้นบก = กระบก"
บก ๒,ก.,"น้ำแห้ง, อาการที่น้ำลดต่ำลงจากระดับเดิม"
บกบาง,ก.,"เหลือน้อย, เหลือไม่มาก, ไม่แน่นหนาเหมือนก่อน"
บ่ง,ก.,ใช้เข็ม หรือของแหลม แคะเอาเสี้ยน หรือหนามที่ยังอยู่ในเนื้อใต้ผิวหนังออก
บง ๑,น.,พันธุ์ไม้ชนิดหนึ่งมียางเหนียวใช้เปลือกแช่น้ำผสมปูนขาวฉาบอิฐในการสร้างโบสถ์ เจดีย์ ในสมัยโบราณ เปลือกใช้บดทำธูป
บ้ง ๑,น.,"ตัวบุ้ง มีหลายชนิด เช่น บ้งกือ, บ้งขน, บ้งคืบ, บ้งเล็น"
บง ๒,*น.,ไม้ไผ่ชนิดหนึ่งปล้องยาวไม่มีหนาม = ไผ่บง
บ้ง ๒,น.,"เหล็กคล้ายตะไบ แต่รอยหยาบแหลมคม, ส่วนมากใช้เกลาตบแต่งของที่เป็นไม้"
บง ๓,ก.,ปลูก เช่น บงบอน = ปลูกหม่อน
บ้ง ๓,น.,ผักบุ้ง หรือทอดยอด มี ๒ ชนิด คือ ผักบุ้งไทยและผักบุ้งจีน
บงก์,น.,"เปลือกตม, โคลน"
บ้งกือ,น.,กิ้งกือ
บ้งมั่ง,น.,พันธุ์ไม้ชนิดหนึ่ง = สันพร้านางหอม
บงสุ (แบบ),น.,"ฝุ่น, ละออง"
บฏ,น.,ชื่อพระพุทธรูปที่เขียนไว้ในแผ่นผ้า เรียกว่า พระบฏ ใช้ผูกติดปลายไม้ไผ่ ปักไว้ตามบริเวณวัดในงานเทศน์มหาชาติ หรืองานทอดกฐินของอีสาน
บด ๑,ก.,อัดบดให้แน่น ให้ละเอียดด้วยของที่หนักกว่าหรือกด
บด ๒,ว.,อาการมืด ครึ้ม ไม่มีแสงแดด
บดินทร์,น.,"ผู้เป็นใหญ่ในแผ่นดิน, พระเจ้าแผ่นดิน (ส.)"
บดี (แบบ),น.,"นาย, เจ้าของ, ผู้บังคับบัญชา (ป.,ส.) เช่น อธิบดี = ข้าราชการผู้บังคับบัญชาระดับกรม, อธิการบดี = ผู้บังคับบัญชามหาวิทยาลัยตามลำดับ"
บถ,น.,ทาง เช่น กรรมบถ = ทางแห่งการกระทำ
บท,น.,"เท้า, รอยเท้า"
บทเฮียน,น.,บทเรียน ที่ปรากฏในหนังสือที่สมควรรู้
บน,น.,"อยู่สูงขึ้นไป เช่น ชั้นบน, เบื้องบน"
บพิตร,น.,พระเจ้าแผ่นดิน เป็นคำสรรพนามที่พระสงค์พูดกับพระเจ้าแผ่นดินว่า มหาบพิตร
บม,น.,ภาชนะชนิดหนึ่งทำด้วยไม้ขุดรูปวงกลม มีขอบ ด้ามสั้น เจาะรูสำหรับแขวน หรือถือสำหรับรองสว่าย หรือสงข้าวเหนียวที่นึ่ง สุกใหม่ หรือใช้อย่างถาดรอง อาหารรับประทาน
บม,น.,"ภาชนะที่ทำด้วยไม้ลักษณะกลมแบนเพื่อให้สงข้าวนึ่ง (เข้าเหนียว) ก่อนที่จะนำไปใส่กระติบ, บางถิ่นเรียกว่า โบยส่วยเข้า"
บ่ม,ก.,"นำผลไม้มาอบโดยใช้ใบตอง ใบขี้เหล็ก หรือผ้ากระสอบป่าน คลุมทับไว้ให้มีความอบอุ่นเสมอกัน เช่น มะม่วง, ใบยาสูบ"
บรเทศ,ว.,ต่างประเทศ
บรบูรณ์,ว.,"เต็ม, ถ้วน, ครบ, สมบูรณ์"
บรม,ว.,"วิเศษ, อย่างยิ่ง, สูงสุด, เช่น พระบรมธาตุ, บรมอัฐิ, บรมโกษ"
บรมวร,ว.,"เต็ม, ถ้วน, ครบ, สมบูรณ์"
บรมวรณ์,ว.,"เต็ม, ถ้วน, ครบ, สมบูรณ์"
บรมัตถ์,น.,ประโยชน์สูงสุด เป็นชื่อ พระไตรปิฎก คือ พระปรมัตถปิฎก
บรเมศ ๗,น.,เทพเจ้าผู้เป็นใหญ่ในตรีมูรติของลัทธิศาสนาพราหมณ์ ได้แก่ พระพรหม พระวิษณุ และพระศิวะ ต่อมาภายหลังพระศิวะมีชื่อเรียกอีกว่า อิศวร
บรรจถรณ์,น.,"เครื่องนอนประกอบด้วยเตียง, ที่นอน, (เสื่อ) หมอน, ม่าน, มุ้ง, ผ้าห่ม"
บรรจบ,ก.,"ประจวบ, ประสบ, พบ, เห็นกัน"
บรรจุ,ก.,"ประจุ, ใส่, บรรทุก, เข้ารับตำแหน่งงาน"
บรรณ,น.,"หนังสือ, งานเกี่ยวกับหนังสือ, เช่น สารบรรณ, บรรณศาลา, บรรณสาร"
บรรณาการ,น.,สิ่งที่ส่งไปเป็นกำนัลด้วยความเคารพและความเป็นมิตรไมตรี
บรรณาธิการ,น.,"ผู้รวบรวม เลือกเฟ้นเรื่องราวลงพิมพ์เป็นหนังสือ เช่น หนังสือพิมพ์รายวัน, รายสัปดาห์, รายปักษ์ หรือ รายเดือน"
บรรณารักษ์,น.,ผู้ทำหน้าที่รักษา ควบคุม รายการหนังสือ เช่น ในห้องสมุดหรือหอสมุด
บรรดา,ว.,"ทั้งหลาย, ทั้งมวล"
บรรดาศักดิ์,น.,การกำหนดชั้นข้าราชการ ขุนนางในสมัยโบราณ
บรรทม,ก.,เป็นภาษาเขมร = นอน เช่น ทรงพระบรรทม
บรรทัด,น.,"เส้นตรง, แนวตรง"
บรรทัดฐาน,น.,"แบบแผนสำหรับยึดถือเป็นแนวทางปฏิบัติ, เหตุที่ตั้งเป็นเครื่องถึง, เหตุอันใกล้ที่สุด"
บรรทัดฐาน,น.,"หลักปฏิบัติ, แบบอย่าง"
บรรทุก,ก.,"ใส่, บรรจุ"
บรรเทา,ก.,"ทุเลา, คลาย, เบาลง"
บรรพ์ ๑,น.,"ภาค, เล่ม, หมวด, ตอน, ระยะเวลาที่กำหนด"
บรรพ์ ๒,ว.,"ก่อน, เบื้องต้น, ตะวันออก"
บรรพชา,น.,"การบวช ใช้คู่กับคำว่า อุปสมบท = เป็นอุปสมบทบรรพชา, บรรพชา = บวชเณร, อุปสมบท = บวชพระภิกษุ"
บรรพชิต,น.,"ผู้บวช, นักบวช"
บรรพต,น.,ภูเขา
บรรพบุรุษ,น.,ผู้เป็นต้นวงศ์ตระกูลของประเทศชาติ
บรรยาย,น.,"การสอน, การชี้แจง, การแสดงออกซึ่งความรู้ความสามารถให้บุคคลอื่นฟัง ดู ชม"
บรรลัย,น.,"ความฉิบหาย, ความย่อยยับ"
บรรลุ,ก.,"ถึง, สำเร็จ"
บรรเลง,ก.,การแสดงดนตรีด้วยเครื่องดุริยางค์ และการขับร้อง
บรรษัท,น.,การรวมหุ้นเพื่อทำการค้า หรือกิจกรรมเกี่ยวกับการเงิน เช่น บรรษัทเงินทุน
บรรหาร,ก.,"เฉลย, กล่าวแก้, ตรัสสั่ง"
บรั่นดี,น.,ชื่อสุราชนิดหนึ่งที่กลั่นมาจากน้ำผลไม้
บริกรรม,ก.,"ท่องบ่น, เสกเป่าด้วยคาถาอาคม"
บริกัป,น.,"ความดำริ, กำหนด"
บริการ,ก.,"ช่วย, เกื้อกูล"
บริขาร,น.,"เครื่องใช้สอยของภิกษุ มี ๘ อย่างคือสบง, จีวร, สังฆาฏิ, บาตร, มีดโกน, เข็ม, ประคต, กระบอก, กรองน้ำ"
บริจาค,น.,"การสละ, การให้, การแจก"
บริจาริกา,น.,ผู้หญิงรับใช้ใกล้ชิด
บริเฉท,น.,ข้อความที่ถูกรวบรวมเอาไว้เป็นตอน ๆ หรือที่กำหนดไว้เป็นหมวดหมู่
บริเฉทกาล,น.,เวลที่กำหนดไว้
บริพาชก,น.,นักบวชชาย ที่อยู่นอกพระพุทธศาสนา
บริพาชิกา,น.,นักบวชหญิงที่อยู่นอกพระพุทธศาสนา
บริพาร,น.,"ผู้แวดล้อม, ผู้รับใช้ติดตาม = บริวาร"
บริพาล,น.,"ผู้รักษา, ผู้ดูแล, ผู้เลี้ยงดู"
บริภัณฑ์ ๑,น.,"ภูเขาที่ล้อมรอบเขาพระสุเมรุมีชั้น ๗ ชั้น ว่า คือ ยุคนธร, อิสินทร, กรวิก, สุทัส, เนมินทร, วินตกะ, อัสกัณ, เรียกเขาสัตบริภัณฑ์ หรือสัตปัวรภัณฑ์"
บริภัณฑ์ ๒,น.,"ของใช้, เครื่องใช้, เครื่องเรือน (ป.)"
บริภัณฑ์ ๓,น.,"ผ้าทาบสบง, จีวรด้านกว้าง"
บริภาษ,ก.,"กล่าวติเตียน, ด่า"
บริโภค,ก.,"กิน, ใช้ให้เกิดประโยชน์"
บริมาส,น.,"พระจันทร์เต็มดวง, จันทร์เพ็ญ"
บริรักษ์,ก.,"ดูแล, รักษา, ปกครอง"
บริวาร,น.,"ผู้แวดล้อม, ผู้รับใช้, ผู้ติดตาม"
บริเวณ,น.,"ขอบเขต, พื้นที่"
บริศาจ,น.,"ภูติผี, ปีศาจ"
บริษัท ๑,น.,"ที่ประชุม, หมู่, เหล่า, เช่น พุทธบริษัท = หมู่ชาวพุทธ"
บริษัท ๒,*น.,"หุ้นส่วนบริษัทจำกัด, ผู้รวมทุนกันทำ, การจดทะเบียนการค้าเป็นบริษัทนิติบุคคล"
บริสุทธิ์,ว.,"สะอาด, ปราศจากมลทิน"
บริหาร,ก.,"ดูแลรักษา, ปกครอง"
บวก ๑,น.,แอ่งน้ำเล็ก ๆ = ปลัก
บวก ๒,ก.,รวมเข้า = เติมเข้า
บ่วง,น.,เครื่องใช้สำหรับตักอาหาร = ช้อน
บ้วง (อบ.) ๒,น.,ชื่อผักชนิดหนึ่งเป็นเถารับประทานได้ = กะทกรก
บ้วง ๑,น.,เชือกที่ทำวงรูด เอาไว้ดักหรือคล้องสัตว์ = บ่วง
บวงเงี้ยว,น.,บวบชนิดหนึ่ง
บวงสรวง,ก.,"บูชา, เซ่นสรวง, หรือเซ่นไหว้"
บวช,ก.,ถือเพศสมณะเป็นพระภิกษุ สามเณร ชีหรือนักพรตอื่น ๆ
บ้วน,ก.,อาการคลายน้ำลาย น้ำออกจากปาก
บ้วน,ก.,ปลาผุดขึ้นพ้นน้ำเพื่อหายใจ
บ้วนปาก,ก.,อาการคลายน้ำลาย น้ำออกจากปาก
บวบ ๑,น.,"ผักชนิดหนึ่งเป็นเถาออกผลลักษณะยาวกลมใช้ประกอบอาหาร เช่น บวบเหลี่ยม, บวบหอม"
บวบ ๒,ว.,อาการช้ำบวม เช่น ถูกตีจนหัวบวบ = บอบช้ำ
บวบงู,น.,บวบชนิดหนึ่ง
บวย,น.,ภาชนะสำหรับตักน้ำมีด้ามถือ โดยมากทำด้วยกะลามะพร้าว
บวย,น.,กระบวย
บ้วย,ว.,อาการไหลเคลื่อนของของเหลว
บอ,ว.,"บ้า, เกือบบ้า, เช่น บ้า ๆ บอ ๆ = จริตไม่ดี, ไม่ปกติ"
บ้อ ๑,น.,บ้อหุ้น
บ้อ ๒,น.,"หรือ, ไม่, ไหม, บางถิ่นใช้ว่า บ่"
บอก ๑,น.,กระบอกใส่น้ำ
บอก ๒,ก.,"เล่าให้รู้, ให้ฟัง, สอน, เช่น บอกสอน"
บอง,ก.,ปลูก เช่น บงบอน = ปลูกหม่อน
บอง ๑,น.,น้ำพริกที่ใช้ปลาร้าเป็นเครื่องปรุง = ปลาแดกบอง
