คำ,POS,ความหมาย
ผก,ก.,"แอบ, ซ่อน, ดัก, เช่น ผกนก = ดักยิงนก"
ผกา,น.,ดอกไม้ (ข. ผกา)
ผกากรอง,น.,"ชื่อไม้พุ่มหลายชนิด เช่น ชนิดลำต้นตรงกิ่งสี่เหลี่ยม มีหนามเล็กห่าง ๆ ดอกเป็นกระจุกสีชมพู หรือแดงอมเหลือง ปลูกเป็นไม้ประดับและแพร่พันธุ์ออกเป็นวัชพืชในบางท้องที่, ก้ามกุ้งก็เรียก, ชนิดลำต้นเลื้อย กิ่งไม่มีหนาม ดอกสีม่วง, ผกากรองเลื้อย ก็เรียก, ทั้งสองชนิดนี้เป็นไม้ต่างประเทศ ชนิดขึ้นในป่าโปร่งระดับสูงภาคเหนือ ลำต้นกลม ดอกสีม่วง (ข. ผกาย)"
ผกาย,น.,"ดาว, แสงกระจาย (ขผฺกาย)"
ผง ๑,น.,ต้นปรง (ข.ปฺรง)
ผ่ง ๑,น.,ที่ปลาทำรังก่อนวางไข่
ผ้ง ๑,น.,กระพุ้ง เช่น ผ้งแก้ม = กระพุ้งแก้ม
ผง ๒,ว.,"ไม่เจือน้ำ, ร่วน, ซุย"
ผ่ง ๒,ว.,เสียงดังอย่างนั้น
ผ้ง ๒,ว.,ส่วนที่ลึกเข้าไปเป็นแอ่งกว้างใหญ่ภายใน
ผง ๓,ว.,"เพิ่ง, กำลัง, เช่น นงค์รามผงถ่าว = กำลังหนุ่มสาว"
ผ้ง ๓,ว.,"ล้วน, งาม, บริสุทธิ์"
ผจง,ก.,"บรรจง, ทำให้ดี"
ผจญ,ก.,"ต่อสู้, สู้รบ, ต้านทาน"
ผจญ,ก.,สู้รบ (ข.ผฺจัญ = ทำให้แพ้)
ผจาน,ก.,ประจาน (ข. ผฺจาล)
ผญา,น.,ภาษิตคำคมอีสาน
ผด,น.,เม็ดเล็ก ๆ เป็นผื่นขึ้นตามผิวหนัง เมื่อถูกอากาศร้อน มีอาการคัน
ผดแดด,น.,ผดที่เกิดเพราะถูกแสงแดดร้อนจัด
ผดุง,ก.,"ค้ำ, ค้ำจุน, ระวัง, อุดหนุน (ข.ปฺรฎง)"
ผแดง,น.,ใช้เรียกคนที่บวชเป็นพระตั้ังแต่ ๕ พรรษาขึ้นไปแต่ไม่ได้รับเถราภิเษกแล้วสึกออกมา
ผนวช,ก.,บวช (ข.ผฺนวกส)
ผม,น.,ผม
ผมาท,ก.,"ขาดความรอบคอบ, ขาดความระมัดระวัง เพราะทนงตัว ดูหมิ่น"
ผยอง,ก.,"เผ่นโผน, เหาะไป"
ผล,น.,ผล (ป.)
ผลควร,น.,คำเรียกพระราชา พระราชินีและเจ้าฟ้า ใช้คำว่าสาผล ก็มี
ผลคุณ ๑,น.,เดือนสี่หรือเดือนมีนาคม
ผลคุณ ๒,ว.,"แดง, แดงเรื่อ (ส.)"
ผลคุนี ๑,น.,ชื่อนักษัตรสองหมู่ คือ บูรพผล และอุดรผล
ผลคุนี ๒,น.,วันเพ็ญในนักษัตรอุดรผลคุนี (ส.)
ผละ,ก.,"ออกนอกทาง, หนีไปทางอื่น"
ผลัด,ก.,"เปลี่ยน, แทน (ข. ผฺลาส)"
ผลา,ก.,"เปลี่ยน, แทน (ข. ผฺลาส)"
ผลาญ,ก.,"ทำลาย, ล้าง (ข.ผฺลาญ)"
ผลึก,น.,แก้วหินชนิดหนึ่ง (ข.เผฺลก)
ผสม,ก.,"รวมกันเข้า, ปน, ระคน, เจือ, คละ"
ผ่อ,?,ดู คอยดู
ผอก,ก.,การใช้ข้าวสุกเป็นเครื่องมือในการเชื้อเชิญผีออกจากคนที่กำลังเจ็บป่วยเพื่อให้หาย = เซ่น หรือบน
ผอกพ้น,ว.,"เกินไป, เกินขีด เช่น หลายผอกพัน"
ผอง,ก.,"กะ, คะเน, ตรึกตรอง, ใช้ทะนาน เป็นต้น ตักวัตถุ เช่น ข้าวสาร น้ำมัน, เพื่อรู้ปริมาณ"
ผอง ๑,ก.,"ตัก, ตวง"
ผ่อง ๑,น.,ชื่อผักชนิดหนึ่งจำพวกบัวสาย
ผอง ๒,ว.,"ทั้งปวง, ทั้งหมด (ข.ผง (พอง)), ทั้งผอง = ทั้งหมด"
ผ่อง ๒,ว.,"ขาว, เกลี้ยงเกลา, งาม"
ผ่อน,ก.,"หย่อน, ลดหย่อนล คลาย, ถอย"
ผ่อนผัน,ก.,ลด หย่อนตาม
ผอม ๑,ว.,"ไม่อ้วน, แบบบาง"
ผอม ๒,ว.,ไกล
ผอมผ่อ,ว.,"ไกลสุดตา, มองเห็นลิบลับ"
ผ่อย ๑,ว.,"หักง่าย, แตกง่าย, ไม่เหนียว, เปราะ, เสียงผ่อย = ไม่หยาบ, ปากผ่อย = ปากเปราะ"
ผ่อย ๒,ว.,"คล่องแคล่ว, วุ่นวาย, สอนง่าย"
ผอวน,น.,น้อง
ผะ,ก.,ผละ
ผะ (พะ),ก.,สาด เช่น ฝนผา = ฝนสาด
ผะกำ,ว.,"ศักดิ์สิทธิ์, มีอำนาจ, เช่น แส้ประกำ, หวายประกำ"
ผะคม,ก.,"ไหว้, บังคม"
ผะดุง,ก.,"ค้ำ, ค้ำจุน, ระวัง, อุดหนุน (ข.ปฺรฎง)"
ผะเดิม,ก.,"เริ่มต้น, เริ่มแรก, ลงมือก่อน"
ผะเทศ,น.,"บ้านเมือง, แว่นแค้วน, ที่"
ผะผ่อง,ว.,"ขาว, เกลี้ยงเกลา, งาม"
ผะผ้าย,ก.,"ลุกขึ้น, ไป (ดู ผ้าย)"
ผะผ้าย,ก.,"ไป, มา, เช่น ""ดีแก่สังข์ล่วงผ้ายผันบ้าก่อนบา"" (ศิลป์) (ไทใหญ่ ว่า ผ้าย-ไป)"
ผะลัน,ก.,"พนัน, เล่นเอาเงินหรือสิ่งของกัน"
ผะสม,ก.,"รวมกันเข้า, ปน, ระคน, เจือ, คละ"
ผะสา,น.,"ภาษา, ความควรไม่ควร"
ผะสีผะสา,น.,"วิสัย, เรื่องราว, ความเป็นไป, ความหมาย"
ผะอบ,น.,หีบ หรือกล่องสำหรับใส่สิ่งของ ขนาดเล็กว่าแอบ หรือ
ผะอบ,น.,ตลับมีเชิงมียอด = ผอบ.
ผะอุง,น.,ชื่อต้นไม้ชนิดหนึ่ง ใช้ยางเคี่ยวย้อมผมและฟัน
ผะเอิบเปิปใจ,ก.,ปลื้มปิติ
ผัก,น.,"พืชที่ใช้เป็นอาหาร, ใช้เป็นคำนำหน้าชื่อพืชบางจำพวก"
ผักแก่นขม,น.,พืชชนิดหนึ่งเกิดตามพื้นดินแฉะ ๆ และทุ่งนา ใช้เป็นผักกินได้รสขม
ผักดางขม,น.,พืชชนิดหนึ่งเกิดตามพื้นดินแฉะ ๆ และทุ่งนา ใช้เป็นผักกินได้รสขม
ผักปลังขาว,น.,ชื่อไม้เถาชนิดหนึ่ง ใบอวบน้ำ เถา และใบสีเขียวอ่อนหรือแดงมียางเป็นเมือก ผลสุกมีสัม่วงดำยอด และดอกอ่อนกินได้และใช้ยาทำได้
ผักเสริม,น.,ผักชนิดหนึ่ง = สระแหน่
ผักหนอก,น.,บัวบก
ผักหวาน ๑,น.,ชื่อไม้พุ่มชนิดหนึ่ง ยอดกินได้
ผักหวาน ๒,น.,ชื่อไม้ต้นชนิดหนึ่งยอดและดอกอ่อน กินได้
ผักหวานบ้าน,น.,ชื่อไม้พุ่มชนิดหนึ่ง ยอดกินได้
ผักหวานป่า,น.,ชื่อไม้ต้นชนิดหนึ่งยอดและดอกอ่อน กินได้
ผัคคุณ,น.,เดือนสี่หรือเดือนมีนาคม
ผัคคุนี,น.,ชื่อนักษัตรสองหมู่ คือ บูรพผล และอุดรผล
ผัคคุนี,น.,วันเพ็ญในนักษัตรอุดรผลคุนี (ส.)
ผัง,น.,"ไม่สำหรับถ่างผ้าทอที่ทอให้ตึง, ไม้ หรือเส้นแบบสำหรับเป็นแบบขุดหลุมเสาเรือน"
ผัด ๑,น.,"แปลง, ทุ่งใช้สำหรับที่นา, เช่น นาสองผัด"
ผัด ๒,ก.,"ขอเลื่อนเวลาไป, เปลี่ยน, เช่น ผัดผ้า = เปลี่ยนผ้า"
ผัด ๓,ก.,"ขัด, สี,ถู"
ผัดแต่,ว.,"เริ่มต้น, ตั้งแต่"
ผัดเผี่ยน,ก.,ผลัดเปลี่ยน
ผัดว่า,ส.,แต่แล้ว
ผัดหรือผั้น,ว.,"ก็เลย, แล้วก็, เช่น อ้ายจากน้องไปแล้วพัดเล่าลืม"
ผัน ๑,น.,บัวสายดอกสีแดง คู่กับบัวเผื่อน
ผัน ๒,น.,ที่ลุ่มกว้างใหญ่ = มาบ
ผัน ๓,ก.,"เปลี่ยน, กลับ, แปรไป, ทำให้เสียงแปรไป"
ผัน ๔,ก.,"พัน, หมุน, จับ, คลึง"
ผันแปร,ก.,"เปลี่ยนแปรไป, กลับกลายไป"
ผันผยอง,ก.,เหาะไป
ผันผ่อน,ก.,ลดหย่อนตาม
ผันผาด,ก.,ไปมาอย่างองอาจรวดเร็ว
ผันผาย,ก.,"ไป, เดินไป"
ผันอักษร,ก.,เปลี่ยนเสียงพยางค์ให้สูงต่ำไปตามวรรณยุกต์
ผัว,น.,"ผัว, สามี"
ผา,ก.,"ออกนอกทาง, หนีไปทางอื่น"
ผ่า,ก.,"กรำ เช่น ผ่าแดด = กรำแดด, ผ่าฝน = กรำฝน"
ผ้า,น.,ผ้า
ผา ๑,น.,"หิน, ภูเขา, หน้าผา"
ผา ๒,น.,ชื่อต้นไม้ชนิดหนึ่งมีหนาม ดอกสีแดง เรียก งิ้วผา
ผา ๓,ก.,"แฉลบ, ผละ"
ผา ๔,ก.,สาด เช่น ฝนผา = ฝนสาด
ผาก ๑,น.,กาฝาก
ผาก ๒,น.,นกเล็ก ๆ ชนิดหนึ่ง เรียก นกผาก หรือนกจิบผา
ผาก ๓,น.,ส่วนบนของหน้าอยู่เหนือคิ้วขึ้นไป เรียก หน้าผาก
ผาก ๆ,ว.,อาการเต้นของปลา กุ้ง ที่มีมาก ๆ = กราว ๆ
ผากฎ,ก.,ปรากฏ (ส.)
ผ้ากั้ง,น.,"ผ้าม่าน, ฉาก"
ผ้าขัดด้าม,น.,ผ้าขาวม้า
ผ้าขาบ,น.,ผ้ากราบ
ผ้าขาวด้าม,น.,ผ้าขาวม้า
ผ้าขาวม้า,น.,ผ้าที่ใช้ผลัดอาบน้ำหรือคาดพุง
ผ้าขี้งา,น.,ผ้าสีเทา
ผ้าครอง,น.,ผ้าไตรจีวร
ผ้าคลุม,น.,ผ้าจีวร
ผ้าควบ,น.,"ผ้านุ่งหางกระรอก, ผ้าม่วง"
ผาง ๑,น.,ชื่อมะปรางชนิดหนึ่ง = กาวาง
ผาง ๒,น.,เครื่องชั่งน้ำหนักขนาดเล็ก
ผ่าง ๆ,ว.,เสียงดังอย่างตีแผ่นโลหะ
ผางยอย,น.,ต้นหางนกยูงไทย
ผางหนาย,ว.,"น่าเกลียด, เบื่อหน่าย"
ผางใหญ่,น.,ต้นหางนกยูง
ผางฮาด,น.,ทองเหลืองหล่อคล้ายฆ้อง แต่ไม่มีปุ่มสำหรับใช้ตีประกอบเวลาเล่นล่อโก๊ะ หรือเทิดเทิง
ผ่างฮาด,น.,เครื่องตีประกอบกลอง คล้ายฆ้องแต่ไม่มีปุ่มตี = ม้าพ่อ
ผ่างฮ้าย,ว.,"ไม่สวย, น่าเกลียด, น่าอับอาย"
ผาเงิบ,น.,เงื้อมหิน
ผ้าจก,น.,"ผ้าตีนจก, ผ้ายก"
ผ้าชิด,น.,ผ้ายกดอก
ผาด,ว.,ปร๊าด ๆ เช่น น้ำไหลผาด ๆ
ผาด ๑,ก.,"เฉียด, กราย"
ผาด ๒,ก.,"โคจร เช่น ""จันทร์ผาดขึ้น ภูสูงแจ้งส่อง"" (ฮุ่ง.)"
ผ้าดอย,น.,ผ้าคลุมศพ
ผ้าด้าม,น.,ผ้าขาวม้า
ผาดิน,น.,พันธุ์ไม้ชนิดหนึ่ง = ม้ากระทืบโรง
ผาแดง,น.,ใช้เรียกคนที่บวชเป็นพระตั้ังแต่ ๕ พรรษาขึ้นไปแต่ไม่ได้รับเถราภิเษกแล้วสึกออกมา
ผ้าตุ้มหม้อ,น.,ผ้าคลุมปากหม้อ
ผ่าน ๑,ก.,"ส่วนกัน, ตัดไป, ลัดไป"
ผ่าน ๒,ว.,ลายขาวพาดขวาง
ผ่านเผ้า,ว.,ปกเกล้า
ผ่านพิภพ ๑,น.,พระเจ้าแผ่นดิน
ผ่านพิภพ ๒,ก.,"ครอบครองแผ่นดิน, ครอบครองสมบัติ"
ผ่านฟ้า,น.,พระเจ้าแผ่นดิน
ผ้านวม,น.,ผ้าห่มที่มีไส้ทำด้วยสำลีหรือปุยนุ่น
ผาบ,ก.,ปราบ
ผาบ,ก.,ปราบ (ข. บฺราบ)
ผ้าบังสุกุล,น.,ผ้าป่า
ผ้าบิ้ง,น.,ผ้าแถบสำหรับรัดอกผู้หญิง
ผ้าเบี่ยง,น.,ผ้าสไบเฉียง
ผ้าป่า,น.,ผ้าที่ทายกถวายพระที่นับเข้าในผ้าบังสุกุล
ผ้าผ่อนท่องสไบ,น.,ผ้านุ่งผ้าห่ม
ผาแผ่นล้าน,น.,เขาหิน
ผ้าแฝง,น.,"ลายของเสื้อครุย, ผ้าที่ปักลายอย่างเดียว ใช้คาดเอว"
ผ้าแพร,น.,ผ้าชนิดต่าง ๆ
ผ้าแพรมนหรือผ้าแพรแจ,น.,ผ้าเช็ดหน้า
ผาม,น.,ปรำ (ข. ปฺรำ)
ผ้าย,ก.,"ไป, มา, เช่น ""ดีแก่สังข์ล่วงผ้ายผันบ้าก่อนบา"" (ศิลป์) (ไทใหญ่ ว่า ผ้าย-ไป)"
ผาย ๑,ก.,"พูด, ขยายความ, เผย, เช่น ""ภูธรต้านผายความแคลนมาก"" (ฮุ่ง)"
ผาย ๒,ก.,"หว่าน, ปราย, เช่น ผายเข้า - หว่านข้าว (ข.ปฺราย)"
ผาย ๓,ก.,"ไป, มา, เช่น ""อั้วขี่ซ้างผายอยู๋กลางพะลาน"" (ฮุ่ง.)"
ผ้าแย่ง,น.,ผ้าที่ทอห่าง ๆ อย่างผ้ามุ้ง
ผาลา,น.,ผล (ป.)
ผาลา,น.,ไล่ (ไทลื้อ : ผาลา = โล่)
ผาลา,น.,"โล่ (ไทลื้อ, ผาลา - โล่)"
ผ้าสะไบ,น.,ผ้าห่มผู้หญิง
ผ้าสังฆา,น.,ผ้า สังฆาฏิสำหรับพระสงฆ์
ผาสุก,น.,"ความสำราญ, ความสบาย"
ผ้าโสร่ง,น.,โสร่ง
ผ้าอ้อง,น.,เอี๊ยม
ผ้าอ้อม,น.,ผ้าสำหรับปูเบาะเด็ก
ผ้าอาบ,น.,ผ้าอาบน้ำฝน
ผ้าเอี้ยงเอิก,น.,ยกทรง
ผ้าฮ้าย,น.,ผ้าขี้ริ้ว
ผำ,น.,"ไข่น้ำ, ไข่แหน"
ผ่ำ,ว.,"พูดติดอ่าง, คนติดอ่าง ว่า คนปากผ่ำ"
ผ้ำ,น.,ผีตะมอย เรียกต้นกระบองเพชร ว่า กกหนามผ้ำ
ผิ,สัน.,"ถ้า, หาก, แม้นว่า"
ผิง,ก.,"อัง เช่น ผิงไฟ, ตาก เช่น ผิงแดด, ส่วนมากว่า ผึง"
ผิ่ง,ว.,บินว่อนเป็นจำนวนมาก
ผิ่ง ๑,ว.,เสียงดังอย่างเสียงเคาะจอบ เป็นต้น
ผิ่ง ๒,ว.,"ลำเอียง, รักอย่างลำเอียง ว่า ฮักผิ่ง"
ผิด ๑,ก.,"ทะเลาะ, วิวาท, มีเรื่อง, เช่น ผิดกัน = ทะเลาะกัน"
ผิด ๒,ว.,"ไม่ถูก, ไม่ดี, ไม่ใช่, ต่างไป = ผิด"
ผิดแข,ก.,มีเรื่องกินแหนงแคลงใจกัน
ผิดผัวผิดเมีย,ก.,ร่วมประเวณีกับผัว หรือเมียคนอื่น
ผิติ,ก.,เสแสร้ง
ผิน,ก.,"ผัน, พลิก, กลับ"
ผิว ๑,น.,ส่วนที่มีลักษณะบาง ๆ เป็นพื้น หุ้มอยู่ภายนอกสุดของหนัง
ผิว ๒,ก.,"ผิวปาก, สก. ว่า ถิว"
ผิว ๓,ก.,พ่นน้ำให้เป็นฝอยละออง
ผิว่า,สัน.,"ถ้า, หาก, แม้นว่า"
ผี่,ก.,"คลี่ออก, เปิดออก"
ผี่,ก.,"ค่อย ๆ เปิด, ขยายออก, ค่อย ๆ ถ่างออก, เช่น ผี่ตาเบิ่ง"
ผี ๑,น.,"ผี, ทรากศพ"
ผี ๒,ว.,"แสร้ง, แกล้ง, เช่น ผีเฮ็ด = แกล้งทำ, ผีปอง = พยายาม เช่น ""คนบาปฮ้ายท่อเม็ดทรายของพระผีปองโผดเอายังได้"" (ปู่.), ผีเผื่อน = แส่หาเรื่อง, ผีถู = ดื้อดึง"
ผีก,ก.,"หลบ, เลี่ยง, ขยับออกจากที่เดิม"
ผีก,ก.,"ปลีก, หลีก"
ผีเชื้อ,น.,ผีปู่ย่าตายาย
ผีด,ว.,"เปรียว, ไว, เล็ก, เช่น แย้ผีด = แผ้ตัวเล็ก"
ผีดหลีด,ว.,"เคลื่อนไปอย่างว่องไว ใช้สำหรับสัตว์เล็ก เช่น แย้ผีดแล่นผีดหลีดหนี, ถ้าสัตว์ใหญ่ว่า ผูดหลูด"
ผีด้ำ,น.,ผีปู่ย่าตายาย
ผีตองเหลือง,น.,ชนเผ่าหนึ่งเร่ร่อนอาศัยอยู่ตามป่า
ผีตากผ้าอ้อม,น.,แสงที่สะท้อนจับท้องฟ้าเวลาจวนพลบมองเห็นเป็นจุดเป็นทาง
ผีตาแฮก,น.,ผีประจำนา
ผีแถน,น.,เทวดาชั้นจาตูม
ผีไท้,น.,"ผู้เป็นใหญ่, ผีปู่ย่าตายาย ถ้าใช้สำหรับผี"
