คำ,POS,ความหมาย
ฝด,น.,เม็ดเล็ก ๆ เป็นผื่นขึ้นตามผิวหนัง เมื่อถูกอากาศร้อน มีอาการคัน
ฝด ๑,น.,ผลไม้บางชนิด ที่แตกเป็นช่อ มีลักษณะเป็นเม็ดเล็ก ๆ เกาะกันเป็นพวงแต่ไม่เจริญเติบโต เช่น ฝดมะม่วง
ฝด ๒,น.,เม็ดเล็ก ๆ เป็นผื่นขึ้นตามผิวหนังเมื่อถูกอากาศร้อนมีอาการคัน = ผด
ฝดแด,น.,ผดที่เกิดเพราะถูกแสงแดดร้อนจัด
ฝดเหื่อ,น.,เม็ดเหงื่อ
ฝน ๑,น.,น้ำที่ตกลงมาจากเมฆเป็นเม็ด ๆ
ฝน ๒,ก.,"ถู, ลับให้คม เช่น ฝนมีด = ลับมีด"
ฝนแสนห่า ๑,น.,ดอกไม้ไฟชนิดหนึ่ง มีประกายไฟพุ่งออกมาคล้ายไฟพะเนียงแต่หมุนรอบตัว
ฝนแสนห่า ๒,น.,ต้นไม้ขนาดเขื่องชนิดหนึ่ง มีละอองน้ำตกอยู่บริเวณลำต้นทำให้พื้นดินรอบ ๆ เปียกชื้นอยู่เสมอ
ฝ่อ,ก.,"เหี่ยว, แฟบ"
ฝอก ๑,ว.,"สุรุ่ยสุร่าย, ไม่มัธยัสถ์"
ฝอก ๒,ว.,"ดุร้าย, ร้ายกาจ"
ฝอกฝน,ก.,"เข้มงวด, เคี่ยวเข็ญ"
ฝอด,น.,ฟองน้ำเล็ก ๆ ที่ผุดกระจายขึ้นจากน้ำ
ฝอย,น.,มูลฝอย
ฝอย,น.,สิ่งที่เป็นเส้นเล็ก ๆ ละเอียด
ฝัก ๑,น.,"ส่วนหุ้มเมล็ดของพืชบางชนิด เช่น ถั่ว, ข้าวโพด, ปลอก ที่สวมหอก, ดาบ ฯลฯ รูปร่างคล้ายหอก, ดาบที่อยู่ข้างใน"
ฝักแค,น.,"กระดาษ หรือผ้าห่อดินดอกไม้ไฟ ทำเป็นสาย ยาวแบน ๆ สำหรับจุดบั้งไฟใหญ่, ส่วนมากเรียก ขบวนหมากแปบ"
ฝักบัว,น.,ขนมชนิดหนึ่งมีลักษณเหมือนฝักบัว
ฝักฝ่าย,น.,"พวก, ข้าง"
ฝักใฝ่,ก.,"เอาใจใส่, ผูกพัน"
ฝักหลอก,น.,รังที่หุ้มตัวไหม
ฝักหลอกหลีบ,น.,เรียกรังไหมที่ไม่มีตัวดักแด้อยู่ภายใน
ฝัง,ก.,"เอาของใส่หลุมแล้วกลบ, ทำให้จมติดแน่นอยู่ในสิ่งต่าง ๆ เช่น ฝังใจ, ฝังลาย"
ฝั่ง,น.,"ตลิ่ง, ที่ดินริมน้ำ"
ฝั่งฝา,น.,"ปึกแผ่น, หลักฐาน"
ฝัด,ก.,กระพือข้าว หรือสิ่งอื่นเพื่อให้แกลบ รำ หรือผงปลิวออก
ฝัน ๑,น.,การนึกเห็นเป็นเรื่องราวขณะนอนหลับ
ฝั้น ๑,ก.,"คละกัน, ปะปนกัน"
ฝัน ๒,ก.,"นึกเห็นเป็นเรื่องราวขณะนอนหลับ, นึกเห็นสิ่งที่เป็นไปไม่ได้"
ฝั้น ๒,ก.,"ทำสิ่งเป็นเส้นให้เข้าเกลียวกันเป็นเชือก เรียกว่า ฝั้นเชือก, คลึงขี้ผึ้งให้เป็นเล่มเทียน เรียกว่า ฝั้นเทียน"
ฝั่นเฝือน,ก.,"ถัก, ปิด, ม้วนเชือก หรือด้ายให้เป็นลวดลายต่าง ๆ"
ฝา ๑,น.,เครื่องปิดภาชนะต่าง ๆ
ฝ่า ๑,น.,พื้นของมือและเท้า
ฝ้า ๑,น.,"เมฆ, เยื่อบาง หรือละอองที่ลอยอยู่บนผิวน้ำ"
ฝา ๒,น.,สัตว์ชนิดหนึ่ง คล้ายเต่าแต่ตัวแบน รอบชายกระดอกมีเนื้อยื่นออก เรียก ปลาฝา = ตะพาบน้ำ
ฝ่า ๒,น.,มะไฟชนิดหนึ่ง รสเปรี้ยว เมล็ดเป็นสีชมพู เรียกหมากฝ่าคู่กับหมากไฟ
ฝ้า ๒,น.,"ผิวเป็นมลทิน เช่น หน้าเป็นฝ้า, เพชรเป็นฝ้า"
ฝ้า ๓,ว.,"มัว, หมอง, ไม่สุกใส"
ฝาก ๑,ก.,มอบให้ช่วยดูแลรักษาหรือนำส่งให้อีกต่อหนึ่ง
ฝาก ๒,ก.,มอบให้ด้วยความรักหรือไมตรีจิตของที่มอบให้ด้วยกิริยาอย่างนั้น เรียกว่า ของฝาก หรือของต้อน
ฝากฝัง,ก.,มอบหมายให้ช่วยดูแล
ฝากะตาดต้อน,น.,ฝาขัดแตะใช้กั้นเขตรั้ว หรือใช้กั้นดักปลาตามลำห้วย หรือทางน้ำไหล
ฝาง,น.,พรรณไม้ชนิดหนึ่ง ต้นและใบคล้ายต้นหางนกยูงไทย แก่นมีสีแดงใช้ย้อมผ้าหรือทำยา
ฝาชี,น.,เครื่องสานชนิดหนึ่งรูปคล้ายกรวยใช้ครอบสำรับคาวหวาน
ฝาด,ว.,รสชนิดหนึ่ง ทำให้ฝืดคอกลืนไม่ลงน้ำลายแห้ง
ฝาต้อน,น.,ฝาขัดแตะใช้กั้นเขตรั้ว หรือใช้กั้นดักปลาตามลำห้วย หรือทางน้ำไหล
ฝาน,ก.,"ปาด, เชือด, เฉือนแฉลบบาง ๆ"
ฝ่าฝืน,ก.,"ขัดขืน, ล่วง, ละเมิด"
ฝาเมือง,น.,สมบัติของเมือง (ครอง.)
ฝาย,น.,ที่กั้นน้ำเพื่อการชลประทาน
ฝ้าย,น.,พรรณไม้ชนิดหนึ่งลำต้นเล็กลูกคล้ายผลมะพลับข้างในเป็นปุย มีสีต่าง ๆ ใช้ทำด้วยทอผ้า
ฝ่าย ๑,น.,"ข้าง, พวก, ส่วน"
ฝ่าย ๒,น.,ตำแหน่งข้าราชการลาวในสมัยโบราณ
ฝาละมี,น.,เครื่องปิดภาชนะต่าง ๆ
ฝาละไล,น.,เครื่องปิดภาชนะต่าง ๆ
ฝาละเอิง,น.,ภาชนะสำหรับใส่อาหาร รูปร่างคล้ายฝาละมีแต่โตกว่า
ฝาไล,น.,ชื่อปลาอยู่ตามพื้นน้ำ รูปร่างแบนมาก พื้นลำตัวเป็นสีน้ำตาลสันหลังหยาบและคม มีเงี่ย เรียกปลาฝาไล = ปลากระเบน
ฝิง,ก.,"ย่าง, อัง = ผิง เช่น ผิงแดด, ผิงไฟ"
ฝิ่น,น.,"ต้นไม้ป่าชนิดหนึ่ง ต้นสูง ลูกมียาง ใช้เคี่ยวทำยาได้, ยาเสพติดชนิดหนึ่ง สกัดจากยางขอองลูกฝิ่น เรียก ยาฝิ่น"
ฝี,น.,โรคจำพวกหนึ่ง เป็นต่อมบวมขึ้น กลัดหนองข้างใน
ฝีกะซี,น.,ฝีหัวขาด
ฝีกะซี้,น.,ฝีหัวขาด
ฝีด,ว.,"ไม่คล่อง, ไม่สะดวก"
ฝีดาษ,น.,"ชื่อดรคระบาด มักขึ้นตามตัวเป็นเม็ดเล็กดาษทั่วไป, ส่วนมากเรียก หมากห่าง หรือไข้หมากห่าง"
ฝีดิบ,น.,ฝีที่เป็นแก่หญิงอยู่ไฟเมื่อคลอดลูก เป็นฝีหัวเดียว มักขึ้นแถวท้อง
ฝีในท้อง,น.,วรรณโรค
ฝีปะอาด,น.,ฝีที่เป็นแก่หญิงอยู่ไฟเมื่อคลอดลูก เป็นฝีหัวเดียว มักขึ้นแถวท้อง
ฝีแฝด,ว.,"คน หรือสิ่งที่ออกมาติดกันผิดธรรมดา = ฝาแฝด เช่น กล้วยฝีแฝด, ลูกฝีแฝด"
ฝีลายโรค,น.,ฝีฝักบัว
ฝีสบ,น.,"ปาก, ริมฝีปาก, ปากน้ำ, ที่น้ำไหลตก"
ฝีหมากม่วง,น.,ฝีมะม่วง
ฝีหัวดำ,น.,ฝีมีพิษร้าย
ฝีหัวเผือน,น.,ฝีฝักบัว
ฝีหัวเอี่ยน,น.,ฝีหัวใหญ่คล้ายหัวปลาไหล
ฝุง ๑,ก.,ซ่อมรอยขาดของแห หรือสิ่งที่เป็นตาคล้ายแหให้ดีดังเดิม = ชุน
ฝุง ๒,ก.,ใส่ความผู้อื่นด้วยการเอาของผิดกฎหมายไปซุกซ่อนไว้ในครอบครองของผู้นั้น
ฝุ่น ๑,น.,ละออง
ฝุ่น ๒,น.,ปุ๋ยคอก
ฝูง,ก.,ซ่อมรอยขาดของแห หรือสิ่งที่เป็นตาคล้ายแหให้ดีดังเดิม = ชุน
ฝูง,น.,"พวก, หมู่"
เฝ้า,ก.,"ระวัง, รักษา, คอยประจำอยู่"
เฝิก,ก.,ฝึก สอน หัด
เฝือ ๑,น.,เครื่องมือประกอบการทอผ้า สำหรับใช้คล้องเส้นด้ายหรือไหมเพื่อทำเส้นผืนหูกทอผ้า หรือเครือหูก เรียก หลักเฝือ
เฝือ ๒,ก.,"ถัก, ปิด, ม้วนเชือก หรือด้ายให้เป็นลวดลายต่าง ๆ"
เฝือ ๓,ว.,"เกี่ยวกับ, เกี่ยวพัน, พัวพัน"
เฝือก,?,ดู เฝือก ๒
เฝื่อน,ว.,"รสที่เจือฝาดหรือขื่น, ไม่สนิท"
เฝือน ๑,น.,เครื่องมือทำเส้นขนมจีน มีลักษณะเป็นผ้าสี่เหลี่ยม ตรงกลางเป็นแผ่นทองแดงหรือทองเหลืองกลมเจาะเป็นรูเล็ก ๆ เพื่อให้เส้นขนมจีนลอดผ่านได้ = แว่น
เฝือน ๒,ก.,แส่หาเรื่อง
แฝก,น.,ต้นหญ้าชนิดหนึ่ง ขึ้นเป็นกอ ใบยาวและคม ใช้มุงหลังคาและใช้ทำยาได้
แฝง,ก.,"แอบ, ชิด, แนบสนิท"
แฝด,ว.,"คน หรือสิ่งที่ออกมาติดกันผิดธรรมดา = ฝาแฝด เช่น กล้วยฝีแฝด, ลูกฝีแฝด"
ใฝ่,ก.,"มุ่ง, หวัง, ผูกพัน, เอาใจใส่"
