คำ,POS,ความหมาย
ภค,น.,"โชค, ส่วน, จำแนก, จำเริญ, ความดี (ป.,ส.)"
ภควะ,น.,"พระผู้มีพระภาคเจ้า,พระผู้ทรงภาคธรรม (ป.)"
ภควัต,น.,"พระเป็นเจ้าทั้งหลาย, พระพุทธเจ้า"
ภควัน,น.,"พระเป็นเจ้าทั้งหลาย, พระพุทธเจ้า"
ภควัม,น.,"พระปิดทวารทั้ง ๙ มีจักษุ เป็นต้น ใช้เป็นเครื่องรางของขลังหรือรูปสลักจากหิน (ป.,ส.)"
ภควา,น.,"ผู้จำแนกธรรม, ผู็จุดแสงสว่าง, ผู้ส่องทางที่มืดให้แจ้ง, ผู้เปิดภาชนะที่ปิด หรือเปิดของที่คว่ำอยู่ให้หงายขึ้น (ปง)"
ภควาน,น.,"พระเป็นเจ้า (ป.,ส.)"
ภคันทลา,น.,"โรคริดสีดวงทวารหนัก (ป.,ส.)"
ภคินี,น.,"น้องหญิง (ป.,ส.)"
ภณิดา,น.,"ผู้บอก, ผู้พูด (ส.)"
ภพ,น.,"ความเป็น, ที่เกิด, ที่เจริญ (ป.,ส.)"
ภมุ,น.,คิ้ว (ป.)
ภมุก,น.,คิ้ว (ป.)
ภยะ,น.,"ความกลัว, สิ่งน่ากลัว (ป.,ส.)"
ภยาคติ,น.,"การลุอำนาจความกลัว, การลำเอียงเพราะกลัว (ป.)"
ภรณี,น.,ดาวฤกษ์ที่มี ๓ ดวง
ภรณีภู,น.,"ผู้ที่เกิดจากดาวภรณี คือ พระราหู (ป.,ส.)"
ภรต,*น.,"ผู้เต้นรำ, แสดงละคร (ส.)"
ภรรดา,น.,ผัว
ภรรยา,น.,เมีย
ภระ,ก.,"เลี้ยงดู, ค้ำจุน (ป.,ส.)"
ภราดรภาพ,น.,"ความเป็นพี่น้องกัน (ป.,ส.)"
ภวนะ,น.,"ที่เกิด, ที่อยู่ (ป.,ส.)"
ภวปาระ,น.,ฝั่งภพ คือ พระนิพพาน (ป.)
ภวะ,น.,"ความเป็น, ที่เกิด, ที่เจริญ (ป.,ส.)"
ภวังค์,น.,"ความเป็นอยู่โดยไม่รู้สึกตัว, องค์แห่งภพ (ป.)"
ภวังคจิต,น.,"จิตก้าวเข้าสู่ภวังค์, จิตเป็นองค์แห่งภพ, จิตปกติอันบริสุทธิ์ (ป.)"
ภักขา ๑,น.,"อาหาร, เหยื่อ (ป.)"
ภักขา ๒,ก.,กิน
ภักดี,น.,"ความยอมรับ, ความจงรัก, ความนับถือ, ซื่อตรง (ส.,ป.)"
ภักตะ,น.,"ผู้ภักดี, สาวก (ส.)"
ภักษา,ก.,กิน
ภังคะ ๑,น.,"ผ้าฝ้ายปนไหม, ผ้าฝ้ายเจือไหม"
ภังคะ ๒,น.,"การแตก, การทำลาย, ความย่อยยับล่มจม (ป.,ส.)"
ภังคี ๑,น.,ชื่อโอรสของพญานาค (ผาแดงนางไอ่)
ภังคี ๒,น.,ต้นไม้ชนิดหนึ่ง
ภังคีนกขุ้ม,น.,ต้นไม้ชนิดหนึ่ง
ภัณฑ์,น.,"สิ่งของ เช่น ตู้, โต๊ะ, เก้าอี้ (ป.)"
ภัณฑนะ,น.,"การทะเลาะ, การแก่งแย่ง (ป.)"
ภัณฑา,น.,เครื่องใช้ (ป.)
ภัณฑาคาร,น.,โรงเก็บของใช้ (ป.)
ภัณฑิคาริก,น.,ผู้รักษาคลังเก็บสิ่งของ (ป.)
ภัตกิจ,น.,การกินอาหาร (ป.)
ภัตตะ,น.,"ข้าวสวย, อาหาร (ป.)"
ภัตตาคาร,น.,สถานจำหน่ายอาหารและเครื่องดื่ม (ป.)
ภัตตาหาร,น.,อาหารสำหรับถวายพระ (ป.)
ภัตร,น.,"อาหารที่เขาจัดให้, ข้าวสุก (ส.)"
ภัทร (พัด),ว.,"เจริญ, งาม (ส.,ป.)"
ภัทรกัปป์,น.,กัปที่เจริญมีพระพุทธเจ้าถึง ๕ พระองค์อุบัติขึ้น (ป.)
ภัพพบุคคล,น.,คนที่สมควร เหมาะแก่กิจการ (ป.)
ภัมร,น.,"แมลงผึ้ง, แมลงภู่ (ป.,ส.)"
ภัย,น.,"อันตราย, สิ่งที่น่ากลัว"
ภัสดา,น.,ผัว
