คำ,POS,ความหมาย
ม,ว.,ไม่
มก ๆ,ว.,อาการผงกหัวขึ้นลง เช่น กะปอมสั่นหัวมก ๆ
มกราคม,น.,ชื่อเดือนที่ ๑ ตามสุรยคติ มี ๓๑ วัน
มกุฏ ๑,น.,มงกุฏ
มกุฏ ๒,ว.,"สูงสุด, ยอดเยี่ยม (ป., ส.)"
มคธ,น.,"แคว้นใหญ่ในอินเดียครั้งพุทธกาล ในปัจจุบันเรียกว่า พิหาร (ป., ส.)"
มฆวัน,น.,พระอินทร์ (ส.)
มฆวา,น.,พระอินทร์ (ส.)
มฆวาน,น.,พระอินทร์ (ส.)
ม่ง,ว.,เสียงดังอย่างเสียงฆ้องขนาดกลาง
มง ๆ,ว.,"สว่าง, สุกใส"
ม้ง ๆ,ว.,"สว่าง, สุกใส"
ม้ง ๆ,ว.,"แจ้ง, ลักษณะของแสงไฟสว่างโพลง"
ม้งก้ง,ว.,"ลักษณะสิ่งของที่กลม หรือมนใหญ่ เช่น มึนตาม้งก้ง = เบิกตากว้าง, ถ้าขนาดเล็กว่า ม้องก้อง, ขนาดจิ๋วว่า มิ้งกิ้ง"
มงคล,น.,"เหตุที่นำมาซึ่งความเจิญ, ส่วนมากว่า มุงคุล, เรียกด้ายที่ทำเป็นวงสำหรับสวมศีรษะเพื่อเป็นสิริมงคลว่า ด้ายมงคล"
มณฑป,น.,"เรือนยอดที่มีรูปสี่เหลี่ยม (ป., ส.)"
มณฑล,น.,"บริเวณ, แคว้น, เขตปกครอง (ป., ส.)"
มณฑา,น.,ไม้ต้นชนิดหนึ่ง ใบใหญ่ ดอกสีเหลือกนวลกลิ่นหอม
มณเฑียร,น.,เรือนหลวง = ในเทียร
มณี,น.,"แก้วหินสีแดงในจำพวกนพรัตน์ (ป., ส.)"
มณีกาบ,น.,ม้าในวรรณคดี มีปีกบินได้
มณีรัตน์,น.,"แก้วมณี (ป., ส.)"
มด ๑,น.,แมลงมีหลายชนิด เช่น มดดำ มดแดง มดตะนอย
มด ๒,น.,"หมอเวทมนต์, หมอผี, ถ้าเป็นผู้ชายเรียกว่าพ่อมด, ถ้าเป็นผู้หญิงเรียกว่า แม่มด"
มตกภัต,น.,ข้าวที่ทำบุญอุทิศให้คนตาย (ป.)
มตกา,น.,"คนตายแล้ว, ผู้ตายแล้ว (ป.)"
มตา,ก.,ตายแล้ว (ป.)
มติ,น.,"ความคิด, ความเห็น, ความรู้ (ป., ส.)"
มธุ,น.,"น้ำผึ้ง, น้ำหวาน (ป.)"
มธุรส,น.,"น้ำผึ้ง, ของที่มีรสหวาน (ป., ส.)"
มธู,น.,"น้ำผึ้ง, น้ำหวาน (ป.)"
มธูปายาส,น.,ข้าวปายาสเจือน้ำผึ้ง ใช้เป็นของหวานในงานเทศกาล
มธูรส,น.,"น้ำผึ้ง, ของที่มีรสหวาน (ป., ส.)"
ม้น,ว.,"ยุ่ง, สับสน เช่น ไหมหรือด้ายที่หลุดออกจากกลุ่มที่หาเงื่อนไม่พบ"
มน ๑,ว.,"กลม ๆ , โค้ง ๆ , ไม่เป็นเหลี่ยม, เรียกผ้าเช็ดหน้าว่า ผ้ามน"
มน ๒,ก.,"อยู่กับที่ (ใช้แก่ดาวพนเคราะห์ ซึ่งปรากฎเห็นเป็น ๓ ทาง คือ เสริด ว่าไปข้างหน้า, พัก ว่าถอยหลัง, มน ว่าอยู่กับที่)"
มนต์ ๑,น.,"คำศักดิ์สิทธิ์, คำสำหรับสวดหรือเสกเป่า (ป., ส.)"
มนต์ ๒,ก.,"นิมนต์, เชื้อเชิญ (ใช้สำหรับพระภิกษุสามเณร) (ป.)"
มนตรี ๑,?,ดู มนต์
มนตรี ๒,น.,"ที่ปรึกษา, ผู้แนะนำ, ที่ปรึกษาราชการ, ข้าราชการชั้นผู้ใหญ่ (ป., ส.) ส่วนมากว่า มุนตรี"
มนเทียร,น.,เรือนหลวง
มนสิการ,น.,"การกำหนดไว้ในใจ (ป., ส.)"
มนะ,น.,"ใจ (ป., ส.)"
มนัส,น.,ใจ
มนิมนา,ว.,"เร็วด่วน, ขมีขมัน เช่น ก็มนิมนามาสู่สาลวีน"
มนุมนา,ว.,"เร็วด่วน, ขมีขมัน เช่น ก็มนิมนามาสู่สาลวีน"
มนุษย์,น.,"สัตว์ที่รู้จักใช้เหตุผล สัตว์ที่มีจิตใจสูง, คน (ส.)"
มนุษยชาติ,น.,จำพวกคน (ส.)
มนุษยเทพ,น.,กษัตริย์ (ส.)
มนุษยธรรม,น.,"ธรรมของคน (ส.), ธรรมที่ทำให้เป็นคน"
มนุษยโลก,น.,โลกมนุษย์ (ส.)
มโน,น.,"ใจ (ป., ส.)"
มโนกรรม,น.,"การคิด, ความคิด (ป.)"
มโนคติ,น.,ความคิด (ส.)
มโนธรรม,น.,"ความรู้สึกผิดชอบชั่วดี, ความรู้สึกว่าอะไรควรทำอะไรไม่ควรทำ"
มโนภาพ,น.,ความคิดเห็นเป็นภาพขึ้นใจ
มโนมัย,ว.,"สำเร็จด้วยใจ, ใช้ประกอบกับ ม้า หมายความว่า ม้าที่ขับขี่รวดเร็วได้ดั่งใจ (ป., ส.)"
มโนรถ,น.,"ความหวัง, ความประสงค์, ความใฝ่ฝัน (ป., ส.)"
มโนรม,ว.,"เป็นที่ชอบใจ, เป็นที่รื่นรมย์ใจ (ป., ส.)"
มโนราห์,น.,ชื่อหญิงในวรรณคดีเรื่องท้าวสุทนต์ (ส.)
มโนศิลา,น.,"ศิลาอ่อนที่ย่อยให้ละเอียดประสมเป็นสีทาสิ่งอื่นได้, สารหนูแดง, ปรอทแดง, ศิลาแดง"
ม้ม,ก.,"พ้น, รอดพ้น"
มมังการ,น.,"ความถือว่าเป็นของเรา (ป.), ความถือว่าของเราหรือฝ่ายเราถือหรือดี"
มยุรา,น.,นกยูง (กลอน) (ป.)
มยุรี,น.,นกยูงตัวเมีย (ป.)
มยุเรศ,น.,นกยูง (กลอน) (ป.)
มร,ก.,ตาย (ป.)
มรกต,น.,แก้วหินสีเขียวใบไม้จำพวกนพรัตน์
มรคา,น.,"ทาง, ช่อง, ถนน (ส.)"
มรณ์ ๑,น.,"ความตาย, การตาย (ป., ส.)"
มรณ์ ๒,ก.,"ตาย (ป., ส.)"
มรณกรรม,น.,ความตาย
มรณภัย,น.,ภัยที่เป็นอันตรายถึงตาย (ป.)
มรณภาพ ๑,น.,ความตาย (ใช้แก่พระสงฆ์)
มรณภาพ ๒,ก.,ตาย (ใช้แก่พระสงฆ์)
มรณา,น.,"ความตาย, การตาย (ป., ส.)"
มรดก,น.,ทรัพย์สมบัติของผู้ตาย
มรเมี้ยน,ก.,ตาย
มรรค,น.,"ทาง, เหตุ, ใช้คู่กับผลว่า เป็นมรรคเป็นผล, ในทางพระพุททธศาสนาเป็นชื่อแห่งโลกุตรธรรม คู่กับ ผล มี ๔ ชั้น คือ โสดาปัตติมรรค สกิทาคามิมรรค อนาคามิมรรค อรหัตตมรรค"
มรรคา,น.,"ทาง, เหตุ, ใช้คู่กับผลว่า เป็นมรรคเป็นผล, ในทางพระพุททธศาสนาเป็นชื่อแห่งโลกุตรธรรม คู่กับ ผล มี ๔ ชั้น คือ โสดาปัตติมรรค สกิทาคามิมรรค อนาคามิมรรค อรหัตตมรรค"
มรรยาท (มันยาด),น.,การแสดงออกทางกายและวาจาที่มีความหมายว่า เรียบร้อย (ส.)
มรสุม (มอระ-),น.,"คราวลม, คราวพายุ, ลมฝน"
มฤตยู,น.,"ความตาย, ดาวเคราะห์ดวงที่ ๗ ในระบบสุริยะ = ดาวยูเรนัส (ส.)"
มลทิน,น.,"ความเศร้าหมอง, ความไม่บริสุทธิ์, ส่วนมากว่า มึนทึน"
มลาย,ก.,"ทำลาย, แตก, คลายออก (ดู มาย)"
มลายู,น.,"ชนชาติหนึ่งอยู่ในประเทศมาเลเซีย, ชาวมาเลเซีย"
มวก ๑,น.,แอ่ง = บวก หรือ บ่อ
มวก ๒,น.,น้ำแช่ข้าวเหนียวท่ทิ้วไว้จนเปรี้ยว หรือน้ำที่มีสีขาวมัว
มวก ๓,ว.,"ขุ่น, มัว, เช่น ตาเป็นน้ำมวก"
มวก ๓,ว.,"ยัดเยียด, ออกันอยู่, คลั่ก เช่น อึ่งตามวก"
ม่วง ๑,น.,มะม่วง
ม่วง ๒,ว.,"สีครามปนแดง, เรียกผ้าไหมสำหรับนุ่งที่มีสีอย่างนั้น หรือสีอย่างอื่นว่า ผ้าม่วง"
ม่วน,ว.,"ไพเราะ, เสนาะ, สนุก"
มวน ๑,น.,"ลักษณะนามของบุหรี่, ส่วนมากว่า กอก"
ม้วน ๑,น.,ลักษณะนามของสิ่งของที่ขด หรือพันห่อตัวอยู่
มวน ๒,ก.,"ม้วนเส้นยาสูบด้วยใบตองเป็นต้น ให้เป็นบุหรี่, ส่วนมากว่าพัน"
ม้วน ๒,ก.,หมุนพับเข้าไปให้เป็นวงกลม เช่น ม้วนเชือก
