คำ,POS,ความหมาย
ยก ๑,น.,"มาตราวัดไม้ คือ หน้ากว้าง ๑ ศอก ยาว ๑๖ วา เป็น ๑ ยก ตามอัตราไม้นิ้ว, ระยะเวลาหนึ่ง ๆ เช่น มวยยกหนึ่ง ชนไก่ยหหนึ่ง"
ยก ๑,น.,"เรียกตัวพิมพ์ที่เรียงเข้าหน้าแล้วว่าเป็นยกโดยกำหนด ๔ หน้า เป็ฯ ๑ ยกบ้าง, ๘ หน้า เป็น ๑ ยกบ้าง, ๑๖ หน้า เป็น ๑ ยก บ้าง, ๓๒ หน้า เป็น ๑ ยกบ้าง"
ยก ๒,น.,ผ้าที่ทอโดยวิธียกดอกให้เป็นลาย
ยก ๓,ก.,"เอาขึ้นให้สูงพ้นที่เดิม, เคลื่อนไป, พากันไป, งดเว้น, เพิกถอน, มอบ-ให้, อ้าง"
ยกกระบัตร,น.,"ตำแหน่งข้าราชการสมัยโบราณ ตำแหน่งหนึ่งน ๔ ตำแหน่ง คือ ๑. ผู้ว่าราชการเมือง ๒. ปลัดเมือง ๓. ยกกระบัตรเมือง ๔. ผู้ช่วยราชการเมือง ตำแหน่งทั้ง ๔ นี้ ปรับปรุงมาจากคณะอาญา ๔ คือ เจ้าเมือง, อุปฮาด, ราชวงศ์, ราชบุตร, ยกกระบัตรเมืองเทียบได้กับอัยการจังหวัดขณะนี้"
ยกครู,ก.,ขึ้นครู
ยกคาย,ก.,ทำพิธีบูชาครู หรือไหว้ครู
ยกแค้น,ว.,อัตคัดขัดสน
ยกตนข่มเพิ่น,ก.,ยกตนข่มท่าน
ยกตัวอย่าง,ก.,อ้างตัวอย่าง
ยกทรง,น.,เสื้อชั้นในของสตรี
ยกทัพ,ก.,เคลื่อนทัพ
ยกโทษ,ก.,"งดเว้นโทษ, เพิกถอนโทษ"
ยกนัง,น.,ตับ (ป.)
ยกภาษี,ก.,งดเว้นภาษี
ยกยอ,ก.,พูดส่งเสริม ให้ดีขึ้น
ยกย้อง,ก.,"ยกย่อง, เชิดชู"
ยกยอด,ก.,โอนจำนวนเงินจากหน้าหนึ่งไปไว้อีกหน้าหนึ่ง
ยกเลิก,ก.,"เพิกถอน, ไม่ใช้"
ยกเว้น,ก.,"ไม่เกี่ยวด้วย, กันเอาออก"
ยกเว้น,บุ.,"นอกจาก, เว้น, แต่, เว้นเสียแต่"
ยกไว้,ก.,"งดไว้, พักไว้, หยุดไว้"
ยกให้,ก.,"มอบให้ เช่น ยกลูกสาวให้, ยกสมบัติให้"
ย้ง,ว.,"เขียวสด, เขียวอ่อน, เช่น แก้วมรกตเขียวย้ง"
ยง ๑,ก.,"ทำสิ่งที่รวมกันอยู่เป็นกอง หรือเป็นกลุ่มให้ขยายตัวสูงขึ้น เช่น ยงเข้า, ยงล้อฝ้าย = หย่งปุยฝ้าย"
ยง ๒,ว.,"ฟูงาม, ผุดผ่อง, เช่น ปุยยงยียาบ"
ยง ๓,ว.,"มั่นคง, ยึด, ยาว"
ยงดิน,ก.,"ทำสิ่งที่รวมกันอยู่เป็นกอง หรือเป็นกลุ่มให้ขยายตัวสูงขึ้น เช่น ยงเข้า, ยงล้อฝ้าย = หย่งปุยฝ้าย"
ยงโย่,ว.,อาการยืนโก้งโค้ง เอามือทั้งสองห้อยลงข้างหน้าจนเกือบถึง หรือถึงพื้น
ยชนะ,น.,"พิธีกรรมบูชาเทวดา โดยสวดมนต์ และถวายเครื่องเซ่นสังเวย (ป.,ส.)"
ยชุรเวท,น.,ชื่อคัมภีร์ที่ ๓ ของพระเวท เป็นคัมภีร์ว่าด้วยพิธีกรรมของพราหมณ์
ยถากรรม,ว.,"ตามกรรม, ตามบุญตามกรรม, ตามแต่จะเป็นไป"
ยนต์,น.,"เครื่องกลไก, เครื่องจักรที่ให้กำเนิดพลังงาน หรือทำให้วัตถุเคลื่อนที่ (ป.,ส.)"
ยนตร์,น.,"เครื่องกลไก, เครื่องจักรที่ให้กำเนิดพลังงาน หรือทำให้วัตถุเคลื่อนที่ (ป.,ส.)"
ยม ๑,น.,"น้ำตา, เช่น ยมย้อย = น้ำตาไหล"
ยม ๒,น.,ชื่อไม้ต้นมี ๒ ชนิด คือ ยมบ้าน = มะยม และยมผา หรือยมป่า
ยม ๓,น.,"พญายม, เทพผู้เป็นใหญ่ประจำโลกของคนตาย (นรก)"
ยมก,น.,"คู่, แฝด, สองชั้น, เรียกเเครื่องหมายรูปอย่างนี้ ""ๆ"" ว่าไม้ยมก สำหรับอ่านซ้ำข้อความ หรือซ้ำคำข้างท้าย ๒ หน (ชั้นเดิมเครื่องหมายนี้ใช้เลข ๒)"
ยมกปฎิหารย์,น.,ปาฎิหาริย์ที่แสดงเป็นคู่ ๆ ซึ่งพระพุทธเจ้าทรงแสดงที่ต้นมะม่วงชื่อ คัณฑามพฤกษ์ โดยทรงบันดาลให้มีสิ่งพุ่งออกจากพระวรกายเป็ฯคู่ ๆ เช่น ท่อน้ำคู่กับท่อไฟ
ยมขันธ์,น.,ชื่อยาที่เป็ฯอัปมงคล
ยมทัณฑ์,น.,ไม้อาญาสิทธิ์ของพญายม
ยมทูต,น.,ทูตของพญายม ซึ่งทำหน้าที่นำคนตายไปยังบัลลังก์พญายมเพื่อรอคำตัดสิน
ยมนา,น.,"ชื่อแม่น้ำใหญ่ในประเทศอินเดีย, โดยปริยาย หมายถึงแม่น้ำทั่วไป"
ยมบาล,น.,"ผู้รักษานรก, ผู้ทำโทษสัตว์นรกตามคำสั่งของพญายม"
ยมพบาล,น.,"ผู้รักษานรก, ผู้ทำโทษสัตว์นรกตามคำสั่งของพญายม"
ยมภิบาล,น.,"ผู้รักษานรก, ผู้ทำโทษสัตว์นรกตามคำสั่งของพญายม"
ยมราช,น.,พญายม
ยมโลก,น.,โลกของคนตาย (นรก)
ยล,ก.,"มองดู, แลดู"
ยวก ๑,ก.,"กระเซ้าเย้าแหย่ เช่น ""มึงช่างมายวกเว้าพอให้อยากหัว"""
ยวก ๒,ก.,"ผลัก, ดัน, เขย่า เช่น ยวกน้ำใส่กัน"
ยวง ๑,น.,เนื้อในของขนุน
ยวง ๒,น.,"จุก, ปุย"
ยวง ๓,น.,หนูชนิดหนึ่ง ตัวเล็กมาก ขาสั้น มีนิ้วตีนข้างละ ๕ นิ้ว หางยาว ขนนุ่มสั้น ใบหูเล็ก จมูกยื่นเป็นวงยาวออกมาเห็นได้ชัด ตาหยีเล็ก = หนูผี
ยวง ๔,ก.,"นำ, พา, เช่น ยวงไพร่"
ยวง ๔,ก.,ส่อง เช่น ยวงไต้
ยวง ๔,ก.,"ส่ง, ฝาก เช่น ยวงคำเถิง = ส่งคำพูดไปถึง, ส่งสาร"
ยวง ๕,ว.,"ขาวใส, ขาวเป็นมัน, เช่น งามยิ่งย้อย คือคู่เงินยวง"
ยวง ๖,ว.,ยาวยื่นออก เช่น ขี้มูกย้อยเป็นยวง
ยวงฝ้าย,น.,ปุยฝ้าย
ยวด ๑,น.,หินชะโงก หรือหน้าผา
ยวด ๒,ว.,"ยอด, ยิ่ง, ที่สุด"
ยวด ๆ,ว.,"เป็นจำนวนมาก เช่น ยวด ๆ ย้าย ๆ , ยุบยับ เช่น หนอนไตยวด ๆ"
ยวดยาน,น.,"เครื่องขับขี่, ยานพาหนะ"
ยวดยิ่ง,ว.,"เก่งที่สุด, ยอดเยี่ยม"
ยวน ๑,น.,ชื่อชนชาติกรีก โดยเฉพาะกรีกที่อาศัยอยู่ภาคตะวันตกเฉียงเหนือของอินเดีย
ยวน ๒,น.,ชาวไทยภาคพายัพ
ยวน ๓,น.,ชื่อกล้วยชนิดหนึ่ง ผลใหญ่ และใบดก
ยวบ,ว.,อาการที่ไหวและยุบลง เช่น ชานยวบลง
