คำ,POS,ความหมาย
รจนา,ก.,"แต่ง, ประพันธ์, เขียน เช่น ""รจินาแล้วยามแล ใกล้เที่ยง"" (ป., ส.)"
รจนา,ว.,งาม
รจเรข,น.,การขีดเขียน
รจเรข,ก.,"แต่ง, ประพันธ์ เช่น ""ปางเมื่อรจเลขแต้มสารสร้อยสวากเสน่ห์"""
รจเรข,ว.,งาม
รจเลข ๑,น.,การขีดเขียน
รจเลข ๒,ก.,"แต่ง, ประพันธ์ เช่น ""ปางเมื่อรจเลขแต้มสารสร้อยสวากเสน่ห์"""
รจเลข ๓,ว.,งาม
รตนะ,น.,แก้ว
รตะ,ว.,ประเสริฐ (ป.)
รถ,น.,ยานอันมีล้อ (ป.)
รบ,ก.,"สู้กัน, ต่อสู้ในทางศึก ส่วนมากว่า รบเศิ๊ก"
รบกวน,ก.,ทำให้เกิดความเดือดร้อนรำคาญ ส่วนมากว่ากวน
รบรา,ก.,ต่อสู้กัน
รมณีย์,ว.,"น่าชม, น่ารัก, น่าบันเทิงใจ, น่าสนุก, งาม (ป., ส.)"
รวย,ก.,"ได้มาก, มีมาก, ส่วนมากว่า ส่วย (ดู ลวย)"
รส,น.,"ลักษณะที่รู้ได้ด้วยลิ้นโดยเฉพาะเช่นเปรี้ยว, หวาน"
รสชาติ,น.,รส
รหัส,น.,"เหตุลับ, ความลับ (ป., ส.)"
รโห,น.,"ลับ, สงัด, เงียบ"
รโหฐาน,น.,ที่ใหญ่โตกว้างขวางและเงียบสงัด
รอง ๑,ว.,เป็นที่สองโดยตำแหน่ง เช่น รองอธิบดี
รอง ๒,ว.,ถัดหรือลำดับลงมาโดยอายุหรือตำแหน่ง
รองคอ,ก.,"ถัดจากคนแรกในการเล่นพนัน, ส่วนมากว่า ฮอง"
ร้องลำยาว,ก.,"ร้องส่งเสียง เช่น ""ใกล้ฮุ่งเค้าครางอั่นอรชอน"" (ศิลป์.) อ่านหนังสือทำนองยาวชนิดหนึ่ง"
รอด,ก.,"ถึง, พ้นอันตราย, แคล้วคลาด, เสมอตัว"
ระกา,น.,ชื่อปีที่ ๑๐ ของรอบปีนักษัตร มีไก่เป็นเครื่องหมาย
ระกำ,น.,ไม้ชนิดหนึ่งเป็นกอ ลำดับมีหนามเนื้อเบา
ระฆัง,น.,เครื่องใช้ตีให้เกิดเสียงเป็นสัญญาณ หล่อด้วยทองเหลือง เป็นต้น รูปคล้ายกระดึง แต่ใหญ่กว่า
ระงม,ว.,"เสียงเซ้งแซ่, เสียงกระหึ่มไปทั่ว"
ระงมไพร,ว.,เสียงเซ้งแซ่ไปทั่วป่า
ระงับ,ก.,"ดับ, ยับยั้ง, สงบ, ทำให้สงบ"
ระงุม,ว.,เสียงเซ้งแซ่ไปทั่วป่า
ระดะ,ว.,"ตกมาก, เกลื่อกล่น, กระจัดกระจายเต็มไปหมด"
ระดา,ว.,"ตกมาก, เกลื่อกล่น, กระจัดกระจายเต็มไปหมด"
ระดู,น.,"ส่วนของปีที่แบ่งออกเป็น ๓ ส่วน ตามลักษณะของอากาศ คือ ระดูร้อน, ระดูฝน, ระดูหนาว"
ระดู,น.,"เวลาที่กำหนดสำหรับงานต่าง ๆ , คราว, สมัย"
ระดู,น.,เรียกเลือดประจำเดือนที่ออกจากมดลูก
ระแด,น.,ชื่อชนเผ่าข่าชนชาติหนึ่งอยู่ในประเทศลาว เรียก ข่าระแด
ระทม,ก.,"ช้ำใจ, ระทมใจ"
ระทึก,ก.,ใจเต้นตึก ๆ
ระนาด ๑,น.,เครื่องพิณพาทย์ชนิดหนึ่ง มีลูกเหมือนชั้นบันไดร้อยติดกัน ผูกกับรางยาว ใช้ตี
ระนาด ๒,ว.,"ล้มทับกัน, วางเกลื่อน, เกะกะ, มักใช้คู่กับคำ ระเนน ว่า ระเนนระนาด"
ระนาม,น.,ป่ารถแฉะชายแม่น้ำ หรือชายบึง ถ้าใช้คู่กับคำว่า บุ่ง (ตัดให้สั้นเหลือ นาม คำเดียว) ว่า บุ่งนาม
ระนาว ๑,น.,"ราว, สาย, แถว"
ระนาว ๒,ว.,เป็นแถว มักใช้สั้น ๆ ว่า นาว
ระนึก,ก.,"คิด, คิดถึง, นึกถึง = ระลึก"
ระเน,ว.,"ล้มทับกัน, วางเกลื่อน, เกะกะ, มักใช้คู่กับคำ ระเนน ว่า ระเนนระนาด"
ระเนน,ว.,"ล้มทับกัน, วางเกลื่อน, เกะกะ, มักใช้คู่กับคำ ระเนน ว่า ระเนนระนาด"
ระเนียด,น.,"เสาเขื่อน, หลักรั้ว, เช่น ต้ายวัด"
ระแนง,น.,ไม้กลอนที่พาดไปตามยาวสำหรับรับกระเบื้องหลังคา
ระบบ,น.,"อย่าง, ทำนอง, ลำดับ, ระเบียบที่รววมส่วนต่าง ๆ เข้าด้วยกัน"
ระบาย,ก.,"ราย, วาดเขียนด้วยสี, แรสี, แบ่ง, ถ่าย, ผ่อนออก"
ระบำ,ก.,"การเต้น, ฟ้อนรำชนิดหนึ่ง"
ระบือ,ว.,"ลือ, เลื่องลือ, เอิกเกริก, ฟุ้งเฟื่อง"
ระเบ็ง ๑,ก.,"ตี, ทำให้ดัง"
ระเบ็ง ๒,ว.,ดัง
ระเบิด ๑,น.,ยุทธปัจจัยชนิดหนึ่งทำด้วยโลหะ บรรจุดินระเบิด เมื่อกระทบของแข็งจะแตกปะทุออกไปทำอันตรายแก่สิ่งอื่น ๆ ได้ เรียก ลูกระเบิด
ระเบิด ๒,ก.,"ปะทุแตกออกไป, ทำให้ปะทุแตกออกไป"
ระเบียง,น.,ส่วนของเรือที่ติดอยู่ข้าง ๆ ภายนอกฝา
ระเบียน,น.,"แบบแผน, ทำเนียบ,ความเรียบร้อย"
ระเบียบ,น.,"แบบแผน, ทำเนียบ,ความเรียบร้อย"
ระพี,น.,"พระอาทิตย์ (ป., ส.)"
ระมัด,ก.,"ระวัง, ประหยัด มักพูดควบกันว่า ระมัดระวัง"
ระมาด,น.,แรด
ระยะ,น.,"ตอน, ช่อง, ส่วน, จังหวะ"
ระย้า,ว.,ลักษะที่ห้อยเป็นแถวหรือเป็นพวง
ระลึก,ก.,"ไหว้, เวียน, ทำประทักษิณ, เช่น ""ภูธรถวิลฮอบสถานสามชั้น"" (ศิลป์.)"
ระลึก,ก.,"คิด, คิดถึง, นึกถึง = ระลึก"
ระวัง,ก.,"คอยดูไว้, เอาใจใส่ไว้โดยไม่ประมาท, ป้องกันไว้ไม่ให้เสียหาย, รักษาไว้"
ระวาง,น.,"ส่วน, ตอน, ที่บรรทุกของในเรือหรือรถ"
ระวี,น.,"พระอาทิตย์ (ป., ส.)"
ระแวง,ก.,"แคลงใจ, สงสัย, เอียงไป, ส่วนมากว่า แวง"
ระแวดระวัง,ก.,คอยดูและโดยรอบ
ระหว่าง,น.,"ที่, ส่วน, ตอน, ระยะตั้งแต่ แห่งหนึ่งถึงอีกแห่งหนึ่ง, เวลาที่กำลังเป็นอยู่, ส่วนมากว่า หว่าง"
ระหองระแหง ๑,น.,"ความบาดหมางกันเพราะเรื่องเล็ก ๆ น้อย ๆ , ความไม่ปรองดองกัน"
ระหองระแหง ๒,ว.,"ผิดใจกันเพราะเรื่องเล็ก ๆ น้อย ๆ , ไม่ใคร่ถูกกัน ส่วนมากว่า หองแหง"
ระหัด,น.,"เครื่องวิดน้ำชนิดหนึ่ง เป็นรางใช้ถีบด้วยเท้าก็มี, ฉุดด้วยมือ หรือเครื่องจักร ก็มี"
ระเหย,ก.,"คลายกลิ่นและรส, กลิ่นหายไป, หมดไป, เหือดแห้ง, กระจายไปในอากาศ ส่วนมากเรียกว่า เหย"
ระเหระหน,ว.,"ซัดเซไปตามบุญตามกรรม, เร่ร่อนไป, อยู่ไม่เป็นที่"
รังฆัง,น.,เครื่องใช้ตีให้เกิดเสียงเป็นสัญญาณ หล่อด้วยทองเหลือง เป็นต้น รูปคล้ายกระดึง แต่ใหญ่กว่า
รังสี,น.,"แสงที่สมติเป็นสาย ๆ , แสงสว่าง, เส้นที่ออกจากจุดศูนย์กลาง, ส่วนมาว่า ศมี (ป., ส)"
รัชนี,น.,"กลางคืน, เวลามืด (ป., ส.)"
รัชนีกร,น.,"พระจันทร์ (ป., ส.)"
รัฐ,น.,"แว่นแคว้น, บ้านเมือง, ประเทศ (ป., ส.)"
รัฐบาล,น.,องค์การปกครองบ้านเมือง (ป.)
รัฐมนตรี,น.,ผู้รับผิดชอบในนโยบายการบริหารบ้านเมือง
รัฐสภา,น.,องค์การนิติบัญญัติ
รัตกัมพล,น.,ผ้ากัมพลแดง
รัตจันทน์,น.,ต้นจันทน์แดง
รัตตัญญู,น.,"ผู้รู้กาลนาน, ผู้มีอายุมาก จำกิจการต่าง ๆ ได้มาก"
รัตติ,น.,กลางคืน (ป.)
รัตติการ,น.,เวลากลางคืน (ป.)
รัตน์,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตนตรัย,น.,"แก้ว ๓ ดวง คือ พระพุทธ, พระธรรม, พระสงฆ์"
รัตนะ,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตนัง,น.,แก้ว
รัตนัง,ว.,ประเสริฐ (ป.)
รัตนัง,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตนา,น.,"แก้ว, ของวิเศษหรือประเสริฐสุด"
รัตมณี,น.,"ทับทิม, ส่วนมากว่า แก้วพิลา หรือน้ำครั่ง"
รัน,ก.,ตี
รัศมี,น.,"แสงที่สมติเป็นสาย ๆ , แสงสว่าง, เส้นที่ออกจากจุดศูนย์กลาง, ส่วนมาว่า ศมี (ป., ส)"
รัสสระ,น.,"สระที่มีเสียงสั้น คือ อะ, อิ, อุ"
รัสสะ,ว.,"สั้น, ตรงข้ามกับยาว (ป.)"
รัสสี,น.,"นักบวชของอินเดียอยู่ในป่า, ชีไพร = ฤษี (ส. ฤษิ; ป. อิสิ)"
รัสสี,น.,"ชีไพร, นักบวชผู้อยู่ในป่า, ผู้แต่งพระเวท (ดู ฤๅษี)"
ราคะ,น.,"ความกำหนัด, ความยินดี (ป., ส.)"
รางจืด,น.,พรรณไม้ชนิดหนึ่งคล้ายต้นนางแซง ใช้รากแก้พิษเบื่อเมาได้ดี
ราช,น.,"พระเจ้าแผ่นดิน, พญา ใช้สำหรับสัตว์ เช่น นาคราช, สิงหราช คำนี้มักใช้ประกอบคำอื่น ถ้าคำเดียวใช้ ราชา"
ราชการ,น.,การงานของรัฐบาล หรือของพระเจ้าแผ่นดิน
ราชครู,น.,"ข้าราชการผู้เป็นหัวหน้าฝ่ายพิธี, อาจารย์ผู้สอนหนังสือแก่ราชตระกูล"
ราชทัณฑ์,น.,"ผู้ดำเนินการลงโทษ, โทษหลวง"
ราชทินนาม,น.,นามบรรดาศักดิ์ที่พระเจ้าแผ่นดินพระราชทาน
ราชทูต,น.,"ผู้นำราชสานส์ไปประเทศอื่น, ผู้แทนชาติในประเทศอื่น, ตำแหน่งผู้แทนรัฐบาลถัดจากอัตรราชทูต"
ราชธรรม,น.,กิจวัตรที่พระเจ้าแผ่นดินควรประพฤติ
ราชธานี,น.,"พระราชวัง, เมืองหลวง"
ราชนิกุล,น.,เชื้อพระวงศ์
ราชบัณฑิต,น.,นักปราชญ์หลวง
ราชบุตร,น.,ตำแหน่งเจ้าฝ่ายเหนือ
ราชบุรุษ,น.,"คนของพระราชา, ข้าราชการ"
ราชภัฎ,น.,ข้าราชการ
ราชภิเษก,น.,พระราชพิธีในการขึ้นสืบราชสมบัติ (ส.)
ราชวงศ์,น.,ตระกูลของพระราชา และใช้เป็นตำแหน่งเจ้านายในหัวเมืองประเทศราชฝ่ายเหนือรองจากอุปราช
ราชศาสตร์,น.,กฎหมายที่พระเจ้าแผ่นดินบัญญัติตามหลักธรรมศาตร์
ราชสกุล,น.,ตระกูลฝ่ายพระราชา
ราชสาส์น,น.,หนังสือราชการของพระเจ้าแผ่นดิน
ราชสิงหาสน์,น.,พระที่นั่งมีขาเป็นเท้าสิงห์
ราชสีห์,น.,"พญาสิงโต, เรียกสิงโตสามัญ"
ราชหัตถเลขา,น.,จดหมายของพระราชา
ราชโองการ,น.,คำสั่งราชการของพระราชา
ราชา,น.,พระเจ้าแผ่นดิน
ราชาคณะ,น.,สมณศักดิ์ชั้นสูงกว่าชั้นพระครูขึ้นไป แต่เรียกสั้นว่า ชา หรือ เจ้าหัวชา รองจากเจ้าหัวครูหรือราชครู
ราชาโชวาท,น.,คำสั่งสอนของพระราชา
ราชาธิราช,น.,พระราชาที่เป็นใหญ่กว่าพระราชาอื่น ๆ (ส.)
ราชายตนะ,น.,"ไม้เกด (ป., ส.)"
ราชาศัพท์,น.,คำที่ใช้สำหรับพระราชาและเจ้านาย
ราชินี,น.,"นางพญา, นางกษัตริย์, พระมเหสี"
ราชูปภัมภ์,น.,การที่พระราชาเกื้อกูลอุดหนุน (ป.)
ราชูปโภค,น.,เครื่องใช้สอยของพระราชา
ราเชนทร์,น.,พระราชาผู้เป็นใหญ่
ราฐ,น.,"แว่นแคว้น, บ้านเมือง, ประเทศ (ป., ส.)"
ราตรี ๑,น.,"กลางคืน, เวลามืดค่ำ (ส., ป.)"
ราตรี ๒,น.,ชื่อไม้พุ่มดอกเล็กสีขาวปนเขียวออกเป็นช่อกลิ่นหอมแรง เฉพาะเวลากลางคืน
รามสูร,น.,ชื่อยักษ์ตนหนึ่ง (เลือนมาจาก รามปรศุ อันเป็นชื่อพราหมณ์ดุร้าย) ถือขวาน เมื่อขว้างไปเกิดเป็นเสียงฟ้าร้อง
รามัญ,น.,ชนเผ่ามอญ
ราศี,น.,"กอง, หมู่ เช่น บุญราศี = กองบุญ, ราศีไสล = กองหิน"
ราศี,น.,"ชื่อมาตราวัดจักราศี คือ ๓๐ องศาเป็น ๑ ราศี ๑๒ ราศี เป็น จักร (ส., ป.)"
ราษฎร์,น.,พลเมืองของประเทศ (ส.) (ดู รัฐ)
ราษฎร,น.,พลเมืองของประเทศ (ส.) (ดู รัฐ)
ราสี,น.,"ชื่อมาตราวัดจักราศี คือ ๓๐ องศาเป็น ๑ ราศี ๑๒ ราศี เป็น จักร (ส., ป.)"
ราหู,น.,"ชื่ออสูรตนหนึ่งเป็นลูกท้าวประจิตติกับนางสิงหิกา มีตัวขาดครึ่งท่อนด้วยถุกจักรพระนารายณ์เมื่อแปลงกายเป็นเทวดาเข้าไปลักน้ำอมฤตกิน ในตำราโหรว่า เป็นเทวดาพระเคราะห์มีอาภรณ์และพาหนะสีคล้ำ (ป., ส.)"
รำงับ,ก.,"ดับ, ยับยั้ง, สงบ, ทำให้สงบ"
รำลึก,ก.,"คิด, คิดถึง, นึกถึง = ระลึก"
รำลึกถึง,ก.,"ไหว้, เวียน, ทำประทักษิณ, เช่น ""ภูธรถวิลฮอบสถานสามชั้น"" (ศิลป์.)"
ริจนา ๑,ก.,"แต่ง, ประพันธ์, เขียน เช่น ""รจินาแล้วยามแล ใกล้เที่ยง"" (ป., ส.)"
ริจนา ๒,ว.,งาม
ริดสีดวง,น.,ชื่อโรคพวกหนึ่งมีหลายชนิด เช่น เกิดในช่องตาและทวารหนัก
ริ้น,น.,แมลงตัวเล็ก ๆ คล้ายแมลงหวี่ ชอบกัดกินเลือดคนและสัตว์
ริปุ,น.,"ข้าศึก, ปรปักษ์, คนโกง (ป., ส.)"
ริปู,น.,"ข้าศึก, ปรปักษ์, คนโกง (ป., ส.)"
