คำ,POS,ความหมาย
ลก ๑,น.,คอกสำหรับให้เป็ด ไก่ อยู่อาศัย = เล้า
ลก ๒,ว.,จำนวนนับแบบโบราณต่างจาก ห้า = หก เช่น พระราชโอรสของขุนบรม (บูฮม) องค์ที่ ๖ ชื่อ ลกกม
ลกงก,ว.,"ลักษณะสิ่งของขนาดใหญ่ที่ยื่นงอออกมา เช่น งูยอคอซกงก = งูชูคอขึ้นสูง, ถ้าขนาดเล็ก เรียก ซ็อกง็อก"
ลกจ๊ก,ว.,"อาการเดินของคนขาแข็ง สำหรับตัวใหญ่, สำหรับตัวเล็ก ว่าล็อกจ๊อก"
ลง,ก.,ไปสู่เบื้องต่ำ ตรงข้ามกับขึ้น
ล่ง,ว.,"ว่าง, เปล่า, ไม่มีเครื่องกำบัง, ไม่ฝืด, สะดวก เช่น หัวใจล่ง = หายใจสะดวก"
ลงข่วง,ก.,หญิงสาวลงไปทำงานรวมกัน เช่น ปั่นด้าย เป็นต้น ที่ลานบ้านในเวลากลางคืน
ลงแขก,ก.,ร่วมกันทำงานโดยขอแรงกัน
ลงโขง,ก.,เสด็จออกว่าราชการ
ลงคอ,สำ.,ทำได้โดยไม่ตะขิดะตะขวง
ลงเงิน,ก.,พนันกัน วางเงินเป็นเดิมพัน
ล้งจ้ง,ว.,"คดมาก, ไม่ตรง, เก, เช่น คดล้งจ้ง"
ลงแดง,ก.,ท้องเดินถ่ายอุจจาระเป็นโลหิต
ลงโต ๑,ก.,ซูบผอมลง
ลงโต ๒,ก.,หารเลขไม่มีเศษ = ลงตัว
ลงท้อง,ก.,ท้องเดินหรือท้องร่วง
ลงทางขว้ำ,ก.,อาการที่ล้มคว่ำ
ลงทางข้าง,ก.,อาการที่ล้มตะแคง
ลงทางหงาย,ก.,อาการที่ล้มหงาย
ลงทึน,ก.,ลงทุน
ลงโทษ,ก.,ทำโทษผู้ทำผิดกฎ
ลงไท้,ก.,เข้าทรงผีฟ้าเพื่อขับไล่ผีที่สิงคนหรือพิธีไหว้ครูของหมอไท้
ลงธรรม,ก.,ทำพิธีกรรมทางไสยศาสตร์เพื่อขับผี
ลงนา,ก.,ลงมือทำนาในฤดูฝน
ลงเลข,ก.,ดูหมอ ด้วยเลขโบราณ ๗ ตัว เพื่อทำนายโชคเคราะห์
ลงวัด,ก.,ชาวบ้านชุมนุมกันทำงานบางอย่าง หรือหารืองานบุญที่วัดเวลากลางคืน
ลงศาล,ก.,กระทำการพิจารณาตัดสินคดีที่ศาล
ลงสรง,ก.,อาบน้ำ ใช้สำหรับพระสงฆ์และกษัตริย์
ลงแส้ ๑,ก.,ตีม้าด้วยแส้ เพื่อให้วิ่งหรือเฆี่ยนผู้ทำผิด
