คำ,POS,ความหมาย
วก ๑,ก.,"เลี้ยว เช่น วกซ้าย วกขวา, กลับ, เช่น วกมาวกกลับ"
วก ๒,ก.,"คดเคี้ยว, ไม่ตรง, เช่น วกไปวกมา"
วก ๆ,ว.,อาการสั่นที่เกิดจากความหนาว เป็นต้น ใช้สำหรับคนหรือสัตว์ขนาดใหญ่ ถ้าขนาดเล็กว่า วัก ๆ
วง ๑,น.,"รูปที่มีเส้นล้อมรอบ ไม่มีเหลี่ยม เช่น วงกลม, สิ่งที่กลมโค้ง ไม่มีเหลี่ยม, เช่น วงล้อ, วงแหวน, ฆ้องวง, ลักษณะนาม, เช่น แหวน ๒ วง"
วง ๒,ก.,"ล้อมรอบ เช่น วงกลม, แวดล้อม, เช่น แวดวง"
วงกต,น.,ชื่อเขาลูกหนึ่งในเวสสันดรชาดก จากคำว่าคิรีวงกต (ป.)
วงกลม,น.,"รูปที่มีเส้นล้อมรอบ ไม่มีเหลี่ยม เช่น วงกลม, สิ่งที่กลมโค้ง ไม่มีเหลี่ยม, เช่น วงล้อ, วงแหวน, ฆ้องวง, ลักษณะนาม, เช่น แหวน ๒ วง"
วงกะ,ว.,"คดเคี้ยว, ไม่ตรง (ป.)"
วงกา,ว.,"คดเคี้ยว, ไม่ตรง (ป.)"
วงเล็บ,น.,เครื่องหมาย รูปดังนี้ ( )
วงเวียน,น.,"อุปกรณ์สำหรับขีดเขียนวงกลม, ที่ซึ่งมีรูปกลมเป้ฯที่รวมแห่งถนนหลายสาย"
วงศ์,น.,"เชื้อสาย, เหล่ากอ, ตระกูล"
วงศ์วาน,น.,"เชื้อสาย, เหล่ากอ, ตระกูล"
วงศา,น.,"เชื้อสาย, เหล่ากอ, ตระกูล"
วงศาคณาญาติ,น.,"หมู่ญาติเชื้อสายเดียวกัน (ส.,ป.)"
วงษ์ (โบ.),น.,วงศ์
วจนะ,น.,"การพูด, การสำแดง, การออกเสียง, คำชี้แจง, คำบอกเล่า, คำพูด, ถ้อยคำ (ป.,ส.)"
วจนัง (แบบ),น.,"การพูด, การสำแดง, การออกเสียง, คำชี้แจง, คำบอกเล่า, คำพูด, ถ้อยคำ (ป.,ส.)"
วจนา,น.,"การพูด, การสำแดง, การออกเสียง, คำชี้แจง, คำบอกเล่า, คำพูด, ถ้อยคำ (ป.,ส.)"
วจะ,น.,"คำพูด, ถ้อยคำ (ป.)"
วจี,น.,"คำพูด, ถ้อยคำ (ป.)"
วจีกรรม,น.,"การพูด, การทำทางวาจา มี ๔ อย่าง คือ ๑. การพูดเท็จ ๒. การพูดส่อเสียด ๓. การพูดคำหยาบ ๔. การพูดคำเพ้อเจ้อ (ส.)"
วจีเภท,น.,"คำพูดต่าง ๆ , การเปล่งคำออกไป (ป.)"
วชะ,น.,"คอก, เล้า (ป.)"
วชิรปาณี,น.,ผู้ถือวชิระ คือ พระอินทร์ (ป.)
วชิรหัตถ์,น.,ผู้ถือวชิระ คือ พระอินทร์ (ป.)
วชิระ,น.,"เพชร, สายฟ้า, อาวุธพระอินทร์ เป็นรูปเพชรเป็นกลีบมีด้ามถือ หรือทำเป็นรูปสายฟ้า (ป.,ส.)"
วชิราวุธ,น.,"เพชร, สายฟ้า, อาวุธพระอินทร์ เป็นรูปเพชรเป็นกลีบมีด้ามถือ หรือทำเป็นรูปสายฟ้า (ป.,ส.)"
วณะ,น.,"ช่อง, แผล, ฝี (ป.)"
วณิชชกร,น.,"ผู้ทำการค้า, พวกพ่อค้า (ป.)"
วณิชชา,น.,การค้าขาย (ป.)
วณิชย์,น.,การค้าขาย (ส.)
วณิชยา,น.,การค้าขาย (ส.)
วณิชะ,น.,พ่อค้า (ส.)
วดี,น.,"รั้ว, กำแพง (ป.,ส.)"
วดี,ก.,มี เช่น ปทุมวดี
วตะ,น.,"ข้อปฏิบัติ, ความประพฤติ, ประเพณี, ธรรมเนียม (ป.,ส.)"
วตี ๑,น.,"รั้ว, กำแพง (ป.,ส.)"
วตี ๒,ก.,มี เช่น ปทุมวดี
