คำ,POS,ความหมาย
ศก ๑,น.,ผม (ข.)
ศก ๒,น.,"ยุค, ปีหนึ่ง หมวดปีซึ่งตั้งขึ้นเป็นที่หมายเหตุการณ์สำคัญ เช่น พุทธศก ตั้งต้นด้วยวันที่พระพุทธเจ้าปริพพาน (ส.)"
ศกุล,น.,นก (ส.)
ศกุลต์,น.,นก (ส.)
ศกุลตลา,น.,นกเลี้ยงไว้
ศกุลตลา,น.,ชื่อบุตรีของวิศวามิตร เกิดด้วยนางอัปสรชื่อ เมนกา พระดาบสสกัณวะเลี้ยงไว้ ภายหลังเสกสมรสกับท้าวทุษยันต์ นางมีบุตรคนหนึ่งชื่อ ภรต
ศต,น.,หนึ่งร้อย
ศตบาท,น.,สัตว์ร้อยตีน (ส.)
ศตปที,น.,สัตว์ร้อยตีน (ส.)
ศตวรรษ,น.,ร้อยปี
ศพ,น.,"ซากผี, ร่างคนตาย (ส.)"
ศมี,น.,"รัศมี, แสงสว่าง"
ศร,น.,"อาวุธชนิดหนึ่งใช้ยิงด้วยกำลังสายให้ดันลูกแล่นออกไป (โบราณเรียก ปืน) ลูกธนู, ลูกหน้าไม้, คันธนู"
ศรัทธา,น.,"ความเชื่อถือ, ความเลื่อมใส (ส.)"
ศรี ๑,น.,"มิ่ง, ขวัญ, ความสง่า, แสง, ความสุกใส, ความสว่าง, ความเปล่งปลั่ง, ความงาม, ความดี, ความน่ารัก, ความเจริญ, ความร่ำรวย, ลาภ, มงคล, ความเป็นใหญ่, อำนาจ, ใช้เป็นคำขึ้นต้นในการแต่งกาพย์กลอน หรือคำกล่าวเพื่อสิริมงคล เช่น คำสู่ขวัญ เป็นต้น เช่น ""ศรี ๆ สิทธิ พระพร บวรดิเรก เอกนกเตโช"" (ส., ป. สิริ)"
ศรี ๒,น.,ผู้หญิง (ข.)
ศศิ,น.,พระจันทร์ (ส.)
ศศิธร,น.,พระจันทร์ (ส.)
ศศิน,น.,พระจันทร์ (ส.)
ศศี,น.,พระจันทร์ (ส.)
ศอ,น.,คอ
ศอก,น.,ส่วนของแขนนับแต่ข้อพับกึ่งกลางลงไปถึงปลายนิ้วกลาง
ศอก,น.,มาตราวัดของไทยแต่โบราณ เท่ากับสองคืบ
ศอกกำ,น.,ศอกที่มือกำไม่แบมือออก
ศอกกำมา,น.,ศอกที่มือกำไม่แบมือออก
ศักดา,น.,"อำนาจ, ความสามารถ, เรี่ยวแรง, กำลัง, ความอุสาหะ, คุณวุฒิ, ความเชี่ยวชาญ"
ศักดิ์,น.,"อำนาจ, ความสามารถ, เรี่ยวแรง, กำลัง, ความอุสาหะ, คุณวุฒิ, ความเชี่ยวชาญ"
ศักดินา,น.,อำนาจในการปกครองที่ดินในระบอบสมบูรณาญาสิทธิราช
ศักดิ์สิทธิ์,ว.,"สำเร็จด้วยอำนาจ, ขลัง (ส.("
ศักราช,น.,"ยุค, ปีหนึ่ง หมวดปีซึ่งตั้งขึ้นเป็นที่หมายเหตุการณ์สำคัญ เช่น พุทธศก ตั้งต้นด้วยวันที่พระพุทธเจ้าปริพพาน (ส.)"
ศัตรู,น.,"ข้าศึก, คู่แข่ง, ปรปักษ์ (ส.)"
ศัพท์,น.,"เสียง, เสียงพูด, เสียงร้อง, ทำนอง, คำ (ส., ป.)"
ศัลย,น.,"หอก, หลาว, ทวน, ขวาก, ลูกศรและอาวุธปลายแหลมอื่น ๆ (ส.)"
ศัลยกรรม,น.,การผ่าตัดรักษาโรค
ศัลยศาสตร์,น.,วิชาว่าด้วยการผ่าตัด
ศัสตรา,น.,"ของมีคมเป็นเครื่องฟันแทง เช่น หอก, มีด, ฉมวก, กระบี่ (ส.)"
ศากย,น.,ชื่อของกษัตริย์พวกหนึ่งในเมืองกบิลพัสดุ์ ซึ่งเป็นเชื้อสายของพระพุทธเจ้า (ส.)
ศากยมุนี,น.,พระนามของพระพุทธเจ้า (ส.)
ศากยวงศ์,น.,ตระกูลพวกศากย (ส.)
ศานต์,ว.,"สงบ, ราบคาบ, นิ่ง"
ศานูปถัมภก,น.,ผู้บำรุงศาสนา ใช้สำหรับกษัตริย์ (ส.)
ศาล,น.,"สถานที่ชำระความ, ที่เทพารักษ์สถิต"
ศาลา,น.,ที่พักสำหรับคนทั่วไป
ศาลา,น.,ที่ว่าการของรัฐบาล
ศาลา,น.,อาคารที่ปลูกไว้ในวัดสำหรับทำบุญและศึกษาเล่าเรียน (ส.)
ศาลาฉทาน,น.,ศาลาเป็นที่ทำงาน ๖ แห่ง
ศาสดา,น.,"อาจารย์ผู้อบรมสั่งสอน, ผู้ตั้งศาสนา, นามพระพุทธเจ้า (ส.)"
ศาสตร์,น.,"ตำรา, วิชา (ส.)"
ศาสตร์ศิลป์,น.,ความรู้ที่เกิดจากการศึกษาเล่าเรียน
ศาสตรา (สาดตรา),น.,"ของมีคมเป็นเครื่องฟันแทง เช่น หอก, มีด, ฉมวก, กระบี่ (ส.)"
ศาสตราจารย์,น.,อาจารย์ชั้นสูงในมหาวิทยาลัย (ส.)
ศาสน์ ๑,น.,"คำสั่งสอน, ลัทธิ, ความเชื่อของมนุษย์อันมีหลักธรรมตามลัทธินั้น ๆ เป็นหลัก พร้อมทั้งพิธีที่กระทำตามคำสั่งสอนในลัทธินั้น ๆ (ส.)"
ศาสน์ ๑,น.,คำสั่ง โดยปริยายหมายถึง พระราชหัตถเลขาทางราชการและลิขิตของพระสังฆราช เช่น พระราชศาสน์
ศาสโนวาท,น.,คำสั่งสอนในศาสนา (ส.)
ศิขร,น.,"ปลาย, ยอด, ยอดเขา, สันเขา, ที่สุด"
ศิขริน ๑,น.,ภูเขา (ส.)
ศิขริน ๒,ว.,มียอด
ศิขรี,?,ดู ศิขริน
ศิงขร,น.,"ปลาย, ยอด, ยอดเขา, สันเขา, ที่สุด"
ศิงขริน,ว.,มียอด
ศิงขรี,ว.,มียอด
ศิรประณาม,น.,การก้มหัวคำนับ
ศิรประภา,น.,รัศมีที่พวยพุ่งขึ้นจากศีรษะของผู้ศักดิ์สิทธิ์และพระพุทธรูป
ศิระ,น.,"หัว, ส่วนบน, ส่วนสูงของสิ่งต่าง ๆ , ยอด, ปลาย, หัวหน้า, คนสำคัญ"
ศิรา,น.,"น้ำ, ลำธาร, คลอง, ท่อ (ส.)"
ศิโรดม,น.,อวัยวะสูงสุด คือ หัว (ส.)
ศิลปกร,น.,นายช่างฝีมือ
ศิลปกรรม,น.,การช่าง
ศิลปการ,น.,นายช่างฝีมือ
ศิลปกิจ,น.,การช่างฝีมือ
ศิลปชีวิกา,น.,การหากินโดยการช่าง
ศิลปวิทยา,น.,ศิลปและวิชาการ
ศิลปศาตร์,น.,ตำราว่าด้วยวิชาความรู้มี ๑๘ ประการ เช่น ตำราการคำนวณ ตำรายิงธนู
ศิลปศึกษา,น.,การเรียนศิลป (ส.)
ศิลปะ,น.,"การประดับ, การแสดงออกมาให้ปรากฎขึ้นได้อย่างงดงาม น่าพึงชมและเกิดอารมณ์สะเทือนใจ"
ศิลปะ,น.,"การช่างทั่วไป, การฝีมือ"
ศิลปิน,น.,"นายช่าง, ผู้มีศิลปะ, นักแสดง (ส.)"
ศิลา,น.,"หิน, ผา"
ศิลาธาตุ,น.,แร่หิน (ส.)
ศิลาแลง,น.,หินชนิดหนึ่ง ใช้ก่อสร้างได้ เนื้อแข็งเป็นรูพรุน ส่วนมาเป็นสีแดง
ศิวโมกข์,น.,พระนิพพาน (ส.)
ศิวเวท,น.,มนต์สรรเสริญพระศิวะ (ส.)
ศิวะ,น.,ชื่อพระเจ้าสำคัญองค์หนึ่งในพระเจ้าทั้ง ๓ ของฮินดู
ศิษย์,น.,"นักเรียน, ผู้รับการอบรม (ส.)"
ศีขร,น.,"ปลาย, ยอด, ยอดเขา, สันเขา, ที่สุด"
ศีต,ว.,"หนาว, เย็น"
ศีตกาล,น.,ฤดูหนาว (ส.)
ศีรษะ,น.,"หัว, ยอด (ส.)"
ศีล (สีน),น.,ข้อบัญญัติที่กำหนดการปฏิบัติทางกายและวาจา เช่น ศีลห้า ศีลแปด
ศีลธรรม,น.,ความประพฤติที่ดีที่ชอบ
ศีลวัตร,ว.,"มีศีล, มีความประพฤติดี (ส.)"
ศึก,น.,การรบกัน การสู้กัน ส่วนมากว่า เศิก (ส.)
ศึกษา,น.,การเล่าเรียน ฝึกฝน อบรม (ส.)
ศุกร์ ๑,น.,ชื่อวันที่หกของสัปดาห์
ศุกร์ ๑,น.,"ชื่อดาวพระเคราะห์ที่ ๖ ในตำราโหราศาตร์ ถ้าขึ้นตอนหัวค่ำ เรียก ดาวหมูชัง = ดาวประจำเมือง, ถ้าขึ้นตอนเช้ามืด เรียก ดาวเพ็ก = ดาวประกายพรึก (ส.)"
ศุกร์ ๒,ว.,"สว่าง, สุกใส, บริสุทธิ์ (ส.)"
ศุกรวรรณ,ว.,มีสีสด (ส.)
ศุกลปักษ์,น.,เวลาข้างขึ้น (ส.)
ศุกละ,ว.,"สุกใส, สว่าง, ขาว, บริสุทธิ์ (ส.)"
ศุกะ,น.,"นกแก้ว, นกแขกเต้า (ส.)"
ศุจิ,น.,"ความบริสุทธิ์, ความสะอาด"
