คำ,POS,ความหมาย
อยฺอกอฺยอย,ว.,"ลักษณะยืน หรือเดินของคนผอมร่างเล็ก เช่น ยืนอฺยอกอฺยอย, นั่งอฺยอกอฺยอย"
อฺยก ๑,น.,หินแก้วมีลักษณะแข็งเป็นสีต่าง ๆ นิยมใช้เป็นเครื่องประดับ = หยก
อฺยก ๒,ก.,"ยกขึ้นลงค่อย ๆ , ชัก, เช่น สิ่นตีนอฺยก"
อฺยง,น.,อีเห็นขนาดใหญ่ชนิดหนึ่ง เรียกว่า เห็นอฺยง
อฺย้ง,ว.,ลักษณะที่สูงเกินควร เมื่อเคลื่อนไหวเห็นเหมือนโยกเยกไปมา เช่น สูงอฺย้ง
อฺย้ง ๆ,ว.,อาการเดินก้าวยาว ๆ ของคนผอมสูงร่างใหญ่ เช่น ย่างอฺย้ง ๆ = เดินโย่ง ๆ ถ้าเป็นคนร่างเล็กว่า อฺย้อง ๆ โอฺย้ง ก็ว่า
อฺย่งโอฺย้,ว.,อาการยืนโก้งโค้ง เอามือทั้งสองห้อยลงข้างหน้าจนเกือบถึง หรือถึงพื้น
อฺย่งโอฺ้ยะ,น.,ชื่อแมลงชนิดหนึ่ง = ตั๊กแตนตำข้าง
อฺยด,ก.,หยด
อฺย้น ๑,ก.,"ทำให้สั้นเข้า, หดร่นเข้า เช่น คออฺย้น, ร่นเป็นริ้วรอย เช่น หน้าอฺย้น"
อฺย้น ๒,ว.,"ยู่ยี่, หด, เช่น ผ้าอฺย้น, กระดาษอฺย้น"
อฺยบ,ก.,"จับ, เอามือกุมไว้, เช่นจุบมือ = จับมือ"
อฺยวก ๑,น.,หยวกกล้วย
อฺยวก ๒,ว.,ขาว (ขาวเหมือนหยวกกล้วย)
อฺย่วง,น.,ห่วงรูปโค้งคล้ายเกือกม้า สำหรับร้อย หรือบรรจุของใช้ต่าง ๆ
อฺย่วงกุญแจ,น.,"ห่วงกุญแจ, พวงกุญแจ"
อฺย่วงม้า,น.,โกลน (ห่วงที่ห้อยลงมาจากอานม้าสองข้าง สำหรับสอดเท้าใส่ในเวลาขี่ม้า)
อฺย่วย,ว.,"เร็ว, โครม, แผลว, เช่น เสือเต้นเข้าป่าอฺย่วย"
อฺย่วย ๆ,ว.,"เร็ว, สวบ ๆ เช่น ย่างอฺย่วย ๆ"
อฺยอ,ก.,บอกให้หยุด (ใช้แก่วัวควาย) = ยอ
อฺยอก,ก.,เล่น หรือล้อไม่จริงจัง = หยอก
อฺยอกเย้า,ก.,"ล้อเล่น, สัพยอก"
อฺยอกใย,ก.,"พูดเล้าโลม, หยอกเอิน"
อฺยอกเหล้น,ก.,"กระเช้า, เย้าแหย่"
อฺยอง ๑,ก.,ค่อย ๆ วางไว้ข้างบน
อฺยอง ๒,ว.,"จับ, ฉวย, เช่น อฺยองผ้า"
อฺยอง ๓,ว.,"อาการเดินเบา ๆ , อาการค่อย ๆ ย่องไป, เช่น ย่างอฺยอง"
อฺย้อง ๆ,ว.,อาการเดินก้าวยาว ๆ ของคนผอมสูงร่างใหญ่ เช่น ย่างอฺย้ง ๆ = เดินโย่ง ๆ ถ้าเป็นคนร่างเล็กว่า อฺย้อง ๆ โอฺย้ง ก็ว่า
อฺยองอฺย้อ,ว.,อาการนั่งยอง ๆ เช่น นั่งอฺย่องอฺย้อ = นั่งยอง ๆ
อฺย่องอฺย้อ,ว.,อาการนั่งยอง ๆ เช่น นั่งอฺย่องอฺย้อ = นั่งยอง ๆ
อฺย่องอฺยาม,ก.,ไปเยี่ยมเยียน
