คำ,POS,ความหมาย
ฮก,ว.,"รก, รุงรัง, ไม่เตียน"
ฮ้ง,ก.,อาการช้ำของหัวแม่มือ
ฮ้ง,ก.,อาการที่น้ำไหลลอดคันนาหรือทำนบ
ฮง ๑,ก.,"พุง, ทะลาย ใช้แก่เขื่อนหรือดินที่ถูกน้ำเซาะ"
ฮง ๒,ว.,"ร้อนเต็มที่, ระอุ เช่น เตากำลังฮง"
ฮง ๆ,ว.,"สุกใส, แวววาวเป็นประกาย ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า ฮอง ๆ"
ฮด,ก.,"รดน้ำ, ราดน้ำ"
ฮดฮ่วง,ว.,หอมตลบอบอวล
ฮดฮ่วงเฮ้า,ว.,หอมตลบอบอวล
ฮน,ก.,"ดิ้นรน, เร่าร้อน, รน"
ฮนฮวาย,ก.,"ทุรนทุราย, กระสับกระส่าย"
ฮนฮ้อน,*ก.,"ร้อนรน, กระวนกระวาย"
ฮบ,ก.,"รบ, ต่อสู้กัน, ชน (ใช้แก่ไก่และสัตว์ปีกอื่น ๆ )"
ฮบงัน,ก.,"ฉลอง, สมโภช"
ฮ่ม ๑,น.,ร่มเงา
ฮ่ม ๒,น.,ร่มกันแดดกันฝน ส่วนมากเรียก คันฮ่ม (เป็นคำรวมทั้งร่มที่ทำด้วยผ้าและทำด้วยกระดาษ)
ฮ่มเพิง,ก.,"รำพึง, รำพัน"
ฮมมนา,ก.,"ปั่นป่วนใจ, ปวดร้าวใจ, เร่าร้อนใจ"
ฮมมเนส,ก.,"ปั่นป่วนใจ, ปวดร้าวใจ, เร่าร้อนใจ"
ฮมมฺนัง,ก.,"ปั่นป่วนใจ, ปวดร้าวใจ, เร่าร้อนใจ"
ฮมย์,ว.,"ยินดี, พอใจ = อภิรมย์"
ฮวก ๑,*น.,ลูกกบลูกเขียดเมื่อยังเล็ก ๆ = ลูกอ๊อด
ฮวก ๒,ก.,ไม้รวก
ฮวง,น.,ส่วนที่ยื่นโค้งเป็นวงสำหรับหิ้ว หรือถือสิ่งของอย่างตะกร้า เป็นต้น เช่น งวงคุ
ฮ่วง,?,ดู ห่วง ๒
ฮ่วง,ก.,ร่วงโรย
ฮวง ๑,น.,"พวง เช่น ฮวงดอกไม้, ร่วง เช่น ฮวงข้าว, รัง เช่น ฮวงเผิ้ง, ช่อ เช่น ฮวงหมากเดือย"
ฮวง ๒,น.,หูหิ้ว เช่น ฮวงกะต่า = หูตะกร้า
ฮวงช้าง,น.,พืชล้มลุกชนิดหนึ่ง มีดอกสีขาว ช่อของดอกมีสัณฐานคล้ายงวงช้าง
ฮ่วงโฮย,ก.,ร่วงโรย
ฮวด ๑,น.,พวงดอกไม้หรือพวงปลาที่ถูกร้อยรวมกัน
ฮวด ๒,*ก.,"ราดน้ำ, ราดน้ำแกง"
ฮ่วน ๑,ก.,"ครวญ, คำราม (ใช้แก่ฟ้า เช่น ฟ้าฮ่วน หรือฟ้าฮ้องฮ่วน)"
ฮ่วน ๒,ว.,"เสีย, เน่าใน เช่น ไข่ฮวน, กลัดหนอง เช่น ฝีฮ่วน, รวน เช่น ความที่ถูกล่ามไว้ มีอาการกระวนกระวาย เรียก ความฮ่วน"
ฮวน ๆ,ว.,ลักษณะของสีแดงเรื่อเด่นชัด เช่น ตาเวนแดงฮวน ๆ
ฮ่วน ๆ,ว.,"ลักษณะกลุ่มควันจำนวนมากลอยพุ่งขึ้นไปในอากาศ, ถ้าจำนวนน้อยว่า ฮิ่น ๆ"
