คำ,POS,ความหมาย
จก,น.,จอบ
จก,ก.,ล้วง ควก
จกกะหลิ้ง,ก.,จี้รักแร้ - จักจี้
จกกะหลี้,ก.,จี้รักแร้ - จักจี้
จกเค้าแร้,น.,ซอกรักแร้
จกเค้าแร้,ก.,จี้รักแร้ - จักจี้
จกจ่าย,ก.,จับจ่ายใช้สอย
จกโจ่,ว.,ตกตะลึง
จกโจ้,ว.,ตกตะลึง
จกโจ้จกโจ่,ว.,ตกตะลึง
จกโจ้จกโจ่,ว.,ตกตะลึง ทำอะไรไม่ถูก
จด,ก.,กลัด ขัด ทำให้มั่นคง เช่น จดปลอกแอว จดสายรั้ง -คาดเข็มขัด ตอก ตีลงไป เช่น จดเหล็กโคน - ตอกตาบู่
จด,สำนวน.,กินไม่สุภาพ เช่น จดเข้า
จดละคุย,ก.,ชกกัน ต่อยกัน
จตุปัจจัย,น.,เครื่องอาศัย ๔ อย่างคือ อาหาร เครื่องนุ่งห่ม ที่อยู่อาศัย ยารักษาโรค
จตุรภูมิ,น.,ภูมิทั้ง ๔ คือ กามาวจรภูมิ รูปาวจรภูมิ อรูปาวจรภูมิ โลกุตตรภูมิ
จตุรอบาย,น.,อบายภูมิทั้ง 4 มี นรก สัตว์เดรัจฉาน เปรตและอสุรกาย
จน,ก.,ทำให้แพ้ ทำให้หมดทางหนี หมดทางหนี หมดทางต่อสู้
จน,ว.,อัตคัด ขาดแคลน ฝืดเคือง
จน,ส.,กระทั้ง ตราบเท่า
จ้น,ก.,เร่งทำให้เสร็จ ออกัน คับคั่ง ข้ามจากจุดหนึ่งไปสู่จุดหนึ่ง ไม่เป็นไปตามขั้นตอน
จ้น,ว.,ไม่ละเอียดลวกๆ
จ้น,ก.,ข้าม ผ่านเลย ไม่เป็นไปตามขั้นตอน
จ้น ๆ,ว.,เคลื่อนที่ไปอย่างรวดเร็ว
จ้นจ้ำ,ก.,กระขั้นชิด ฉุกเฉิน
จนแจ่ง,ก.,จนมุม
จนไจ,ว.,คิดไม่ออก ทำไม่ได้
จนช็อก,ว.,หมดทางไป จนตรอก
จนช็อก,ก.,จนมุม (ช็อก - มุมแคบ ชอก หลืบ)
จนตา,ว.,มืดจนดำมองไม่เห็น
จนตาย,ว.,จนตาย
จบ,ก.,ประสบ ทำให้มาต่อกัน
จม,ก.,จม - หายลงไปอยู่ใต้พื้นผิวน้ำหรือจมดิน
จม,ว.,เลวร้าย เช่น ตกหล้มตกจม - ตกตํ่า ได้รับความเดือดร้อนล่มจม
จ่ม,ก.,บ่น พร่ำพูด
