คำ,POS,ความหมาย
ดก,ก.,กระดก ยกขึ้นยกลง โอนไปเอนมา
ดก,ว.,มาก มากกว่าปรกติ (มักใช้กับสิ่งที่เกิดตามธรรมชาติอย่างมะม่วงดก)
ดกเด็ก,ก.,กระโดกกระเดก ยกขึ้นยกลง โอนไปเอนมา
ดกเด็ก,ว.,กระโดกกระเดก ยกขึ้นยกลง โอนไปเอนมา
ดง,น.,ป่า ป่าที่มีต้นไม้ใหญ่ขึ้นหนาแน่น ที่ซึ่งมีต้นไม้อย่างใดอย่างหนึ่งขึ้นหนาแน่น เช่น ดงกล้วย ดงหญ้าคา
ด้ง,น.,กระด้ง
ดงกัมม์,น.,ป่าหรือส่วนของป่าที่กำหนดไว้เป็นสถานที่ศักดิ์สิทธิ์ ใช้เป็นที่เซ่นไหว้ผีบ้านหรือผีเมือง เช่น ดงปู่และย่าที่เชิงดอยสุเทพ ด้านใต้ของมหาวิทยาลัยเชียงใหม่ จ.เชียงใหม่
ดงก่ำ,น.,ดงทึบ
ดงเขียว,น.,ดงทึบ ป่าที่เขียวสะพรั่ง
ดงดำ,น.,ดงทึบ ป่าทึบ
ดงดำ,ลัก.,ชื่อไม้พุ่มยืนต้นชนิดหนึ่ง
ดงเดือด,น.,สันนิษฐานว่าเป็นเครื่องดนตรีชนิดหนึ่ง (จารึกที่วัดพระยืนจังหวัดลำพูน พ.ศ. ๑๙๑๓)
ดงทาก,น.,บริเวณที่มีทากมาก ตามพงหญ้ารกชื้นแฉะ
ดงป่าไม้,น.,ดงทึบมีต้นไม้มาก
ดดๆ ดงๆ,ว.,รีๆ ขวางๆ เงอะๆ งะๆ
ดน,ก.,โดน - กระทบกระทั่ง กระแทก ชน
ด้น,น.,ชื่อโคลงชนิดหนึ่ง
ด้น,ก.,ดั้น ฝ่าไป เดินไป ซอกซอนไป
ด้น,ก.,ใช้ด้ายเย็บเนาผ้า
ด้นๆ หนๆ,ก.,เดินหน้าถอยหลัง รวนเร รีรอ
ดม,ก.,ดม บางทีใช้ ชม (อ่านว่า จม)
