คำ,POS,ความหมาย
ภควา,น.,ชนผู้มีสมบัติอันบุคคลพึงเสพ หมายถึงพระพุทธเจ้า นามพระพุทธเจ้า นามพระเป็นเจ้า
ภคินี,น.,พี่หญิง น้องหญิง
ภชุม,ก.,ประชุุม ชุมนุม
ภม,น.,พรหม - ชื่อพระเป็นเจ้าผู้สร้างโลกตามคติพราหมณ์ เทพในพรหมโลก ควรใช้ พรหม
ภม,น.,พรม - เครื่องลาดทำด้วยขนสัตว์
ภมอร,น.,ช่างกลึง แป้นหมุนของช่างกลึง
ภยา,น.,พระยา - ตำแหน่งหัวหน้าของชุมชน
ภยา,น.,เจ้าแผ่นดิน ผู้เป็นใหญ่ ตำแหน่งผู้นำของกลุ่มชน
ภวตัณหา,น.,ตัณหาความเป็นไปในภพ คือ ความอยากมี อยากเป็น อยากเกิด
ภวม,ว.,ในช่วงเวลา ในระยะเวลาคาบเกี่ยว เช่น ควมแดดร้อน ขณะที่แดดกำลังร้อน
ภ่วม,ว.,พร้อมๆ กัน เวลาเดียวกัน ส่วนมากใช้ พุ่ม
ภ่วม,ว.,ร่วมกัน พร้อมเพรียง ครบครัน ในขณะเดียวกัน ทันกัน
ภวะ,*น.,ภพ - ชาติ การเกิด ความมี ความเป็น
ภวังคะ,น.,ส่วนที่อยู่ระหว่างสนธิกับจุติ มิได้เสวยอารมณ์ในทวารทั้ง ๖ มีจักษุทวาร เป็นต้น
ภเสิต,ว.,ประเสริฐ ดีงาม
ภอง,ก.,ซุ่มรอโอกาส หมายปอง
ภอง,ว.,กำลัง เพิ่งจะ พึ่งจะผ่านเวลานั้นไป
ภ่อง,ว.,บ้าง บาง บางคน บางพวก
ภ่อง,ว.,บ้าง บางสิ่ง บางส่วน บางคน ไม่เต็มอัตรา
ภองหา,ก.,รอคอย คอยที คอยโอกาส
ภองหา,ว.,เพิ่งจะ เพิ่งจะเสร็จสิ้นก่อนเวลานั้น ควรใช้ พรองหา
ภองหา,ว.,พึ่ง เพิ่งจะ หมายถึงเวลาที่ล่วงไปหยกๆ ในขณะที่พูดนั้น
ภองเอา,ก.,รอโอกาส พยายามหาโอกาส
ภอนแภน,ว.,ประปราย หรอมแหรม ควรใช้ พรอนแพรน
ภอนแภน,ว.,หร็อมแหร็ม หยอมแหยม - ไม่หนาแน่น
ภ้อม,ก.,ประชุม รวมกัน เห็นรวมกัน
ภ้อม,ว.,พร้อม - ครบครัน มากมาย รวมกันอยู่
ภ้อม,ว.,ครบครัน มากมาย รวมกันอยู่มากมาย
ภ้อมภับ,น.,พรักพร้อม พร้อมสรรพ ครบถ้วน
ภอมแภม,ว.,พลอมแพลม หรอมแหรม
ภ่อย,ก.,ร่อย - บิ่น หรอ บิ่นหักไปทีละน้อย
ภ่อย,ก.,ร่อยหรอ ขาดไป แหว่งไป คร่ำคร่า เสื่อมทราม
ภ้อย,ว.,พร้อย - ประทั่วไป ลายเป็นจุด
ภ้อย,ว.,พร้อย - ประทั่วไป ลายเป็นจุดหรือประปราย
ภะ,น.,พระพุทธเจ้า สามเณร พระพุทธรูป
