คำ,POS,ความหมาย
ล่นหมา,ก.,วิ่งเหยาะ
ล็อดแล็ด,ว.,ลักษณที่ฝนตกประปราย
ละออนภอนแภน,ว.,กะหร็อมกะแหร็ม
ละแอ,น.,กะแอ - เครื่องบังแดด เรียกหมวกปีกกว้างบังแดดชนิดหนึ่งว่า กุบกะแอ
ลักเหล้น,ก.,คบชู้ มีชู้
ลัวะ,น.,ชื่อคนเผ่าหนึ่ง
ลางฅน,ว.,บางคน
ล่างซ่าง,ว.,ลักษณะของสิ่งใหญ่ยาวหรือแบนที่ยื่นหรือกางออกเกะกะเกินสมควร เช่น ผมยาวพ่างซ่าง - ผมยาวรุงรัง
ลางเทื่อ,ว.,บางครั้ง บางคราว
ลาวกาว,น.,ชื่อคนในท้องถิ่นเมืองน่าน
ลำไยป่า,น.,ต้นขี้อ้าย
ลำเวียก,น.,กำแพงเมือง
ลิมนา,ก.,นำเอาข้าวกล้ามาปลูกซ่อมส่วนที่เสียหายอย่างที่ถูกปูกัดไป
ลิมนา,ก.,แทรกเข้าไปในระหว่าง เติมส่วนที่ขาด เพิ่ม เช่น ซิมนา - ปลูกข้าวกล้าแซมส่วนที่เสียหาย
ลือซา,ว.,มีชื่อเสียงเลื่องลือ
ลือซาปรากฏ (กวีนิพนธ์),ว.,มีชื่อเสียงเลื่องลือ
ลือฌา,ว.,มีชื่อเสียงเลื่องลือ
ลือฌาปรากฏ,ว.,มีชื่อเสียงเลื่องลือ
ลุก,ก.,ออกพ้นไป เช่น จากบ้านจากเมือง
ลุท่าง,ว.,สะดวก ไม่ติดขัด
ลุน,น.,ฟ่อนฟาง - ฟางข้าวประมาณสิบกำมัดรวมกัน
ลู่,ก.,แบ่งจากส่วนใหญ่ออกไปเพียงเล็กน้อย แย่งชิง
ลูกกำผาย,น.,ลูกปืนในตลับเพลาของเครื่องกลกระสุนลูกปราย
ลูกไพ้,น.,สะใภ้ หญิงที่มาแต่งงานกับลูกหรือญาติของตน
ลูกสิกข์,น.,ศิษย์ - ผู้อยู่ในความดูแลของอาจารย์
ลูท่าง,ว.,คล่อง สะดวก ไม่ขัดข้อง (ในศิลาจารึกหลักที่ ๑ ใช้ ลู่ทาง)
ลู่ทาง,ว.,สะดวก ไม่ติดขัด
เล้า,น.,ชื่อวันอันดับสิบในสิบสองชื่อ
เล่าขวัญ,ก.,ติเตียนลับหลัง
เล่าขวัน,ก.,นินทา
เล่าหน้า,ก.,นินทา
เลาะและ,ว.,เหลวไหล ไม่จริงจัง
เลิง,ว.,ระหง ทรงงาม
แลบ,ว.,ผอมบาง
โลมะ,น.,ขน เส้นขน
