คำ,POS,ความหมาย
กก,น.,อวัยวะเพศหญิง
กก,น.,"กก, ชื่อไม้ล้มลุกชนิดหนึ่งเกิดในที่ชุ่มน้ำ ลำต้นสามเหลี่ยม หรือกลมยาว ใช้จักสานได้"
กกกก,ว.,"มาก, ยิ่ง เช่น แก่กกกก - แก่มาก, แห้งกกกก - แห้งผาก, แหม็ดเกลี้ยงกกกก - หมดไม่เหลือเลย"
กกกอ,น.,"เหล่ากอ, กำพืด."
ก็กแก็ก,ว.,"เล็ก ๆ น้อย ๆ, เหลาะแหละ (ภ.ก.)."
ก็กแก็ก,ว.,เสียงดังเบา ๆ
กกขี้หมา,น.,กกลังกาชนิดหนึ่ง แต่ต้นเล็กกว่า ใช้เป็นสมุนไพร
กกลังกา,น.,กกชนิดต้นกลม ใช้เป็นสมุนไพร
กกลังกา,น.,"ก๊ก, เหล่า, กำพืด"
กกลังกา,น.,อวัยวะเพศหญิง (ดู เคย น. ๒)
กกลังกา,ก.,"กกไข่, นอนกก"
กกลังกา,ว.,เสียงดัง เช่นนั้น
กง,น.,กระบะโลหะสี่เหลี่ยมผืนผ้า ก้นแบนใช้ใส่น้ำยางพารากับน้ำกรด เพื่อให้น้ำยางแข็งตัว
กง,น.,ชื่อเฟิน ต้นเป็นกอขึ้นตามริมน้ำ ใบยาวเป็นทาง ใบอ่อนสีแดง กินได้
กง,น.,"กง, ไม้รูปโค้งที่ตั้งเป็นโครงเรือ"
ก้ง,น.,"ปู่, ตา แต่ถ้าต้องการชี้ชัดว่าปู่เรียก ""หล่ายก้ง"" ส่วนตาเรียก ""หวั่วก้ง"" (จ., ภ.ก., พ.ง.)."
กงกอน,น.,ชื่อไม้ต้น คล้ายโกงกาง ยอดสีแดง (ส.ฎ.).
กงกาง,น.,ชื่อเรือชนิดหนึ่ง ขนาดใหญ่ ไม่มีใบ ไม่มีเครื่องยนต์ ต้องใช้เรืออื่นชักลาก
กงกาง,น.,"ไม้โกงกาง, ชื่อไม้ต้นขึ้นตามป่าชายเลน ชายทะเล นิยมใช้ทำฟืน และเผาถ่าน"
กงกาง,น.,ชื่อเรือชนิดหนึ่งไม่มีใบ ไม่มีเครื่องยนต์ ต้องใช้เรืออื่นชักลาก (ดู ตั้ง น.).
กงเกง,น.,"กางเกง, เครื่องนุ่งห่มมี ๒ ขา"
กงเกงหรัง,น.,กางเกงสากลขายาว.
ก้งแก้ง,ว.,"โอ้อวด, อวดเบ่ง เช่น อย่ามาทำก้งแก้งเดียวโถกถีบ - อย่ามาทำโอ้อวดเดี๋ยวถูกเตะ"
ก้งแก้ง,ว.,เก่งหรือดีเกินตัว เช่น แด็กหนี้ก้งแก้งจ้านตัวหีดเดียวหิ้วน้ำตั้งสองถุ้ง - เด็กนี้เก่งเกินตัว ตัวนิดเดียวหิ้วน้ำตั้งสองถัง.
ก้งแก้ง,ว.,"ทำเจ้าชู้, กรีดกราย (ป.น., น.ธ.)."
กงโกะ,ว.,ผอมสูง
กงโกะกงหยก,*ก.,ยงโย่ยงหยก.
กงโกะกงหยก,*ก.,นั่งยอง ๆ
กงโกะกงหยก,ว.,"ไม่ทะมัดทะแมง, ไม่กระฉับกระเฉง."
กงข้าง,น.,กงเสริมของเรือ
กงเขา,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก ตัวโต มีจุดแดงบริเวณหัว อาศัยตามป่าในช่วงฤดูผสมพันธุ์ต้วผู้จะเปลี่ยนสีผิวหนังเป็นสีแดง ผิวหนังมีพิษ
กงเขา,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก (ดู กง น. ๒.).
กงโค้ง,น.,กงเสริมของเรือ
ก้งโค้ง,ก.,"โก้งโค้ง, โก่งก้นให้โด่ง, โน้มตัวลงยกก้นให้สูงขึ้น."
ก้งฉ่าย,น.,ผักกาดดองเค็ม.
กงซัง,น.,ตอซังข้าว.
ก้งซุ้น,น.,"กงสุล, พนักงานผู้มีหน้าที่ดูแลผลประโยชน์และคนในบังคับ ณ ต่างประเทศ ( อ. Consul ) (ภ.ก.)."
ก้งซุ้น,สำ.,ภรรยา เช่น คืนนี้อี้ไปกินเลี้ยงบอกก้งซุ้นแล้วหม้าย.
กงแซม,น.,กงเสริมของเรือ
ก่งเต็ก,น.,พิธีทำบุญให้แก่ผู้เสียชีวิต มีการสวดและเผากระดาษที่ทำเป็นรูปต่าง ๆ เช่น บ้านเรือน รถ คนใช้ เป็นต้น ไปให้ผู้ตาย (จ. ภก.).
ก้งทู้,ว.,ยุติธรรม (ดู ก้งโท้).
ก้งทู้,ว.,"ยุติธรรม, ซื่อสัตย์ เช่น คนนี้เป็นคนก้งโท้"
ก้งโท้,ว.,"ยุติธรรม, ซื่อสัตย์ เช่น คนนี้เป็นคนก้งโท้"
กงลิ้นช้าง,น.,โกร่งครอบไกปืน.
กงแล็บ,น.,"กรงเล็บ, กลุ่มเล็บของแมวหรือนก เป็นต้น เมื่อขยุ้มเหยื่อมีเค้าคล้ายกรง."
กงวาน,น.,กงเรือที่มีรูให้น้ำถ่ายเทไปได้ตลอดท้องเรือ
กงวาน,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก ตัวโต มีจุดแดงบริเวณหัว อาศัยตามป่าในช่วงฤดูผสมพันธุ์ต้วผู้จะเปลี่ยนสีผิวหนังเป็นสีแดง ผิวหนังมีพิษ
กงวาน,น.,ชื่อพืชคลุมดินชนิดหนึ่งคล้ายว่านหางช้าง มี ๒ ชนิด คือ กงแดงกับกงขาว.
กงวาน,น.,ชื่อพืชน้ำ ขึ้นตามทุ่งนา หรือพื้นที่ชุ่มน้ำ.
กงวาน,น.,ผ้าคลุมศีรษะของชาวไทยมุสลิมใช้ในพิธีละหมาด (น.ธ.).
กงวาน,น.,"ส่วนรอบของล้อรถหรือเกวียน เรียก ""กงล้อ""."
กงวาน,น.,ไร่ล้มลุกที่ถางเป็นป่าหย่อม ๆ ตามเนื้อที่และกั้นเป็นขอบเขตไว้ เช่น หักล้างถางกงในดงดิน (สุวรรณวงศา).
กงวาน,น.,ชื่อขนมชนิดหนึ่งใช้ทำบุญในวันสารทไส้ถั่วเขียวบดละเอียดผสมน้ำตาล ชุบแป้ง ปั้นเป็นรูปต่าง ๆ แล้วทอดน้ำมัน
กงวาน,น.,กระบะโลหะใส่น้ำยางพาราเพื่อนำไปทำให้น้ำยางแข็งตัว (ดู เบ้ายาง)
กงวาน,น.,ชื่อต้นไม้ชนิดหนึ่ง (ดู ปรง น. ๒).
กงวาน,ก.,การร้องของนกกบางชนิดในตอนกลางคืน เช่น นกคุ่ม นกเขาเล็ก นกเขาใหญ่.
กงวาน,ก.,ทำให้โก่ง
กงวาน,ก.,อาการที่คนกอดคอขี่หลังคนอีกคนหนึ่ง
กงวิน,น.,หวายถักเป็นวงสำหรับร้อยจมูกวัวควายที่เจาะใหม่
กงสี,น.,กองกลางที่ใช้รวมกันสำหรับคนหมู่หนึ่ง ๆ
กงสี,น.,"บริษัท, หุ้นส่วน."
กงสี,น.,โรงเรือนที่ใช้ร่วมกัน.
กงหนาบ,น.,กงเสริมของเรือ
กงหนิด,น.,สลักสำหรับเกี่ยวแร้ว เพื่อโก่งคันแร้ว.
กงหางกางเงี่ยง,สำ.,เตรียมต่อสู้.
กงหางกางเงี่ยง,สำ.,ตรงกับสำนวน หมูเขาจะหามเอาคานเข้าไปสอด.
กงเหม็ง,ก.,"ออกกำลังเต็มที่, มุ, เกร็งเต็มที่ เช่น กงเหม็งเข้าต้าแค่อี้เสร็จแล้ว - ออกกำลังเข้าให้เต็มที่ เกือบจะเสร็จแล้ว."
ก้งฮู้หลาง,น.,"ชาวจีนกวางตุ้ง (จ., ภ.ก.)."
กด,น.,"กด, ชื่อปลาไม่มีเกล็ด มีหนวด ครีบหลังตอนแรกและครีบอกมีก้านครีบเป็นเงี่ยง ครีบตอนที่สองเป็นแผ่นเนื้อ พบมากในเขตน้ำกร่อย มีหลายชนิด เช่น กดขี้ลิง, กดกล้วย, กดดอกบด (ภ.บ.)."
กด,น.,นกกด.
กดเข,ก.,"กดขี่, ข่มให้อยู่ในอำนาจตน."
กดเงา,ก.,การดูเวลาโดยวิธีนับชั้นฉาย (ดู ชั้นฉาย).
กดดง,ก.,การทำพิธีขอโชคลาภจากเจ้าป่า โดยวิธีไสยศาสตร์เพื่อการล่าสัตว์ของพราน
กดดม,ก.,"ปล้นสะดม, ปล้นโดยวิธีรมยาให้เจ้าของทรัพย์หลับสนิทไม่รู้สึกตัว."
กดตาแดง,สำ.,ตะเกียง เช่น นกกดตาแดงน้ำแห้งตาย - ตะเกียงหมดน้ำมัน (ปริศนาค่าทาย).
กดตาแดง,ก.,"อดกลั้น, ยับยั้งไว้, ตรึงไว้."
กดไม่ติด,ก.,"กลั้นไม่อยู่, อั้นไม่ไหว."
กดยิ้ม,*ก.,นั่งยิ้มหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือฟังเรื่องขำขัน
กดรอย,ก.,"สะกดรอย, ตามไปติด ๆ โดยไม่ให้รู้ตัว."
กดโรง,ก.,ตรึงไว้ ใช้กับการประชันหนังตะลุงหรือมโนราห์เป็นการทำอาคมทางไสยศาสตร์กับคนดู เพื่อตรึงไว้ไม่ให้ไปดูฝ่ายตรงข้าม.
กดลายมือ,ก.,พิมพ์ลายมือ.
กดหัว,ก.,อดกลั้น ไม่หัวเราะ.
กดหัว,สำ.,"บีบบังคับ, ข่มขู่ให้กลัว."
กดหัวแข็ง,น.,ชื่อปลาชนิดหนึ่ง จำพวกปลากด
กดหัวแข็ง,น.,ชื่อปลาชนิดหนึ่ง จำพวกปลากด (ดู ค้างโคะ).
กดอกกดใจ,ก.,สะกดอกสะกดใจ.
กดอกกดใจ,ก.,"บังคับ ลง, ข่ม, ใช้กำลัง ดันให้ลง เช่น ช่วยกดพุงที - ช่วยกดท้องหน่อย."
กดาส,น.,กระดาษ (ตำราพระบรมราชูทิศกัลปนานครศรีธรรมราช).
กน,น.,ภาชนะเย็บด้วยกาบหมากหรือสิ่งอื่น ที่มีลักษณะคล้ายกัน
กน,ก.,"โค่น, ตัด, ทำให้ล้มอย่างต้นไม้ล้ม."
ก้นหอย,น.,ลักษณะลายนิ้วมืออีกแบบหนึ่งที่ม้วนขดกลมอย่างก้นหอย
ก้นหอย,น.,ลักษณะลายนิ้วมือที่ม้วนขดกลมอย่างก้นหอย (ดูลายเวียนลุกขี้หอย).
กบ,น.,"กบ, ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ไม่มีหาง เท้าแบนมีหนังติดเป็นพืด กระโดดได้ไกล ว่ายน้ำ ดำน้ำได้เร็ว มักวางไข่ในน้ำ เมื่อยังเป็นตัวอ่อนจะมีหาง ภายหลังจึงงอกขา หางหดหายไปแล้วขึ้นอาศัยบนบก."
กบกับ,ว.,อาการที่รีบทำอย่างลุกลน
กบกับ,ว.,"รีบเร่ง, อาการที่รีบทำอย่างลุกลน (ดู ลกลก)."
กบขอบ,ก.,เต็มเปี่ยมถึงขอบ
กบคู่,ก.,ประกบคู่ เป็นคำที่ใช้ในการชนวัว.
