คำ,POS,ความหมาย
ขก,ก.,"เขก, โขก."
ขกแข็ก,ว.,"เล็ก ๆ น้อย ๆ, เบ็ดเตล็ด, ไม่เป็นชิ้นเป็นอัน"
ขกแข็ก,ว.,เล็ก ๆ น้อย ๆ (ดู หลกฉกแฉ็ก)
ขด,น.,เส้นวงกลมที่บอกขนาดของกระทะแต่โบราณดูจากเส้นที่กำกับไว้ที่ปากกระทะ (๓ - ๗ เส้น)
ขด,น.,"ขนด, ตัวงูที่ขด"
ขด,น.,ขนด (ดู หนด น.).
ขด,น.,เส้นวงกลมที่บอกขนาดของกระทะ (ดู ลวด น. ๔.).
ขด,ก.,ม้วนให้ตัวเป็นวง ๆ เช่น งูขด.
ขด,ก.,ทำให้เป็นวง ๆ เช่น เอาลวดมาขด.
ขด,ก.,งอหรือทำให้งอ เช่น นอนขด.
ขด,ลัก.,เรียกของที่เป็นวง ๆ เช่น เชือก ๓ ขด.
ขดแข็ดคดแค็ด,ว.,"คดไปคดมา, หงิกงอ"
ขน,ก.,"ฝน, ถูไปถูมา เช่น ฝนแหล็กให้เหลี้ยม - ฝนเหล็กให้แหลม."
ขน,น.,"ขน, สิ่งที่เป็นเส้นขึ้นตามผิวหนังคนและสัตว์ เช่น ขนหน้าแข้ง, ขนคิ้ว, ขนตา ฯลฯ."
ข้น,ว.,"ลักษณะของเหลวที่มีการรวมตัวกันแน่นเข้า, ไม่ใส, มีน้อยลงไป, งวด เช่น น้ำข้น - น้ำขุ่น, ตาข้น - ตาขุ่นแสดงอาการโกรธ."
ขนกล้อง,น.,ขนอ่อน
ขนคา,น.,"ขนอุย, ขนอ่อน, ขนงอกครั้งแรก."
ขนไช,น.,หางกะลวย (ขนหางที่ยาวที่สุดของไก่)
ขนไช,น.,"หางกะลวย, ขนหางไก่ตัวผู้ที่ยื่นยาวกว่าเพื่อน"
ขนดอกกล้อง,น.,ขนอ่อน
ขนแต้,น.,ขนแข็งบนเส้นคอหมู (พ.ท.).
ขนน้ำ,น.,"ที่เกิดของลำน้ำ, น้ำมาก (ดู ขุนน้ำ)."
ขนน้ำ,น.,"ที่เกิดของลำน้ำ, น้ำมาก"
ขนพอง,น.,"ขนลุก, ขนตั้งชันด้วยความตกใจ หรือความเสียวซ่าน"
ขนมขี้มอด,น.,ขนมทราย.
ขนมจีนแห้ง,น.,"หมี่, เรียกแป้งข้าวเจ้าที่โรยเป็นเส้นลงในน้ำเดือด พอสุกแล้วนำมาตากแห้ง"
ขนมจีนแห้ง,น.,หมี่ (ดู หมี่ น. ๑.).
ขนมฉาวหาย,น.,ขนมที่ทำด้วยแป้งข้าวเหนียว ทำเป็นแผ่นเล็ก ๆ บาง ๆ เหมือนข้าวเกรียบ ตากแดดให้แห้ง นำมาทอดแล้วฉาบด้วยน้ำตาล.
ขนมถั่วต่อย,น.,ขนมตุ้บตั้บ
ขนมบัวลอย,น.,ขนมที่ทำด้วยแป้งข้าวเหนียว ปั้นเป็นเม็ดเล็ก ๆ ต้มในน้ำกะทิผสมน้ำตาล เมื่อต้มสุกเม็ดจะลอยขึ้น จะใส่ไข่ไก่ ไข่นกกระทาด้วยก็ได้.
ขนแม่น,น.,ขนเม่น.
ขนราน,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
ขนลาย,น.,หางกะลวย (ขนหางที่ยาวที่สุดของไก่)
ขนลาย,น.,"หางกะลวย, ขนหางไก่ตัวผู้ที่ยื่นยาวกว่าเพื่อน"
ขนลาย,น.,ดู ขนไช.
ขนลาย,น.,ขนของลูกเป็ดลูกไก่ ที่ขึ้นใหม่ต่อจากขนอ่อน (ภ.ก.).
ขนแล้ง,ก.,ฝนไม่ตก
ขนเสียบ,น.,รอยต่อด้านหลังกะโหลกไก่ ซึ่งถ้าไก่ถูกแทงตรงจุดนี้จะตายทันที.
ขนหนอน,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
ขนหนอน,น.,หนอนผีเสื้อ มีขนปกคลุมเต็มลำตัว เมื่อถูกเข้าจะปล่อยน้ำพิษ ทำให้เกิดอาการแสบร้อนและคัน
ขนหนอน,น.,ตัวหนอนมีขนเป็นพิษ เมื่อสัมผัสผิวทำให้คันหรือปวดแสบปวดร้อน.
ขนหนอน,น.,โรคราชนิดหนึ่ง อยู่ในคอกสัตว์ที่สกปรก ถ้าถูกเข้าทำให้คันและเน่า เปื่อย.
ขนหนอน,น.,ชื่อหญ้าชนิดหนึ่ง ก้านดอกยาว ดอก คล้ายตัวหนอน.
ขนหนอน,น.,กระทกรก (คู รกช้าง)
ขนหนอน,น.,ชื่อไข้ชนิดหนึ่ง มีขนคล้ายสำลีแทรกอยู่ในเนื้อตัว ต้องเอาแป้งข้าวเหนียวปั้นเป็นก้อนแล้วคลึงไปตามตัวเพื่อดึงขนนั้นออกมาให้หมด อาการไข้นั้นจึงจะหาย.
ขนหนอน,ก.,"ฝน, ถูไปถูมา (ดู ฝน)."
ขนหนอน,ก.,"ขน, นำสิ่งของไปโดยวิธีการต่าง ๆ จากที่หนึ่งไปอีกที่หนึ่ง เช่น ขนทราย, ขนของ."
ขนหนอน,ลัก.,แสดงอายุของไก่ คือ เวลา ๑ ปี เช่น ไกสองขน - อายุสองปี.
ขนแหย็ง (ส.ฎ.),น.,"ขนลุก, ขนตั้งชันด้วยความตกใจ หรือความเสียวซ่าน"
ขนุม,น.,ขนม (ดู หนม น. ๒.)
ขนุม (น.ธ.),น.,"ขนม, ของกินที่ไม่ใช่กับข้าว มักปรุงด้วยแป้ง หรือข้าวกับกะทิหรือ น้ำตาล, ของหวาน"
ขนุมขี้หนู,น.,ขนมทราย (น.ธ.).
ขนุมขี้หนู (น.ธ.),น.,ขนมทราย.
ขนุมจุ๋น,น.,ขนมฝักบัว (น.ธ.).
ขนุมชะ,น.,ขนมเข่ง (น.ธ.).
ขนุมชะ (น.ธ.),น.,ขนมเข่ง.
ขนุมยอดหมาก,น.,ชื่ออาหารชนิดหนึ่งของชาวไทยมุสลิม ทำเป็นเส้นคล้ายขนมจีน แต่เส้นโตกว่า ราดด้วยน้ำแกงเช่นกัน (น.ธ.)
ขนุมยอดหมาก,น.,ชื่ออาหารไทยมุสลิมคล้ายขนมจีน (ดู ละซอ).
ขนุมลอย,น.,ดินที่เกิดจากการหมักหมมของซากอินทรีย์ (ดู ปาหนุมลอย).
ขนุมลอย (น.ธ.),น.,ดินที่เกิดจากการหมักหมมของซากอินทรีย์ ทับถมกันจนกลายเป็นดิน มีน้ำหนักน้อย และลอยน้ำได้
ขบ,น.,"ตะขบ, ชื่อไม้ต้นหลายชนิด เช่น ขบไทย ต้นมีหนาม ผลกลม สุกสีม่วงแดง หรือแดงเข้ม รสหวาน รากใช้ทำยาได้ ถ้าต้นไม่มีหนาม ผลกลมเล็กกว่าขบไทย สุกสีม่วงแดง รสหวาน เรียก ขบหรัง"
ขบ,ก.,"กัด เช่น หมาขบ - สุนัขกัด, ยุงขบ - ยุงกัด, ขบปลา - กัดปลา."
ขบ,ก.,ทำให้ปลายห่วงโลหะที่ห่างกันชิดแน่น.
ขบ,ก.,"ทำให้ติดกัน, ต่อ เช่น ถางป่าให้ขบกัน - ถางป่าให้ติดกัน."
ขบ,ก.,เอาฟันกัด บด หรือเน้นเพื่อให้แตก เช่น ขบแม็ดแตง.
ขบ,ก.,ขายสินค้าหรือบริการโก่งราคา.
ขบ,ก.,"แข่งขันกัน, ต่อสู้กัน เช่น แตคืนไปขบส่ามก๊อก แค่บ้านศพจนหวาง - เมื่อคืนไปเล่นส่ามก๊อกที่งานศพจนสว่าง (ภ.ก.)."
ขบ,ก.,ชนะ เช่น แตคืนไปขบส่ามก๊อกมาหลายตางค์ - เมื่อคืนไปชนะส่ามก๊อกมาหลายบาท (ภ.ก.).
ขบ,ก.,"หยอกล้อ, หยอกเย้า เช่น หมึงยาขบกูแรงต้า - มึงอย่าหยอกกูมากนักเถอะ."
ขบ,ก.,ปิด เช่น ขบตู - ปิดประตู.
ขบ,สำ.,"ล้อเลียน, ยั่วเย้า เช่น ไอ้ถ้าวหนี้ลูกขบแล้ว - นายคนนี้ถูกล้อเลียนแล้ว."
ขบเขอมือ,ก.,สวมกุญแจมือ (ส.ฎ.).
ขบแจ,ก.,ลั่นกุญแจ (ส.ฎ.).
ขม,น.,"ผักขม, ชื่อไม้ล้มลุก มีหลายชนิด เช่น ผักขมหนาม ผักขมสวน เป็นต้น"
ขม,น.,ผักขม (ดู หม น.)
ขม,น.,"หอยขม, ชื่อหอยน้ำจืดกาบเดี่ยว กาบม้วนเป็นวง ยอดแหลม ตัวเล็ก ขนาดประมาณเท่าหัวแม่มือ."
ขม,ก.,"ข่ม, ใช้กำลังกดลง ไม่ให้เผยอขึ้น, โดยปริยายหมายความว่าแสดงกิริยาวาจาให้เห็นว่าเหนือกว่า หรือทำให้อีกฝ่ายหนึ่งรู้สึกว่าด้อยกว่า."
ขมกลอน,น.,"กบทู, สันแห่งหลังคาเรือน, ไม้ข่มข้างกลอน."
ขมข้าว,ก.,การใช้ไม้ไผ่ยาว ๆ กดต้นข้าวให้เอนลง เพื่อให้สะดวกในการเก็บรวงข้าวด้วย เครื่องมือพื้นบ้านที่เรียกว่า ''แกะ''.
ขมปาก,ก.,"เป็นอาการของคนป่วยที่น้ำลายขมกินอะไรไม่ค่อยได้, เบื่ออาหาร."
ขมหัว,ก.,กดขี่.
ขมเห็ง,ก.,ข่มเหง.
ขมเห็ง,ก.,"ประชด, แดกดัน."
ขมเห็ง,ว.,รสอย่างหนึ่งอย่างรสสะเดา หรือบอระเพ็ด
ขมิ้น,น.,ขมิ้น (ดู ขี้มิ้น).
ขมิ้น,น.,"ขมิ้น, ชื่อไม้ล้มลุก เหง้าสีเหลือง ใช้ปรุงอาหาร ทำยา ทำผงทาตัว และใช้ย้อมผ้า"
ขยอม,น.,"พะยอม, ชื่อไม้ต้นขนาดใหญ่ ดอกสีขาว กลิ่นหอม เนื้อไม้ใช้ทำเครื่องเรือนได้"
ขยอม,น.,ไม้พะยอม (ดู ยอม).
ขรบ,น.,"ตะขบ, ชื่อไม้ต้นหลายชนิด เช่น ขบไทย ต้นมีหนาม ผลกลม สุกสีม่วงแดง หรือแดงเข้ม รสหวาน รากใช้ทำยาได้ ถ้าต้นไม่มีหนาม ผลกลมเล็กกว่าขบไทย สุกสีม่วงแดง รสหวาน เรียก ขบหรัง"
ขรบ,น.,ตะขบ (ดู ขบ น.).
ขรั้ง,ว.,สับสน (ดู ขรั้ว).
ขรั้ง,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขรังขรัน,น.,"ต้นเล็บเหยี่ยว, ไม้เถาเนื้อแข็ง ต้นมีหนามโค้ง ผลเล็ก กินได้"
ขรั้ว,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขรัวขระ,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขรัวขระครัวะคระ,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขรัวะขระคลัวะคละ,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขรัวะขรัวะ,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขริว,ว.,จวนจะหลับ
ขรี,น.,ชื่อไม้เถาเนื้อแข็ง แก่นแดง มีเสี้ยนดำ มีหนาม ใช้ทำยาได้
ขรึน,ว.,รสฝาดเฝื่อนชวนให้คลื่นไส้ไม่ชวนกิน (ดู ขึน ว. ๑).
ขรึน,ก.,"ฝืน, ไม่อ่อนตาม, อดทน, พอใช้ได้"
ขรึน (น.ธ.),ว.,"ชื่น, รสฝาดเฝื่อนชวนให้คลื่นไส้ ไม่ชวนกิน"
ขรู,น.,ชื่อไม้พุ่มชนิดหนึ่ง ใบรูปไข่ขอบจักรห่าง ๆ ดอก สีม่วงอ่อน มี ๒ ชนิด คือ ขรูนา ใช้ทำยาสมุนไพร และขรูเล มีลูกกินได้
ขลก,ก.,เขย่า เช่น ขลกหอย - การทำให้เนื้อหอยออกจากเปลือกคล้ายกระเทาะออก
ขลก,ว.,เสียงดังเช่นนั้น.
ขลกเขลียะ,ว.,กะล่อน (ภ.ก.).
ขล้ง,ว.,"คลุ้ง, กระจาย, มีกลิ่นตลบ เช่น หมินขล้ง - เหม็นคลุ้ง."
ขล้ง,ว.,สับสน (ดู ขรั้ว).
ขล้ง,ว.,ขยายสีแดงว่า แดงโร่ เช่น พระเขนเห็นแดงขล้ง ยายพุงป่องนั่งอยิกขี้เด พลัดลงเลขี้เดหกแหม็ด - เห็นดวงจันทร์แดงโร่ ยายท้องโตนั่งควักขี้ปลากระดี่ ตกลงทะเลขี้ปลากระดี่หกหมด.
ขล้งขล้ง,ว.,ไหลแรง ใช้กับน้ำ เช่น น้ำไหลขล้งขล้ง - น้ำไหลแรง.
ขล้งแขล้ง,ว.,"หลุกหลิก, ท่าทางเจ้าชู้."
ขลบ,น.,"ตะขบ, ชื่อไม้ต้นหลายชนิด เช่น ขบไทย ต้นมีหนาม ผลกลม สุกสีม่วงแดง หรือแดงเข้ม รสหวาน รากใช้ทำยาได้ ถ้าต้นไม่มีหนาม ผลกลมเล็กกว่าขบไทย สุกสีม่วงแดง รสหวาน เรียก ขบหรัง"
ขลบ,น.,ตะขบ (ดู ขบ น.).
ขลบ,ก.,สลบ (ก.บ.).
ขลบ,ว.,สงบ.
ขลวกเขลียก,ว.,"เฉอะแฉะ, เป็นหล่มเป็นโคลน (ดู ขลัวะเขลียะ)."
ขลวกเขลียก,ว.,"เฉอะแฉะ, เป็นหล่มเป็นโคลน"
ขล้วด,ก.,กระโดด เช่น เดี๋ยวกูตีกะหลวด - เดี๋ยวกูตีได้กระโดด
ขล้วด,ก.,กระโดด (ดู หลวด).
ขล็อกแขล็ก,ว.,"อ่อนเปลี้ย, ย่ำแย่ เช่น เดินจนหัวเขากรกแกร็ก - เดินจนเข่าอ่อน, ฐานะกรกแกร็ก - ฐานะย่ำแย่"
"ขล็อกแขล็ก (ภ.ก., พ.ง.)",ว.,"อ่อนเปลี้ย, ย่ำแย่ เช่น เดินจนหัวเขากรกแกร็ก - เดินจนเข่าอ่อน, ฐานะกรกแกร็ก - ฐานะย่ำแย่"
"ขล็อกแขล็ก (ภ.ก., พ.ง.)",ว.,"หลวม, คลอน เช่น รถนี้กรกแกร็กแหม็ดแล้ว - รถนี้ (ชิ้นส่วน) หลวม หรือคลอนหมดแล้ว"
ขลอย,ก.,สอย (ดู ขอย).
ขลอย (ส.ฎ.),น.,"ต้นข่อย, ชื่อไม้ต้นขนาดย่อมถึงขนาดกลาง มักขึ้นตามป่าต่ำและริมแม่น้ำลำคลอง ใบเล็ก สากคายใช้ขัดถูได้ เปลือกใช้ทำกระดาษ ใบ เปลือก เนื้อไม้และเมล็ดใช้ทำยาได้ มีหลายชนิด เช่น ขอยหนาม, ขอยหย็อง"
"ขลอย (ส.ฎ., ช.พ.)",ก.,"สอย, เอาไม้ง่าม เป็นต้น บิดเอาดอกไม้ลูกไม้ลงมา"
ขลัก,น.,ชื่อไม้ต้นชนิดหนึ่ง ขึ้นตามป่าชายทะเล นิยมใช้ทำฟืนและเผาถ่าน เมล็ดงอกตั้งแต่อยู่บนต้น ลักษณะเรียวยาวคล้ายฟัก
ขลัก,น.,ชื่อไม้ต้นชนิดหนึ่ง (ดู ประสักแดง).
ขลั้ว,ว.,"สับสน, หลงลืม, เผอเรอ, ยุ่งเหยิง"
ขลั้ว,ว.,สับสน (ดู ขรั้ว).
ขลัวะขละคลัวะคละ,ว.,"เฉอะแฉะ, เป็นหล่มเป็นโคลน (คู ขลัวะเขลียะ)."
ขลัวะขละคลัวะคละ,ว.,"เฉอะแฉะ, เป็นหล่มเป็นโคลน"
ขลัวะเขลียะ,ว.,"เฉอะแฉะ, เป็นหล่มเป็นโคลน"
ขลัวะเขลียะคลัวะเคลียะ,ว.,"เฉอะแฉะ, เป็นหล่มเป็นโคลน"
ขลาด,ว.,"มักกลัว, ไม่กล้า. ขลาดจนขี้ขึ้นอยู่บนหมอม"
ขลาด,สำ.,กลัวมาก.
ขลิก,น.,อวัยวะเพศชาย (ดู หัวดอ).
ขลิก,ว.,เห็นเด่นชัด เช่น ตั้งขลิก - วางโทนโท่.
ขลิกขลิก,ว.,คิกคัก. ระริกระรี้.
ขลิกขลี,น.,"เสียงนกเขาสอนขัน (ส.ข., ป.น.)."
