คำ,POS,ความหมาย
คก,น.,โคนหู เรียกว่า “ หลักหู ”
คก,น.,อวัยวะเพศหญิง (ดู เคย น. ๒.).
คก,น.,โคนหู (ดู หลัก น. ๔.).
คก,น.,อวัยวะเพศหญิง
คกคก,ว.,แก่มาก ใช้กับผลไม้.
คกราด,น.,"คุดทะราด, ชื่อโรคชนิดหนึ่ง เป็นแผลเรื้อรัง บางรายแผลนั้นบานเหวอะหวะออก มีกลิ่นเหม็น เป็นแม่แผลให้เกิดแผลอื่นจำพวกเดียวกันลุกลาม ออกไปอีก."
คง,น.,ข้าวโพด (เทียบ ม. jagong)
คง,ว.,"คงกระพัน, ทนทาน, ยังมียังเป็นอยู่อย่างเดิม."
คงรวง,น.,ข้าวฟ่างสมุทรโคดม หรือข้าวฟ่างหางช้าง ต้นสูงประมาณ ๒ เมตร เมล็ดขนาดเมล็ดพริกไทย.
คด,ก.,ตักข้าวสุกออกจากหม้อ.
คดกริช,น.,ชื่อลายชนิดหนึ่ง เป็นเส้นยาวคดไปมาอย่างรูปกริช
คดข้าวห่อ,สำ.,ทำประโยชนไว้ก่อนแล้ว
คดค้องแค้ง,ก.,คดมาก เช่น ไม้เท้าของพ่อเฒ่าคดค้องแค้งเหมือนกริช - ไม้เท้าของคุณตาคดมากเหมือนกับกริช.
คดค่าย,ก.,คดข้าว แล้วกระจายให้เย็นเร็ว.
คดเค็ด,ว.,"คดเคี้ยว, คดไปคดมา"
คดแด้ง,ว.,คดมาก.
คดห่อ,ก.,เตรียมอาหารไปกินเวลาเดินทาง.
คดห่อ,สำ.,ทำประโยชนไว้ก่อนแล้ว
คดห่อ,ว.,"งอ, ลักษณะที่ไม่ตรงตลอด."
คดเหมือนดอโจร,สำ.,"คดในข้องอในกระดูก, มีสันดานคดโกง."
คดเหมือนดอโจร,สำ.,ใช้เปรียบเทียบกับของที่คดมาก.
คน,น.,มนุษย์.
ค้น,ก.,พยายามหาให้พบโดยวิธีการสืบ เสาะ แสวงหา.
คนข้าว,ก.,การคนข้าวในหม้อด้วยไม้พายให้ข้าวสุกระอุ
คนข้าว,ก.,การคนข้าวในหม้อด้วยไม้พายให้ข้าวโชนตัว.
คนข้าว,ก.,ทำให้ข้าวเปลือกที่ตากแดดกระจายให้ร้อนทั่วกัน.
คนแค่เริน,น.,คู่ครอง.
คนเงาะ,ก.,คลุกมะพร้าว เช่น เหนียวซาวเงาะ - ข้าวเหนียวคลุกมะพร้าว
คนเงาะ,ก.,คลุกมะพร้าว.
คนจัด,น.,คนขยัน (น.ธ.).
คนจัด,น.,คนจัดจ้าน.
คนชาย,น.,ผู้ชาย.
คนชาย,สำ.,คำที่ภรรยาใช้เรียกสามี.
คนแต่แรก,น.,"คนโบราณ, คนรุ่นก่อน."
คนทา,ก.,สาวด้ายที่จะทอเป็นผ้าให้คลี่ออกไปให้มีความยาวเท่าขนาดของผ้าที่จะทอ
คนทา,น.,ชื่อไม้พุ่ม มักขึ้นเป็นหมู่ในป่าโปร่ง มีหนาม ทั่วต้น ดอกสีขาว ผลกลมแป้นขนาดราวหัวแม่มือ.
คนที,น.,ชื่อไม้เถาชนิดหนึ่ง ขึ้นตามชายทะเล ใบมีกลิ่นหอมฉุน
คนที่บ้าน,น.,ผู้ที่อยู่บ้าน โดยนัยหมายถึง คู่ครองของผู้พูด.
