คำ,POS,ความหมาย
ฆง,น.,ลายสักที่ตาตุ่ม เชื่อว่ากันงูกัด โดยสักเป็นรูปเช่นนี้
ฆ้องพาด,น.,เครื่องดนตรีชนิดหนึ่งทำด้วยไม้ ๔ อัน วางพาดบนขาผู้เล่น เสียงคล้ายระนาด (ช.พ.).
ฆ้องฟาก,น.,ฆ้องคู่ชนิดหนึ่งทำด้วยโลหะ รูปร่างแบบฟาก
ฆอระ,ว.,"ไม่ได้ความ, ไม่ได้เรื่อง ตรงกับสำนวน “ออกกาก” (น.ธ.)."
ฆ้อระ (น.ธ.),ว.,"ไม่ได้ความ, ไม่ได้เรื่อง (ป.น., ย.ล)"
ฆอแร็ง,น.,แกงคั่วใส่เครื่องเทศ (น.ธ.).
ฆอแร็ง,ก.,"คั่ว, เอาสิ่งของใส่ในกระทะตั้งไฟให้ร้อน แล้วคนไปจนสุก (ม. ฆอแฆ็ง ; น.ธ.)."
ฆอแระ,น.,เรือกอและ (ดู กอและ น.).
ฆอและ,น.,ชื่อเรือประมงตามชายฝั่งทะเลทางภาคใต้ รูปร่างยาวเพรียว หัวและท้ายเรือแหลมสูง เขียนลวดลายสีสันต่าง ๆ ไว้อย่างสวยงาม
ฆะเน๊าะฆะแน๊ะ,ก.,ยุ่งยาก.
ฆะเน๊าะฆะแน๊ะ,ว.,"พะรุงพะรัง, มากมายหลายเรื่อง, เอาใจใส่ในหน้าที่การงาน (น.ธ.)."
ฆะมะ,ก.,"กะ, กำหนด, คาดการณ์, คาดคะเน, ประมาณ"
ฆะรำ,ว.,อยากกระทำ (ดู กะรำ).
ฆะรำ (น.ธ.),ก.,"อยากกระทำ, อยากลงไม้ลงมือ, มันมือชวนให้เล่น, ชวนให้ทำ, ใคร่"
ฆะเลาะ,น.,มะม่วงหิมพานต์
ฆะเลาะ,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ฆะหึม,ก.,"มอด, จวนจะดับ เช่น ไฟฆะหึม - ไฟมอด."
ฆะหึม,ว.,อารมณ์ค้าง.
ฆะหึม,ว.,มืดครึ้ม เช่น ฝนฆะหึม - ฝนมืดครึ้ม.
ฆะหึม,ว.,ทะมึน เช่น นั่งฆะหึม - นั่งทะมึน.
ฆัง,น.,"ระฆัง, เครื่องใช้ตีให้เกิดเสียงเป็นอาณัติสัญญาณ หล่อด้วยทองเหลือง เป็นต้น รูปคล้าย ลูกฟักตัด มีหูติดอยู่ตอนบน."
ฆันตี,ก.,"ใช้แทน, รับประกัน (น.ธ.)."
ฆึละ,น.,เรียกภาพยนตร์ว่า “หนังฆึละ” (น.ธ.).
ฆึละ,ว.,"คึก, คะนอง, ลำพอง, ร่าเริง."
ฆุนี,น.,กระสอบป่าน
ฆุนี,น.,กระสอบป่าน (ดู ยู่หนี).
ฆู่นี,น.,กระสอบป่าน (ดู ยู่หนี).
ฆู่นี (น.ธ.),น.,กระสอบป่าน
เฆ่,น.,เครื่องลากทำด้วยไม้เป็นขา ๒ อัน มีไม้ขวาง เพื่อตั้งวางของหนัก ๆ ชักลากไป บางชนิดมีล้อ (ทำด้วยไม้) ๒ ล้อ นิยมทำบุษบกตั้งพระพุทธรูป สำคัญแล้วชักลากแห่กันไป เรียกว่า “ลากพระ” หรือ “แห่พระ”
เฆลาะแฆละพุง,ก.,คลื่นไส้ (ดู คลื่นอก).
เฆลาะแฆละพุง (น.ธ.),ก.,คลื่นไส้
เฆี่ยน,ก.,"เฆี่ยน, ตีด้วยหวายหรือไม้เรียว เป็นต้น เป็นการลงโทษ."
เฆี้ยน,ว.,"อยาก, กระหาย, ร่าน เช่น เงี้ยนหมาก - อยากเคี้ยวหมาก"
เฆี้ยน,ก.,"อยากจัด, กระหายจัด (ดู เงี้ยน)."
เฆี้ยน,ก.,"ติดนิสัย, อาการที่ข้องอยู่ (น.ธ.)."
เฆี่ยนผี,ก.,ขับผีโดยใช้ไม้ลงอาคมเฆี่ยน.
เฆี่ยนพราย,น.,พิธีกรรมของมโนราห์ ทำพิธีตัดไม้ข่มนามคู่แข่ง โดยใช้ไม้เฆี่ยนสิ่งที่สมมุติว่าเป็นผี หรือสิ่งศักดิ์สิทธิ์ที่พิทักษ์ฝ่ายตรงกันข้ามให้พ่ายแพ้ ต่อด้วยการเหยียบมะนาวที่สมมุติเป็นขวัญของฝ่ายตรงข้าม.
เฆี่ยนรูป,น.,พิธีทางไสยศาสตร์ สมมุติรูปแทนผู้ที่เราต้องการกระทำร้าย แล้วเฆี่ยนตีรูปนั้นแทน เชื่อว่ายังผลให้ผู้ที่สมมุติแทนต้องโทษกรรม.
แฆและ,น.,กะลา (ดู พรก น.).
แฆและ,น.,การเล่นชนิดหนึ่ง ของเด็ก มีผู้เล่น ๒ ฝ่าย ฝ่ายละ ๒- ๓ คน ใช้กะลามะพร้าวด้านไม่มีรูนำมาทะลวงก้นออกให้เหลือเป็นวงแหวน แล้วโยนเล่นตามข้อตกลง
แฆและ (น.ธ),น.,"กะลา, ส่วนแข็งที่หุ้มเนื้อมะพร้าว (เทียบ ม. porok)"
