คำ,POS,ความหมาย
งก,ก.,"ถือเอาไว้เป็นสิทธิ์เพียงคนเดียว, หวง เช่น เห็นว่าแก็งแล้วงก ถามไหรไม่แหลง - เห็นว่าเก่งแล้วหวงวิชา ถามอะไรไม่พูด."
งก,ก.,อยากได้.
งกงก,ว.,สั่นสะท้าน.
งกงก,ว.,ไม่หยุดไม่หยอน เช่น พ่อมันทำการงกงก มันไม่คิดเลยเอาแต่เที่ยว - พ่อทำงานง่วนทั้งวัน มันไม่คิดเลย เอาแต่เที่ยว.
งกงก,ว.,"มาก เช่น แกงกงก - แก่มาก, แก่งก."
งง,ก.,"งง, ฉงน, คิดไม่ออกเพราะยุ่งยากซับช้อน."
งด,น.,ชื่อไม้เลาชนิดหนึ่ง ใช้เป็นเชือกได้ เรียก ย่านงด.
งด,ก.,หยุดหรือเว้น คือไม่กระทำหรือดำเนินการตามปกติ.
งด,ก.,หยุดไหล เช่น เลือดงด - เลือดหยุดไหล.
งน,น.,เงิน (ดู เงิน).
งน,น.,แร่ธาตุเป็นโลหะสีขาว เนื้อค่อนข้างอ่อน.
งบ,น.,น้ำตาลปึกที่ใส่กระบอก
งบ,น.,ชื่อกับข้าวชนิดหนึ่ง คล้ายห่อหมก ห่อด้วยใบไม้ มีใบตอง เป็นต้น แล้วปิ้งไฟ.
งบ,ก.,การเคี่ยวน้ำตาลให้เป็นปึก แล้วบรรจุกระบอก.
งม,ก.,ควานหา เช่น งมทาง - ควานหาทาง.
งม,ก.,"ดำน้ำลงไปคลำหาของ, คลำหาของในน้ำ"
งม,ว.,เดาสุ่ม เช่น แหลงงมไป - พูดเดาไป
งม,ว.,"โง่, ปัญญาทึบ เช่น เฒ่าหัวงม - แก่แล้วยังโง่."
งม,ว.,"ระงม, อากาศร้อนจัด, อบอ้าว (ช.พ.)."
งมงำ,ว.,พึมพำ (ดู งุมงำ ว.).
งมงำ,ว.,พึมพำ
งวง,น.,"งวง, จมูกของช้างที่ยื่นยาวออกไป ตรงปลายมีจะงอยสำหรับจับของอย่างมือ, งวงของสัตว์."
งวง,น.,"จั่นของมะพร้าวและช่อดอกเพศผู้ของตาลเพื่อเตรียมทำน้ำตาล เช่น งวงตาล, งวงโหนด, งวงพร้าว."
งวง,น.,เรียกสิ่งที่มีลักษณะคล้ายคลึงงวงของสัตว์หรือพืช.
งวง,ลัก.,เรียกงวงของตาลที่ใช้ทำน้ำหวาน เช่น ทำตาลอยู่ ๕ งวง.
งวงช้าง,น.,ซื้อไม้ต้นชนิดหนึ่ง (Capparis flavicans) ในวงศ์ Capparidaceae
