คำ,POS,ความหมาย
จก,น.,"กระจก, แก้วที่ทำเป็นแผ่น"
จก,น.,กระจกส่องหน้า
จก,น.,"ต้อกระจก, โรคต้อชนิดหนึ่ง เช่น ตาเป็นจก - ตาเป็นต้อกระจก."
จก,น.,เรียกคนที่ตาเสียมองไม่เห็นว่า คนตาจก.
จกแจ็ก,ว.,"ฟังไม่ได้ศัพท์, เสียงพูดของคนมาก ๆ เช่น เสียงจกแจ็ก."
จกแจ็ก,ว.,"พูดมาก, พูดพร่ำเพรื่อ, พูดไม่หยุด."
จง,น.,ภาชนะชนิดหนึ่งสานด้วยไม้ไผ่หรือเตยใช้ใส่ของ (พ.ท.)
จง,น.,ชื่อพันธุ์ไม้ชนิดหนึ่ง เปลือกเหนียว ใช้ทำเชือก ใช้ใบเป็นภาชนะนึ่งข้าวเหนียวแทนหวด.
จง,น.,"กระจง, ชื่อสัตว์เคี้ยวเอื้องที่เล็กที่สุด รูปร่าง คล้ายกวาง แต่ไม่มีเขา ตัวผู้มีเขี้ยวแหลมคม"
จงเทาะ,น.,กระจงตัวใหญ่.
จ้งผ่อ,น.,"พ่อครัว, คนปรุงอาหาร (จ., ภ.ก., พ.ง.)"
จ้งสูน,น.,"ผู้จัดการใหญ่ (จ., ภ.ก.)"
จ้งหม้ง,น.,ปลากระเบนพันธุ์หนึ่ง ขนาดเล็ก เงี่ยงมีพิษ
จ้งหม้ง,น.,ชื่อฆ้องคู่ขนาดเล็กใช้ในวงดนตรีของหนังตะลุงและมโนราห์.
จด,ก.,"จด, เขียนไว้."
จด,ว.,เกินเปรียบ เช่น ลุงนั่นแก่ ทำงานไม่ไคจด - ลุงคนนั้นแกทำงานไม่มีใครเทียบ.
จด,ว.,เรียกการยิงสะบ้าถูกลูกเดียวว่า “ยงจด”
จด,ว.,"จรด, ถึง."
จด,ว.,"นอนวัน, หมุนเร็วเที่ยงตรง, หมุนนิ่งสนิทอยู่กับที่ (ใช้กับลูกข่าง)."
จน,ก.,"แพ้, หมดทาง, ตอบไม่ได้ เช่น แด็กนี้แก็งถามปัญหาไหรก้าไม่จน - เด็กคนนี้เก่งถามปัญหาอะไรก็ไม่ติด (ตอบได้หมด)."
จน,ว.,"ยากจน, เข็ญใจ, ไร้ทรัพย์. จนเหมือนยนไม่ดัน"
จน,สำ.,ยากจนมาก.
จน,สัน.,จนกระทั่ง เช่น จนเท้าเสร็จ - จนกระทั่งเสร็จ.
จ๋น,น.,"ยาเบื่อ, ยาพิษ (ม. racun)"
จ๋น,น.,"ยาเบื่อ, ยาพิษ (ดู ราจุน น.)."
จบ,ก.,พนมมือยกขึ้นวางบนศีรษะ.
จบ,ก.,"จบ, สิ้นสุดคราวหนึ่ง ๆ, หมดสิ้น เช่น จบเรื่อง."
จบ,ก.,"บรรจบ, จดกัน, ใกล้ชิดติดกัน."
จบ,ลัก.,"เที่ยว, ครั้ง เช่น หนังสือเล่มนี้ กูอ่าน ๓ จบแล้ว."
จบ,ว.,ทั่ว เช่น ฉานไปจบแล้ว - ฉันไปทั่วแล้ว.
จบ,สำ.,ตาย (มักใช้กับอันธพาล).
จบแจง,ก.,ประจบประแจง.
จบนา,ก.,เอาใจใส่ (ดู จับนา).
จบนา,ว.,"เอาใจใส่, ดูแล, นำพา."
จบหัว,ก.,"ยกของขึ้นจรดหัว, ยกของขึ้นทำความเคารพหรือ แสดงอาการอุทิศเพื่อทำทาน."
จม,ก.,"จม, หายลงไปหรืออยู่ใต้ผิวพื้น."
จม,ก.,"ท่วม, เอ่อท้นจนลบพื้นที่ หรือสิ่งใดสิ่งหนึ่ง เช่น น้ำจมหัวนา - น้ำท่วมคันนา."
