คำ,POS,ความหมาย
ฉก,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ฉก,น.,ลูกชิด (ดู ชิด น. ๑.).
ฉกแฉ็ก,ว.,"เบ็ดเตล็ด, เล็กน้อย, นิดหน่อย"
ฉกแฉ็ก,ว.,เฉอะแฉะ.
ฉกเนา,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ฉกเนา,น.,ลูกชิด.
ฉกเนา,ก.,แสดงอาการด่าด้วยมือ
ฉกเนา,ก.,แย่งชิง หรือฉวยเอาโดยเร็ว.
ฉกเนา,ก.,กัด เช่น งูฉก.
ฉกเนา,ก.,"ทิ่มตำ, โขก, สับ เช่น ระวังไม้จะฉกหัว."
ฉลุง,น.,เสาสำหรับผูกช้าง
ฉ้วน,น.,อวัยวะเพศชาย
ฉ้วน,น.,อวัยวะเพศชาย (ดู หัวดอ).
ฉวบ,ว.,เสียงดังเช่นนั้น.
ฉวม,ว.,ครืน เช่น ฮาฉวม - ฮาครืน (ช.พ.).
ฉวย,ก.,"คว้า, จับ, หยิบเอาโดยเร็ว เช่น ฉวยมือโลกสาวเขา - จับมือลูกสาวเขา, ปลาฉวยเบ็ด - ปลาจับเบ็ด, ปลาตอดเบ็ด."
ฉวย,สัน.,ถ้า เช่น ฉวยหมันมาทางโด้ - ถ้ามันมาทางโน้น.
ฉ้อ,น.,"จำนวนนับที่หมายถึงหก เช่น ฉ้อทาน - ฉทาน, ฉ้อกษัตริย์ – ฉกษัตริย์."
ฉ้อ,ก.,ฉ้อโกง.
ฉ้อ,ก.,"ยกขึ้น, ชักขึ้น, ชักรอก, ใช้ขอสับแล้วดึงขึ้น."
ฉอก,ก.,"ถอก, ร่นเข้าไป."
ฉอก,ก.,กระฉอก อาการที่ของเหลว เช่น น้ำในภาชนะกระเพื่อมอย่างแรงเพราะความสั่นสะเทือน
ฉอก,ว.,"เถิก, เว้า, แหว่ง (ใช้กับลักษณะของผม)."
ฉ็อกหม็อก,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
ฉ็อกหม็อก,ว.,สกปรก (ดู สกมก).
ฉ้อง,ก.,ดวงชะตาหรือโฉลกไม่สอดรับกัน (ดู ฉ็อง ก.).
ฉ็อง,น.,ชื่อแมลงชนิดหนึ่งมีกลิ่นฉุน.
ฉ็อง,น.,โพรงในดินสำหรับเป็นที่อยู่อาศัยของสัตว์บางชนิด เช่น เม่น เป็นต้น.
