คำ,POS,ความหมาย
ซก,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ซก,น.,ชื่อปาล์มชนิดหนึ่ง (ดู เหนา น. ๑.).
ซก,ก.,"หมก, ซ่อน (ดู ซุก)."
ซก,ก.,"สะเด็ดน้ำ, แห้งน้ำ เช่น ผักน้านล้างแหล่วตั้งไว้ให้ซกกอน - ผักนั้นล้างแล้วตั้งไว้ให้สะเด็ดน้ำก่อน (ภ.ก.)."
ซก,ก.,เรื้อเวที เช่น หนังตะลุงโรงนี้ซกเสียแล้ว - หนังตะลุงโรงนี้เรื้อเวทีเสียแล้ว.
ซก,ว.,"อาการที่ของเหลวไหลย้อย, เปียกจนน้ำหยด เช่น น้ำย้อยซก, เหงื่อไหลซก, ผ้าเปียกซก"
ซก,ว.,การหมักดอง เช่น ตอซก – สะตอดอง (ป.น.)
ซก,ก.,หมกซ่อน หรือยัดแทรกไว้ในที่มิดชิด เช่น ตามซอกมุม
ซก (น.ธ.),น.,ชื่อปาล์มชนิดหนึ่ง ใบคล้ายใบสาคู ผลคล้ายลาน จั่นใช้ทำน้ำตาลทำนองเดียวกับมะพร้าว
ซกขรุ,ว.,"โสโครก, สกปรก, เลอะเทอะ (ภ.ก., พ.ง.)."
ซกซก,ว.,"อาการที่ของเหลวไหลย้อย, เปียกจนน้ำหยด เช่น น้ำย้อยซก, เหงื่อไหลซก, ผ้าเปียกซก"
ซกซก,ว.,"อาการที่ของเหลวไหลย้อย, เปียกจนน้ำหยด (ดู ซก ว. ๒.)."
ซกแซ็ก,ว.,"ไม่เป็นชิ้นเป็นอัน, ไม่อยู่นิ่ง, ชักช้า, กะปริดกะปรอย เช่น ฝนตกสกแส็ก - ฝนตกกะปริดกะปรอย"
ซกแซ็ก,ว.,ช้า (ดู สกแส็ก).
ซด,ก.,อาการที่กินน้ำร้อน น้ำชา หรือน้ำแกงทีละน้อย ๆ มักมีเสียงดังซูด.
ซน,ก.,"ดัน, ผลัก, สวน เช่น สูนไม้ฟืน - ดันฟืนเข้าไป, สูนวาน - สวนทวาร"
ซน,ก.,อาการที่อยู่ไม่สุขจับโน่นฉวยนี่ หรือเล่นไม่เป็นเรื่องเป็นราว ทำให้เดือดร้อนเสียหาย.
ซน,ก.,"ดัน, สวน (ดู สูน ก. ๑.)."
ซน,ว.,ลักษณะการเรียงตัวของเสี้ยนในเนื้อไม้ไม่เป็นระเบียบเรียกว่า ไม้ซนหรือเสี้ยนซน ซึ่งจะทำให้ไสกบยาก (ภ.ก.).
ซ้น,ก.,"เคล็ด, ขัดยอก, ร่นเข้าไป เช่น มือซ้น - มือเคล็ด, วานซ้น -ตะโพกเคล็ด."
ซนม่า (ร.น.),น.,"กระเจี๊ยบแดง (ภ.ก., พ.ง.)"
ซบดิ,น.,ปกติสุข (เทียบได้กับ สมปฤดี) เช่น กูแลไอ้ไขกับอีแดงหมันไม่ซบดิอยู่กันชงง๋องแง๋งกันอยู่เรื่อย – กูดูแล้วไอ้ไขกับอีแดงมันไม่มีความสุขเลยมีปากเสียงกันอยู่เรื่อย (ภ.ก.).
ซมเกล่า,น.,ส้มจี๊ด (ดู เก็ดหล้า).
ซมควาย,น.,ส้มแขก (ดู ส้มควาย).
ซมม่า,น.,กระเจี๊ยบแดง (ดู ส้มม่า).
ซวก,ก.,"แทง, กระซวก, เอาของแหลมทิ่มหรือปักเข้าไป."
ซวดเซียด,ว.,"หนักเต็มที่ เช่น หามกันซวดเซียด - หามกันหนัก เต็มที่, แย่เต็มที่."
ซวน,ก.,"เซ, โซเซจะล้ม"
ซ่วน,น.,"เพชร (จ., ภ.ก.)."
ซวนเซียน,ก.,"เซ, โซเซจะล้ม"
ซวนเซียน,ก.,เซ (ดู ซวน).
ซ้วนถาว,น.,หัวกระเทียม (ดู หัวเทียม).
ซ้วนถาว (ภ.ก.),น.,หัวกระเทียม
ซ้วนน่า,น.,หัวกระเทียม (ดู หัวเทียม).
"ซ้วนน่า (ภ.ก., พ.ง.)",น.,ชื่อไม้ล้มลุก คล้ายต้นหอม หัวเป็นกลีบ ๆ เมื่อแห้งสีขาว กลิ่นฉุน รสเผ็ดร้อน ใช้ปรุงอาหาร
ซ้วย,ก.,"ตัดให้เป็นรูปรี, เจียน (ภ.ก.)."
