คำ,POS,ความหมาย
ดก,น.,"กาบพืชตระกูลปาล์ม เช่น ต้อหมาก - กาบหมาก, ต้อหลาโอน - กาบเหลาชะโอน"
ดก,ก.,"กระดก, ทำให้ปลายข้างหนึ่งยกสูงขึ้น, เผยอขึ้นข้างหนึ่ง."
ดก,ว.,"มากกว่าปกติ เช่น ผมดก, ลูกดก."
ดกแด็ก,ว.,ไม่จริงจัง.
ดกแด็ก,ว.,"ไม่แข็งแรง, ผอมแห้ง"
ดง,น.,"ดง, ป่าที่มีต้นไม่ใหญ่ขึ้นหน่าแน่น, ที่ซึ่งมีต้นไม้อย่างใดอย่างหนึ่งขึ้นหนาแน่นโดยปริยายคือที่ที่มีสิ่งเดียวกันรวมกันอยู่มาก ๆ เช่น ดงโจร, ดงหมามุ่ย."
ดง,ก.,"ดงข้าว, เอาหม้อข้าวที่เช็ดน้ำแล้ว ขึ้นตั้งไฟอ่อน ๆ เพื่อให้สุกเต็มที่"
ด้ง,น.,"กระด้ง, ภาชนะรูปแบน ขอบกลม สำหรับฝัดข้าว เป็นต้น"
ด้ง,น.,กระทะล้อรถยนต์ เรียกว่า “ด้งล้อ”.
ด้งด้อ,ก.,อาการของไม้ซึ่งถูกทาบหรือดามไว้โก่งตัวขึ้น.
ด้งด้อ,ก.,"เหนื่อยมาก, เพลียมาก เช่น วันนี้เที่ยวเสียจนด้งด้อ - วันนี้เที่ยวมากเสียจนเพลีย และเหนื่อยมากเหลือเกิน (ช.พ.)."
ด้งแด้ง,ว.,"กระตุ้งกระติ้ง, ไม่เอาจริงเอาจัง."
ด้งฝัด,น.,กระด้งสำหรับฝัดร่อน.
ด้งมอน,น.,กระด้งขนาดใหญ่ใช้สำหรับตาก.
ด้งแร่ง,น.,กระด้งที่สานตาห่าง ๆ ใช้ร่อนแยกฟางข้าวออกจากเมล็ดข้าว.
ดงหม้อ,ก.,"ดงข้าว, เอาหม้อข้าวที่เช็ดน้ำแล้ว ขึ้นตั้งไฟอ่อน ๆ เพื่อให้สุกเต็มที่"
ดงหม้อ,ก.,ดงข้าว (ดู ดง ก.).
ด้น,ก.,ว่ากลอนสด เช่น ด้นกลอน.
ด้น,ก.,เย็บทวน เช่น ด้นผ้า.
ด้น,ก.,"โกง, แสดงอาการดื้อไม่ยอมทำตาม."
ด้น,ว.,"ดุ, มีลักษณะทำให้ดูน่ากลัวหรือน่าเกรงขาม, ร้าย, ร้ายกาจ, เหี้ยมโหด, ดุอย่างไม่ลดละ."
ด้น,ว.,"ซุกซน, ซนนอกลู่นอกทาง, ซอกแซกเล่น (ช.พ., ภ.ก.)."
ด้น,ว.,ลักษณะไปอย่างไม่มีเป้าหมายเช่น เดินด้นไป.
ด้นเหมือนพ่อวัวลูกอ่อน,สำ.,ดุมาก.
ด้นเหมือนวัวตาจก,สำ.,ดุมาก.
ด้นเหมือนหมาล่ำ,สำ.,ดุมาก.
ด้นเหมือนหมาลูกอ่อน,สำ.,ดุมาก.
"ดพร้าว (ภ.ก., พ.ง.)",น.,เปลือกมะพร้าว
ดม,น.,แนวเขตบ้าน ซึ่งใช้กิ่งไม้มาสุมทับกันหรือปลูกไม้พุ่มขึ้นทำเป็นเขต.
ดม,ก.,"ใช้จมูกสูดกลิ่น, สูดกลิ่นเอา"
ดม,ก.,"คิดคาดเอาเองโดยไม่มีหลักหรือเหตุผล, เดาสุ่ม เช่น พูดดมไป"
ดม,ก.,สุมทับเพื่อปิดทาง เช่น พ่อดมทางเสียแล้ว - พ่อเอากิ่งไม้สุมทับปิดทางเสียแล้ว.
ดวก,ว.,"สะดวก, ปกติ เช่น ไข้หายไม่ดวก - ยังไม่หายป่วยเป็นปกติ, ทางดวกดี - ทางสะดวกดี."
ดวง,น.,"ดวงชะตา, แบบรูปราศีที่บอกดาวพระเคราะห์เดินถึงราศีนั้น ๆ ในเวลาเกิดของคน หรือเวลาสร้างสิ่งสำคัญ, ลักษณะหรืออัธยาศัยบางอย่างที่ทำให้รู้สึกชอบหรือไม่ชอบในทันทีทันใด."
ดวง,น.,รอยด่าง เช่น ผ้าเป็นดวง - ผ้าเป็นรอยด่าง.
